"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"abalone",8,"dropToValue",512,0.01,"cone",0,1,0.654603219,0.6657087803
"abalone",2,"dropToValue",1024,0.01,"cone",0,1,0.6515873611,0.672413826
"abalone",2,"dropToValue",256,0.01,"rect",0,1,0.65095242857933,0.669540166854858
"abalone",4,"dropToValue",256,0.1,"cone",0,1,0.6490476727,0.6494252682
"abalone",3,"dropToValue",256,0.01,"cone",0,1,0.648888951539993,0.664750933647156
"abalone",3,"dropToValue",1024,0.1,"cone",0,1,0.648888927698135,0.663793087005615
"abalone",3,"dropToValue",512,0.01,"rect",0,1,0.647142916917801,0.674329519271851
"abalone",2,"dropToValue",512,0.01,"rect",0,1,0.647142904996872,0.671455979347229
"abalone",8,"dropToValue",512,0.1,"cone",0,1,0.6465080023,0.6551724076
"abalone",8,"dropToValue",1024,0.1,"cone",0.05,1,0.6463492632,0.6465517282
"abalone",8,"dropToValue",256,0.01,"cone",0,1,0.6460317969,0.6590037942
"abalone",3,"dropToValue",512,0.01,"cone",0.05,1,0.645555621385574,0.641762435436249
"abalone",3,"dropToValue",512,0.01,"cone",0,1,0.64444449543953,0.651340961456299
"abalone",2,"dropToValue",512,0.01,"cone",0,1,0.6441270411,0.6484674215
"abalone",4,"dropToValue",1024,0.1,"cone",0,1,0.6431746483,0.663793087
"abalone",4,"dropToValue",1024,0.1,"cone",0.05,1,0.6431746304,0.6551724076
"abalone",2,"dropToValue",1024,0.1,"cone",0,1,0.6428571939,0.6657088399
"abalone",16,"dropToValue",1024,0.1,"cone",0.05,1,0.6426984668,0.6436781883
"abalone",4,"dropToValue",512,0.01,"rect",0,1,0.642698466777802,0.666666686534882
"abalone",3,"dropToValue",256,0.01,"cone",0.05,1,0.642381000518799,0.640804529190063
"abalone",3,"dropToValue",256,0.1,"rect",0,1,0.642222279310226,0.64463597536087
"abalone",4,"dropToValue",256,0.01,"cone",0,1,0.6422222793,0.672413826
"abalone",4,"dropToValue",1024,0.01,"cone",0,1,0.6422222793,0.6657087803
"abalone",4,"dropToValue",256,0.01,"cone",0.05,1,0.6422222614,0.6369732022
"abalone",8,"dropToValue",256,0.01,"rect",0.05,1,0.642063540220261,0.637931048870087
"abalone",4,"dropToValue",256,0.01,"rect",0,1,0.641904813051224,0.65421462059021
"abalone",2,"dropToValue",512,0.01,"cone",0.05,1,0.6419047832,0.6532566547
"abalone",8,"dropToValue",256,0.01,"cone",0.05,1,0.6419047773,0.6484674811
"abalone",2,"dropToValue",1024,0.01,"rect",0,1,0.641269898414612,0.652298867702484
"abalone",4,"dropToValue",256,0.01,"rect",0.05,1,0.641269880533218,0.642720282077789
"abalone",2,"dropToValue",1024,0.01,"rect",0.05,1,0.641111165285111,0.669540226459503
"abalone",4,"dropToValue",512,0.1,"cone",0,1,0.6409524262,0.6417624354
"abalone",32,"dropToValue",1024,0.01,"cone",0,1,0.6406349719,0.6532567143
"abalone",3,"dropToValue",256,0.1,"cone",0,1,0.640634965896606,0.660919606685638
"abalone",8,"dropToValue",512,0.1,"cone",0.05,1,0.640634948,0.6532567143
"abalone",2,"dropToValue",256,0.1,"cone",0,1,0.6404762328,0.6666666865
"abalone",32,"dropToValue",1024,0.01,"rect",0.05,1,0.64000004529953,0.654214560985565
"abalone",4,"dropToValue",1024,0.01,"rect",0,1,0.639682590961456,0.670498073101044
"abalone",4,"dropToValue",1024,0.01,"rect",0.05,1,0.639682585000992,0.649425268173218
"abalone",3,"dropToValue",1024,0.01,"cone",0,1,0.639682585000992,0.663793087005615
"abalone",2,"dropToValue",512,0.01,"rect",0.05,1,0.639682579040527,0.660919547080994
"abalone",2,"dropToValue",256,0.1,"rect",0.05,1,0.639682579040527,0.655172407627106
"abalone",8,"dropToValue",256,0.01,"rect",0,1,0.639365130662918,0.64463597536087
"abalone",32,"dropToValue",1024,0.1,"cone",0,1,0.6390476644,0.6484674215
"abalone",16,"dropToValue",1024,0.01,"cone",0,1,0.6388889313,0.6350575089
"abalone",4,"dropToValue",512,0.01,"cone",0,1,0.638730216,0.6704981327
