"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"acute-inflammation",32,"dropToValue",256,0.01,"cone",0.05,1,1,1
"acute-inflammation",32,"dropToValue",512,0.01,"cone",0.05,1,1,1
"acute-inflammation",32,"dropToValue",1024,0.01,"cone",0.05,1,1,1
"acute-inflammation",32,"dropToValue",256,0.01,"rect",0.05,1,1,1
"acute-inflammation",32,"dropToValue",512,0.01,"rect",0.05,1,1,1
"acute-inflammation",32,"dropToValue",1024,0.01,"rect",0.05,1,1,1
"acute-inflammation",32,"dropToValue",256,0.01,"cone",0,1,1,1
"acute-inflammation",32,"dropToValue",512,0.01,"cone",0,1,1,1
"acute-inflammation",32,"dropToValue",1024,0.01,"cone",0,1,1,1
"acute-inflammation",32,"dropToValue",256,0.01,"rect",0,1,1,1
"acute-inflammation",32,"dropToValue",512,0.01,"rect",0,1,1,1
"acute-inflammation",32,"dropToValue",1024,0.01,"rect",0,1,1,1
"acute-inflammation",32,"dropToValue",256,0.1,"cone",0,1,1,1
"acute-inflammation",16,"dropToValue",256,0.01,"cone",0.05,1,1,1
"acute-inflammation",16,"dropToValue",512,0.01,"cone",0.05,1,1,1
"acute-inflammation",16,"dropToValue",1024,0.01,"cone",0.05,1,1,1
"acute-inflammation",16,"dropToValue",256,0.01,"rect",0.05,1,1,1
"acute-inflammation",16,"dropToValue",512,0.01,"rect",0.05,1,1,1
"acute-inflammation",16,"dropToValue",1024,0.01,"rect",0.05,1,1,1
"acute-inflammation",16,"dropToValue",256,0.01,"cone",0,1,1,1
"acute-inflammation",16,"dropToValue",512,0.01,"cone",0,1,1,1
"acute-inflammation",16,"dropToValue",1024,0.01,"cone",0,1,1,1
"acute-inflammation",16,"dropToValue",256,0.01,"rect",0,1,1,1
"acute-inflammation",16,"dropToValue",512,0.01,"rect",0,1,1,1
"acute-inflammation",16,"dropToValue",1024,0.01,"rect",0,1,1,1
"acute-inflammation",16,"dropToValue",256,0.1,"cone",0.05,1,1,1
"acute-inflammation",16,"dropToValue",512,0.1,"cone",0.05,1,1,1
"acute-inflammation",16,"dropToValue",1024,0.1,"cone",0.05,1,1,1
"acute-inflammation",16,"dropToValue",256,0.1,"cone",0,1,1,1
"acute-inflammation",16,"dropToValue",512,0.1,"cone",0,1,1,1
"acute-inflammation",16,"dropToValue",1024,0.1,"cone",0,1,1,1
"acute-inflammation",8,"dropToValue",256,0.01,"cone",0.05,1,1,1
"acute-inflammation",8,"dropToValue",512,0.01,"cone",0.05,1,1,1
"acute-inflammation",8,"dropToValue",1024,0.01,"cone",0.05,1,1,1
"acute-inflammation",8,"dropToValue",256,0.01,"rect",0.05,1,1,1
"acute-inflammation",8,"dropToValue",512,0.01,"rect",0.05,1,1,1
"acute-inflammation",8,"dropToValue",1024,0.01,"rect",0.05,1,1,1
"acute-inflammation",8,"dropToValue",256,0.01,"cone",0,1,1,1
"acute-inflammation",8,"dropToValue",512,0.01,"cone",0,1,1,1
