"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"adult",8,"dropToValue",512,0.1,"cone",0.05,1,0.8497,0.8476
"adult",3,"dropToValue",256,0.1,"rect",0.05,1,0.8488,0.8521
"adult",2,"dropToValue",512,0.01,"cone",0,1,0.8488,0.8505
"adult",3,"dropToValue",1024,0.01,"cone",0,1,0.8486,0.8501
"adult",3,"dropToValue",256,0.1,"cone",0,1,0.8481,0.8507
"adult",4,"dropToValue",256,0.1,"cone",0.05,1,0.848,0.8495
"adult",3,"dropToValue",256,0.01,"cone",0,1,0.8478,0.8504
"adult",3,"dropToValue",512,0.01,"cone",0,1,0.8477,0.8486
"adult",2,"dropToValue",512,0.01,"cone",0.05,1,0.8476,0.8469
"adult",3,"dropToValue",1024,0.1,"cone",0.05,1,0.8476,0.8495
"adult",3,"dropToValue",512,0.1,"cone",0,1,0.8476,0.8501
"adult",2,"dropToValue",1024,0.01,"cone",0.05,1,0.8474,0.8476
"adult",3,"dropToValue",1024,0.1,"cone",0,1,0.8474,0.8542
"adult",2,"dropToValue",1024,0.01,"cone",0,1,0.8473,0.85
"adult",32,"dropToValue",256,0.1,"rect",0.05,1,0.8472,0.8486
"adult",16,"dropToValue",256,0.1,"rect",0.05,1,0.8472,0.8498
"adult",2,"dropToValue",512,0.01,"rect",0.05,1,0.8472,0.847
"adult",2,"dropToValue",512,0.1,"cone",0.05,1,0.8472,0.8469
"adult",2,"dropToValue",256,0.01,"cone",0.05,1,0.8469,0.8457
"adult",8,"dropToValue",256,0.1,"cone",0.05,1,0.8468,0.8501
"adult",2,"dropToValue",1024,0.1,"cone",0.05,1,0.8468,0.8488
"adult",4,"dropToValue",1024,0.1,"cone",0.05,1,0.8468,0.8498
"adult",16,"dropToValue",256,0.1,"cone",0.05,1,0.8468,0.8491
"adult",2,"dropToValue",256,0.1,"cone",0,1,0.8466,0.8498
"adult",2,"dropToValue",256,0.01,"cone",0,1,0.8466,0.8493
"adult",3,"dropToValue",512,0.01,"rect",0,1,0.8466,0.8501
"adult",16,"dropToValue",1024,0.1,"cone",0.05,1,0.8465,0.8439
"adult",2,"dropToValue",256,0.01,"rect",0.05,1,0.8465,0.8441
"adult",4,"dropToValue",1024,0.1,"cone",0,1,0.8465,0.8503
"adult",3,"dropToValue",256,0.01,"rect",0,1,0.8465,0.8493
"adult",3,"dropToValue",1024,0.01,"rect",0.05,1,0.8465,0.8478
"adult",2,"dropToValue",256,0.1,"cone",0.05,1,0.8464,0.8425
"adult",4,"dropToValue",512,0.1,"cone",0.05,1,0.8464,0.8455
"adult",16,"dropToValue",512,0.01,"cone",0.05,1,0.8464,0.848
"adult",4,"dropToValue",256,0.01,"cone",0,1,0.8463,0.8523
"adult",3,"dropToValue",512,0.1,"cone",0.05,1,0.8463,0.8482
"adult",8,"dropToValue",512,0.1,"cone",0,1,0.8463,0.8504
"adult",2,"dropToValue",256,0.01,"rect",0,1,0.8463,0.8503
"adult",8,"dropToValue",256,0.1,"cone",0,1,0.8461,0.8483
"adult",4,"dropToValue",512,0.1,"cone",0,1,0.8461,0.8488
"adult",2,"dropToValue",1024,0.01,"rect",0.05,1,0.846,0.8491
"adult",16,"dropToValue",512,0.1,"cone",0.05,1,0.8459,0.8448
"adult",4,"dropToValue",256,0.1,"cone",0,1,0.8459,0.8504
"adult",4,"dropToValue",1024,0.01,"cone",0.05,1,0.8459,0.8459
"adult",3,"dropToValue",1024,0.01,"cone",0.05,1,0.8458,0.8464
"adult",2,"dropToValue",512,0.1,"cone",0,1,0.8458,0.8493
"adult",2,"dropToValue",512,0.01,"rect",0,1,0.8457,0.8511
"adult",2,"dropToValue",256,0.1,"rect",0.05,1,0.8456,0.8363
"adult",3,"dropToValue",1024,0.1,"rect",0,1,0.8456,0.8489
"adult",3,"dropToValue",256,0.01,"cone",0.05,1,0.8456,0.8428
"adult",16,"dropToValue",1024,0.1,"cone",0,1,0.8455,0.8523
"adult",3,"dropToValue",512,0.1,"rect",0,1,0.8454,0.8514
