"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"annealing",8,"dropToValue",1024,0.1,"cone",0.05,1,0.9613,0.76
"annealing",8,"dropToValue",256,0.1,"rect",0,1,0.9571,0.76
"annealing",4,"dropToValue",1024,0.1,"cone",0.05,1,0.9512,0.07
"annealing",8,"dropToValue",512,0.1,"cone",0.05,1,0.9512,0.07
"annealing",4,"dropToValue",256,0.1,"cone",0,1,0.9512,0.25
"annealing",16,"dropToValue",256,0.01,"rect",0,1,0.9506,0.07
"annealing",3,"dropToValue",256,0.1,"rect",0.05,1,0.9494,0.06
"annealing",4,"dropToValue",512,0.1,"cone",0.05,1,0.9464,0.05
"annealing",4,"dropToValue",512,0.1,"rect",0,1,0.9435,0.1
"annealing",4,"dropToValue",1024,0.1,"rect",0,1,0.9423,0.3
"annealing",3,"dropToValue",1024,0.1,"cone",0.05,1,0.9417,0.43
"annealing",3,"dropToValue",256,1,"cone",0.05,1,0.9411,0.63
"annealing",16,"dropToValue",256,0.1,"cone",0,1,0.9411,0.62
"annealing",3,"dropToValue",512,0.1,"cone",0,1,0.9411,0.1
"annealing",4,"dropToValue",256,0.1,"cone",0.05,1,0.9405,0.08
"annealing",3,"dropToValue",256,0.1,"rect",0,1,0.9405,0.08
"annealing",8,"dropToValue",512,0.1,"cone",0,1,0.9405,0.1
"annealing",3,"dropToValue",1024,0.1,"cone",0,1,0.9399,0.11
"annealing",2,"dropToValue",1024,0.1,"cone",0.05,1,0.9393,0.05
"annealing",4,"dropToValue",1024,0.1,"rect",0.05,1,0.9393,0.06
"annealing",16,"dropToValue",512,0.1,"cone",0,1,0.9387,0.27
"annealing",4,"dropToValue",256,0.1,"rect",0,1,0.9387,0.07
"annealing",16,"dropToValue",512,0.01,"rect",0,1,0.9381,0.11
"annealing",16,"dropToValue",256,0.1,"rect",0.05,1,0.9375,0.63
"annealing",4,"dropToValue",256,0.1,"rect",0.05,1,0.9375,0.09
"annealing",8,"dropToValue",512,0.1,"rect",0.05,1,0.9375,0.15
"annealing",3,"dropToValue",512,0.1,"rect",0,1,0.9369,0.06
"annealing",8,"dropToValue",512,0.01,"cone",0,1,0.9369,0.07
"annealing",3,"dropToValue",256,0.1,"cone",0,1,0.9369,0.26
