"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"arrhythmia",3,"dropToValue",512,0.01,"rect",0.05,1,0.7405797123909,0.654867231845856
"arrhythmia",3,"dropToValue",512,0.1,"cone",0.05,1,0.727536237239838,0.646017670631409
"arrhythmia",3,"dropToValue",1024,0.1,"cone",0,1,0.715942066907883,0.637168109416962
"arrhythmia",3,"dropToValue",256,0.1,"cone",0.05,1,0.713043510913849,0.646017670631409
"arrhythmia",3,"dropToValue",256,0.01,"rect",0,1,0.708695662021637,0.663716852664948
"arrhythmia",8,"dropToValue",256,0.01,"rect",0.05,1,0.696202546358109,0.67256635427475
"arrhythmia",3,"dropToValue",1024,0.01,"rect",0,1,0.695652186870575,0.681415915489197
"arrhythmia",3,"dropToValue",1024,0.01,"cone",0.05,1,0.694202905893326,0.672566413879395
"arrhythmia",3,"dropToValue",256,0.01,"rect",0.05,1,0.691304361820221,0.628318548202515
"arrhythmia",3,"dropToValue",512,0.1,"rect",0.05,1,0.691304337978363,0.690265476703644
"arrhythmia",3,"dropToValue",512,0.01,"cone",0,1,0.681159436702728,0.646017670631409
"arrhythmia",3,"dropToValue",256,0.1,"rect",0,1,0.681159436702728,0.646017730236053
"arrhythmia",2,"dropToValue",256,0.1,"rect",0.05,1,0.681012642383575,0.637168169021606
"arrhythmia",3,"dropToValue",512,0.01,"rect",0,1,0.676811611652374,0.628318607807159
"arrhythmia",3,"dropToValue",256,0.1,"rect",0.05,1,0.672463774681091,0.681415915489197
"arrhythmia",8,"dropToValue",1024,0.01,"rect",0.05,1,0.672151881456375,0.690265476703644
"arrhythmia",16,"dropToValue",256,0.01,"rect",0.05,1,0.672151869535446,0.663716852664948
"arrhythmia",2,"dropToValue",1024,0.01,"cone",0,1,0.669620275497436,0.663716793060303
"arrhythmia",3,"dropToValue",1024,0.1,"rect",0,1,0.669565188884735,0.637168169021606
"arrhythmia",3,"dropToValue",256,0.01,"cone",0.05,1,0.666666686534881,0.637168109416962
"arrhythmia",3,"dropToValue",512,0.01,"cone",0.05,1,0.666666686534881,0.6548672914505
"arrhythmia",3,"dropToValue",1024,0.01,"rect",0.05,1,0.666666686534881,0.654867231845856
"arrhythmia",4,"dropToValue",256,0.1,"cone",0.05,1,0.6658227622509,0.637168109416962
"arrhythmia",16,"dropToValue",1024,0.01,"rect",0.05,1,0.664556968212128,0.646017730236053
"arrhythmia",3,"dropToValue",512,0.1,"rect",0,1,0.662318861484528,0.6548672914505
"arrhythmia",4,"dropToValue",512,0.01,"rect",0.05,1,0.658227860927582,0.619468986988068
"arrhythmia",3,"dropToValue",1024,0.1,"cone",0.05,1,0.656521707773209,0.663716793060303
"arrhythmia",3,"dropToValue",256,0.1,"cone",0,1,0.656521701812744,0.6548672914505
"arrhythmia",2,"dropToValue",1024,0.01,"rect",0.05,1,0.653164535760879,0.637168109416962
"arrhythmia",3,"dropToValue",256,0.01,"cone",0,1,0.65217387676239,0.619469046592712
"arrhythmia",3,"dropToValue",512,0.1,"cone",0,1,0.65217387676239,0.646017730236053
"arrhythmia",16,"dropToValue",1024,0.01,"cone",0.05,1,0.650632917881012,0.628318548202515
"arrhythmia",2,"dropToValue",256,0.1,"cone",0.05,1,0.650632870197296,0.592920303344727
"arrhythmia",8,"dropToValue",256,0.1,"cone",0.05,1,0.649367070198059,0.681415915489197
"arrhythmia",3,"dropToValue",1024,0.1,"rect",0.05,1,0.649275344610214,0.654867231845856
"arrhythmia",8,"dropToValue",256,0.1,"rect",0,1,0.648101288080215,0.610619425773621
"arrhythmia",16,"dropToValue",512,0.01,"rect",0.05,1,0.648101252317429,0.654867231845856
"arrhythmia",8,"dropToValue",512,0.01,"cone",0.05,1,0.646835446357727,0.628318607807159
"arrhythmia",4,"dropToValue",512,0.1,"cone",0.05,1,0.646835440397262,0.663716793060303
"arrhythmia",8,"dropToValue",512,0.01,"rect",0.05,1,0.644303768873215,0.637168109416962
"arrhythmia",8,"dropToValue",1024,0.01,"rect",0,1,0.643038010597229,0.654867231845856
"arrhythmia",8,"dropToValue",1024,0.01,"cone",0.05,1,0.643037980794907,0.654867231845856
"arrhythmia",2,"dropToValue",512,0.1,"cone",0.05,1,0.641772156953812,0.628318548202515
"arrhythmia",16,"dropToValue",512,0.1,"cone",0.05,1,0.639240515232086,0.654867231845856
