"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"audiology-std",2,"dropToValue",512,0.1,"cone",0,1,0.8387,0.8
"audiology-std",4,"dropToValue",256,0.01,"rect",0.05,1,0.829,0.64
"audiology-std",3,"dropToValue",512,0.01,"cone",0.05,1,0.8235,0.64
"audiology-std",4,"dropToValue",1024,0.1,"cone",0,1,0.8097,0.72
"audiology-std",2,"dropToValue",512,0.1,"cone",0.05,1,0.8065,0.8
"audiology-std",3,"dropToValue",512,0.1,"rect",0.05,1,0.7971,0.72
"audiology-std",3,"dropToValue",256,0.1,"cone",0.05,1,0.7912,0.6
"audiology-std",16,"dropToValue",1024,0.1,"cone",0,1,0.7839,0.68
"audiology-std",4,"dropToValue",256,0.1,"rect",0.05,1,0.7839,0.76
"audiology-std",3,"dropToValue",512,0.1,"cone",0.05,1,0.7794,0.64
"audiology-std",2,"dropToValue",512,0.01,"cone",0.05,1,0.7742,0.76
"audiology-std",2,"dropToValue",256,0.1,"rect",0.05,1,0.7742,0.76
"audiology-std",3,"dropToValue",256,0.01,"rect",0.05,1,0.7735,0.6
"audiology-std",8,"dropToValue",1024,0.01,"rect",0.05,1,0.771,0.8
"audiology-std",3,"dropToValue",1024,0.1,"cone",0.05,1,0.7676,0.72
"audiology-std",3,"dropToValue",1024,0.01,"rect",0.05,1,0.7647,0.72
"audiology-std",3,"dropToValue",256,0.01,"cone",0,1,0.7647,0.72
"audiology-std",3,"dropToValue",512,0.01,"cone",0,1,0.7647,0.76
"audiology-std",3,"dropToValue",512,0.1,"rect",0,1,0.7647,0.6
"audiology-std",8,"dropToValue",512,0.01,"rect",0.05,1,0.7645,0.8
"audiology-std",4,"dropToValue",256,0.1,"cone",0.05,1,0.7645,0.76
"audiology-std",3,"dropToValue",512,0.01,"rect",0.05,1,0.7618,0.72
"audiology-std",2,"dropToValue",1024,0.1,"rect",0.05,1,0.7613,0.76
"audiology-std",16,"dropToValue",1024,0.01,"rect",0.05,1,0.7548,0.72
"audiology-std",8,"dropToValue",512,0.1,"cone",0.05,1,0.7516,0.72
"audiology-std",2,"dropToValue",512,0.1,"rect",0.05,1,0.7484,0.72
"audiology-std",8,"dropToValue",256,0.01,"rect",0.05,1,0.7484,0.72
"audiology-std",2,"dropToValue",1024,0.1,"cone",0.05,1,0.7452,0.76
"audiology-std",8,"dropToValue",1024,0.01,"cone",0.05,1,0.7452,0.72
"audiology-std",3,"dropToValue",1024,0.1,"rect",0.05,1,0.7441,0.68
"audiology-std",8,"dropToValue",256,0.01,"cone",0,1,0.7419,0.76
"audiology-std",8,"dropToValue",1024,0.01,"cone",0,1,0.7419,0.72
"audiology-std",2,"dropToValue",512,0.1,"rect",0,1,0.7419,0.72
"audiology-std",2,"dropToValue",1024,0.1,"rect",0,1,0.7419,0.68
"audiology-std",4,"dropToValue",1024,0.1,"rect",0.05,1,0.7419,0.72
"audiology-std",4,"dropToValue",512,0.01,"rect",0.05,1,0.7355,0.72
"audiology-std",3,"dropToValue",1024,0.01,"rect",0,1,0.7353,0.72
"audiology-std",3,"dropToValue",1024,0.1,"cone",0,1,0.7353,0.64
"audiology-std",4,"dropToValue",512,0.1,"cone",0.05,1,0.7258,0.76
"audiology-std",3,"dropToValue",256,0.1,"rect",0.05,1,0.7235,0.72
"audiology-std",4,"dropToValue",256,0.1,"cone",0,1,0.7226,0.72
"audiology-std",3,"dropToValue",256,0.1,"rect",0,1,0.7176,0.68
"audiology-std",3,"dropToValue",256,0.1,"cone",0,1,0.7118,0.72
"audiology-std",8,"dropToValue",1024,0.01,"rect",0,1,0.7097,0.64
"audiology-std",4,"dropToValue",256,0.01,"rect",0,1,0.7097,0.84
"audiology-std",4,"dropToValue",1024,0.1,"rect",0,1,0.7097,0.72
"audiology-std",2,"dropToValue",256,0.01,"cone",0.05,1,0.7097,0.76
"audiology-std",2,"dropToValue",512,0.01,"rect",0.05,1,0.7097,0.72
"audiology-std",2,"dropToValue",256,0.01,"rect",0,1,0.7097,0.68
"audiology-std",2,"dropToValue",1024,0.1,"cone",0,1,0.7097,0.76
"audiology-std",8,"dropToValue",1024,0.1,"cone",0.05,1,0.7065,0.72
"audiology-std",3,"dropToValue",256,0.01,"cone",0.05,1,0.7059,0.76
"audiology-std",3,"dropToValue",1024,0.01,"cone",0.05,1,0.7059,0.64
"audiology-std",8,"dropToValue",256,0.1,"rect",0.05,1,0.6968,0.72
"audiology-std",16,"dropToValue",256,0.1,"cone",0,1,0.6935,0.64
"audiology-std",4,"dropToValue",1024,0.01,"rect",0.05,1,0.6935,0.84
"audiology-std",2,"dropToValue",256,0.1,"cone",0.05,1,0.6903,0.76
"audiology-std",16,"dropToValue",512,0.01,"rect",0,1,0.6839,0.6
"audiology-std",3,"dropToValue",1024,0.1,"rect",0,1,0.6824,0.64
"audiology-std",2,"dropToValue",1024,0.01,"cone",0,1,0.6806,0.72
"audiology-std",3,"dropToValue",512,0.1,"cone",0,1,0.6794,0.52
"audiology-std",8,"dropToValue",1024,0.1,"cone",0,1,0.6774,0.72
"audiology-std",4,"dropToValue",256,0.01,"cone",0,1,0.6774,0.72
"audiology-std",2,"dropToValue",1024,0.01,"cone",0.05,1,0.6774,0.72
"audiology-std",2,"dropToValue",256,0.01,"rect",0.05,1,0.6774,0.68
"audiology-std",2,"dropToValue",256,0.01,"cone",0,1,0.6774,0.84
"audiology-std",2,"dropToValue",256,0.1,"cone",0,1,0.6774,0.76
"audiology-std",3,"dropToValue",512,0.01,"rect",0,1,0.6765,0.72
"audiology-std",4,"dropToValue",512,0.1,"cone",0,1,0.6677,0.72
"audiology-std",3,"dropToValue",1024,0.01,"cone",0,1,0.6676,0.68
"audiology-std",16,"dropToValue",512,0.1,"cone",0,1,0.6645,0.72
"audiology-std",16,"dropToValue",1024,0.01,"cone",0,1,0.6581,0.6
"audiology-std",2,"dropToValue",1024,0.01,"rect",0,1,0.6548,0.76
"audiology-std",16,"dropToValue",256,0.1,"rect",0.05,1,0.6548,0.64
"audiology-std",16,"dropToValue",1024,0.01,"cone",0.05,1,0.6516,0.8
"audiology-std",8,"dropToValue",512,0.01,"cone",0.05,1,0.6484,0.76
"audiology-std",4,"dropToValue",1024,0.01,"cone",0.05,1,0.6484,0.84
"audiology-std",4,"dropToValue",512,0.1,"rect",0.05,1,0.6484,0.76
"audiology-std",3,"dropToValue",256,0.01,"rect",0,1,0.6471,0.56
"audiology-std",32,"dropToValue",256,0.01,"cone",0,1,0.6452,0.6
"audiology-std",16,"dropToValue",256,0.01,"cone",0,1,0.6452,0.6
"audiology-std",8,"dropToValue",512,0.01,"cone",0,1,0.6452,0.72
"audiology-std",8,"dropToValue",512,0.01,"rect",0,1,0.6452,0.72
"audiology-std",4,"dropToValue",512,0.01,"cone",0.05,1,0.6452,0.76
"audiology-std",4,"dropToValue",512,0.01,"rect",0,1,0.6452,0.68
"audiology-std",4,"dropToValue",1024,0.1,"cone",0.05,1,0.6452,0.76
"audiology-std",4,"dropToValue",256,0.1,"rect",0,1,0.6452,0.76
"audiology-std",4,"dropToValue",512,0.1,"rect",0,1,0.6452,0.76
