"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"balance-scale",16,"dropToValue",512,0.01,"rect",0.05,1,0.99397588968277,0.923076987266541
"balance-scale",4,"dropToValue",512,0.1,"cone",0,1,0.989156603813171,0.955128252506256
"balance-scale",16,"dropToValue",512,0.1,"cone",0,1,0.989156591892242,0.980769217014313
"balance-scale",8,"dropToValue",512,0.1,"cone",0.05,1,0.98795177936554,0.935897469520569
"balance-scale",32,"dropToValue",1024,0.01,"cone",0,1,0.987951755523682,0.980769276618958
"balance-scale",32,"dropToValue",256,0.01,"rect",0,1,0.987951755523682,0.967948734760284
"balance-scale",32,"dropToValue",512,0.01,"rect",0,1,0.987951755523682,0.967948734760284
"balance-scale",16,"dropToValue",1024,0.1,"cone",0,1,0.987951755523682,0.974358975887299
"balance-scale",4,"dropToValue",256,0.1,"cone",0,1,0.986746972799301,0.955128252506256
"balance-scale",8,"dropToValue",256,0.01,"cone",0,1,0.986746942996979,0.935897469520569
"balance-scale",4,"dropToValue",512,0.01,"cone",0.05,1,0.986746942996979,0.916666746139526
"balance-scale",4,"dropToValue",512,0.01,"cone",0,1,0.986746942996979,0.923076987266541
"balance-scale",8,"dropToValue",1024,0.01,"cone",0.05,1,0.986746937036514,0.923076987266541
"balance-scale",16,"dropToValue",1024,0.01,"rect",0,1,0.985542154312134,0.955128252506256
"balance-scale",4,"dropToValue",1024,0.1,"cone",0.05,1,0.985542130470276,0.903846144676208
"balance-scale",4,"dropToValue",1024,0.1,"cone",0,1,0.984337329864502,0.967948734760284
"balance-scale",4,"dropToValue",256,0.01,"rect",0,1,0.984337317943573,0.929487228393555
"balance-scale",8,"dropToValue",1024,0.01,"rect",0.05,1,0.984337311983108,0.948718011379242
"balance-scale",8,"dropToValue",512,0.1,"cone",0,1,0.984337306022644,0.96153849363327
"balance-scale",2,"dropToValue",256,0.1,"cone",0.05,1,0.98433730006218,0.929487228393555
"balance-scale",8,"dropToValue",256,0.1,"cone",0,1,0.983132511377335,0.916666686534882
"balance-scale",16,"dropToValue",1024,0.01,"cone",0,1,0.98313250541687,0.942307710647583
"balance-scale",4,"dropToValue",512,0.1,"cone",0.05,1,0.981927704811096,0.955128252506256
"balance-scale",2,"dropToValue",512,0.01,"rect",0,1,0.981927686929703,0.923076987266541
"balance-scale",16,"dropToValue",1024,0.01,"rect",0.05,1,0.981927669048309,0.935897469520569
"balance-scale",8,"dropToValue",256,0.01,"rect",0.05,1,0.981927663087845,0.916666746139526
"balance-scale",3,"dropToValue",256,0.1,"rect",0,1,0.981730777025223,0.967948734760284
"balance-scale",3,"dropToValue",256,0.1,"cone",0,1,0.980769258737564,0.96153849363327
"balance-scale",8,"dropToValue",256,0.01,"rect",0,1,0.980722868442535,0.948718011379242
"balance-scale",3,"dropToValue",1024,0.1,"cone",0,1,0.979807734489441,0.980769217014313
"balance-scale",2,"dropToValue",1024,0.1,"cone",0,1,0.979518067836761,0.942307710647583
"balance-scale",4,"dropToValue",256,0.1,"cone",0.05,1,0.979518043994903,0.948717951774597
"balance-scale",16,"dropToValue",512,0.01,"cone",0,1,0.978313255310059,0.929487228393555
"balance-scale",8,"dropToValue",1024,0.01,"cone",0,1,0.978313255310059,0.96153849363327
"balance-scale",8,"dropToValue",512,0.01,"rect",0,1,0.97831324338913,0.955128252506256
"balance-scale",2,"dropToValue",512,0.1,"cone",0.05,1,0.97831324338913,0.948718011379242
"balance-scale",4,"dropToValue",256,0.1,"rect",0.05,1,0.978313237428665,0.903846144676208
"balance-scale",8,"dropToValue",1024,0.1,"cone",0.05,1,0.978313231468201,0.948717951774597
"balance-scale",2,"dropToValue",1024,0.01,"rect",0.05,1,0.978313231468201,0.935897469520569
"balance-scale",3,"dropToValue",512,0.1,"cone",0,1,0.977884650230408,0.948718011379242
"balance-scale",3,"dropToValue",1024,0.1,"rect",0,1,0.977884608507156,0.974358975887299
"balance-scale",16,"dropToValue",256,0.01,"cone",0,1,0.977108430862427,0.929487228393555
