"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"bank",3,"dropToValue",512,0.01,"cone",0.05,1,0.916299575567246,0.89026552438736
"bank",3,"dropToValue",1024,0.01,"cone",0.05,1,0.913803243637085,0.894690275192261
"bank",3,"dropToValue",256,0.01,"cone",0,1,0.912628495693207,0.887610614299774
"bank",3,"dropToValue",256,0.01,"cone",0.05,1,0.91130690574646,0.895575284957886
"bank",3,"dropToValue",512,0.1,"cone",0,1,0.908957409858704,0.888495564460754
"bank",3,"dropToValue",1024,0.01,"cone",0,1,0.907342118024826,0.889380574226379
"bank",3,"dropToValue",256,0.01,"rect",0.05,1,0.907195335626602,0.892035365104675
"bank",3,"dropToValue",512,0.1,"cone",0.05,1,0.907048451900482,0.887610554695129
"bank",3,"dropToValue",256,0.1,"rect",0.05,1,0.905286353826523,0.896460235118866
"bank",3,"dropToValue",512,0.01,"rect",0.05,1,0.904992628097534,0.89115047454834
"bank",3,"dropToValue",512,0.01,"rect",0,1,0.904845798015595,0.884955763816833
"bank",3,"dropToValue",1024,0.1,"cone",0,1,0.904258418083191,0.886725664138794
"bank",3,"dropToValue",1024,0.1,"cone",0.05,1,0.903964757919312,0.888495564460754
"bank",3,"dropToValue",256,0.1,"cone",0.05,1,0.903671044111252,0.893805265426636
"bank",3,"dropToValue",512,1,"cone",0.05,1,0.903083717823029,0.884955704212189
"bank",3,"dropToValue",1024,1,"cone",0.05,1,0.903083717823029,0.884955704212189
"bank",3,"dropToValue",1024,1,"cone",0,1,0.9030837059021,0.884955763816833
"bank",3,"dropToValue",256,1,"rect",0,1,0.9030837059021,0.884955763816833
"bank",3,"dropToValue",512,1,"rect",0.05,1,0.903083699941635,0.884955763816833
"bank",3,"dropToValue",256,1,"rect",0.05,1,0.903083699941635,0.884955763816833
"bank",3,"dropToValue",1024,1,"rect",0.05,1,0.903083699941635,0.884955763816833
"bank",3,"dropToValue",512,1,"rect",0,1,0.903083693981171,0.884955763816833
"bank",3,"dropToValue",1024,1,"rect",0,1,0.903083693981171,0.884955763816833
"bank",3,"dropToValue",256,0.1,"cone",0,1,0.902936869859696,0.889380574226379
"bank",3,"dropToValue",1024,0.01,"rect",0.05,1,0.902643167972565,0.889380574226379
"bank",3,"dropToValue",256,0.01,"rect",0,1,0.901762098073959,0.892035305500031
"bank",3,"dropToValue",1024,0.01,"rect",0,1,0.901174700260162,0.890265464782715
"bank",3,"dropToValue",256,1,"cone",0.05,1,0.90058736205101,0.884955763816833
"bank",3,"dropToValue",256,0.1,"rect",0,1,0.899265784025192,0.89203542470932
"bank",3,"dropToValue",512,0.1,"rect",0.05,1,0.897944194078446,0.875221252441406
"bank",3,"dropToValue",512,0.01,"cone",0,1,0.895888394117355,0.887610673904419
"bank",3,"dropToValue",1024,0.1,"rect",0,1,0.893098372220993,0.8690265417099
"bank",3,"dropToValue",512,0.1,"rect",0,1,0.89295152425766,0.883185863494873
"bank",3,"dropToValue",1024,0.1,"rect",0.05,1,0.890455192327499,0.89115047454834
"bank",4,"dropToValue",256,0.01,"rect",0.05,1,0.886405968666077,0.897345066070557
"bank",2,"dropToValue",256,0.01,"rect",0,1,0.886305260658264,0.898230075836182
"bank",4,"dropToValue",256,0.01,"cone",0.05,1,0.885734635591507,0.884070873260498
"bank",2,"dropToValue",512,0.01,"cone",0.05,1,0.882881611585617,0.896460115909576
"bank",4,"dropToValue",256,0.01,"rect",0,1,0.882738953828812,0.893805325031281
