"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"blood",32,"dropToValue",1024,0.01,"rect",0.05,1,0.8891,0.7701
"blood",16,"dropToValue",256,0.01,"rect",0.05,1,0.888,0.7861
"blood",16,"dropToValue",512,0.01,"rect",0.05,1,0.887,0.8128
"blood",8,"dropToValue",256,0.01,"rect",0.05,1,0.8859,0.8075
"blood",4,"dropToValue",256,0.01,"rect",0.05,1,0.8815,0.8021
"blood",2,"dropToValue",256,0.01,"rect",0.05,1,0.8696,0.7914
"blood",4,"dropToValue",256,0.01,"cone",0.05,1,0.8689,0.7487
"blood",16,"dropToValue",1024,0.01,"rect",0.05,1,0.8685,0.7968
"blood",4,"dropToValue",512,0.01,"rect",0.05,1,0.8685,0.8021
"blood",8,"dropToValue",512,0.01,"rect",0.05,1,0.8652,0.8128
"blood",32,"dropToValue",512,0.01,"rect",0.05,1,0.8641,0.7433
"blood",2,"dropToValue",1024,0.01,"rect",0.05,1,0.8641,0.7754
"blood",8,"dropToValue",1024,0.01,"rect",0.05,1,0.863,0.8075
"blood",8,"dropToValue",256,0.1,"rect",0.05,1,0.863,0.7807
"blood",2,"dropToValue",512,0.01,"rect",0.05,1,0.863,0.7968
"blood",4,"dropToValue",256,0.1,"rect",0.05,1,0.8609,0.7701
"blood",4,"dropToValue",1024,0.01,"rect",0.05,1,0.8576,0.7647
"blood",32,"dropToValue",256,0.1,"rect",0.05,1,0.8543,0.738
"blood",2,"dropToValue",256,0.1,"rect",0.05,1,0.8543,0.7647
"blood",8,"dropToValue",512,0.01,"cone",0.05,1,0.8541,0.7861
"blood",16,"dropToValue",1024,0.01,"cone",0,1,0.8508,0.7647
"blood",4,"dropToValue",1024,0.01,"cone",0.05,1,0.8508,0.7754
"blood",8,"dropToValue",256,0.1,"cone",0.05,1,0.8492,0.7433
"blood",16,"dropToValue",512,0.01,"cone",0,1,0.8484,0.7701
"blood",4,"dropToValue",512,0.1,"cone",0.05,1,0.8475,0.7487
"blood",4,"dropToValue",1024,0.1,"cone",0.05,1,0.8475,0.738
"blood",8,"dropToValue",256,0.01,"cone",0.05,1,0.8459,0.7112
"blood",8,"dropToValue",256,0.01,"cone",0,1,0.8451,0.7433
"blood",4,"dropToValue",256,0.01,"cone",0,1,0.8451,0.7594
"blood",4,"dropToValue",256,0.1,"cone",0.05,1,0.8451,0.7594
"blood",2,"dropToValue",256,0.01,"cone",0.05,1,0.8451,0.7647
"blood",2,"dropToValue",512,0.1,"rect",0.05,1,0.8424,0.7701
"blood",16,"dropToValue",256,0.1,"cone",0.05,1,0.841,0.7326
"blood",8,"dropToValue",1024,0.1,"cone",0.05,1,0.841,0.7433
"blood",8,"dropToValue",512,0.1,"cone",0.05,1,0.8402,0.7326
"blood",2,"dropToValue",512,0.01,"cone",0,1,0.8393,0.7647
"blood",2,"dropToValue",1024,0.01,"cone",0.05,1,0.8393,0.7807
"blood",4,"dropToValue",512,0.01,"cone",0.05,1,0.8385,0.7594
"blood",2,"dropToValue",256,0.01,"rect",0,1,0.8385,0.7701
"blood",4,"dropToValue",512,0.01,"cone",0,1,0.8385,0.7701
"blood",2,"dropToValue",1024,0.01,"cone",0,1,0.8385,0.754
"blood",4,"dropToValue",256,0.01,"rect",0,1,0.8369,0.7594
"blood",32,"dropToValue",256,0.01,"cone",0,1,0.8369,0.7594
"blood",16,"dropToValue",512,0.1,"cone",0,1,0.8369,0.7647
"blood",8,"dropToValue",1024,0.01,"cone",0,1,0.8369,0.7219
"blood",8,"dropToValue",256,0.01,"rect",0,1,0.8369,0.7326
"blood",2,"dropToValue",1024,0.1,"cone",0.05,1,0.8361,0.7487
"blood",32,"dropToValue",1024,0.01,"cone",0,1,0.8344,0.7433
"blood",8,"dropToValue",512,0.1,"cone",0,1,0.8344,0.754
"blood",4,"dropToValue",512,0.1,"cone",0,1,0.8344,0.7701
"blood",16,"dropToValue",1024,0.1,"cone",0,1,0.8344,0.7701
"blood",16,"dropToValue",256,0.1,"cone",0,1,0.8344,0.7433
"blood",8,"dropToValue",512,0.01,"cone",0,1,0.8344,0.7594
"blood",4,"dropToValue",1024,0.1,"cone",0,1,0.8336,0.7433
"blood",2,"dropToValue",256,0.01,"cone",0,1,0.8336,0.7594
"blood",16,"dropToValue",256,0.01,"cone",0,1,0.8336,0.7487
"blood",8,"dropToValue",1024,0.01,"cone",0.05,1,0.8328,0.7166
"blood",4,"dropToValue",256,0.1,"cone",0,1,0.8328,0.7487
"blood",2,"dropToValue",512,0.01,"rect",0,1,0.8328,0.7594
"blood",32,"dropToValue",512,0.01,"cone",0,1,0.8328,0.7433
"blood",8,"dropToValue",1024,0.01,"rect",0,1,0.8311,0.7433
"blood",16,"dropToValue",512,0.01,"rect",0,1,0.8303,0.7433
"blood",2,"dropToValue",512,0.1,"cone",0.05,1,0.8303,0.7647
"blood",2,"dropToValue",1024,0.1,"cone",0,1,0.8303,0.7326
"blood",4,"dropToValue",512,0.01,"rect",0,1,0.8303,0.754
"blood",4,"dropToValue",1024,0.01,"cone",0,1,0.8295,0.7807
"blood",8,"dropToValue",512,0.01,"rect",0,1,0.8287,0.7594
"blood",32,"dropToValue",1024,0.1,"cone",0,1,0.8287,0.7326
"blood",4,"dropToValue",256,0.1,"rect",0,1,0.8287,0.754
"blood",16,"dropToValue",1024,0.01,"rect",0,1,0.8279,0.738
"blood",2,"dropToValue",256,0.1,"cone",0.05,1,0.8279,0.7701
"blood",8,"dropToValue",256,0.1,"cone",0,1,0.827,0.7647
"blood",2,"dropToValue",512,0.1,"cone",0,1,0.8254,0.754
"blood",2,"dropToValue",1024,0.1,"rect",0,1,0.8254,0.7326
"blood",32,"dropToValue",256,0.01,"rect",0.05,1,0.825,0.7487
"blood",2,"dropToValue",512,0.01,"cone",0.05,1,0.8246,0.7861
"blood",16,"dropToValue",256,0.01,"rect",0,1,0.8246,0.7594
"blood",2,"dropToValue",512,0.1,"rect",0,1,0.8246,0.7433
"blood",16,"dropToValue",1024,0.01,"cone",0.05,1,0.823,0.7005
"blood",16,"dropToValue",1024,0.1,"cone",0.05,1,0.8213,0.7005
"blood",32,"dropToValue",512,0.1,"cone",0,1,0.8205,0.7487
"blood",2,"dropToValue",256,0.1,"rect",0,1,0.8189,0.7487
"blood",32,"dropToValue",256,0.1,"cone",0,1,0.8189,0.7807
"blood",32,"dropToValue",1024,0.01,"rect",0,1,0.818,0.7433
"blood",32,"dropToValue",512,0.1,"rect",0.05,1,0.8152,0.7647
"blood",32,"dropToValue",1024,0.1,"rect",0.05,1,0.8152,0.7647
"blood",32,"dropToValue",256,1,"rect",0.05,1,0.8152,0.7647
"blood",32,"dropToValue",512,1,"rect",0.05,1,0.8152,0.7647
"blood",32,"dropToValue",1024,1,"rect",0.05,1,0.8152,0.7647
"blood",16,"dropToValue",256,0.1,"rect",0.05,1,0.8152,0.7647
"blood",16,"dropToValue",512,0.1,"rect",0.05,1,0.8152,0.7647
"blood",16,"dropToValue",1024,0.1,"rect",0.05,1,0.8152,0.7647
"blood",16,"dropToValue",256,1,"rect",0.05,1,0.8152,0.7647
"blood",16,"dropToValue",512,1,"rect",0.05,1,0.8152,0.7647
"blood",16,"dropToValue",1024,1,"rect",0.05,1,0.8152,0.7647
"blood",8,"dropToValue",512,0.1,"rect",0.05,1,0.8152,0.7647
"blood",8,"dropToValue",1024,0.1,"rect",0.05,1,0.8152,0.7647
"blood",8,"dropToValue",256,1,"rect",0.05,1,0.8152,0.7647
"blood",8,"dropToValue",512,1,"rect",0.05,1,0.8152,0.7647
"blood",8,"dropToValue",1024,1,"rect",0.05,1,0.8152,0.7647
"blood",4,"dropToValue",512,0.1,"rect",0.05,1,0.8152,0.7647
"blood",4,"dropToValue",1024,0.1,"rect",0.05,1,0.8152,0.7647
"blood",4,"dropToValue",256,1,"rect",0.05,1,0.8152,0.7647
"blood",4,"dropToValue",512,1,"rect",0.05,1,0.8152,0.7647
"blood",4,"dropToValue",1024,1,"rect",0.05,1,0.8152,0.7647
"blood",2,"dropToValue",256,1,"rect",0.05,1,0.8152,0.7647
"blood",2,"dropToValue",512,1,"rect",0.05,1,0.8152,0.7647
"blood",2,"dropToValue",1024,1,"rect",0.05,1,0.8152,0.7647
"blood",32,"dropToValue",512,0.01,"rect",0,1,0.8139,0.7487
"blood",32,"dropToValue",256,0.01,"rect",0,1,0.8123,0.6845
"blood",2,"dropToValue",256,0.1,"cone",0,1,0.8123,0.7701
"blood",16,"dropToValue",512,0.1,"cone",0.05,1,0.8107,0.6791
"blood",2,"dropToValue",1024,0.1,"rect",0.05,1,0.8098,0.7326
"blood",4,"dropToValue",1024,0.01,"rect",0,1,0.8082,0.7433
"blood",16,"dropToValue",512,0.01,"cone",0.05,1,0.8041,0.6471
"blood",16,"dropToValue",1024,1,"cone",0.05,1,0.8041,0.7647
"blood",2,"dropToValue",1024,0.01,"rect",0,1,0.7926,0.6631
"blood",32,"dropToValue",1024,0.01,"cone",0.05,1,0.7885,0.7701
"blood",16,"dropToValue",512,1,"cone",0.05,1,0.7861,0.7647
"blood",4,"dropToValue",1024,0.1,"rect",0,1,0.7795,0.7647
"blood",8,"dropToValue",1024,0.1,"rect",0,1,0.7787,0.7647
"blood",8,"dropToValue",256,1,"cone",0.05,1,0.7787,0.7647
"blood",4,"dropToValue",512,0.1,"rect",0,1,0.7787,0.7647
"blood",2,"dropToValue",1024,1,"cone",0.05,1,0.7787,0.7647
"blood",32,"dropToValue",256,0.1,"rect",0,1,0.7787,0.7647
"blood",32,"dropToValue",1024,1,"cone",0.05,1,0.7787,0.7647
"blood",32,"dropToValue",512,1,"cone",0,1,0.7787,0.7647
"blood",32,"dropToValue",512,1,"rect",0,1,0.7787,0.7647
"blood",16,"dropToValue",256,0.01,"cone",0.05,1,0.7787,0.7647
"blood",16,"dropToValue",512,0.1,"rect",0,1,0.7787,0.7647
"blood",8,"dropToValue",256,0.1,"rect",0,1,0.7787,0.7647
"blood",8,"dropToValue",256,1,"cone",0,1,0.7787,0.7647
"blood",8,"dropToValue",512,1,"rect",0,1,0.7787,0.7647
"blood",4,"dropToValue",512,1,"cone",0.05,1,0.7787,0.7647
"blood",4,"dropToValue",1024,1,"cone",0,1,0.7787,0.7647
"blood",4,"dropToValue",1024,1,"rect",0,1,0.7787,0.7647
"blood",32,"dropToValue",256,0.1,"cone",0.05,1,0.7787,0.7647
"blood",32,"dropToValue",1024,0.1,"cone",0.05,1,0.7787,0.7647
"blood",32,"dropToValue",512,0.1,"rect",0,1,0.7787,0.7647
