"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"breast-cancer-wisc-diag",16,"dropToValue",1024,0.1,"cone",0,1,0.988750010728836,0.978873252868652
"breast-cancer-wisc-diag",32,"dropToValue",512,0.01,"cone",0,1,0.987500011920929,0.95774644613266
"breast-cancer-wisc-diag",32,"dropToValue",256,0.01,"rect",0,1,0.987500011920929,0.978873193264008
"breast-cancer-wisc-diag",16,"dropToValue",256,0.01,"cone",0.05,1,0.987500011920929,0.978873252868652
"breast-cancer-wisc-diag",16,"dropToValue",256,0.01,"rect",0.05,1,0.987500011920929,0.98591548204422
"breast-cancer-wisc-diag",16,"dropToValue",1024,0.01,"cone",0,1,0.987500011920929,0.978873193264008
"breast-cancer-wisc-diag",8,"dropToValue",1024,0.01,"cone",0.05,1,0.987500011920929,0.985915422439575
"breast-cancer-wisc-diag",8,"dropToValue",256,0.01,"rect",0.05,1,0.987500011920929,0.985915422439575
"breast-cancer-wisc-diag",8,"dropToValue",1024,0.01,"rect",0.05,1,0.987500011920929,0.985915422439575
"breast-cancer-wisc-diag",4,"dropToValue",256,0.01,"cone",0.05,1,0.987500011920929,0.978873252868652
"breast-cancer-wisc-diag",4,"dropToValue",256,0.01,"rect",0.05,1,0.987500011920929,0.985915422439575
"breast-cancer-wisc-diag",4,"dropToValue",512,0.01,"rect",0.05,1,0.987500011920929,0.978873193264008
"breast-cancer-wisc-diag",4,"dropToValue",256,0.01,"cone",0,1,0.987500011920929,0.964788675308228
"breast-cancer-wisc-diag",4,"dropToValue",256,0.01,"rect",0,1,0.987500011920929,0.978873193264008
"breast-cancer-wisc-diag",4,"dropToValue",1024,0.01,"rect",0,1,0.987500011920929,0.985915422439575
"breast-cancer-wisc-diag",4,"dropToValue",256,0.1,"cone",0.05,1,0.987500011920929,0.97183096408844
"breast-cancer-wisc-diag",2,"dropToValue",1024,0.01,"cone",0,1,0.987500011920929,0.978873252868652
"breast-cancer-wisc-diag",16,"dropToValue",1024,0.01,"rect",0.05,1,0.986250013113022,0.985915422439575
"breast-cancer-wisc-diag",16,"dropToValue",1024,0.01,"cone",0.05,1,0.986250007152557,0.964788734912872
"breast-cancer-wisc-diag",16,"dropToValue",512,0.1,"cone",0.05,1,0.986250007152557,0.978873133659363
"breast-cancer-wisc-diag",8,"dropToValue",512,0.1,"cone",0,1,0.98500000834465,0.978873252868652
