"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"breast-cancer-wisc-prog",32,"dropToValue",1024,0.01,"rect",0,1,0.8591,0.6735
"breast-cancer-wisc-prog",2,"dropToValue",512,0.01,"cone",0.05,1,0.8364,0.6327
"breast-cancer-wisc-prog",4,"dropToValue",256,0.1,"cone",0.05,1,0.8318,0.6735
"breast-cancer-wisc-prog",3,"dropToValue",1024,0.01,"cone",0,1,0.8269,0.6939
"breast-cancer-wisc-prog",3,"dropToValue",1024,0.1,"cone",0.05,1,0.8192,0.6735
"breast-cancer-wisc-prog",8,"dropToValue",512,0.01,"cone",0.05,1,0.8182,0.6939
"breast-cancer-wisc-prog",2,"dropToValue",512,0.01,"cone",0,1,0.8182,0.6531
"breast-cancer-wisc-prog",4,"dropToValue",512,0.1,"cone",0.05,1,0.8182,0.7551
"breast-cancer-wisc-prog",3,"dropToValue",1024,0.1,"cone",0,1,0.8154,0.7959
"breast-cancer-wisc-prog",3,"dropToValue",1024,0.01,"cone",0.05,1,0.8154,0.7347
"breast-cancer-wisc-prog",16,"dropToValue",512,0.01,"cone",0,1,0.8136,0.7551
"breast-cancer-wisc-prog",3,"dropToValue",256,0.1,"cone",0.05,1,0.8115,0.7347
"breast-cancer-wisc-prog",2,"dropToValue",256,0.01,"rect",0,1,0.8045,0.7755
"breast-cancer-wisc-prog",32,"dropToValue",1024,0.01,"cone",0,1,0.8045,0.6939
"breast-cancer-wisc-prog",4,"dropToValue",256,0.01,"cone",0.05,1,0.8,0.7551
"breast-cancer-wisc-prog",8,"dropToValue",256,0.01,"rect",0.05,1,0.8,0.7755
"breast-cancer-wisc-prog",16,"dropToValue",512,0.1,"cone",0.05,1,0.7955,0.6327
"breast-cancer-wisc-prog",3,"dropToValue",512,0.1,"cone",0,1,0.7923,0.7551
"breast-cancer-wisc-prog",3,"dropToValue",256,0.1,"rect",0,1,0.7923,0.7347
"breast-cancer-wisc-prog",2,"dropToValue",256,0.01,"cone",0,1,0.7909,0.7551
"breast-cancer-wisc-prog",2,"dropToValue",256,0.01,"rect",0.05,1,0.7909,0.6939
"breast-cancer-wisc-prog",4,"dropToValue",256,0.01,"cone",0,1,0.7909,0.6939
"breast-cancer-wisc-prog",3,"dropToValue",256,0.01,"cone",0,1,0.7885,0.6531
"breast-cancer-wisc-prog",16,"dropToValue",1024,0.01,"rect",0.05,1,0.7864,0.7551
"breast-cancer-wisc-prog",4,"dropToValue",256,0.01,"rect",0.05,1,0.7864,0.7143
"breast-cancer-wisc-prog",16,"dropToValue",256,0.01,"cone",0,1,0.7818,0.7347
"breast-cancer-wisc-prog",32,"dropToValue",512,0.01,"cone",0,1,0.7818,0.7551
"breast-cancer-wisc-prog",16,"dropToValue",256,0.01,"rect",0.05,1,0.7818,0.7143
"breast-cancer-wisc-prog",8,"dropToValue",256,0.01,"cone",0.05,1,0.7818,0.6939
"breast-cancer-wisc-prog",3,"dropToValue",256,0.1,"cone",0,1,0.7769,0.6735
"breast-cancer-wisc-prog",3,"dropToValue",512,0.1,"cone",0.05,1,0.7769,0.7347
"breast-cancer-wisc-prog",3,"dropToValue",512,0.1,"rect",0,1,0.7731,0.7551
"breast-cancer-wisc-prog",16,"dropToValue",1024,0.01,"rect",0,1,0.7727,0.7143
"breast-cancer-wisc-prog",4,"dropToValue",1024,0.01,"cone",0.05,1,0.7727,0.7755
"breast-cancer-wisc-prog",8,"dropToValue",512,0.1,"cone",0.05,1,0.7727,0.6735
"breast-cancer-wisc-prog",32,"dropToValue",512,0.01,"rect",0,1,0.7727,0.6939
"breast-cancer-wisc-prog",2,"dropToValue",256,0.01,"cone",0.05,1,0.7727,0.6327
"breast-cancer-wisc-prog",3,"dropToValue",1024,0.01,"rect",0.05,1,0.7692,0.7143
"breast-cancer-wisc-prog",3,"dropToValue",256,0.1,"rect",0.05,1,0.7692,0.6531
"breast-cancer-wisc-prog",16,"dropToValue",512,0.01,"rect",0.05,1,0.7682,0.7143
"breast-cancer-wisc-prog",16,"dropToValue",1024,0.01,"cone",0.05,1,0.7682,0.7347
"breast-cancer-wisc-prog",2,"dropToValue",512,0.1,"cone",0.05,1,0.7636,0.7143
"breast-cancer-wisc-prog",4,"dropToValue",256,0.1,"cone",0,1,0.7636,0.7347
"breast-cancer-wisc-prog",2,"dropToValue",512,0.1,"cone",0,1,0.7636,0.6735
"breast-cancer-wisc-prog",3,"dropToValue",512,0.01,"cone",0.05,1,0.7615,0.6939
"breast-cancer-wisc-prog",3,"dropToValue",512,0.01,"rect",0.05,1,0.7615,0.5918
"breast-cancer-wisc-prog",3,"dropToValue",512,0.1,"rect",0.05,1,0.7615,0.6531
"breast-cancer-wisc-prog",2,"dropToValue",512,0.01,"rect",0,1,0.7591,0.7347
"breast-cancer-wisc-prog",8,"dropToValue",256,0.1,"rect",0.05,1,0.7591,0.7347
"breast-cancer-wisc-prog",16,"dropToValue",1024,0.1,"cone",0,1,0.7591,0.6939
"breast-cancer-wisc-prog",8,"dropToValue",256,0.1,"cone",0,1,0.7591,0.7551
"breast-cancer-wisc-prog",2,"dropToValue",1024,0.01,"cone",0,1,0.7591,0.7347
"breast-cancer-wisc-prog",2,"dropToValue",1024,0.1,"cone",0.05,1,0.7591,0.6735
"breast-cancer-wisc-prog",3,"dropToValue",256,0.01,"rect",0.05,1,0.7577,0.6735
"breast-cancer-wisc-prog",3,"dropToValue",512,0.01,"rect",0,1,0.7577,0.7143
"breast-cancer-wisc-prog",16,"dropToValue",1024,0.1,"cone",0.05,1,0.7545,0.6327
"breast-cancer-wisc-prog",4,"dropToValue",1024,0.01,"rect",0.05,1,0.7545,0.7347
"breast-cancer-wisc-prog",2,"dropToValue",256,0.1,"cone",0.05,1,0.7545,0.7959
"breast-cancer-wisc-prog",32,"dropToValue",256,0.1,"cone",0,1,0.7545,0.7755
"breast-cancer-wisc-prog",8,"dropToValue",256,1,"cone",0.05,1,0.7545,0.7143
"breast-cancer-wisc-prog",32,"dropToValue",256,0.01,"rect",0,1,0.7545,0.6531
"breast-cancer-wisc-prog",2,"dropToValue",1024,0.1,"cone",0,1,0.7545,0.7143
"breast-cancer-wisc-prog",8,"dropToValue",1024,0.01,"cone",0.05,1,0.7545,0.7143
"breast-cancer-wisc-prog",32,"dropToValue",256,0.01,"cone",0,1,0.7545,0.6531
"breast-cancer-wisc-prog",3,"dropToValue",512,0.01,"cone",0,1,0.7538,0.7143
"breast-cancer-wisc-prog",2,"dropToValue",256,0.1,"rect",0.05,1,0.75,0.6939
"breast-cancer-wisc-prog",4,"dropToValue",1024,0.01,"cone",0,1,0.75,0.7959
"breast-cancer-wisc-prog",2,"dropToValue",1024,0.01,"rect",0.05,1,0.75,0.7347
"breast-cancer-wisc-prog",8,"dropToValue",1024,0.01,"rect",0.05,1,0.75,0.6939
"breast-cancer-wisc-prog",2,"dropToValue",1024,0.01,"cone",0.05,1,0.7455,0.7551
"breast-cancer-wisc-prog",16,"dropToValue",1024,0.01,"cone",0,1,0.7455,0.7143
"breast-cancer-wisc-prog",16,"dropToValue",256,0.01,"rect",0,1,0.7455,0.6939
"breast-cancer-wisc-prog",4,"dropToValue",256,0.01,"rect",0,1,0.7455,0.7755
"breast-cancer-wisc-prog",4,"dropToValue",512,0.01,"rect",0.05,1,0.7409,0.6327
"breast-cancer-wisc-prog",8,"dropToValue",1024,0.1,"cone",0.05,1,0.7409,0.6531
"breast-cancer-wisc-prog",2,"dropToValue",256,0.1,"rect",0,1,0.7364,0.7959
"breast-cancer-wisc-prog",32,"dropToValue",1024,0.01,"cone",0.05,1,0.7364,0.7143
"breast-cancer-wisc-prog",8,"dropToValue",1024,0.1,"cone",0,1,0.7364,0.6735
"breast-cancer-wisc-prog",4,"dropToValue",1024,0.1,"cone",0,1,0.7364,0.6939
"breast-cancer-wisc-prog",4,"dropToValue",512,0.01,"rect",0,1,0.7364,0.6327
"breast-cancer-wisc-prog",2,"dropToValue",1024,0.1,"rect",0.05,1,0.7364,0.7551
"breast-cancer-wisc-prog",4,"dropToValue",1024,0.1,"cone",0.05,1,0.7364,0.6939
"breast-cancer-wisc-prog",2,"dropToValue",1024,0.1,"rect",0,1,0.7364,0.6327
"breast-cancer-wisc-prog",16,"dropToValue",256,0.1,"cone",0,1,0.7318,0.7347
"breast-cancer-wisc-prog",8,"dropToValue",256,0.1,"cone",0.05,1,0.7318,0.6939
"breast-cancer-wisc-prog",4,"dropToValue",512,0.1,"cone",0,1,0.7273,0.7347
"breast-cancer-wisc-prog",2,"dropToValue",512,0.1,"rect",0,1,0.7273,0.7143
"breast-cancer-wisc-prog",32,"dropToValue",256,0.01,"cone",0.05,1,0.7273,0.7755
"breast-cancer-wisc-prog",32,"dropToValue",512,0.01,"cone",0.05,1,0.7273,0.7755
"breast-cancer-wisc-prog",32,"dropToValue",256,0.1,"cone",0.05,1,0.7273,0.7755
"breast-cancer-wisc-prog",32,"dropToValue",512,0.1,"cone",0.05,1,0.7273,0.7755
"breast-cancer-wisc-prog",32,"dropToValue",1024,0.1,"cone",0.05,1,0.7273,0.7755
"breast-cancer-wisc-prog",32,"dropToValue",256,0.1,"rect",0.05,1,0.7273,0.7755
"breast-cancer-wisc-prog",32,"dropToValue",512,0.1,"rect",0.05,1,0.7273,0.7755
"breast-cancer-wisc-prog",32,"dropToValue",1024,0.1,"rect",0.05,1,0.7273,0.7755
"breast-cancer-wisc-prog",32,"dropToValue",512,0.1,"cone",0,1,0.7273,0.7755
"breast-cancer-wisc-prog",32,"dropToValue",256,0.1,"rect",0,1,0.7273,0.7755
"breast-cancer-wisc-prog",32,"dropToValue",512,0.1,"rect",0,1,0.7273,0.7755
"breast-cancer-wisc-prog",32,"dropToValue",1024,0.1,"rect",0,1,0.7273,0.7755
