"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"breast-cancer-wisc",3,"dropToValue",256,0.01,"rect",0.05,1,0.990099000930786,0.971428573131561
"breast-cancer-wisc",3,"dropToValue",256,0.01,"cone",0,1,0.990098977088928,0.982857167720795
"breast-cancer-wisc",3,"dropToValue",1024,0.01,"cone",0,1,0.989108890295029,0.977142870426178
"breast-cancer-wisc",3,"dropToValue",1024,0.01,"cone",0.05,1,0.989108860492706,0.977142870426178
"breast-cancer-wisc",3,"dropToValue",1024,0.1,"cone",0,1,0.985148477554321,0.977142870426178
"breast-cancer-wisc",3,"dropToValue",512,0.01,"rect",0.05,1,0.985148465633393,0.988571465015411
"breast-cancer-wisc",3,"dropToValue",1024,0.1,"cone",0.05,1,0.984158384799958,0.977142870426178
"breast-cancer-wisc",3,"dropToValue",256,0.1,"cone",0.05,1,0.983168250322342,0.982857167720795
"breast-cancer-wisc",8,"dropToValue",256,0.01,"cone",0,1,0.98305094242096,0.977142870426178
"breast-cancer-wisc",4,"dropToValue",256,0.01,"cone",0.05,1,0.98305094242096,0.982857167720795
"breast-cancer-wisc",3,"dropToValue",1024,0.01,"rect",0.05,1,0.982178175449371,0.982857167720795
"breast-cancer-wisc",3,"dropToValue",512,0.01,"rect",0,1,0.982178175449371,0.988571465015411
"breast-cancer-wisc",3,"dropToValue",512,0.1,"cone",0,1,0.982178175449371,0.977142870426178
"breast-cancer-wisc",3,"dropToValue",256,0.01,"cone",0.05,1,0.980197983980179,0.977142870426178
"breast-cancer-wisc",3,"dropToValue",256,0.01,"rect",0,1,0.980197983980179,0.982857167720795
"breast-cancer-wisc",3,"dropToValue",512,0.01,"cone",0.05,1,0.980197966098786,0.977142870426178
"breast-cancer-wisc",3,"dropToValue",512,0.1,"cone",0.05,1,0.979207861423492,0.988571465015411
"breast-cancer-wisc",8,"dropToValue",256,0.01,"rect",0,1,0.978813648223877,0.988571465015411
"breast-cancer-wisc",32,"dropToValue",512,0.1,"cone",0.05,1,0.978813636302948,0.977142870426178
"breast-cancer-wisc",2,"dropToValue",256,0.01,"cone",0,1,0.977966189384461,0.977142870426178
"breast-cancer-wisc",32,"dropToValue",256,0.1,"rect",0.05,1,0.976271271705628,0.971428573131561
"breast-cancer-wisc",2,"dropToValue",256,0.01,"rect",0,1,0.976271271705628,0.971428573131561
"breast-cancer-wisc",8,"dropToValue",256,0.1,"cone",0,1,0.975423812866211,0.971428573131561
"breast-cancer-wisc",3,"dropToValue",256,0.1,"cone",0,1,0.975247490406037,0.977142870426178
"breast-cancer-wisc",3,"dropToValue",512,0.01,"cone",0,1,0.975247436761856,0.982857167720795
"breast-cancer-wisc",32,"dropToValue",256,0.01,"rect",0.05,1,0.974576354026795,0.971428573131561
"breast-cancer-wisc",32,"dropToValue",1024,0.01,"rect",0.05,1,0.974576354026795,0.971428573131561
"breast-cancer-wisc",32,"dropToValue",256,0.01,"cone",0,1,0.974576354026795,0.965714275836945
"breast-cancer-wisc",32,"dropToValue",512,0.01,"cone",0,1,0.974576354026795,0.971428573131561
"breast-cancer-wisc",32,"dropToValue",1024,0.01,"rect",0,1,0.974576354026795,0.971428573131561
"breast-cancer-wisc",16,"dropToValue",512,0.01,"rect",0.05,1,0.974576354026795,0.977142870426178
"breast-cancer-wisc",16,"dropToValue",1024,0.01,"rect",0.05,1,0.974576354026795,0.988571465015411
"breast-cancer-wisc",16,"dropToValue",256,0.01,"cone",0,1,0.974576354026795,0.965714275836945
"breast-cancer-wisc",16,"dropToValue",512,0.01,"cone",0,1,0.974576354026795,0.965714275836945
"breast-cancer-wisc",16,"dropToValue",1024,0.01,"cone",0,1,0.974576354026795,0.971428573131561
"breast-cancer-wisc",16,"dropToValue",256,0.01,"rect",0,1,0.974576354026795,0.982857167720795
"breast-cancer-wisc",16,"dropToValue",512,0.1,"cone",0.05,1,0.974576354026795,0.971428573131561
"breast-cancer-wisc",16,"dropToValue",256,0.1,"rect",0.05,1,0.974576354026795,0.982857167720795
"breast-cancer-wisc",8,"dropToValue",1024,0.01,"cone",0.05,1,0.974576354026795,0.977142870426178
"breast-cancer-wisc",8,"dropToValue",256,0.01,"rect",0.05,1,0.974576354026795,0.988571465015411
"breast-cancer-wisc",8,"dropToValue",512,0.01,"rect",0.05,1,0.974576354026795,0.982857167720795
"breast-cancer-wisc",8,"dropToValue",1024,0.01,"rect",0.05,1,0.974576354026795,0.982857167720795
"breast-cancer-wisc",8,"dropToValue",512,0.01,"cone",0,1,0.974576354026795,0.971428573131561
"breast-cancer-wisc",8,"dropToValue",1024,0.01,"cone",0,1,0.974576354026795,0.971428573131561
"breast-cancer-wisc",8,"dropToValue",512,0.01,"rect",0,1,0.974576354026795,0.982857167720795
"breast-cancer-wisc",8,"dropToValue",1024,0.01,"rect",0,1,0.974576354026795,0.982857167720795
"breast-cancer-wisc",8,"dropToValue",256,0.1,"cone",0.05,1,0.974576354026795,0.971428573131561
"breast-cancer-wisc",8,"dropToValue",512,0.1,"cone",0.05,1,0.974576354026795,0.971428573131561
"breast-cancer-wisc",8,"dropToValue",1024,0.1,"cone",0.05,1,0.974576354026795,0.977142870426178
"breast-cancer-wisc",8,"dropToValue",256,0.1,"rect",0.05,1,0.974576354026795,0.982857167720795
"breast-cancer-wisc",8,"dropToValue",1024,0.1,"cone",0,1,0.974576354026795,0.977142870426178
"breast-cancer-wisc",4,"dropToValue",512,0.01,"cone",0.05,1,0.974576354026795,0.982857167720795
"breast-cancer-wisc",4,"dropToValue",1024,0.01,"cone",0.05,1,0.974576354026795,0.977142870426178
"breast-cancer-wisc",4,"dropToValue",256,0.01,"rect",0.05,1,0.974576354026795,0.977142870426178
"breast-cancer-wisc",4,"dropToValue",512,0.01,"rect",0.05,1,0.974576354026795,0.982857167720795
"breast-cancer-wisc",4,"dropToValue",1024,0.01,"rect",0.05,1,0.974576354026795,0.988571465015411
"breast-cancer-wisc",4,"dropToValue",256,0.01,"cone",0,1,0.974576354026795,0.982857167720795
"breast-cancer-wisc",4,"dropToValue",512,0.01,"cone",0,1,0.974576354026795,0.971428573131561
