"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"breast-cancer",2,"dropToValue",256,0.01,"rect",0,1,0.8765,0.7183
"breast-cancer",8,"dropToValue",512,0.1,"cone",0.05,1,0.8735,0.7183
"breast-cancer",16,"dropToValue",1024,0.01,"cone",0.05,1,0.8676,0.7042
"breast-cancer",4,"dropToValue",256,0.01,"cone",0.05,1,0.8676,0.6761
"breast-cancer",8,"dropToValue",1024,0.1,"cone",0.05,1,0.8647,0.6901
"breast-cancer",16,"dropToValue",256,0.01,"cone",0,1,0.8618,0.7183
"breast-cancer",16,"dropToValue",1024,0.1,"cone",0,1,0.8618,0.662
"breast-cancer",16,"dropToValue",512,0.01,"cone",0.05,1,0.8529,0.7042
"breast-cancer",16,"dropToValue",256,0.1,"cone",0,1,0.8529,0.6479
"breast-cancer",2,"dropToValue",512,0.01,"cone",0.05,1,0.8412,0.6761
"breast-cancer",8,"dropToValue",256,0.1,"cone",0.05,1,0.8412,0.662
"breast-cancer",8,"dropToValue",256,0.01,"cone",0.05,1,0.8382,0.6901
"breast-cancer",8,"dropToValue",256,0.01,"cone",0,1,0.8382,0.6761
"breast-cancer",4,"dropToValue",1024,0.01,"cone",0.05,1,0.8382,0.6901
"breast-cancer",4,"dropToValue",512,0.1,"cone",0.05,1,0.8382,0.6761
"breast-cancer",4,"dropToValue",512,0.01,"cone",0,1,0.8353,0.662
"breast-cancer",2,"dropToValue",1024,0.01,"cone",0,1,0.8353,0.6338
"breast-cancer",32,"dropToValue",256,0.01,"cone",0,1,0.8353,0.7465
"breast-cancer",32,"dropToValue",256,0.1,"rect",0.05,1,0.8333,0.7042
"breast-cancer",32,"dropToValue",512,0.1,"rect",0.05,1,0.8333,0.7042
"breast-cancer",32,"dropToValue",1024,0.1,"rect",0.05,1,0.8333,0.7042
"breast-cancer",32,"dropToValue",256,1,"rect",0.05,1,0.8333,0.7042
"breast-cancer",32,"dropToValue",512,1,"rect",0.05,1,0.8333,0.7042
"breast-cancer",32,"dropToValue",1024,1,"rect",0.05,1,0.8333,0.7042
