"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"breast-tissue",3,"dropToValue",1024,0.01,"cone",0.05,1,0.7529,0.7308
"breast-tissue",3,"dropToValue",256,0.01,"cone",0,1,0.7529,0.7308
"breast-tissue",3,"dropToValue",512,0.1,"rect",0,1,0.7235,0.7692
"breast-tissue",3,"dropToValue",512,0.01,"rect",0,1,0.7176,0.7308
"breast-tissue",3,"dropToValue",256,0.01,"rect",0.05,1,0.7,0.7692
"breast-tissue",3,"dropToValue",1024,0.01,"cone",0,1,0.6941,0.7308
"breast-tissue",3,"dropToValue",256,0.1,"rect",0,1,0.6941,0.6923
"breast-tissue",3,"dropToValue",256,0.1,"cone",0,1,0.6824,0.6923
"breast-tissue",3,"dropToValue",1024,0.1,"cone",0,1,0.6824,0.7308
"breast-tissue",3,"dropToValue",512,0.01,"rect",0.05,1,0.6765,0.6923
"breast-tissue",3,"dropToValue",256,0.01,"rect",0,1,0.6706,0.7692
"breast-tissue",3,"dropToValue",256,0.1,"cone",0.05,1,0.6647,0.7692
"breast-tissue",3,"dropToValue",512,0.1,"cone",0,1,0.6647,0.6923
"breast-tissue",3,"dropToValue",512,0.01,"cone",0.05,1,0.6529,0.6923
"breast-tissue",3,"dropToValue",512,0.1,"cone",0.05,1,0.6529,0.7308
"breast-tissue",3,"dropToValue",512,0.01,"cone",0,1,0.6471,0.7308
"breast-tissue",3,"dropToValue",1024,0.01,"rect",0,1,0.6471,0.7308
"breast-tissue",3,"dropToValue",1024,0.01,"rect",0.05,1,0.6412,0.6538
"breast-tissue",3,"dropToValue",1024,0.1,"cone",0.05,1,0.6176,0.7308
"breast-tissue",3,"dropToValue",256,0.01,"cone",0.05,1,0.5941,0.6538
"breast-tissue",3,"dropToValue",256,0.1,"rect",0.05,1,0.5824,0.6923
"breast-tissue",3,"dropToValue",512,0.1,"rect",0.05,1,0.5529,0.6923
"breast-tissue",8,"dropToValue",1024,0.01,"cone",0,1,0.5438,0.7692
"breast-tissue",16,"dropToValue",1024,0.01,"rect",0,1,0.5375,0.6538
"breast-tissue",32,"dropToValue",1024,0.01,"rect",0.05,1,0.5,0.6154
"breast-tissue",16,"dropToValue",1024,0.01,"rect",0.05,1,0.5,0.6538
"breast-tissue",16,"dropToValue",256,0.01,"rect",0,1,0.5,0.6923
"breast-tissue",8,"dropToValue",256,0.01,"rect",0,1,0.5,0.7308
"breast-tissue",8,"dropToValue",1024,0.01,"rect",0,1,0.4875,0.7308
"breast-tissue",4,"dropToValue",1024,0.01,"rect",0,1,0.4875,0.7308
"breast-tissue",4,"dropToValue",256,0.1,"cone",0.05,1,0.475,0.7308
"breast-tissue",16,"dropToValue",512,0.01,"cone",0,1,0.4688,0.6538
"breast-tissue",2,"dropToValue",512,0.1,"rect",0.05,1,0.4688,0.6154
"breast-tissue",32,"dropToValue",256,0.01,"cone",0,1,0.4625,0.6538
"breast-tissue",16,"dropToValue",512,0.01,"rect",0,1,0.4625,0.6154
"breast-tissue",8,"dropToValue",1024,0.01,"rect",0.05,1,0.4625,0.7308
"breast-tissue",4,"dropToValue",1024,0.1,"cone",0,1,0.4625,0.6538
"breast-tissue",2,"dropToValue",512,0.1,"rect",0,1,0.4562,0.6923
"breast-tissue",4,"dropToValue",512,0.01,"rect",0,1,0.45,0.6923
"breast-tissue",2,"dropToValue",1024,0.1,"rect",0,1,0.45,0.4615
"breast-tissue",8,"dropToValue",512,0.01,"rect",0,1,0.4438,0.6923
"breast-tissue",8,"dropToValue",1024,0.1,"cone",0,1,0.4438,0.5769
"breast-tissue",16,"dropToValue",512,0.01,"rect",0.05,1,0.4375,0.6923
"breast-tissue",8,"dropToValue",512,0.01,"rect",0.05,1,0.4375,0.6923
"breast-tissue",2,"dropToValue",1024,0.01,"cone",0,1,0.4375,0.7308
"breast-tissue",32,"dropToValue",512,0.01,"rect",0.05,1,0.4312,0.6154
"breast-tissue",4,"dropToValue",1024,0.01,"rect",0.05,1,0.4312,0.7692
"breast-tissue",4,"dropToValue",256,0.1,"cone",0,1,0.4312,0.6154
"breast-tissue",2,"dropToValue",512,0.1,"cone",0,1,0.4312,0.7308
"breast-tissue",4,"dropToValue",512,0.1,"cone",0.05,1,0.425,0.6923
"breast-tissue",2,"dropToValue",1024,0.1,"cone",0.05,1,0.425,0.6538
"breast-tissue",8,"dropToValue",256,0.1,"cone",0.05,1,0.4188,0.7308
"breast-tissue",32,"dropToValue",256,0.01,"rect",0,1,0.4125,0.5385
"breast-tissue",2,"dropToValue",1024,0.1,"rect",0.05,1,0.4125,0.5769
"breast-tissue",16,"dropToValue",1024,0.01,"cone",0,1,0.4062,0.7308
"breast-tissue",4,"dropToValue",1024,0.01,"cone",0,1,0.4062,0.7308
"breast-tissue",4,"dropToValue",1024,0.1,"cone",0.05,1,0.4062,0.6538
"breast-tissue",2,"dropToValue",512,0.01,"rect",0,1,0.4062,0.7308
"breast-tissue",2,"dropToValue",256,0.1,"rect",0.05,1,0.4062,0.6538
"breast-tissue",32,"dropToValue",1024,0.01,"cone",0.05,1,0.4,0.3462
"breast-tissue",32,"dropToValue",512,0.01,"rect",0,1,0.4,0.2692
"breast-tissue",8,"dropToValue",512,0.01,"cone",0.05,1,0.4,0.6923
"breast-tissue",4,"dropToValue",256,0.1,"rect",0.05,1,0.4,0.6923
"breast-tissue",2,"dropToValue",1024,0.01,"rect",0.05,1,0.4,0.8077
"breast-tissue",2,"dropToValue",512,0.1,"cone",0.05,1,0.4,0.7692
"breast-tissue",2,"dropToValue",256,0.1,"rect",0,1,0.4,0.5769
"breast-tissue",8,"dropToValue",256,0.01,"rect",0.05,1,0.3938,0.7308
"breast-tissue",2,"dropToValue",1024,0.01,"rect",0,1,0.3938,0.6154
"breast-tissue",2,"dropToValue",256,0.1,"cone",0.05,1,0.3938,0.7308
"breast-tissue",16,"dropToValue",256,0.01,"cone",0,1,0.3875,0.6154
"breast-tissue",8,"dropToValue",512,0.1,"cone",0,1,0.3875,0.7308
"breast-tissue",4,"dropToValue",512,0.1,"cone",0,1,0.3875,0.6538
"breast-tissue",2,"dropToValue",1024,0.1,"cone",0,1,0.3875,0.6154
"breast-tissue",16,"dropToValue",512,0.1,"cone",0,1,0.3812,0.5769
"breast-tissue",8,"dropToValue",256,0.01,"cone",0.05,1,0.3812,0.5385
"breast-tissue",8,"dropToValue",1024,0.1,"cone",0.05,1,0.3812,0.6538
"breast-tissue",2,"dropToValue",256,0.1,"cone",0,1,0.3812,0.6923
"breast-tissue",32,"dropToValue",512,0.1,"cone",0.05,1,0.375,0.4615
"breast-tissue",16,"dropToValue",1024,0.1,"cone",0,1,0.375,0.5385
"breast-tissue",8,"dropToValue",256,0.1,"cone",0,1,0.375,0.6154
"breast-tissue",4,"dropToValue",256,0.01,"rect",0.05,1,0.3688,0.8077
"breast-tissue",4,"dropToValue",256,0.01,"rect",0,1,0.3688,0.8077
"breast-tissue",16,"dropToValue",256,0.01,"rect",0.05,1,0.3625,0.6923
"breast-tissue",4,"dropToValue",1024,0.01,"cone",0.05,1,0.3625,0.6923
"breast-tissue",2,"dropToValue",1024,0.01,"cone",0.05,1,0.3625,0.7308
"breast-tissue",16,"dropToValue",1024,0.01,"cone",0.05,1,0.3562,0.5769
"breast-tissue",16,"dropToValue",512,0.01,"cone",0.05,1,0.3562,0.6154
"breast-tissue",2,"dropToValue",256,0.01,"rect",0,1,0.3562,0.6923
"breast-tissue",32,"dropToValue",1024,0.01,"rect",0,1,0.35,0.3462
"breast-tissue",16,"dropToValue",512,0.1,"cone",0.05,1,0.35,0.6154
"breast-tissue",8,"dropToValue",256,0.01,"cone",0,1,0.35,0.6538
"breast-tissue",2,"dropToValue",512,0.01,"rect",0.05,1,0.35,0.7308
"breast-tissue",8,"dropToValue",512,0.1,"cone",0.05,1,0.3438,0.6154
"breast-tissue",4,"dropToValue",512,0.01,"cone",0.05,1,0.3438,0.7308
"breast-tissue",4,"dropToValue",256,0.01,"cone",0,1,0.3438,0.6923
"breast-tissue",8,"dropToValue",1024,0.01,"cone",0.05,1,0.3375,0.6923
"breast-tissue",32,"dropToValue",512,0.01,"cone",0,1,0.3312,0.6538
"breast-tissue",16,"dropToValue",256,0.1,"cone",0.05,1,0.3312,0.5769
"breast-tissue",2,"dropToValue",256,0.01,"rect",0.05,1,0.3312,0.7692
"breast-tissue",16,"dropToValue",1024,0.1,"cone",0.05,1,0.325,0.6538
"breast-tissue",8,"dropToValue",512,0.01,"cone",0,1,0.325,0.7308
"breast-tissue",4,"dropToValue",512,0.01,"rect",0.05,1,0.325,0.6538
"breast-tissue",32,"dropToValue",256,0.01,"rect",0.05,1,0.3188,0.3846
"breast-tissue",4,"dropToValue",512,0.01,"cone",0,1,0.3188,0.6538
"breast-tissue",2,"dropToValue",256,0.01,"cone",0.05,1,0.3125,0.6923
"breast-tissue",32,"dropToValue",256,0.1,"cone",0.05,1,0.2938,0.3846
"breast-tissue",16,"dropToValue",256,0.1,"cone",0,1,0.2938,0.3462
"breast-tissue",2,"dropToValue",512,0.01,"cone",0,1,0.2938,0.6923
"breast-tissue",16,"dropToValue",256,0.01,"cone",0.05,1,0.2875,0.5
"breast-tissue",4,"dropToValue",256,0.01,"cone",0.05,1,0.2875,0.6923
"breast-tissue",2,"dropToValue",512,0.01,"cone",0.05,1,0.2875,0.6538
"breast-tissue",2,"dropToValue",256,0.01,"cone",0,1,0.275,0.6923
"breast-tissue",8,"dropToValue",256,0.1,"rect",0.05,1,0.2625,0.1923
"breast-tissue",4,"dropToValue",512,0.1,"rect",0,1,0.2625,0.1923
"breast-tissue",4,"dropToValue",256,1,"cone",0,1,0.2625,0.1923
"breast-tissue",32,"dropToValue",256,0.1,"rect",0.05,1,0.2562,0.1923
"breast-tissue",32,"dropToValue",512,0.1,"cone",0,1,0.2562,0.1923
"breast-tissue",16,"dropToValue",256,0.1,"rect",0.05,1,0.2562,0.1923
"breast-tissue",16,"dropToValue",512,0.1,"rect",0.05,1,0.2562,0.1923
"breast-tissue",16,"dropToValue",256,1,"cone",0.05,1,0.2562,0.1923
"breast-tissue",4,"dropToValue",1024,0.1,"rect",0,1,0.2562,0.1923
"breast-tissue",2,"dropToValue",256,1,"rect",0,1,0.2562,0.1923
"breast-tissue",32,"dropToValue",512,0.1,"rect",0.05,1,0.25,0.1923
"breast-tissue",32,"dropToValue",1024,0.1,"rect",0.05,1,0.25,0.1923
"breast-tissue",32,"dropToValue",1024,0.1,"cone",0,1,0.25,0.1923
"breast-tissue",32,"dropToValue",256,0.1,"rect",0,1,0.25,0.1923
"breast-tissue",32,"dropToValue",512,0.1,"rect",0,1,0.25,0.1923
"breast-tissue",32,"dropToValue",1024,0.1,"rect",0,1,0.25,0.1923
"breast-tissue",32,"dropToValue",256,1,"cone",0.05,1,0.25,0.1923
"breast-tissue",32,"dropToValue",512,1,"cone",0.05,1,0.25,0.1923
"breast-tissue",32,"dropToValue",1024,1,"cone",0.05,1,0.25,0.1923
"breast-tissue",32,"dropToValue",256,1,"rect",0.05,1,0.25,0.1923
"breast-tissue",32,"dropToValue",512,1,"rect",0.05,1,0.25,0.1923
"breast-tissue",32,"dropToValue",1024,1,"rect",0.05,1,0.25,0.1923
"breast-tissue",32,"dropToValue",256,1,"cone",0,1,0.25,0.1923
"breast-tissue",32,"dropToValue",512,1,"cone",0,1,0.25,0.1923
"breast-tissue",32,"dropToValue",1024,1,"cone",0,1,0.25,0.1923
"breast-tissue",32,"dropToValue",256,1,"rect",0,1,0.25,0.1923
"breast-tissue",32,"dropToValue",512,1,"rect",0,1,0.25,0.1923
"breast-tissue",32,"dropToValue",1024,1,"rect",0,1,0.25,0.1923
"breast-tissue",16,"dropToValue",1024,0.1,"rect",0.05,1,0.25,0.1923
"breast-tissue",16,"dropToValue",256,0.1,"rect",0,1,0.25,0.1923
"breast-tissue",16,"dropToValue",512,0.1,"rect",0,1,0.25,0.1923
"breast-tissue",16,"dropToValue",1024,0.1,"rect",0,1,0.25,0.1923
"breast-tissue",16,"dropToValue",512,1,"cone",0.05,1,0.25,0.1923
"breast-tissue",16,"dropToValue",1024,1,"cone",0.05,1,0.25,0.1923
"breast-tissue",16,"dropToValue",256,1,"rect",0.05,1,0.25,0.1923
