"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"car",4,"dropToValue",512,0.1,"rect",0,1,0.9889,0.9838
"car",4,"dropToValue",256,0.1,"rect",0,1,0.9885,0.9838
"car",8,"dropToValue",512,0.1,"cone",0,1,0.9885,0.9815
"car",4,"dropToValue",1024,0.1,"rect",0,1,0.9874,0.9838
"car",2,"dropToValue",1024,0.1,"cone",0,1,0.9856,0.9815
"car",2,"dropToValue",256,0.1,"rect",0,1,0.9856,0.9815
"car",16,"dropToValue",512,0.1,"cone",0,1,0.9852,0.9884
"car",16,"dropToValue",512,0.01,"rect",0,1,0.9852,0.9815
"car",8,"dropToValue",1024,0.01,"rect",0,1,0.9852,0.9861
"car",4,"dropToValue",256,0.1,"cone",0,1,0.9852,0.9838
"car",8,"dropToValue",256,0.1,"cone",0,1,0.9848,0.9861
"car",8,"dropToValue",512,0.01,"rect",0,1,0.9844,0.9792
"car",16,"dropToValue",256,0.01,"rect",0,1,0.9841,0.9769
"car",8,"dropToValue",1024,0.1,"cone",0,1,0.9841,0.9884
"car",4,"dropToValue",1024,0.01,"cone",0,1,0.9841,0.9676
"car",4,"dropToValue",1024,0.01,"rect",0,1,0.9837,0.9792
"car",2,"dropToValue",512,0.1,"rect",0,1,0.983,0.9815
"car",16,"dropToValue",1024,0.01,"rect",0,1,0.9826,0.9815
"car",8,"dropToValue",1024,0.01,"cone",0,1,0.9822,0.9769
"car",8,"dropToValue",512,0.01,"cone",0,1,0.9819,0.9676
"car",16,"dropToValue",256,0.1,"cone",0,1,0.9815,0.956
"car",2,"dropToValue",256,0.1,"cone",0,1,0.9815,0.9792
"car",8,"dropToValue",256,0.01,"cone",0,1,0.9811,0.9815
"car",4,"dropToValue",512,0.1,"cone",0,1,0.9811,0.9884
"car",2,"dropToValue",512,0.1,"cone",0,1,0.9811,0.9861
"car",4,"dropToValue",512,0.01,"rect",0,1,0.9807,0.9838
"car",2,"dropToValue",1024,0.1,"rect",0,1,0.9807,0.9769
"car",32,"dropToValue",1024,0.01,"rect",0,1,0.9804,0.9815
"car",4,"dropToValue",512,0.01,"cone",0,1,0.98,0.9745
"car",2,"dropToValue",1024,0.01,"rect",0,1,0.9785,0.9676
"car",32,"dropToValue",256,0.01,"rect",0,1,0.9778,0.9722
"car",3,"dropToValue",512,0.1,"cone",0,1,0.9777,0.9838
"car",16,"dropToValue",1024,0.1,"cone",0,1,0.9774,0.9792
"car",4,"dropToValue",1024,0.1,"cone",0,1,0.977,0.9838
"car",4,"dropToValue",512,0.1,"cone",0.05,1,0.9767,0.9861
"car",4,"dropToValue",1024,0.1,"cone",0.05,1,0.9767,0.9838
"car",2,"dropToValue",512,0.1,"cone",0.05,1,0.9759,0.9861
"car",8,"dropToValue",256,0.01,"rect",0,1,0.9756,0.9722
"car",8,"dropToValue",256,0.1,"cone",0.05,1,0.9756,0.9699
"car",2,"dropToValue",1024,0.1,"cone",0.05,1,0.9756,0.9745
"car",16,"dropToValue",1024,0.01,"cone",0,1,0.9752,0.9745
"car",32,"dropToValue",512,0.01,"cone",0,1,0.9744,0.9884
"car",4,"dropToValue",256,0.1,"cone",0.05,1,0.9744,0.9699
"car",3,"dropToValue",1024,0.1,"rect",0,1,0.9744,0.9861
"car",3,"dropToValue",256,0.1,"rect",0,1,0.9731,0.9815
"car",16,"dropToValue",256,0.01,"cone",0,1,0.9722,0.9769
"car",2,"dropToValue",256,0.1,"cone",0.05,1,0.9722,0.9653
"car",3,"dropToValue",512,0.1,"rect",0,1,0.9715,0.9838
"car",3,"dropToValue",1024,0.1,"cone",0,1,0.9715,0.9769
"car",8,"dropToValue",1024,0.1,"cone",0.05,1,0.9707,0.9722
"car",32,"dropToValue",512,0.01,"rect",0,1,0.9704,0.9792
"car",3,"dropToValue",1024,0.01,"rect",0,1,0.9702,0.9722
"car",3,"dropToValue",1024,0.1,"rect",0.05,1,0.9702,0.9792
"car",3,"dropToValue",512,0.01,"rect",0,1,0.9694,0.9699
"car",2,"dropToValue",256,0.1,"rect",0.05,1,0.9691,0.9653
"car",3,"dropToValue",1024,0.1,"cone",0.05,1,0.969,0.9815
"car",16,"dropToValue",256,0.1,"rect",0.05,1,0.9686,0.9699
"car",8,"dropToValue",256,0.1,"rect",0.05,1,0.9681,0.956
"car",4,"dropToValue",512,0.1,"rect",0.05,1,0.9676,0.963
"car",16,"dropToValue",512,0.1,"cone",0.05,1,0.9674,0.9722
"car",3,"dropToValue",1024,0.01,"cone",0,1,0.9674,0.9769
"car",4,"dropToValue",256,0.01,"rect",0,1,0.967,0.9676
"car",4,"dropToValue",1024,0.01,"rect",0.05,1,0.967,0.9653
"car",16,"dropToValue",512,0.01,"cone",0,1,0.9663,0.9745
"car",2,"dropToValue",512,0.1,"rect",0.05,1,0.966,0.9606
"car",2,"dropToValue",1024,0.1,"rect",0.05,1,0.966,0.9491
"car",4,"dropToValue",1024,0.1,"rect",0.05,1,0.966,0.9699
"car",4,"dropToValue",256,0.01,"cone",0,1,0.9652,0.9583
"car",2,"dropToValue",1024,0.01,"cone",0,1,0.9641,0.9722
"car",8,"dropToValue",512,0.1,"cone",0.05,1,0.9637,0.9769
"car",8,"dropToValue",1024,0.01,"cone",0.05,1,0.9615,0.956
"car",2,"dropToValue",512,0.01,"rect",0,1,0.9615,0.9653
"car",3,"dropToValue",512,0.1,"cone",0.05,1,0.9612,0.9769
"car",2,"dropToValue",512,0.01,"cone",0,1,0.9604,0.9583
"car",4,"dropToValue",256,0.1,"rect",0.05,1,0.9601,0.956
"car",8,"dropToValue",512,0.1,"rect",0.05,1,0.958,0.9398
"car",2,"dropToValue",1024,0.01,"cone",0.05,1,0.957,0.9468
"car",3,"dropToValue",256,0.1,"cone",0,1,0.9566,0.9676
"car",2,"dropToValue",1024,0.01,"rect",0.05,1,0.9564,0.9421
"car",2,"dropToValue",512,0.01,"rect",0.05,1,0.9564,0.9421
"car",4,"dropToValue",1024,0.01,"cone",0.05,1,0.9563,0.9653
"car",3,"dropToValue",1024,0.01,"rect",0.05,1,0.955,0.9699
"car",3,"dropToValue",256,0.1,"rect",0.05,1,0.955,0.9769
