"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"cardiotocography-10clases",16,"dropToValue",512,0.1,"cone",0,1,0.875862032175064,0.83992463350296
"cardiotocography-10clases",4,"dropToValue",1024,0.1,"rect",0,1,0.87523507475853,0.83992463350296
"cardiotocography-10clases",8,"dropToValue",1024,0.1,"cone",0,1,0.871786803007126,0.826741933822632
"cardiotocography-10clases",32,"dropToValue",1024,0.01,"cone",0,1,0.870219415426254,0.807909607887268
"cardiotocography-10clases",16,"dropToValue",512,0.01,"cone",0,1,0.87021940946579,0.815442621707916
"cardiotocography-10clases",8,"dropToValue",1024,0.01,"rect",0,1,0.869592422246933,0.838041305541992
"cardiotocography-10clases",32,"dropToValue",256,0.01,"rect",0,1,0.868965470790863,0.821092247962952
"cardiotocography-10clases",8,"dropToValue",512,0.01,"rect",0,1,0.86802504658699,0.828625202178955
"cardiotocography-10clases",4,"dropToValue",1024,0.1,"cone",0.05,1,0.865830683708191,0.819209039211273
"cardiotocography-10clases",16,"dropToValue",256,0.01,"rect",0,1,0.863949793577194,0.836158156394958
"cardiotocography-10clases",8,"dropToValue",512,0.1,"cone",0,1,0.862382400035858,0.8286252617836
"cardiotocography-10clases",32,"dropToValue",512,0.01,"rect",0,1,0.86206893324852,0.819208979606628
"cardiotocography-10clases",8,"dropToValue",512,0.01,"cone",0,1,0.86112847328186,0.824858665466309
"cardiotocography-10clases",16,"dropToValue",1024,0.01,"cone",0,1,0.860814982652664,0.821092307567596
"cardiotocography-10clases",4,"dropToValue",1024,0.1,"cone",0,1,0.860501533746719,0.832391679286957
"cardiotocography-10clases",8,"dropToValue",256,0.01,"cone",0,1,0.860188031196594,0.809792876243591
"cardiotocography-10clases",8,"dropToValue",1024,0.01,"cone",0,1,0.859874552488327,0.817325711250305
"cardiotocography-10clases",16,"dropToValue",1024,0.01,"rect",0,1,0.859561097621918,0.830508410930634
"cardiotocography-10clases",16,"dropToValue",256,0.1,"cone",0,1,0.859247618913651,0.843691110610962
"cardiotocography-10clases",16,"dropToValue",256,0.01,"cone",0,1,0.859247612953186,0.806026339530945
"cardiotocography-10clases",4,"dropToValue",256,0.1,"rect",0.05,1,0.858620625734329,0.819208979606628
"cardiotocography-10clases",4,"dropToValue",512,0.1,"rect",0,1,0.858307164907455,0.824858784675598
"cardiotocography-10clases",2,"dropToValue",1024,0.1,"rect",0,1,0.857366716861725,0.802259922027588
"cardiotocography-10clases",4,"dropToValue",512,0.1,"cone",0,1,0.857053256034851,0.828625202178955
"cardiotocography-10clases",32,"dropToValue",1024,0.01,"rect",0,1,0.857053244113922,0.815442562103271
"cardiotocography-10clases",2,"dropToValue",512,0.1,"rect",0,1,0.855172353982925,0.834274888038635
"cardiotocography-10clases",4,"dropToValue",256,0.1,"cone",0,1,0.854858899116516,0.815442562103271
"cardiotocography-10clases",8,"dropToValue",256,0.1,"rect",0,1,0.853605002164841,0.809792816638947
"cardiotocography-10clases",8,"dropToValue",256,0.1,"cone",0,1,0.852978008985519,0.819209098815918
"cardiotocography-10clases",2,"dropToValue",512,0.1,"cone",0,1,0.852664536237717,0.821092247962952
"cardiotocography-10clases",4,"dropToValue",1024,0.01,"rect",0,1,0.852351033687592,0.819209039211273
"cardiotocography-10clases",4,"dropToValue",512,0.01,"rect",0,1,0.852037578821182,0.806026339530945
"cardiotocography-10clases",2,"dropToValue",1024,0.1,"cone",0,1,0.851097112894058,0.815442442893982
"cardiotocography-10clases",2,"dropToValue",256,0.1,"rect",0,1,0.850783658027649,0.822975516319275
"cardiotocography-10clases",4,"dropToValue",1024,0.01,"rect",0.05,1,0.848902767896652,0.806026339530945
"cardiotocography-10clases",2,"dropToValue",1024,0.01,"cone",0,1,0.848589307069779,0.81167608499527
"cardiotocography-10clases",2,"dropToValue",1024,0.1,"cone",0.05,1,0.848589301109314,0.804143190383911
"cardiotocography-10clases",2,"dropToValue",1024,0.1,"rect",0.05,1,0.848275828361511,0.830508470535278
"cardiotocography-10clases",2,"dropToValue",512,0.1,"rect",0.05,1,0.848275810480118,0.792843699455261
"cardiotocography-10clases",4,"dropToValue",1024,0.01,"cone",0.05,1,0.847962296009064,0.798493325710297
"cardiotocography-10clases",16,"dropToValue",512,0.01,"rect",0,1,0.846394926309586,0.822975516319275
"cardiotocography-10clases",4,"dropToValue",256,0.1,"rect",0,1,0.844827562570572,0.809792935848236
"cardiotocography-10clases",4,"dropToValue",512,0.1,"cone",0.05,1,0.844514065980911,0.800376653671265
"cardiotocography-10clases",8,"dropToValue",1024,0.01,"rect",0.05,1,0.84357362985611,0.781544268131256
"cardiotocography-10clases",4,"dropToValue",256,0.1,"cone",0.05,1,0.84357362985611,0.809792816638947
"cardiotocography-10clases",4,"dropToValue",1024,0.01,"cone",0,1,0.843573617935181,0.813559353351593
"cardiotocography-10clases",32,"dropToValue",256,0.01,"cone",0,1,0.843260163068771,0.796610176563263
"cardiotocography-10clases",16,"dropToValue",1024,0.1,"cone",0,1,0.842633187770844,0.809792816638947
"cardiotocography-10clases",2,"dropToValue",256,0.1,"cone",0,1,0.84263316988945,0.821092307567596
"cardiotocography-10clases",2,"dropToValue",256,0.1,"rect",0.05,1,0.841065794229508,0.811676025390625
"cardiotocography-10clases",2,"dropToValue",256,0.1,"cone",0.05,1,0.841065782308579,0.807909607887268
"cardiotocography-10clases",4,"dropToValue",512,0.1,"rect",0.05,1,0.839498418569565,0.802259802818298
"cardiotocography-10clases",2,"dropToValue",512,0.1,"cone",0.05,1,0.839498376846314,0.802259922027588
"cardiotocography-10clases",4,"dropToValue",256,0.01,"rect",0,1,0.838871419429779,0.798493385314941
"cardiotocography-10clases",4,"dropToValue",1024,0.1,"rect",0.05,1,0.837617498636246,0.817325830459595
"cardiotocography-10clases",8,"dropToValue",256,0.01,"rect",0,1,0.837304031848908,0.815442621707916
"cardiotocography-10clases",4,"dropToValue",512,0.01,"rect",0.05,1,0.835423159599304,0.809792876243591
"cardiotocography-10clases",2,"dropToValue",1024,0.01,"rect",0.05,1,0.834796178340912,0.80602639913559
"cardiotocography-10clases",3,"dropToValue",1024,0.1,"cone",0,1,0.834355789422989,0.821092307567596
"cardiotocography-10clases",4,"dropToValue",512,0.01,"cone",0,1,0.833542239665985,0.804143071174622
"cardiotocography-10clases",32,"dropToValue",512,0.01,"cone",0,1,0.832915335893631,0.790960490703583
"cardiotocography-10clases",3,"dropToValue",512,0.1,"rect",0,1,0.831288307905197,0.819209039211273
"cardiotocography-10clases",16,"dropToValue",1024,0.01,"rect",0.05,1,0.830094027519226,0.792843639850616
"cardiotocography-10clases",8,"dropToValue",1024,0.1,"cone",0.05,1,0.830093997716904,0.807909607887268
"cardiotocography-10clases",2,"dropToValue",512,0.01,"rect",0,1,0.828526604175568,0.815442502498627
"cardiotocography-10clases",8,"dropToValue",512,0.1,"rect",0.05,1,0.827899634838104,0.807909488677979
"cardiotocography-10clases",3,"dropToValue",1024,0.01,"rect",0,1,0.826993840932846,0.826742053031921
"cardiotocography-10clases",2,"dropToValue",1024,0.01,"rect",0,1,0.825391799211502,0.792843699455261
"cardiotocography-10clases",3,"dropToValue",1024,0.1,"rect",0,1,0.825153350830078,0.809792876243591
"cardiotocography-10clases",8,"dropToValue",512,0.1,"cone",0.05,1,0.824764853715897,0.79472690820694
"cardiotocography-10clases",4,"dropToValue",256,0.01,"cone",0,1,0.823510926961899,0.806026339530945
"cardiotocography-10clases",3,"dropToValue",256,0.1,"cone",0,1,0.822699356079102,0.798493385314941
"cardiotocography-10clases",2,"dropToValue",512,0.01,"cone",0,1,0.822257018089295,0.798493385314941
"cardiotocography-10clases",8,"dropToValue",256,0.1,"cone",0.05,1,0.822257006168365,0.79472690820694
"cardiotocography-10clases",3,"dropToValue",512,0.1,"cone",0,1,0.822085863351822,0.813559293746948
"cardiotocography-10clases",8,"dropToValue",512,0.01,"rect",0.05,1,0.821943551301956,0.762711822986603
"cardiotocography-10clases",3,"dropToValue",256,0.1,"rect",0,1,0.819938623905182,0.81167608499527
"cardiotocography-10clases",3,"dropToValue",256,0.01,"rect",0,1,0.819631850719452,0.804143071174622
"cardiotocography-10clases",3,"dropToValue",256,0.1,"rect",0.05,1,0.818711626529694,0.809792816638947
"cardiotocography-10clases",8,"dropToValue",256,0.1,"rect",0.05,1,0.816300886869431,0.775894582271576
"cardiotocography-10clases",3,"dropToValue",512,0.1,"rect",0.05,1,0.815950906276703,0.800376653671265
"cardiotocography-10clases",2,"dropToValue",1024,0.01,"cone",0.05,1,0.815360456705093,0.796610176563263
"cardiotocography-10clases",3,"dropToValue",1024,0.1,"rect",0.05,1,0.815337401628494,0.807909607887268
"cardiotocography-10clases",3,"dropToValue",256,0.1,"cone",0.05,1,0.815030658245087,0.796610116958618
"cardiotocography-10clases",3,"dropToValue",512,0.1,"cone",0.05,1,0.813190150260925,0.822975516319275
"cardiotocography-10clases",3,"dropToValue",1024,0.1,"cone",0.05,1,0.811349707841873,0.806026339530945
"cardiotocography-10clases",4,"dropToValue",256,0.01,"rect",0.05,1,0.811285221576691,0.781544268131256
"cardiotocography-10clases",16,"dropToValue",256,0.01,"rect",0.05,1,0.810658288002014,0.764595091342926
"cardiotocography-10clases",3,"dropToValue",512,0.01,"cone",0.05,1,0.810122680664063,0.785310745239258
"cardiotocography-10clases",3,"dropToValue",512,0.01,"rect",0,1,0.809815925359726,0.813559234142303
"cardiotocography-10clases",3,"dropToValue",1024,0.01,"rect",0.05,1,0.809815919399261,0.811676025390625
"cardiotocography-10clases",16,"dropToValue",256,0.1,"rect",0.05,1,0.809717828035355,0.757062196731567
"cardiotocography-10clases",16,"dropToValue",1024,0.1,"cone",0.05,1,0.809404337406159,0.770244777202606
"cardiotocography-10clases",3,"dropToValue",256,0.01,"cone",0,1,0.808588963747024,0.806026339530945
"cardiotocography-10clases",2,"dropToValue",512,0.01,"rect",0.05,1,0.808463937044144,0.802259862422943
"cardiotocography-10clases",2,"dropToValue",512,0.01,"cone",0.05,1,0.808150440454483,0.770244836807251
"cardiotocography-10clases",2,"dropToValue",256,0.01,"cone",0,1,0.807209998369217,0.785310685634613
"cardiotocography-10clases",4,"dropToValue",512,0.01,"cone",0.05,1,0.805329120159149,0.783427476882935
"cardiotocography-10clases",32,"dropToValue",1024,0.01,"rect",0.05,1,0.80532910823822,0.753295719623566
"cardiotocography-10clases",3,"dropToValue",512,0.01,"rect",0.05,1,0.804907977581024,0.790960490703583
"cardiotocography-10clases",16,"dropToValue",256,0.1,"cone",0.05,1,0.80376170873642,0.743879497051239
"cardiotocography-10clases",3,"dropToValue",1024,0.01,"cone",0,1,0.803374218940735,0.809792816638947
"cardiotocography-10clases",3,"dropToValue",256,0.01,"rect",0.05,1,0.801840513944626,0.792843699455261
"cardiotocography-10clases",8,"dropToValue",256,0.01,"rect",0.05,1,0.80094039440155,0.758945345878601
"cardiotocography-10clases",2,"dropToValue",256,0.01,"rect",0.05,1,0.800626921653748,0.777777791023254
"cardiotocography-10clases",8,"dropToValue",256,0.01,"cone",0.05,1,0.798746073246002,0.749529242515564
"cardiotocography-10clases",4,"dropToValue",256,0.01,"cone",0.05,1,0.798432558774948,0.775894522666931
"cardiotocography-10clases",2,"dropToValue",256,0.01,"rect",0,1,0.795924723148346,0.779660999774933
"cardiotocography-10clases",3,"dropToValue",512,0.01,"cone",0,1,0.795705527067185,0.790960431098938
"cardiotocography-10clases",3,"dropToValue",1024,0.01,"cone",0.05,1,0.795705515146255,0.787193953990936
"cardiotocography-10clases",2,"dropToValue",256,0.01,"cone",0.05,1,0.790909063816071,0.757062077522278
"cardiotocography-10clases",8,"dropToValue",512,0.01,"cone",0.05,1,0.789968627691269,0.747645974159241
"cardiotocography-10clases",8,"dropToValue",1024,0.01,"cone",0.05,1,0.783072054386139,0.775894582271576
"cardiotocography-10clases",16,"dropToValue",1024,0.01,"cone",0.05,1,0.777742916345596,0.741996228694916
"cardiotocography-10clases",3,"dropToValue",256,0.01,"cone",0.05,1,0.775460129976273,0.774011254310608
"cardiotocography-10clases",16,"dropToValue",512,0.01,"rect",0.05,1,0.772100281715393,0.730696797370911
"cardiotocography-10clases",16,"dropToValue",512,0.1,"cone",0.05,1,0.764890241622925,0.738229751586914
"cardiotocography-10clases",32,"dropToValue",256,0.1,"rect",0.05,1,0.764890229701996,0.700564980506897
"cardiotocography-10clases",16,"dropToValue",512,0.01,"cone",0.05,1,0.760501533746719,0.723163843154907
"cardiotocography-10clases",32,"dropToValue",512,0.01,"rect",0.05,1,0.739811861515045,0.689265608787537
"cardiotocography-10clases",32,"dropToValue",256,0.01,"rect",0.05,1,0.723197460174561,0.668549954891205
"cardiotocography-10clases",32,"dropToValue",1024,0.1,"cone",0,1,0.695297765731811,0.672316431999207
"cardiotocography-10clases",32,"dropToValue",1024,0.1,"cone",0.05,1,0.665517210960388,0.630885124206543
"cardiotocography-10clases",16,"dropToValue",256,0.01,"cone",0.05,1,0.596865183115006,0.608286261558533
"cardiotocography-10clases",32,"dropToValue",1024,0.01,"cone",0.05,1,0.529780530929565,0.542372941970825
"cardiotocography-10clases",32,"dropToValue",256,0.1,"cone",0,1,0.509717826545238,0.504708051681519
"cardiotocography-10clases",32,"dropToValue",512,0.1,"cone",0,1,0.489341661334038,0.431261777877808
"cardiotocography-10clases",32,"dropToValue",256,0.1,"cone",0.05,1,0.411598727107048,0.395480215549469
"cardiotocography-10clases",32,"dropToValue",512,0.1,"cone",0.05,1,0.395611265301704,0.382297515869141
"cardiotocography-10clases",32,"dropToValue",512,0.01,"cone",0.05,1,0.377742919325829,0.429378539323807
"cardiotocography-10clases",32,"dropToValue",256,0.01,"cone",0.05,1,0.350783669948578,0.369114875793457
"cardiotocography-10clases",32,"dropToValue",1024,1,"cone",0.05,1,0.330094030499458,0.355932235717773
"cardiotocography-10clases",32,"dropToValue",256,1,"cone",0.05,1,0.28652036190033,0.333333313465118
"cardiotocography-10clases",8,"dropToValue",512,0.1,"rect",0,1,0.181504687666893,0.180790960788727
"cardiotocography-10clases",16,"dropToValue",1024,0.1,"rect",0.05,1,0.178996849060059,0.180790960788727
"cardiotocography-10clases",2,"dropToValue",256,1,"cone",0,1,0.178996849060059,0.180790975689888
"cardiotocography-10clases",8,"dropToValue",1024,0.1,"rect",0.05,1,0.17836988568306,0.180790960788727
"cardiotocography-10clases",2,"dropToValue",256,1,"rect",0.05,1,0.173040735721588,0.180790960788727
"cardiotocography-10clases",32,"dropToValue",512,0.1,"rect",0.05,1,0.172413775324821,0.180790960788727
"cardiotocography-10clases",32,"dropToValue",1024,0.1,"rect",0.05,1,0.171159859001636,0.180790960788727
"cardiotocography-10clases",16,"dropToValue",256,1,"cone",0.05,1,0.17115985751152,0.180790960788727
"cardiotocography-10clases",2,"dropToValue",256,1,"cone",0.05,1,0.169592460989952,0.180790945887566
"cardiotocography-10clases",32,"dropToValue",256,0.1,"rect",0,1,0.169278979301453,0.180790960788727
"cardiotocography-10clases",32,"dropToValue",512,0.1,"rect",0,1,0.169278979301453,0.180790945887566
"cardiotocography-10clases",32,"dropToValue",1024,0.1,"rect",0,1,0.169278979301453,0.180790960788727
"cardiotocography-10clases",32,"dropToValue",512,1,"cone",0.05,1,0.169278979301453,0.180790960788727
"cardiotocography-10clases",32,"dropToValue",256,1,"rect",0.05,1,0.169278979301453,0.180790945887566
"cardiotocography-10clases",32,"dropToValue",512,1,"rect",0.05,1,0.169278979301453,0.180790945887566
"cardiotocography-10clases",32,"dropToValue",1024,1,"rect",0.05,1,0.169278979301453,0.180790960788727
"cardiotocography-10clases",32,"dropToValue",256,1,"cone",0,1,0.169278979301453,0.180790975689888
"cardiotocography-10clases",32,"dropToValue",512,1,"cone",0,1,0.169278979301453,0.180790960788727
"cardiotocography-10clases",32,"dropToValue",1024,1,"cone",0,1,0.169278979301453,0.180790945887566
"cardiotocography-10clases",32,"dropToValue",256,1,"rect",0,1,0.169278979301453,0.180790960788727
"cardiotocography-10clases",32,"dropToValue",512,1,"rect",0,1,0.169278979301453,0.180790945887566
"cardiotocography-10clases",32,"dropToValue",1024,1,"rect",0,1,0.169278979301453,0.180790960788727
"cardiotocography-10clases",16,"dropToValue",512,0.1,"rect",0.05,1,0.169278979301453,0.180790960788727
"cardiotocography-10clases",16,"dropToValue",256,0.1,"rect",0,1,0.169278979301453,0.180790960788727
"cardiotocography-10clases",16,"dropToValue",512,0.1,"rect",0,1,0.169278979301453,0.180790945887566
"cardiotocography-10clases",16,"dropToValue",1024,0.1,"rect",0,1,0.169278979301453,0.180790945887566
"cardiotocography-10clases",16,"dropToValue",512,1,"cone",0.05,1,0.169278979301453,0.180790945887566
"cardiotocography-10clases",16,"dropToValue",1024,1,"cone",0.05,1,0.169278979301453,0.180790960788727
"cardiotocography-10clases",16,"dropToValue",256,1,"rect",0.05,1,0.169278979301453,0.180790960788727
"cardiotocography-10clases",16,"dropToValue",512,1,"rect",0.05,1,0.169278979301453,0.180790945887566
"cardiotocography-10clases",16,"dropToValue",1024,1,"rect",0.05,1,0.169278979301453,0.180790945887566
"cardiotocography-10clases",16,"dropToValue",256,1,"cone",0,1,0.169278979301453,0.180790960788727
"cardiotocography-10clases",16,"dropToValue",512,1,"cone",0,1,0.169278979301453,0.180790945887566
"cardiotocography-10clases",16,"dropToValue",1024,1,"cone",0,1,0.169278979301453,0.180790945887566
"cardiotocography-10clases",16,"dropToValue",256,1,"rect",0,1,0.169278979301453,0.180790960788727
"cardiotocography-10clases",16,"dropToValue",512,1,"rect",0,1,0.169278979301453,0.180790945887566
"cardiotocography-10clases",16,"dropToValue",1024,1,"rect",0,1,0.169278979301453,0.180790960788727
"cardiotocography-10clases",8,"dropToValue",1024,0.1,"rect",0,1,0.169278979301453,0.180790960788727
"cardiotocography-10clases",8,"dropToValue",256,1,"cone",0.05,1,0.169278979301453,0.180790960788727
"cardiotocography-10clases",8,"dropToValue",512,1,"cone",0.05,1,0.169278979301453,0.180790960788727
"cardiotocography-10clases",8,"dropToValue",1024,1,"cone",0.05,1,0.169278979301453,0.180790975689888
"cardiotocography-10clases",8,"dropToValue",256,1,"rect",0.05,1,0.169278979301453,0.180790960788727
"cardiotocography-10clases",8,"dropToValue",512,1,"rect",0.05,1,0.169278979301453,0.180790960788727
"cardiotocography-10clases",8,"dropToValue",1024,1,"rect",0.05,1,0.169278979301453,0.180790960788727
"cardiotocography-10clases",8,"dropToValue",256,1,"cone",0,1,0.169278979301453,0.180790960788727
"cardiotocography-10clases",8,"dropToValue",512,1,"cone",0,1,0.169278979301453,0.180790960788727
