"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"chess-krvk",32,"dropToValue",1024,0.01,"rect",0,1,0.8793,0.8805
"chess-krvk",32,"dropToValue",512,0.01,"rect",0,1,0.8757,0.8755
"chess-krvk",16,"dropToValue",1024,0.01,"rect",0,1,0.8676,0.8694
"chess-krvk",8,"dropToValue",512,0.1,"rect",0,1,0.8643,0.8811
"chess-krvk",8,"dropToValue",512,0.1,"rect",0.05,1,0.8639,0.8556
"chess-krvk",16,"dropToValue",512,0.01,"rect",0,1,0.8615,0.8604
"chess-krvk",32,"dropToValue",256,0.01,"rect",0,1,0.8555,0.8593
"chess-krvk",8,"dropToValue",256,0.1,"rect",0.05,1,0.8385,0.8352
"chess-krvk",8,"dropToValue",256,0.1,"rect",0,1,0.8317,0.7914
"chess-krvk",4,"dropToValue",1024,0.1,"rect",0.05,1,0.8304,0.8208
"chess-krvk",8,"dropToValue",1024,0.1,"rect",0.05,1,0.8274,0.8234
"chess-krvk",16,"dropToValue",256,0.01,"rect",0,1,0.8269,0.8415
"chess-krvk",32,"dropToValue",1024,0.01,"cone",0,1,0.8256,0.8105
"chess-krvk",16,"dropToValue",1024,0.1,"cone",0,1,0.825,0.8386
"chess-krvk",4,"dropToValue",512,0.1,"rect",0.05,1,0.8211,0.796
"chess-krvk",8,"dropToValue",1024,0.01,"rect",0,1,0.8126,0.8151
"chess-krvk",16,"dropToValue",512,0.1,"rect",0.05,1,0.812,0.8278
"chess-krvk",16,"dropToValue",512,0.1,"cone",0,1,0.8101,0.8171
"chess-krvk",8,"dropToValue",1024,0.1,"cone",0,1,0.809,0.7985
"chess-krvk",4,"dropToValue",512,0.1,"rect",0,1,0.807,0.8077
"chess-krvk",16,"dropToValue",1024,0.01,"cone",0,1,0.8032,0.8137
"chess-krvk",16,"dropToValue",256,0.1,"rect",0.05,1,0.8024,0.782
"chess-krvk",32,"dropToValue",512,0.01,"cone",0,1,0.8017,0.7889
"chess-krvk",8,"dropToValue",512,0.01,"rect",0,1,0.8005,0.8114
"chess-krvk",4,"dropToValue",1024,0.1,"rect",0,1,0.7989,0.7987
"chess-krvk",16,"dropToValue",256,0.1,"cone",0,1,0.7958,0.7743
"chess-krvk",32,"dropToValue",512,0.1,"rect",0.05,1,0.7954,0.8062
"chess-krvk",4,"dropToValue",256,0.1,"rect",0,1,0.7933,0.784
"chess-krvk",32,"dropToValue",1024,0.1,"cone",0,1,0.7903,0.7447
"chess-krvk",16,"dropToValue",512,0.01,"cone",0,1,0.7874,0.7743
"chess-krvk",8,"dropToValue",512,0.1,"cone",0,1,0.7858,0.8014
"chess-krvk",8,"dropToValue",256,0.1,"cone",0,1,0.7788,0.785
"chess-krvk",32,"dropToValue",256,0.01,"cone",0,1,0.7787,0.7839
"chess-krvk",8,"dropToValue",256,0.01,"rect",0,1,0.7786,0.7752
"chess-krvk",8,"dropToValue",1024,0.01,"cone",0,1,0.7711,0.782
"chess-krvk",32,"dropToValue",256,0.1,"rect",0.05,1,0.7698,0.786
"chess-krvk",4,"dropToValue",256,0.1,"rect",0.05,1,0.7675,0.7642
"chess-krvk",16,"dropToValue",256,0.01,"cone",0,1,0.7621,0.7774
"chess-krvk",32,"dropToValue",512,0.1,"cone",0,1,0.762,0.7601
"chess-krvk",4,"dropToValue",1024,0.1,"cone",0,1,0.759,0.7474
"chess-krvk",8,"dropToValue",1024,0.1,"cone",0.05,1,0.7552,0.7485
"chess-krvk",32,"dropToValue",256,0.1,"cone",0,1,0.7501,0.7575
"chess-krvk",4,"dropToValue",512,0.1,"cone",0,1,0.7447,0.7253
"chess-krvk",8,"dropToValue",512,0.01,"cone",0,1,0.742,0.7308
"chess-krvk",3,"dropToValue",512,0.1,"rect",0,1,0.7409,0.7488
"chess-krvk",3,"dropToValue",256,0.1,"rect",0,1,0.7373,0.7461
"chess-krvk",4,"dropToValue",256,0.1,"cone",0,1,0.7344,0.7469
"chess-krvk",4,"dropToValue",1024,0.1,"cone",0.05,1,0.7286,0.7231
"chess-krvk",3,"dropToValue",1024,0.1,"cone",0,1,0.7232,0.7006
"chess-krvk",8,"dropToValue",256,0.01,"cone",0,1,0.7211,0.718
"chess-krvk",8,"dropToValue",512,0.1,"cone",0.05,1,0.7209,0.7218
"chess-krvk",3,"dropToValue",1024,0.1,"rect",0,1,0.719,0.7176
"chess-krvk",3,"dropToValue",256,0.1,"cone",0,1,0.7161,0.7311
"chess-krvk",3,"dropToValue",512,0.1,"cone",0,1,0.7137,0.7298
"chess-krvk",16,"dropToValue",1024,0.1,"cone",0.05,1,0.7134,0.739
"chess-krvk",8,"dropToValue",1024,0.01,"rect",0.05,1,0.7096,0.703
"chess-krvk",4,"dropToValue",512,0.1,"cone",0.05,1,0.7042,0.7099
"chess-krvk",4,"dropToValue",1024,0.01,"rect",0,1,0.7019,0.701
"chess-krvk",16,"dropToValue",1024,0.01,"rect",0.05,1,0.7012,0.6705
"chess-krvk",3,"dropToValue",256,0.1,"rect",0.05,1,0.6944,0.7204
"chess-krvk",3,"dropToValue",512,0.1,"rect",0.05,1,0.693,0.6923
"chess-krvk",3,"dropToValue",1024,0.1,"rect",0.05,1,0.6875,0.6816
"chess-krvk",4,"dropToValue",512,0.01,"rect",0,1,0.6874,0.7104
"chess-krvk",8,"dropToValue",512,0.01,"rect",0.05,1,0.686,0.6786
"chess-krvk",3,"dropToValue",1024,0.1,"cone",0.05,1,0.6818,0.6642
"chess-krvk",3,"dropToValue",512,0.1,"cone",0.05,1,0.6811,0.6943
"chess-krvk",4,"dropToValue",256,0.1,"cone",0.05,1,0.6789,0.6655
"chess-krvk",4,"dropToValue",1024,0.01,"rect",0.05,1,0.6789,0.6835
