"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"chess-krvkp",8,"dropToValue",512,0.1,"rect",0.05,1,0.9983,0.9912
"chess-krvkp",4,"dropToValue",512,0.1,"rect",0.05,1,0.998,0.9875
"chess-krvkp",16,"dropToValue",256,0.1,"cone",0,1,0.9978,0.9925
"chess-krvkp",4,"dropToValue",512,0.1,"cone",0.05,1,0.9978,0.995
"chess-krvkp",16,"dropToValue",256,0.1,"rect",0.05,1,0.9977,0.9925
"chess-krvkp",2,"dropToValue",1024,0.1,"rect",0.05,1,0.9977,0.9912
"chess-krvkp",8,"dropToValue",1024,0.1,"rect",0.05,1,0.9972,0.9887
"chess-krvkp",16,"dropToValue",512,0.1,"rect",0.05,1,0.9972,0.99
"chess-krvkp",4,"dropToValue",1024,0.1,"cone",0.05,1,0.997,0.9962
"chess-krvkp",2,"dropToValue",512,0.1,"rect",0.05,1,0.9966,0.9912
"chess-krvkp",3,"dropToValue",512,0.1,"rect",0,1,0.9964,0.9937
"chess-krvkp",32,"dropToValue",256,0.1,"rect",0.05,1,0.9963,0.98
"chess-krvkp",3,"dropToValue",512,0.1,"rect",0.05,1,0.996,0.995
"chess-krvkp",4,"dropToValue",1024,0.1,"cone",0,1,0.9959,0.9925
"chess-krvkp",4,"dropToValue",256,0.1,"rect",0.05,1,0.9957,0.995
"chess-krvkp",4,"dropToValue",1024,0.01,"cone",0,1,0.9955,0.99
"chess-krvkp",8,"dropToValue",1024,0.01,"rect",0,1,0.9953,0.9925
"chess-krvkp",8,"dropToValue",1024,0.1,"cone",0.05,1,0.9953,0.9937
"chess-krvkp",4,"dropToValue",1024,0.1,"rect",0.05,1,0.9952,0.9887
"chess-krvkp",4,"dropToValue",256,0.1,"cone",0.05,1,0.995,0.9925
"chess-krvkp",2,"dropToValue",256,0.1,"rect",0,1,0.995,0.9937
"chess-krvkp",2,"dropToValue",1024,0.1,"rect",0,1,0.9948,0.9887
"chess-krvkp",32,"dropToValue",1024,0.01,"rect",0.05,1,0.9946,0.9862
"chess-krvkp",8,"dropToValue",256,0.1,"rect",0.05,1,0.9943,0.99
"chess-krvkp",2,"dropToValue",1024,0.1,"cone",0.05,1,0.9942,0.995
"chess-krvkp",16,"dropToValue",1024,0.01,"rect",0.05,1,0.994,0.9862
"chess-krvkp",3,"dropToValue",256,1,"cone",0.05,1,0.994,0.995
"chess-krvkp",8,"dropToValue",256,0.1,"cone",0.05,1,0.994,0.9962
"chess-krvkp",8,"dropToValue",256,1,"cone",0.05,1,0.994,0.9875
"chess-krvkp",8,"dropToValue",256,0.1,"rect",0,1,0.9938,0.9937
"chess-krvkp",2,"dropToValue",512,0.1,"cone",0.05,1,0.9938,0.9937
"chess-krvkp",8,"dropToValue",512,0.1,"cone",0,1,0.9935,0.9925
"chess-krvkp",8,"dropToValue",512,0.1,"cone",0.05,1,0.9933,0.9925
"chess-krvkp",4,"dropToValue",256,0.1,"rect",0,1,0.9933,0.99
"chess-krvkp",3,"dropToValue",512,0.1,"cone",0,1,0.9932,0.995
"chess-krvkp",4,"dropToValue",512,0.1,"cone",0,1,0.9931,0.99
"chess-krvkp",16,"dropToValue",1024,0.1,"cone",0.05,1,0.9931,0.99
"chess-krvkp",4,"dropToValue",256,0.01,"cone",0,1,0.9929,0.9887
"chess-krvkp",4,"dropToValue",512,0.1,"rect",0,1,0.9929,0.9925
"chess-krvkp",3,"dropToValue",256,0.1,"cone",0.05,1,0.9928,0.9912
"chess-krvkp",8,"dropToValue",512,0.01,"rect",0,1,0.9927,0.9862
"chess-krvkp",8,"dropToValue",256,0.1,"cone",0,1,0.9927,0.9925
"chess-krvkp",2,"dropToValue",1024,0.1,"cone",0,1,0.9927,0.99
"chess-krvkp",8,"dropToValue",256,0.01,"rect",0.05,1,0.9923,0.9837
"chess-krvkp",3,"dropToValue",1024,0.1,"cone",0.05,1,0.9922,0.9925
"chess-krvkp",3,"dropToValue",1024,0.1,"rect",0.05,1,0.9922,0.9962
"chess-krvkp",2,"dropToValue",512,0.1,"rect",0,1,0.992,0.9937
"chess-krvkp",2,"dropToValue",256,0.1,"rect",0.05,1,0.992,0.9875
"chess-krvkp",2,"dropToValue",256,0.1,"cone",0,1,0.9918,0.995
"chess-krvkp",4,"dropToValue",512,0.01,"rect",0,1,0.9914,0.9887
"chess-krvkp",4,"dropToValue",1024,0.01,"rect",0.05,1,0.9912,0.9875
"chess-krvkp",8,"dropToValue",1024,0.01,"cone",0,1,0.9912,0.99
"chess-krvkp",4,"dropToValue",1024,0.1,"rect",0,1,0.9909,0.9912
"chess-krvkp",4,"dropToValue",256,0.1,"cone",0,1,0.9907,0.99
"chess-krvkp",16,"dropToValue",512,0.1,"cone",0.05,1,0.9905,0.995
"chess-krvkp",3,"dropToValue",1024,0.1,"rect",0,1,0.9904,0.99
"chess-krvkp",8,"dropToValue",512,0.01,"rect",0.05,1,0.9903,0.9837
"chess-krvkp",8,"dropToValue",1024,0.01,"rect",0.05,1,0.99,0.985
"chess-krvkp",3,"dropToValue",512,0.1,"cone",0.05,1,0.99,0.9925
"chess-krvkp",16,"dropToValue",512,0.1,"cone",0,1,0.9899,0.9925
"chess-krvkp",2,"dropToValue",512,0.1,"cone",0,1,0.9899,0.9937
"chess-krvkp",2,"dropToValue",256,0.1,"cone",0.05,1,0.9899,0.9912
"chess-krvkp",4,"dropToValue",512,0.01,"rect",0.05,1,0.9895,0.985
"chess-krvkp",8,"dropToValue",1024,0.1,"cone",0,1,0.9892,0.995
"chess-krvkp",32,"dropToValue",1024,0.01,"cone",0,1,0.9892,0.9862
"chess-krvkp",16,"dropToValue",1024,0.01,"rect",0,1,0.9892,0.9862
"chess-krvkp",3,"dropToValue",256,0.1,"cone",0,1,0.989,0.99
"chess-krvkp",16,"dropToValue",1024,0.1,"cone",0,1,0.9888,0.9962
"chess-krvkp",3,"dropToValue",1024,0.1,"cone",0,1,0.9884,0.9937
"chess-krvkp",4,"dropToValue",512,0.01,"cone",0,1,0.9881,0.9887
"chess-krvkp",4,"dropToValue",1024,0.01,"rect",0,1,0.9879,0.9912
"chess-krvkp",32,"dropToValue",512,0.01,"cone",0,1,0.9879,0.9887
"chess-krvkp",3,"dropToValue",256,0.1,"rect",0,1,0.9878,0.9925
"chess-krvkp",16,"dropToValue",512,0.01,"rect",0,1,0.9871,0.9912
"chess-krvkp",3,"dropToValue",1024,0.01,"cone",0,1,0.987,0.985
"chess-krvkp",8,"dropToValue",512,0.01,"cone",0,1,0.9869,0.9887
"chess-krvkp",3,"dropToValue",512,0.01,"cone",0,1,0.9864,0.9837
"chess-krvkp",8,"dropToValue",256,0.01,"rect",0,1,0.986,0.9837
"chess-krvkp",32,"dropToValue",256,0.01,"cone",0,1,0.9858,0.9925
"chess-krvkp",3,"dropToValue",1024,0.01,"rect",0,1,0.9854,0.9862
"chess-krvkp",32,"dropToValue",1024,0.01,"rect",0,1,0.9849,0.99
"chess-krvkp",32,"dropToValue",512,0.01,"rect",0,1,0.9849,0.9837
"chess-krvkp",8,"dropToValue",256,0.01,"cone",0,1,0.9849,0.9825
"chess-krvkp",3,"dropToValue",256,0.1,"rect",0.05,1,0.9848,0.9875
"chess-krvkp",16,"dropToValue",1024,0.01,"cone",0,1,0.9847,0.9887
"chess-krvkp",16,"dropToValue",512,0.01,"rect",0.05,1,0.9846,0.9825
"chess-krvkp",8,"dropToValue",1024,0.01,"cone",0.05,1,0.9843,0.9887
"chess-krvkp",3,"dropToValue",256,0.01,"cone",0,1,0.984,0.9787
"chess-krvkp",3,"dropToValue",512,0.01,"cone",0.05,1,0.9834,0.9812
"chess-krvkp",4,"dropToValue",256,0.01,"rect",0,1,0.9828,0.9825
"chess-krvkp",16,"dropToValue",512,0.01,"cone",0,1,0.9825,0.9812
"chess-krvkp",4,"dropToValue",1024,0.01,"cone",0.05,1,0.9823,0.9837
"chess-krvkp",3,"dropToValue",512,0.01,"rect",0,1,0.982,0.9812
"chess-krvkp",3,"dropToValue",1024,0.01,"rect",0.05,1,0.9814,0.9775
"chess-krvkp",3,"dropToValue",256,0.01,"rect",0,1,0.9814,0.9862
"chess-krvkp",4,"dropToValue",256,0.01,"rect",0.05,1,0.9806,0.9762
"chess-krvkp",3,"dropToValue",512,0.01,"rect",0.05,1,0.9806,0.9787
"chess-krvkp",3,"dropToValue",1024,0.01,"cone",0.05,1,0.9796,0.975
"chess-krvkp",3,"dropToValue",256,0.01,"rect",0.05,1,0.9792,0.9737
"chess-krvkp",16,"dropToValue",256,0.01,"cone",0,1,0.9791,0.9812
"chess-krvkp",8,"dropToValue",512,0.01,"cone",0.05,1,0.9787,0.9862
"chess-krvkp",32,"dropToValue",256,0.01,"rect",0.05,1,0.9786,0.98
"chess-krvkp",16,"dropToValue",256,0.01,"rect",0,1,0.9784,0.9825
"chess-krvkp",2,"dropToValue",1024,0.01,"rect",0,1,0.9784,0.9787
"chess-krvkp",16,"dropToValue",256,0.01,"rect",0.05,1,0.9781,0.9762
"chess-krvkp",4,"dropToValue",512,0.01,"cone",0.05,1,0.9776,0.9825
"chess-krvkp",2,"dropToValue",512,0.01,"cone",0,1,0.9776,0.9825
"chess-krvkp",2,"dropToValue",1024,0.01,"rect",0.05,1,0.9775,0.9787
"chess-krvkp",2,"dropToValue",512,0.01,"rect",0,1,0.9772,0.9825
"chess-krvkp",32,"dropToValue",256,0.01,"rect",0,1,0.9763,0.9825
"chess-krvkp",16,"dropToValue",512,0.01,"cone",0.05,1,0.9754,0.9787
"chess-krvkp",32,"dropToValue",512,0.01,"rect",0.05,1,0.9726,0.9725
"chess-krvkp",2,"dropToValue",1024,0.01,"cone",0,1,0.9722,0.9737
