"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"congressional-voting",3,"dropToValue",256,1,"cone",0.05,1,0.6622,0.6147
"congressional-voting",3,"dropToValue",1024,1,"cone",0.05,1,0.6622,0.6147
"congressional-voting",3,"dropToValue",256,1,"rect",0.05,1,0.6622,0.6147
"congressional-voting",3,"dropToValue",512,1,"rect",0.05,1,0.6622,0.6147
"congressional-voting",3,"dropToValue",1024,1,"rect",0.05,1,0.6622,0.6147
"congressional-voting",3,"dropToValue",256,1,"cone",0,1,0.6622,0.6147
"congressional-voting",3,"dropToValue",512,1,"cone",0,1,0.6622,0.6147
"congressional-voting",3,"dropToValue",1024,1,"cone",0,1,0.6622,0.6147
"congressional-voting",3,"dropToValue",256,1,"rect",0,1,0.6622,0.6147
"congressional-voting",3,"dropToValue",512,1,"rect",0,1,0.6622,0.6147
"congressional-voting",3,"dropToValue",1024,1,"rect",0,1,0.6622,0.6147
"congressional-voting",8,"dropToValue",256,0.01,"cone",0.05,1,0.6579,0.578
"congressional-voting",32,"dropToValue",512,0.01,"cone",0.05,1,0.6561,0.6055
"congressional-voting",32,"dropToValue",256,0.01,"rect",0.05,1,0.6456,0.5963
"congressional-voting",32,"dropToValue",1024,0.1,"rect",0.05,1,0.6333,0.6147
"congressional-voting",32,"dropToValue",256,0.01,"cone",0.05,1,0.6316,0.6147
"congressional-voting",32,"dropToValue",1024,0.01,"cone",0.05,1,0.6316,0.6055
"congressional-voting",32,"dropToValue",256,0.1,"cone",0.05,1,0.6316,0.6147
"congressional-voting",32,"dropToValue",512,0.1,"cone",0.05,1,0.6316,0.6147
"congressional-voting",32,"dropToValue",1024,0.1,"cone",0.05,1,0.6316,0.6239
"congressional-voting",32,"dropToValue",512,0.1,"rect",0.05,1,0.6316,0.6147
"congressional-voting",32,"dropToValue",256,0.1,"rect",0,1,0.6316,0.6147
"congressional-voting",32,"dropToValue",512,0.1,"rect",0,1,0.6316,0.6147
"congressional-voting",32,"dropToValue",1024,0.1,"rect",0,1,0.6316,0.6147
"congressional-voting",32,"dropToValue",256,1,"cone",0.05,1,0.6316,0.6147
"congressional-voting",32,"dropToValue",512,1,"cone",0.05,1,0.6316,0.6147
"congressional-voting",32,"dropToValue",256,1,"rect",0.05,1,0.6316,0.6147
"congressional-voting",32,"dropToValue",512,1,"rect",0.05,1,0.6316,0.6147
"congressional-voting",32,"dropToValue",1024,1,"rect",0.05,1,0.6316,0.6147
"congressional-voting",32,"dropToValue",1024,1,"cone",0,1,0.6316,0.6147
"congressional-voting",32,"dropToValue",256,1,"rect",0,1,0.6316,0.6147
"congressional-voting",32,"dropToValue",512,1,"rect",0,1,0.6316,0.6147
"congressional-voting",32,"dropToValue",1024,1,"rect",0,1,0.6316,0.6147
"congressional-voting",16,"dropToValue",256,0.01,"cone",0.05,1,0.6316,0.6147
"congressional-voting",16,"dropToValue",256,0.1,"cone",0.05,1,0.6316,0.6147
"congressional-voting",16,"dropToValue",512,0.1,"rect",0.05,1,0.6316,0.6147
"congressional-voting",16,"dropToValue",1024,0.1,"rect",0.05,1,0.6316,0.6147
"congressional-voting",16,"dropToValue",256,0.1,"rect",0,1,0.6316,0.6147
"congressional-voting",16,"dropToValue",512,0.1,"rect",0,1,0.6316,0.6147
