"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"conn-bench-sonar-mines-rocks",16,"dropToValue",256,0.01,"cone",0,1,0.872727274894714,0.788461565971375
"conn-bench-sonar-mines-rocks",8,"dropToValue",256,0.1,"cone",0.05,1,0.836363661289215,0.865384638309479
"conn-bench-sonar-mines-rocks",16,"dropToValue",256,0.1,"cone",0,1,0.818181872367859,0.865384638309479
"conn-bench-sonar-mines-rocks",3,"dropToValue",512,0.01,"rect",0,1,0.806666725873947,0.826923131942749
"conn-bench-sonar-mines-rocks",3,"dropToValue",256,0.01,"rect",0.05,1,0.800000071525574,0.807692348957062
"conn-bench-sonar-mines-rocks",2,"dropToValue",512,0.01,"cone",0,1,0.8,0.865384638309479
"conn-bench-sonar-mines-rocks",8,"dropToValue",1024,0.01,"rect",0,1,0.79696968793869,0.846153855323792
"conn-bench-sonar-mines-rocks",4,"dropToValue",512,0.1,"cone",0,1,0.79696968793869,0.846153855323792
"conn-bench-sonar-mines-rocks",8,"dropToValue",512,0.01,"cone",0.05,1,0.793939411640167,0.807692289352417
"conn-bench-sonar-mines-rocks",16,"dropToValue",256,0.1,"cone",0.05,1,0.793939399719238,0.788461565971375
"conn-bench-sonar-mines-rocks",4,"dropToValue",512,0.01,"cone",0.05,1,0.793939399719238,0.865384638309479
"conn-bench-sonar-mines-rocks",3,"dropToValue",256,0.01,"cone",0,1,0.793333405256271,0.750000059604645
"conn-bench-sonar-mines-rocks",16,"dropToValue",512,0.01,"cone",0,1,0.787878787517548,0.75
"conn-bench-sonar-mines-rocks",32,"dropToValue",512,0.01,"cone",0,1,0.787878751754761,0.807692348957062
"conn-bench-sonar-mines-rocks",16,"dropToValue",256,0.01,"rect",0,1,0.787878751754761,0.788461565971375
"conn-bench-sonar-mines-rocks",8,"dropToValue",256,0.01,"cone",0,1,0.787878751754761,0.788461565971375
"conn-bench-sonar-mines-rocks",8,"dropToValue",1024,0.01,"cone",0,1,0.787878751754761,0.826923072338104
"conn-bench-sonar-mines-rocks",4,"dropToValue",256,0.1,"rect",0,1,0.781818187236786,0.788461565971375
"conn-bench-sonar-mines-rocks",16,"dropToValue",1024,0.1,"cone",0,1,0.781818169355393,0.730769276618958
"conn-bench-sonar-mines-rocks",16,"dropToValue",1024,0.01,"cone",0.05,1,0.781818151473999,0.846153855323792
"conn-bench-sonar-mines-rocks",4,"dropToValue",512,0.01,"rect",0.05,1,0.778787875175476,0.826923131942749
"conn-bench-sonar-mines-rocks",2,"dropToValue",256,0.01,"cone",0.05,1,0.778787851333618,0.807692289352417
"conn-bench-sonar-mines-rocks",3,"dropToValue",256,0.1,"cone",0,1,0.776666724681854,0.807692348957062
"conn-bench-sonar-mines-rocks",4,"dropToValue",1024,0.1,"cone",0.05,1,0.775757575035095,0.769230782985687
