"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"conn-bench-vowel-deterding",8,"dropToValue",512,0.1,"cone",0,1,0.993069279193878,0.995670974254608
"conn-bench-vowel-deterding",8,"dropToValue",256,0.1,"rect",0,1,0.990098994970322,0.997835457324982
"conn-bench-vowel-deterding",4,"dropToValue",512,0.01,"rect",0,1,0.990098994970322,0.987012982368469
"conn-bench-vowel-deterding",16,"dropToValue",1024,0.01,"rect",0,1,0.990098983049393,0.995670974254608
"conn-bench-vowel-deterding",16,"dropToValue",512,0.1,"cone",0,1,0.990098983049393,0.989177465438843
"conn-bench-vowel-deterding",3,"dropToValue",512,0.1,"rect",0.05,1,0.986021518707275,0.987012982368469
"conn-bench-vowel-deterding",8,"dropToValue",1024,0.01,"cone",0,1,0.985148471593857,0.993506491184235
"conn-bench-vowel-deterding",8,"dropToValue",1024,0.01,"rect",0,1,0.9831682741642,0.995670914649963
"conn-bench-vowel-deterding",3,"dropToValue",1024,0.1,"rect",0.05,1,0.982795715332031,0.991341948509216
"conn-bench-vowel-deterding",3,"dropToValue",256,0.1,"rect",0,1,0.982795715332031,0.995670974254608
"conn-bench-vowel-deterding",4,"dropToValue",512,0.1,"rect",0,1,0.981188070774079,0.993506491184235
"conn-bench-vowel-deterding",32,"dropToValue",512,0.01,"rect",0,1,0.980197966098786,0.99350643157959
"conn-bench-vowel-deterding",8,"dropToValue",256,0.01,"rect",0,1,0.980197966098786,0.991342008113861
"conn-bench-vowel-deterding",8,"dropToValue",256,0.1,"cone",0,1,0.980197966098786,0.99350643157959
"conn-bench-vowel-deterding",8,"dropToValue",512,0.01,"rect",0,1,0.979207861423493,0.993506491184235
"conn-bench-vowel-deterding",8,"dropToValue",1024,0.1,"cone",0,1,0.979207861423493,0.991341948509216
"conn-bench-vowel-deterding",3,"dropToValue",512,0.1,"cone",0,1,0.978494644165039,0.995670974254608
"conn-bench-vowel-deterding",3,"dropToValue",512,0.1,"cone",0.05,1,0.978494638204574,0.987013041973114
"conn-bench-vowel-deterding",2,"dropToValue",512,0.1,"rect",0,1,0.9772276699543,0.991341948509216
"conn-bench-vowel-deterding",3,"dropToValue",256,0.1,"cone",0,1,0.976344108581543,0.978355050086975
"conn-bench-vowel-deterding",3,"dropToValue",1024,0.1,"cone",0,1,0.976344108581543,0.993506491184235
"conn-bench-vowel-deterding",2,"dropToValue",512,0.1,"cone",0,1,0.976237577199936,0.989177465438843
"conn-bench-vowel-deterding",2,"dropToValue",256,0.1,"rect",0,1,0.97524745464325,0.984848380088806
"conn-bench-vowel-deterding",3,"dropToValue",256,0.1,"rect",0.05,1,0.974193549156189,0.982683897018433
"conn-bench-vowel-deterding",4,"dropToValue",256,0.1,"rect",0,1,0.973267257213593,0.99350643157959
"conn-bench-vowel-deterding",2,"dropToValue",256,0.1,"cone",0,1,0.973267245292664,0.987012982368469
"conn-bench-vowel-deterding",16,"dropToValue",512,0.01,"cone",0,1,0.973267233371735,0.989177465438843
"conn-bench-vowel-deterding",3,"dropToValue",256,0.1,"cone",0.05,1,0.973118299245834,0.984848499298096
"conn-bench-vowel-deterding",3,"dropToValue",512,0.1,"rect",0,1,0.973118281364441,0.997835457324982
"conn-bench-vowel-deterding",3,"dropToValue",1024,0.1,"rect",0,1,0.972043031454086,0.993506491184235
"conn-bench-vowel-deterding",2,"dropToValue",1024,0.1,"cone",0,1,0.971287071704865,0.984848380088806
"conn-bench-vowel-deterding",2,"dropToValue",1024,0.1,"cone",0.05,1,0.970296984910965,0.987012982368469
"conn-bench-vowel-deterding",8,"dropToValue",1024,0.01,"rect",0.05,1,0.970296961069107,0.971861481666565
"conn-bench-vowel-deterding",16,"dropToValue",1024,0.1,"cone",0,1,0.970296955108643,0.99350643157959
"conn-bench-vowel-deterding",4,"dropToValue",1024,0.1,"cone",0,1,0.970296931266785,0.982683897018433
"conn-bench-vowel-deterding",4,"dropToValue",256,0.01,"rect",0,1,0.969306862354279,0.980519413948059
"conn-bench-vowel-deterding",4,"dropToValue",512,0.1,"cone",0,1,0.968316757678986,0.989177525043488
"conn-bench-vowel-deterding",4,"dropToValue",1024,0.1,"rect",0,1,0.968316757678986,0.989177465438843
"conn-bench-vowel-deterding",4,"dropToValue",1024,0.1,"rect",0.05,1,0.967326653003693,0.989177465438843
"conn-bench-vowel-deterding",16,"dropToValue",256,0.1,"cone",0,1,0.967326647043228,0.982683956623077
"conn-bench-vowel-deterding",2,"dropToValue",1024,0.1,"rect",0,1,0.966336566209793,0.991341948509216
"conn-bench-vowel-deterding",4,"dropToValue",1024,0.1,"cone",0.05,1,0.9663365483284,0.982683956623077
"conn-bench-vowel-deterding",4,"dropToValue",1024,0.01,"rect",0,1,0.96435638666153,0.984848499298096
"conn-bench-vowel-deterding",4,"dropToValue",512,0.1,"rect",0.05,1,0.962376153469086,0.97835499048233
"conn-bench-vowel-deterding",2,"dropToValue",256,0.1,"rect",0.05,1,0.961386060714722,0.976190447807312
"conn-bench-vowel-deterding",8,"dropToValue",256,0.01,"cone",0,1,0.961386054754257,0.974026024341583
"conn-bench-vowel-deterding",32,"dropToValue",256,0.01,"rect",0,1,0.960396033525467,0.991342008113861
"conn-bench-vowel-deterding",32,"dropToValue",1024,0.01,"cone",0,1,0.960395991802215,0.987012982368469
"conn-bench-vowel-deterding",32,"dropToValue",1024,0.01,"rect",0,1,0.960395991802215,0.989177465438843
"conn-bench-vowel-deterding",16,"dropToValue",512,0.01,"rect",0,1,0.960395991802215,0.993506491184235
"conn-bench-vowel-deterding",4,"dropToValue",256,0.1,"cone",0,1,0.960395991802215,0.991342008113861
"conn-bench-vowel-deterding",2,"dropToValue",256,1,"cone",0.05,1,0.960395985841751,0.99350643157959
"conn-bench-vowel-deterding",8,"dropToValue",512,0.1,"rect",0.05,1,0.960395961999893,0.963203489780426
"conn-bench-vowel-deterding",4,"dropToValue",256,0.1,"rect",0.05,1,0.959405863285065,0.982684016227722
"conn-bench-vowel-deterding",8,"dropToValue",512,0.01,"cone",0,1,0.958415770530701,0.97186142206192
"conn-bench-vowel-deterding",3,"dropToValue",1024,0.1,"cone",0.05,1,0.958064532279968,0.980519413948059
"conn-bench-vowel-deterding",32,"dropToValue",256,0.01,"cone",0,1,0.956435579061508,0.982683897018433
"conn-bench-vowel-deterding",2,"dropToValue",512,0.1,"rect",0.05,1,0.956435573101044,0.987012922763824
"conn-bench-vowel-deterding",4,"dropToValue",512,0.1,"cone",0.05,1,0.955445456504822,0.976190447807312
"conn-bench-vowel-deterding",8,"dropToValue",1024,0.1,"cone",0.05,1,0.955445450544357,0.989177465438843
"conn-bench-vowel-deterding",4,"dropToValue",512,0.01,"rect",0.05,1,0.955445438623428,0.9653679728508
"conn-bench-vowel-deterding",4,"dropToValue",1024,0.01,"rect",0.05,1,0.954455351829529,0.978354930877686
"conn-bench-vowel-deterding",2,"dropToValue",1024,0.01,"rect",0.05,1,0.953465241193772,0.980519413948059
"conn-bench-vowel-deterding",16,"dropToValue",256,0.01,"cone",0,1,0.952475190162659,0.991341948509216
"conn-bench-vowel-deterding",16,"dropToValue",256,0.01,"rect",0,1,0.95247517824173,0.984848499298096
"conn-bench-vowel-deterding",16,"dropToValue",1024,0.01,"cone",0,1,0.951485079526901,0.984848380088806
"conn-bench-vowel-deterding",2,"dropToValue",1024,0.1,"rect",0.05,1,0.951485073566437,0.963203489780426
"conn-bench-vowel-deterding",2,"dropToValue",1024,0.01,"rect",0,1,0.951485049724579,0.978354930877686
"conn-bench-vowel-deterding",4,"dropToValue",1024,0.01,"cone",0,1,0.950494945049286,0.976190447807312
"conn-bench-vowel-deterding",2,"dropToValue",512,0.01,"rect",0.05,1,0.949504846334458,0.963203489780426
"conn-bench-vowel-deterding",16,"dropToValue",256,0.1,"rect",0.05,1,0.947524678707123,0.961038887500763
"conn-bench-vowel-deterding",4,"dropToValue",256,0.1,"cone",0.05,1,0.947524672746658,0.971861481666565
"conn-bench-vowel-deterding",3,"dropToValue",1024,0.01,"cone",0,1,0.94516122341156,0.97835499048233
"conn-bench-vowel-deterding",4,"dropToValue",256,0.01,"rect",0.05,1,0.944554352760315,0.963203430175781
"conn-bench-vowel-deterding",8,"dropToValue",256,0.1,"rect",0.05,1,0.943564254045486,0.939393937587738
"conn-bench-vowel-deterding",2,"dropToValue",512,0.1,"cone",0.05,1,0.942574167251587,0.969696938991547
"conn-bench-vowel-deterding",8,"dropToValue",512,0.01,"rect",0.05,1,0.939603859186173,0.948051869869232
"conn-bench-vowel-deterding",2,"dropToValue",256,0.1,"cone",0.05,1,0.939603859186173,0.976190447807312
"conn-bench-vowel-deterding",32,"dropToValue",512,0.01,"cone",0,1,0.930692970752716,0.978354930877686
"conn-bench-vowel-deterding",4,"dropToValue",512,0.01,"cone",0,1,0.930692970752716,0.965367913246155
"conn-bench-vowel-deterding",3,"dropToValue",1024,0.01,"rect",0,1,0.930107474327088,0.976190447807312
"conn-bench-vowel-deterding",8,"dropToValue",256,0.1,"cone",0.05,1,0.928712773323059,0.954545378684998
"conn-bench-vowel-deterding",2,"dropToValue",512,0.01,"rect",0,1,0.909900897741318,0.945887446403503
"conn-bench-vowel-deterding",3,"dropToValue",512,0.01,"rect",0,1,0.902150511741638,0.971861481666565
"conn-bench-vowel-deterding",3,"dropToValue",1024,0.01,"rect",0.05,1,0.90107524394989,0.954545438289642
"conn-bench-vowel-deterding",4,"dropToValue",256,0.01,"cone",0,1,0.900990009307861,0.939393937587738
"conn-bench-vowel-deterding",8,"dropToValue",512,0.1,"cone",0.05,1,0.898019713163376,0.872294366359711
"conn-bench-vowel-deterding",3,"dropToValue",512,0.01,"rect",0.05,1,0.892473101615906,0.945887506008148
"conn-bench-vowel-deterding",3,"dropToValue",256,0.01,"rect",0,1,0.888172018527985,0.948051989078522
"conn-bench-vowel-deterding",16,"dropToValue",1024,0.01,"rect",0.05,1,0.88217813372612,0.930735886096954
"conn-bench-vowel-deterding",3,"dropToValue",512,0.01,"cone",0,1,0.881720423698425,0.948051929473877
"conn-bench-vowel-deterding",8,"dropToValue",1024,0.01,"cone",0.05,1,0.879207837581635,0.872294425964355
"conn-bench-vowel-deterding",2,"dropToValue",1024,0.01,"cone",0,1,0.875247442722321,0.95021641254425
"conn-bench-vowel-deterding",8,"dropToValue",256,0.01,"rect",0.05,1,0.868316751718521,0.872294366359711
"conn-bench-vowel-deterding",2,"dropToValue",1024,0.01,"cone",0.05,1,0.865346455574036,0.915584444999695
"conn-bench-vowel-deterding",4,"dropToValue",1024,0.01,"cone",0.05,1,0.859405863285065,0.930735945701599
"conn-bench-vowel-deterding",2,"dropToValue",512,0.01,"cone",0,1,0.853465270996094,0.926406979560852
"conn-bench-vowel-deterding",3,"dropToValue",256,0.01,"cone",0,1,0.847311854362488,0.911255478858948
"conn-bench-vowel-deterding",3,"dropToValue",1024,0.01,"cone",0.05,1,0.847311824560166,0.917748928070068
"conn-bench-vowel-deterding",2,"dropToValue",256,0.01,"rect",0.05,1,0.846534579992295,0.917748928070068
"conn-bench-vowel-deterding",16,"dropToValue",1024,0.1,"cone",0.05,1,0.839603894948959,0.833333373069763
"conn-bench-vowel-deterding",32,"dropToValue",1024,0.01,"rect",0.05,1,0.839603888988495,0.798701345920563
"conn-bench-vowel-deterding",2,"dropToValue",256,0.01,"rect",0,1,0.826732605695724,0.887445867061615
"conn-bench-vowel-deterding",4,"dropToValue",512,0.01,"cone",0.05,1,0.824752408266068,0.891774892807007
"conn-bench-vowel-deterding",3,"dropToValue",512,0.01,"cone",0.05,1,0.821505373716354,0.909090876579285
"conn-bench-vowel-deterding",16,"dropToValue",512,0.01,"rect",0.05,1,0.812871223688126,0.820346355438232
"conn-bench-vowel-deterding",16,"dropToValue",256,0.01,"rect",0.05,1,0.80990092754364,0.78138530254364
"conn-bench-vowel-deterding",8,"dropToValue",512,0.01,"cone",0.05,1,0.79702964425087,0.863636374473572
"conn-bench-vowel-deterding",4,"dropToValue",256,0.01,"cone",0.05,1,0.783168262243271,0.8311687707901
"conn-bench-vowel-deterding",16,"dropToValue",256,0.1,"cone",0.05,1,0.781188064813614,0.629870116710663
"conn-bench-vowel-deterding",2,"dropToValue",256,0.01,"cone",0,1,0.7772276699543,0.852813839912415
"conn-bench-vowel-deterding",16,"dropToValue",512,0.1,"cone",0.05,1,0.772277176380158,0.729437232017517
"conn-bench-vowel-deterding",3,"dropToValue",256,0.01,"cone",0.05,1,0.744086003303528,0.833333373069763
"conn-bench-vowel-deterding",16,"dropToValue",1024,0.01,"cone",0.05,1,0.742574214935303,0.744588732719421
"conn-bench-vowel-deterding",32,"dropToValue",256,0.1,"rect",0.05,1,0.732673227787018,0.735930800437927
"conn-bench-vowel-deterding",2,"dropToValue",512,0.01,"cone",0.05,1,0.71782174706459,0.831168830394745
