"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"connect-4",8,"dropToValue",1024,0.01,"rect",0,1,0.8905,0.8807
"connect-4",4,"dropToValue",512,0.1,"rect",0.05,1,0.8867,0.8828
"connect-4",4,"dropToValue",256,0.1,"rect",0.05,1,0.8861,0.8854
"connect-4",8,"dropToValue",256,0.1,"rect",0.05,1,0.8858,0.8794
"connect-4",16,"dropToValue",256,0.1,"rect",0.05,1,0.8857,0.8848
"connect-4",16,"dropToValue",1024,0.1,"cone",0.05,1,0.885,0.8768
"connect-4",32,"dropToValue",512,0.1,"rect",0.05,1,0.8845,0.8786
"connect-4",16,"dropToValue",1024,0.01,"rect",0,1,0.8834,0.8792
"connect-4",8,"dropToValue",512,0.01,"rect",0,1,0.8834,0.8749
"connect-4",8,"dropToValue",512,0.1,"rect",0.05,1,0.8831,0.8818
"connect-4",16,"dropToValue",512,0.01,"rect",0,1,0.883,0.8757
"connect-4",8,"dropToValue",1024,0.1,"cone",0.05,1,0.8826,0.882
"connect-4",16,"dropToValue",512,0.1,"rect",0.05,1,0.8825,0.8806
"connect-4",32,"dropToValue",256,0.1,"rect",0.05,1,0.8809,0.8784
"connect-4",32,"dropToValue",1024,0.01,"rect",0,1,0.8809,0.8778
"connect-4",8,"dropToValue",1024,0.01,"rect",0.05,1,0.8804,0.8755
"connect-4",4,"dropToValue",1024,0.1,"rect",0.05,1,0.8804,0.8751
"connect-4",16,"dropToValue",1024,0.01,"rect",0.05,1,0.88,0.8761
"connect-4",4,"dropToValue",1024,0.1,"cone",0.05,1,0.8788,0.8751
"connect-4",8,"dropToValue",512,0.1,"cone",0.05,1,0.8786,0.8763
"connect-4",16,"dropToValue",256,0.01,"rect",0,1,0.877,0.8707
"connect-4",16,"dropToValue",512,0.1,"cone",0.05,1,0.8758,0.8755
"connect-4",4,"dropToValue",1024,0.1,"rect",0,1,0.8758,0.8685
"connect-4",3,"dropToValue",512,0.1,"rect",0.05,1,0.8734,0.8703
"connect-4",4,"dropToValue",512,0.1,"rect",0,1,0.873,0.8674
"connect-4",8,"dropToValue",1024,0.1,"cone",0,1,0.8724,0.867
"connect-4",4,"dropToValue",512,0.01,"rect",0,1,0.8723,0.8604
"connect-4",2,"dropToValue",1024,0.1,"rect",0.05,1,0.8723,0.8704
"connect-4",32,"dropToValue",1024,0.1,"cone",0,1,0.8719,0.8689
"connect-4",4,"dropToValue",1024,0.01,"rect",0.05,1,0.8719,0.8702
"connect-4",4,"dropToValue",1024,0.1,"cone",0,1,0.8714,0.863
"connect-4",4,"dropToValue",512,0.1,"cone",0,1,0.8714,0.8678
"connect-4",3,"dropToValue",1024,0.1,"cone",0,1,0.8708,0.8691
"connect-4",16,"dropToValue",512,0.1,"cone",0,1,0.8704,0.8641
"connect-4",16,"dropToValue",256,0.1,"cone",0,1,0.8702,0.86
"connect-4",3,"dropToValue",1024,0.1,"cone",0.05,1,0.8701,0.8696
"connect-4",32,"dropToValue",512,0.1,"cone",0,1,0.8699,0.8607
"connect-4",32,"dropToValue",256,0.1,"cone",0,1,0.8699,0.8635
"connect-4",4,"dropToValue",256,0.1,"rect",0,1,0.8696,0.867
"connect-4",3,"dropToValue",512,0.1,"rect",0,1,0.8696,0.8607
"connect-4",3,"dropToValue",256,0.1,"rect",0.05,1,0.8696,0.8604
"connect-4",4,"dropToValue",1024,0.01,"rect",0,1,0.8695,0.8674
"connect-4",4,"dropToValue",256,0.1,"cone",0,1,0.8689,0.8607
"connect-4",3,"dropToValue",1024,0.01,"rect",0,1,0.8689,0.8611
"connect-4",3,"dropToValue",1024,0.1,"rect",0,1,0.8683,0.8659
"connect-4",4,"dropToValue",256,0.01,"rect",0,1,0.8682,0.8567
"connect-4",8,"dropToValue",512,0.1,"cone",0,1,0.8681,0.853
"connect-4",4,"dropToValue",512,0.1,"cone",0.05,1,0.8679,0.8628
"connect-4",16,"dropToValue",1024,0.1,"cone",0,1,0.8679,0.8646
"connect-4",4,"dropToValue",1024,0.01,"cone",0,1,0.8675,0.8579
"connect-4",2,"dropToValue",512,0.1,"rect",0,1,0.8673,0.8723
"connect-4",8,"dropToValue",256,0.01,"rect",0,1,0.8661,0.8591
"connect-4",3,"dropToValue",512,0.01,"rect",0,1,0.866,0.8632
"connect-4",8,"dropToValue",256,0.1,"rect",0,1,0.8654,0.8599
"connect-4",3,"dropToValue",256,0.1,"cone",0,1,0.8648,0.8554
"connect-4",2,"dropToValue",1024,0.01,"rect",0,1,0.8647,0.8623
"connect-4",3,"dropToValue",1024,0.01,"cone",0,1,0.8641,0.8588
"connect-4",3,"dropToValue",512,0.1,"cone",0,1,0.8638,0.8654
"connect-4",8,"dropToValue",1024,0.01,"cone",0,1,0.8636,0.8546
"connect-4",16,"dropToValue",1024,0.01,"cone",0,1,0.8631,0.8539
"connect-4",8,"dropToValue",256,0.1,"cone",0.05,1,0.8631,0.8619
"connect-4",2,"dropToValue",512,0.1,"cone",0,1,0.863,0.86
"connect-4",2,"dropToValue",512,0.1,"rect",0.05,1,0.8629,0.8628
"connect-4",32,"dropToValue",512,0.01,"cone",0,1,0.8626,0.8592
"connect-4",2,"dropToValue",1024,0.1,"rect",0,1,0.8625,0.8454
"connect-4",3,"dropToValue",1024,0.1,"rect",0.05,1,0.8622,0.8625
"connect-4",4,"dropToValue",512,0.01,"cone",0,1,0.8622,0.8549
"connect-4",16,"dropToValue",512,0.01,"cone",0,1,0.862,0.8594
"connect-4",2,"dropToValue",256,0.1,"rect",0.05,1,0.8618,0.8606
"connect-4",8,"dropToValue",512,0.01,"cone",0,1,0.8618,0.8554
"connect-4",3,"dropToValue",256,0.1,"rect",0,1,0.861,0.8552
"connect-4",8,"dropToValue",256,0.1,"cone",0,1,0.8607,0.859
"connect-4",2,"dropToValue",512,0.01,"rect",0,1,0.8606,0.853
"connect-4",32,"dropToValue",512,0.01,"rect",0,1,0.8605,0.8509
"connect-4",2,"dropToValue",1024,0.01,"cone",0,1,0.8605,0.8572
"connect-4",32,"dropToValue",1024,0.01,"cone",0,1,0.8596,0.8534
"connect-4",8,"dropToValue",256,0.01,"cone",0,1,0.8594,0.8558
"connect-4",2,"dropToValue",1024,0.1,"cone",0,1,0.8588,0.8568
"connect-4",4,"dropToValue",256,0.1,"cone",0.05,1,0.8588,0.8542
"connect-4",3,"dropToValue",256,0.01,"rect",0,1,0.8585,0.8573
"connect-4",16,"dropToValue",256,0.01,"cone",0,1,0.8583,0.8489
"connect-4",3,"dropToValue",512,0.1,"cone",0.05,1,0.8581,0.858
"connect-4",2,"dropToValue",256,0.1,"cone",0,1,0.8578,0.8561
"connect-4",8,"dropToValue",512,0.01,"rect",0.05,1,0.8573,0.8577
"connect-4",3,"dropToValue",512,0.01,"cone",0,1,0.857,0.8511
"connect-4",4,"dropToValue",512,0.01,"rect",0.05,1,0.8568,0.8599
"connect-4",2,"dropToValue",256,0.1,"rect",0,1,0.8566,0.856
"connect-4",2,"dropToValue",1024,0.1,"cone",0.05,1,0.8559,0.8561
"connect-4",2,"dropToValue",256,0.01,"rect",0,1,0.855,0.8517
"connect-4",3,"dropToValue",256,0.1,"cone",0.05,1,0.8541,0.85
"connect-4",4,"dropToValue",256,0.01,"cone",0,1,0.8523,0.8468
"connect-4",32,"dropToValue",256,0.01,"rect",0,1,0.8522,0.8503
"connect-4",3,"dropToValue",256,0.01,"cone",0,1,0.852,0.851
"connect-4",32,"dropToValue",256,0.01,"cone",0,1,0.8517,0.8446
"connect-4",2,"dropToValue",512,0.1,"cone",0.05,1,0.851,0.8536
"connect-4",2,"dropToValue",512,0.01,"cone",0,1,0.8505,0.8497
"connect-4",8,"dropToValue",256,1,"cone",0.05,1,0.849,0.8453
"connect-4",2,"dropToValue",1024,0.01,"rect",0.05,1,0.847,0.8492
"connect-4",2,"dropToValue",256,0.1,"cone",0.05,1,0.8457,0.8434
"connect-4",2,"dropToValue",256,0.01,"cone",0,1,0.8432,0.8465
"connect-4",3,"dropToValue",1024,0.01,"rect",0.05,1,0.8429,0.8418
"connect-4",16,"dropToValue",256,1,"cone",0.05,1,0.8396,0.8403
"connect-4",4,"dropToValue",256,0.01,"rect",0.05,1,0.8321,0.8358
"connect-4",8,"dropToValue",1024,1,"cone",0.05,1,0.8321,0.8404
"connect-4",2,"dropToValue",512,0.01,"rect",0.05,1,0.8309,0.8327
"connect-4",3,"dropToValue",1024,0.01,"cone",0.05,1,0.8306,0.8284
"connect-4",3,"dropToValue",512,0.01,"rect",0.05,1,0.8291,0.8263
"connect-4",8,"dropToValue",1024,0.01,"cone",0.05,1,0.8266,0.8283
"connect-4",4,"dropToValue",1024,0.01,"cone",0.05,1,0.826,0.8294
"connect-4",16,"dropToValue",256,1,"cone",0,1,0.8215,0.8214
"connect-4",2,"dropToValue",1024,0.01,"cone",0.05,1,0.8205,0.8236
"connect-4",2,"dropToValue",256,0.01,"rect",0.05,1,0.82,0.8242
"connect-4",2,"dropToValue",256,1,"cone",0.05,1,0.8159,0.8153
"connect-4",8,"dropToValue",512,1,"cone",0.05,1,0.8117,0.8038
"connect-4",3,"dropToValue",256,0.01,"rect",0.05,1,0.8097,0.8088
