"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"contrac",16,"dropToValue",512,0.01,"rect",0.05,1,0.6224,0.519
"contrac",16,"dropToValue",512,0.1,"cone",0.05,1,0.6213,0.5761
"contrac",4,"dropToValue",256,0.01,"rect",0.05,1,0.618,0.5326
"contrac",8,"dropToValue",256,0.1,"cone",0.05,1,0.6171,0.5679
"contrac",16,"dropToValue",1024,0.1,"cone",0.05,1,0.6024,0.5652
"contrac",32,"dropToValue",1024,0.01,"rect",0.05,1,0.6006,0.5245
"contrac",4,"dropToValue",256,0.1,"rect",0.05,1,0.6,0.5217
"contrac",8,"dropToValue",512,0.1,"cone",0.05,1,0.5986,0.5516
"contrac",2,"dropToValue",512,0.01,"rect",0.05,1,0.5963,0.5245
"contrac",16,"dropToValue",256,0.1,"rect",0.05,1,0.5957,0.5109
"contrac",4,"dropToValue",1024,0.01,"rect",0.05,1,0.5925,0.5272
"contrac",8,"dropToValue",256,1,"cone",0.05,1,0.5905,0.5217
"contrac",32,"dropToValue",512,0.1,"cone",0,1,0.59,0.5353
"contrac",2,"dropToValue",512,0.01,"cone",0.05,1,0.5891,0.5516
"contrac",2,"dropToValue",1024,0.01,"rect",0.05,1,0.5876,0.5272
"contrac",2,"dropToValue",256,0.1,"rect",0.05,1,0.587,0.4674
"contrac",32,"dropToValue",256,0.1,"rect",0.05,1,0.5857,0.5109
"contrac",2,"dropToValue",1024,0.01,"cone",0.05,1,0.5848,0.5598
"contrac",16,"dropToValue",256,0.01,"rect",0.05,1,0.582,0.5217
"contrac",2,"dropToValue",256,0.1,"cone",0.05,1,0.581,0.5353
"contrac",4,"dropToValue",256,0.1,"cone",0.05,1,0.5806,0.5435
"contrac",4,"dropToValue",512,0.01,"rect",0.05,1,0.5801,0.5353
"contrac",2,"dropToValue",512,0.1,"cone",0.05,1,0.5801,0.5571
"contrac",8,"dropToValue",1024,0.1,"cone",0.05,1,0.5787,0.5489
"contrac",2,"dropToValue",1024,0.1,"cone",0,1,0.5787,0.5462
"contrac",16,"dropToValue",256,0.1,"cone",0,1,0.5782,0.5272
"contrac",8,"dropToValue",512,0.01,"cone",0,1,0.5777,0.5245
"contrac",8,"dropToValue",512,0.1,"cone",0,1,0.5777,0.5217
"contrac",8,"dropToValue",256,0.1,"cone",0,1,0.5773,0.5435
"contrac",4,"dropToValue",256,0.1,"cone",0,1,0.5773,0.5353
"contrac",8,"dropToValue",256,0.01,"rect",0.05,1,0.577,0.5136
"contrac",8,"dropToValue",512,0.1,"rect",0.05,1,0.577,0.5353
"contrac",16,"dropToValue",1024,1,"cone",0.05,1,0.5763,0.5136
"contrac",4,"dropToValue",512,0.1,"cone",0.05,1,0.5763,0.5489
"contrac",16,"dropToValue",512,1,"cone",0.05,1,0.5758,0.5353
"contrac",2,"dropToValue",1024,0.1,"cone",0.05,1,0.5758,0.5652
"contrac",2,"dropToValue",256,0.01,"rect",0.05,1,0.5739,0.5163
"contrac",16,"dropToValue",1024,0.1,"cone",0,1,0.573,0.5136
"contrac",16,"dropToValue",1024,0.01,"rect",0.05,1,0.5727,0.5245
"contrac",4,"dropToValue",512,0.1,"rect",0.05,1,0.5727,0.5462
"contrac",32,"dropToValue",1024,0.1,"cone",0,1,0.572,0.5272
"contrac",4,"dropToValue",256,0.01,"rect",0,1,0.572,0.538
"contrac",4,"dropToValue",1024,0.01,"cone",0,1,0.5716,0.5299
"contrac",4,"dropToValue",256,0.01,"cone",0,1,0.5716,0.5217
"contrac",2,"dropToValue",512,0.01,"cone",0,1,0.5716,0.5435
"contrac",2,"dropToValue",1024,0.01,"cone",0,1,0.5697,0.538
"contrac",4,"dropToValue",1024,0.1,"cone",0,1,0.5682,0.5217
"contrac",2,"dropToValue",512,0.1,"cone",0,1,0.5673,0.5272
"contrac",2,"dropToValue",1024,0.01,"rect",0,1,0.5668,0.5136
"contrac",32,"dropToValue",512,0.01,"cone",0,1,0.5659,0.4755
"contrac",2,"dropToValue",1024,0.1,"rect",0.05,1,0.5658,0.519
"contrac",2,"dropToValue",256,0.01,"cone",0.05,1,0.5645,0.5462
"contrac",8,"dropToValue",1024,0.01,"rect",0,1,0.564,0.5408
"contrac",2,"dropToValue",256,0.01,"rect",0,1,0.564,0.5516
"contrac",16,"dropToValue",512,0.1,"rect",0.05,1,0.564,0.4918
"contrac",8,"dropToValue",1024,0.01,"rect",0.05,1,0.564,0.4946
"contrac",16,"dropToValue",512,0.01,"cone",0,1,0.5635,0.5408
"contrac",4,"dropToValue",512,0.1,"cone",0,1,0.5635,0.5217
"contrac",3,"dropToValue",1024,0.1,"cone",0.05,1,0.5627,0.5734
"contrac",4,"dropToValue",1024,0.1,"cone",0.05,1,0.5626,0.538
"contrac",2,"dropToValue",512,0.01,"rect",0,1,0.5621,0.5082
"contrac",8,"dropToValue",1024,0.01,"cone",0,1,0.5611,0.5489
"contrac",8,"dropToValue",512,0.01,"cone",0.05,1,0.5602,0.5027
"contrac",2,"dropToValue",512,0.1,"rect",0.05,1,0.5596,0.5435
"contrac",8,"dropToValue",256,0.1,"rect",0.05,1,0.5584,0.5136
"contrac",3,"dropToValue",256,0.01,"rect",0,1,0.5569,0.5462
"contrac",8,"dropToValue",1024,0.1,"cone",0,1,0.5564,0.5326
"contrac",2,"dropToValue",256,0.1,"cone",0,1,0.5555,0.5543
