"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"credit-approval",3,"dropToValue",512,0.1,"cone",0,1,0.9075,0.843
"credit-approval",3,"dropToValue",512,0.1,"cone",0.05,1,0.9057,0.8372
"credit-approval",3,"dropToValue",512,0.01,"rect",0.05,1,0.9038,0.8372
"credit-approval",3,"dropToValue",1024,0.01,"cone",0,1,0.9038,0.8372
"credit-approval",3,"dropToValue",256,0.1,"cone",0.05,1,0.9038,0.8372
"credit-approval",3,"dropToValue",256,0.01,"cone",0.05,1,0.8962,0.8372
"credit-approval",3,"dropToValue",256,0.01,"cone",0,1,0.8962,0.843
"credit-approval",3,"dropToValue",256,0.1,"cone",0,1,0.8953,0.843
"credit-approval",3,"dropToValue",1024,0.01,"cone",0.05,1,0.8934,0.843
"credit-approval",3,"dropToValue",256,0.1,"rect",0.05,1,0.8925,0.8605
"credit-approval",3,"dropToValue",256,0.1,"rect",0,1,0.8925,0.8372
"credit-approval",3,"dropToValue",1024,0.1,"cone",0.05,1,0.8915,0.843
"credit-approval",3,"dropToValue",512,0.01,"cone",0,1,0.8915,0.843
"credit-approval",3,"dropToValue",512,0.01,"rect",0,1,0.8906,0.8547
"credit-approval",3,"dropToValue",1024,0.1,"cone",0,1,0.8896,0.8198
"credit-approval",3,"dropToValue",512,0.1,"rect",0.05,1,0.8868,0.8372
"credit-approval",3,"dropToValue",1024,0.01,"rect",0,1,0.8868,0.843
"credit-approval",3,"dropToValue",1024,0.01,"rect",0.05,1,0.8858,0.8547
"credit-approval",3,"dropToValue",512,0.01,"cone",0.05,1,0.8849,0.8488
"credit-approval",3,"dropToValue",256,0.01,"rect",0,1,0.8821,0.8488
"credit-approval",3,"dropToValue",512,0.1,"rect",0,1,0.8821,0.7965
"credit-approval",3,"dropToValue",256,0.01,"rect",0.05,1,0.8774,0.8314
"credit-approval",2,"dropToValue",512,0.1,"cone",0.05,1,0.876,0.8256
"credit-approval",3,"dropToValue",1024,0.1,"rect",0,1,0.8745,0.8314
"credit-approval",16,"dropToValue",1024,0.01,"cone",0,1,0.874,0.8198
"credit-approval",32,"dropToValue",256,0.01,"rect",0,1,0.872,0.8256
"credit-approval",3,"dropToValue",1024,0.1,"rect",0.05,1,0.8708,0.7791
"credit-approval",8,"dropToValue",1024,0.01,"rect",0.05,1,0.8688,0.8663
"credit-approval",2,"dropToValue",512,0.01,"cone",0.05,1,0.867,0.843
"credit-approval",16,"dropToValue",256,0.01,"cone",0.05,1,0.866,0.8547
"credit-approval",2,"dropToValue",1024,0.01,"rect",0.05,1,0.865,0.8663
"credit-approval",2,"dropToValue",256,0.01,"cone",0.05,1,0.864,0.814
