"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"cylinder-bands",16,"dropToValue",1024,0.01,"rect",0,1,0.8049,0.7266
"cylinder-bands",4,"dropToValue",512,0.1,"cone",0,1,0.7963,0.7344
"cylinder-bands",2,"dropToValue",512,0.1,"rect",0,1,0.7817,0.7188
"cylinder-bands",8,"dropToValue",1024,0.01,"cone",0,1,0.7805,0.75
"cylinder-bands",3,"dropToValue",1024,0.1,"cone",0.05,1,0.7759,0.7344
"cylinder-bands",4,"dropToValue",256,0.1,"rect",0,1,0.7756,0.7422
"cylinder-bands",8,"dropToValue",1024,0.1,"cone",0,1,0.7744,0.6562
"cylinder-bands",2,"dropToValue",1024,0.1,"rect",0,1,0.7744,0.7031
"cylinder-bands",8,"dropToValue",1024,0.01,"rect",0,1,0.7695,0.7891
"cylinder-bands",4,"dropToValue",512,0.01,"rect",0,1,0.7671,0.8281
"cylinder-bands",4,"dropToValue",512,0.1,"rect",0,1,0.7659,0.7969
"cylinder-bands",4,"dropToValue",256,0.1,"rect",0.05,1,0.7634,0.7422
"cylinder-bands",4,"dropToValue",256,0.01,"rect",0,1,0.7622,0.8047
"cylinder-bands",2,"dropToValue",1024,0.01,"cone",0,1,0.7622,0.7812
"cylinder-bands",2,"dropToValue",1024,0.1,"cone",0,1,0.761,0.7266
"cylinder-bands",4,"dropToValue",1024,0.1,"rect",0.05,1,0.7585,0.7031
"cylinder-bands",4,"dropToValue",1024,0.01,"rect",0,1,0.7573,0.7656
"cylinder-bands",8,"dropToValue",512,0.01,"rect",0,1,0.7561,0.7812
"cylinder-bands",4,"dropToValue",1024,0.01,"cone",0,1,0.7561,0.7422
"cylinder-bands",16,"dropToValue",256,0.01,"rect",0,1,0.7524,0.6953
"cylinder-bands",2,"dropToValue",512,0.1,"cone",0,1,0.7512,0.7109
"cylinder-bands",2,"dropToValue",1024,0.1,"cone",0.05,1,0.7476,0.7266
"cylinder-bands",8,"dropToValue",512,0.01,"cone",0,1,0.7476,0.7188
"cylinder-bands",3,"dropToValue",512,0.1,"cone",0.05,1,0.7458,0.7422
"cylinder-bands",16,"dropToValue",256,0.1,"cone",0,1,0.7439,0.6562
