"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"dermatology",32,"dropToValue",256,0.01,"cone",0,1,1,0.9231
"dermatology",32,"dropToValue",256,0.01,"rect",0,1,1,0.978
"dermatology",16,"dropToValue",512,0.01,"cone",0.05,1,1,0.967
"dermatology",16,"dropToValue",256,0.01,"rect",0.05,1,1,0.978
"dermatology",16,"dropToValue",256,0.01,"cone",0,1,1,0.967
"dermatology",16,"dropToValue",256,0.01,"rect",0,1,1,0.978
"dermatology",16,"dropToValue",1024,0.01,"rect",0,1,1,0.978
"dermatology",8,"dropToValue",1024,0.01,"cone",0.05,1,1,0.978
"dermatology",8,"dropToValue",1024,0.01,"rect",0.05,1,1,0.956
"dermatology",8,"dropToValue",1024,0.01,"cone",0,1,1,0.978
"dermatology",8,"dropToValue",256,0.01,"rect",0,1,1,0.978
"dermatology",8,"dropToValue",256,0.1,"cone",0,1,1,0.978
"dermatology",8,"dropToValue",1024,0.1,"cone",0,1,1,0.978
"dermatology",4,"dropToValue",1024,0.01,"cone",0.05,1,1,0.978
"dermatology",4,"dropToValue",1024,0.01,"cone",0,1,1,0.978
"dermatology",4,"dropToValue",256,0.01,"rect",0,1,1,0.978
"dermatology",4,"dropToValue",256,0.1,"cone",0,1,1,0.978
"dermatology",2,"dropToValue",256,0.01,"rect",0.05,1,1,0.967
"dermatology",2,"dropToValue",512,0.01,"rect",0.05,1,1,0.978
"dermatology",2,"dropToValue",256,0.01,"cone",0,1,1,0.978
"dermatology",2,"dropToValue",512,0.01,"rect",0,1,1,0.978
"dermatology",2,"dropToValue",1024,0.01,"rect",0,1,1,0.978
"dermatology",2,"dropToValue",256,0.1,"cone",0.05,1,1,0.978
"dermatology",2,"dropToValue",512,0.1,"cone",0.05,1,1,0.978
"dermatology",2,"dropToValue",1024,0.1,"cone",0,1,1,0.978
"dermatology",2,"dropToValue",512,0.1,"rect",0,1,1,0.978
"dermatology",32,"dropToValue",1024,0.01,"rect",0,1,0.9983,0.967
"dermatology",4,"dropToValue",256,0.1,"rect",0,1,0.9983,0.978
"dermatology",3,"dropToValue",1024,0.01,"cone",0.05,1,0.9981,0.978
"dermatology",8,"dropToValue",256,0.01,"rect",0.05,1,0.9976,0.956
"dermatology",4,"dropToValue",1024,0.01,"rect",0.05,1,0.9976,0.967
"dermatology",16,"dropToValue",512,0.1,"cone",0,1,0.9966,0.978
"dermatology",8,"dropToValue",256,0.01,"cone",0,1,0.9966,0.967
"dermatology",4,"dropToValue",512,0.1,"cone",0.05,1,0.9966,0.967
"dermatology",2,"dropToValue",512,0.01,"cone",0.05,1,0.9966,0.978
"dermatology",2,"dropToValue",256,0.1,"rect",0,1,0.9966,0.978
"dermatology",32,"dropToValue",512,0.01,"rect",0.05,1,0.9952,0.956
"dermatology",16,"dropToValue",1024,0.1,"cone",0.05,1,0.9948,0.978
"dermatology",4,"dropToValue",256,0.1,"cone",0.05,1,0.9948,0.978
"dermatology",8,"dropToValue",512,0.1,"cone",0.05,1,0.9931,0.989
"dermatology",4,"dropToValue",1024,0.1,"cone",0.05,1,0.9931,0.978
"dermatology",4,"dropToValue",1024,0.01,"rect",0,1,0.9931,0.978
"dermatology",16,"dropToValue",512,0.01,"rect",0.05,1,0.9929,0.956
"dermatology",8,"dropToValue",512,0.01,"rect",0.05,1,0.9929,0.989
"dermatology",4,"dropToValue",512,0.01,"rect",0.05,1,0.9929,0.978
"dermatology",4,"dropToValue",256,0.1,"rect",0.05,1,0.9929,0.967
"dermatology",2,"dropToValue",512,0.1,"rect",0.05,1,0.9929,0.967
"dermatology",8,"dropToValue",512,0.1,"cone",0,1,0.9914,0.989
