"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"echocardiogram",3,"dropToValue",512,0.01,"cone",0,1,0.885000002384186,0.818181872367859
"echocardiogram",3,"dropToValue",256,0.01,"cone",0,1,0.879999989271164,0.878787875175476
"echocardiogram",3,"dropToValue",256,0.01,"rect",0,1,0.865000015497208,0.878787875175476
"echocardiogram",3,"dropToValue",512,0.1,"cone",0,1,0.864999997615814,0.818181872367859
"echocardiogram",3,"dropToValue",1024,0.1,"cone",0,1,0.855000007152558,0.818181872367859
"echocardiogram",4,"dropToValue",256,0.1,"rect",0,1,0.850000023841858,0.818181872367859
"echocardiogram",3,"dropToValue",256,0.01,"cone",0.05,1,0.850000023841858,0.848484873771667
"echocardiogram",3,"dropToValue",1024,0.01,"cone",0.05,1,0.850000023841858,0.848484873771667
"echocardiogram",3,"dropToValue",1024,0.01,"rect",0.05,1,0.850000011920929,0.848484873771667
"echocardiogram",3,"dropToValue",512,0.1,"cone",0.05,1,0.85,0.848484873771667
"echocardiogram",3,"dropToValue",512,0.01,"cone",0.05,1,0.845000022649765,0.818181872367859
"echocardiogram",4,"dropToValue",512,0.01,"cone",0,1,0.845000016689301,0.787878751754761
"echocardiogram",8,"dropToValue",512,0.01,"rect",0,1,0.840000003576279,0.878787875175476
"echocardiogram",4,"dropToValue",512,0.1,"cone",0,1,0.840000003576279,0.878787875175476
"echocardiogram",16,"dropToValue",512,0.1,"cone",0,1,0.835000020265579,0.696969747543335
"echocardiogram",16,"dropToValue",256,0.01,"cone",0,1,0.835000014305115,0.787878751754761
"echocardiogram",3,"dropToValue",256,0.1,"cone",0.05,1,0.835000014305115,0.848484873771667
"echocardiogram",3,"dropToValue",512,0.01,"rect",0.05,1,0.830000019073487,0.848484873771667
"echocardiogram",3,"dropToValue",1024,0.01,"cone",0,1,0.830000019073487,0.848484873771667
"echocardiogram",8,"dropToValue",512,0.1,"cone",0,1,0.830000019073486,0.878787875175476
"echocardiogram",3,"dropToValue",512,0.1,"rect",0.05,1,0.830000013113022,0.787878751754761
"echocardiogram",2,"dropToValue",512,0.01,"cone",0,1,0.825000017881394,0.878787875175476
