"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"ecoli",3,"dropToValue",1024,0.01,"rect",0,1,0.9241,0.8929
"ecoli",3,"dropToValue",1024,0.01,"cone",0,1,0.9241,0.8571
"ecoli",3,"dropToValue",512,0.1,"rect",0.05,1,0.9241,0.7976
"ecoli",3,"dropToValue",256,0.1,"cone",0,1,0.9224,0.9048
"ecoli",3,"dropToValue",512,0.1,"cone",0,1,0.9224,0.8333
"ecoli",3,"dropToValue",512,0.01,"cone",0.05,1,0.9207,0.8571
"ecoli",3,"dropToValue",1024,0.01,"rect",0.05,1,0.919,0.8095
"ecoli",3,"dropToValue",256,0.01,"rect",0,1,0.9172,0.8452
"ecoli",3,"dropToValue",512,0.01,"rect",0.05,1,0.9155,0.8929
"ecoli",3,"dropToValue",512,0.01,"cone",0,1,0.9155,0.869
"ecoli",3,"dropToValue",512,0.01,"rect",0,1,0.9155,0.869
"ecoli",3,"dropToValue",1024,0.1,"cone",0,1,0.9155,0.869
"ecoli",3,"dropToValue",256,0.01,"cone",0.05,1,0.9138,0.8929
"ecoli",3,"dropToValue",1024,0.01,"cone",0.05,1,0.9138,0.881
"ecoli",3,"dropToValue",256,0.01,"rect",0.05,1,0.9138,0.869
"ecoli",3,"dropToValue",256,0.01,"cone",0,1,0.9138,0.869
"ecoli",3,"dropToValue",1024,0.1,"rect",0.05,1,0.9121,0.8452
"ecoli",3,"dropToValue",256,0.1,"rect",0,1,0.9121,0.8452
"ecoli",3,"dropToValue",1024,0.1,"cone",0.05,1,0.9121,0.8452
"ecoli",3,"dropToValue",1024,0.1,"rect",0,1,0.9121,0.8929
"ecoli",3,"dropToValue",256,0.1,"rect",0.05,1,0.9086,0.8095
"ecoli",3,"dropToValue",256,0.1,"cone",0.05,1,0.9086,0.8929
"ecoli",3,"dropToValue",512,0.1,"rect",0,1,0.9086,0.8571
"ecoli",3,"dropToValue",512,0.1,"cone",0.05,1,0.9086,0.8214
"ecoli",4,"dropToValue",256,0.01,"rect",0,1,0.8556,0.8571
"ecoli",8,"dropToValue",256,0.1,"cone",0.05,1,0.8537,0.8452
"ecoli",16,"dropToValue",1024,0.1,"cone",0.05,1,0.8519,0.869
"ecoli",16,"dropToValue",256,0.01,"rect",0.05,1,0.8519,0.9048
"ecoli",2,"dropToValue",256,0.01,"cone",0,1,0.8519,0.8929
"ecoli",8,"dropToValue",512,0.1,"cone",0,1,0.85,0.7857
"ecoli",4,"dropToValue",256,0.1,"rect",0.05,1,0.8481,0.8333
"ecoli",4,"dropToValue",256,0.1,"cone",0,1,0.8463,0.869
"ecoli",4,"dropToValue",256,0.01,"cone",0,1,0.8463,0.9048
"ecoli",2,"dropToValue",512,0.1,"rect",0,1,0.8444,0.7976
"ecoli",2,"dropToValue",1024,0.01,"rect",0,1,0.8407,0.8214
"ecoli",2,"dropToValue",512,0.01,"rect",0,1,0.8407,0.869
"ecoli",16,"dropToValue",256,0.01,"rect",0,1,0.8389,0.8452
"ecoli",2,"dropToValue",512,0.01,"cone",0.05,1,0.8389,0.881
"ecoli",2,"dropToValue",256,0.1,"rect",0.05,1,0.837,0.8571
"ecoli",2,"dropToValue",512,0.1,"rect",0.05,1,0.837,0.8452
"ecoli",4,"dropToValue",512,0.1,"cone",0.05,1,0.837,0.8452
"ecoli",2,"dropToValue",1024,0.01,"rect",0.05,1,0.837,0.8333
"ecoli",4,"dropToValue",1024,0.01,"rect",0.05,1,0.8352,0.8571
"ecoli",8,"dropToValue",512,0.1,"cone",0.05,1,0.8333,0.881
"ecoli",4,"dropToValue",256,0.01,"cone",0.05,1,0.8333,0.881
"ecoli",8,"dropToValue",512,0.01,"cone",0.05,1,0.8333,0.9167
"ecoli",8,"dropToValue",1024,0.01,"cone",0.05,1,0.8333,0.869
"ecoli",4,"dropToValue",512,0.01,"cone",0.05,1,0.8333,0.9048
"ecoli",2,"dropToValue",512,0.01,"cone",0,1,0.8333,0.8929
"ecoli",4,"dropToValue",512,0.1,"rect",0.05,1,0.8315,0.8571
"ecoli",2,"dropToValue",256,0.1,"rect",0,1,0.8315,0.8214
"ecoli",2,"dropToValue",1024,0.01,"cone",0,1,0.8315,0.881
