"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"energy-y1",3,"dropToValue",512,0.1,"cone",0,1,0.97321429848671,0.958333373069763
"energy-y1",16,"dropToValue",512,0.01,"rect",0,1,0.96634618639946,0.958333373069763
"energy-y1",3,"dropToValue",1024,0.1,"cone",0,1,0.9633928835392,0.947916686534882
"energy-y1",8,"dropToValue",1024,0.1,"cone",0,1,0.96153849363327,0.958333373069763
"energy-y1",4,"dropToValue",256,0.1,"rect",0,1,0.960576963424683,0.953125059604645
"energy-y1",8,"dropToValue",1024,0.01,"rect",0,1,0.960576957464218,0.947916746139526
"energy-y1",8,"dropToValue",256,0.1,"cone",0,1,0.958653891086579,0.9375
"energy-y1",8,"dropToValue",512,0.1,"cone",0,1,0.957692342996597,0.932291746139526
"energy-y1",16,"dropToValue",256,0.01,"rect",0,1,0.951923108100891,0.942708432674408
"energy-y1",4,"dropToValue",512,0.1,"cone",0,1,0.950000041723251,0.911458373069763
"energy-y1",16,"dropToValue",1024,0.01,"rect",0,1,0.949038487672806,0.958333373069763
"energy-y1",4,"dropToValue",1024,0.1,"cone",0,1,0.943269270658493,0.916666746139526
"energy-y1",32,"dropToValue",512,0.01,"rect",0,1,0.933653891086578,0.963541746139526
"energy-y1",3,"dropToValue",512,0.1,"rect",0,1,0.924107158184052,0.9375
"energy-y1",4,"dropToValue",1024,0.1,"cone",0.05,1,0.900000041723251,0.895833373069763
"energy-y1",32,"dropToValue",1024,0.01,"rect",0,1,0.897115427255631,0.90625011920929
"energy-y1",4,"dropToValue",256,0.01,"cone",0,1,0.89519237279892,0.875000059604645
"energy-y1",16,"dropToValue",1024,0.1,"cone",0,1,0.895192342996597,0.901041746139526
"energy-y1",32,"dropToValue",256,0.01,"rect",0,1,0.895192331075669,0.932291686534882
"energy-y1",8,"dropToValue",256,0.01,"cone",0.05,1,0.894230842590332,0.869791686534882
"energy-y1",2,"dropToValue",512,0.01,"cone",0.05,1,0.894230842590332,0.864583373069763
"energy-y1",4,"dropToValue",512,0.01,"cone",0.05,1,0.89326930642128,0.864583373069763
"energy-y1",4,"dropToValue",1024,0.01,"cone",0,1,0.891346234083176,0.869791746139526
"energy-y1",8,"dropToValue",1024,0.01,"cone",0.05,1,0.890384697914124,0.869791746139526
