"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"fertility",32,"dropToValue",256,0.01,"cone",0,1,0.944444417953491,0.919999957084656
"fertility",16,"dropToValue",1024,0.01,"cone",0.05,1,0.944444417953491,0.839999973773956
"fertility",16,"dropToValue",512,0.01,"cone",0,1,0.944444417953491,0.839999973773956
"fertility",16,"dropToValue",256,0.01,"rect",0,1,0.944444417953491,0.839999973773956
"fertility",4,"dropToValue",512,0.1,"cone",0,1,0.944444417953491,0.879999995231628
"fertility",2,"dropToValue",256,0.01,"rect",0.05,1,0.944444417953491,0.919999957084656
"fertility",2,"dropToValue",1024,0.01,"cone",0,1,0.944444417953491,0.879999995231628
"fertility",2,"dropToValue",256,0.01,"rect",0,1,0.944444417953491,0.839999973773956
"fertility",2,"dropToValue",1024,0.01,"cone",0.05,1,0.938888871669769,0.839999973773956
"fertility",16,"dropToValue",512,0.01,"rect",0.05,1,0.938888865709305,0.879999995231628
"fertility",16,"dropToValue",1024,0.01,"rect",0.05,1,0.938888865709305,0.879999995231628
"fertility",16,"dropToValue",256,0.01,"cone",0,1,0.938888865709305,0.879999995231628
"fertility",32,"dropToValue",1024,0.01,"rect",0,1,0.933333319425583,0.799999952316284
"fertility",8,"dropToValue",1024,0.01,"rect",0,1,0.933333313465119,0.799999952316284
"fertility",4,"dropToValue",256,0.1,"rect",0.05,1,0.933333313465118,0.919999957084656
"fertility",8,"dropToValue",256,0.1,"cone",0.05,1,0.927777767181397,0.919999957084656
"fertility",8,"dropToValue",512,0.1,"cone",0.05,1,0.927777767181397,0.839999973773956
"fertility",2,"dropToValue",512,0.01,"rect",0.05,1,0.922222208976746,0.879999995231628
"fertility",4,"dropToValue",256,0.01,"cone",0,1,0.916666656732559,0.839999973773956
"fertility",8,"dropToValue",256,0.01,"rect",0,1,0.911111104488373,0.839999973773956
"fertility",4,"dropToValue",512,0.01,"cone",0,1,0.911111104488373,0.879999995231628
"fertility",32,"dropToValue",512,0.01,"cone",0,1,0.905555552244186,0.719999969005585
"fertility",16,"dropToValue",256,0.1,"cone",0.05,1,0.905555552244186,0.839999973773956
"fertility",16,"dropToValue",1024,0.1,"cone",0.05,1,0.905555552244186,0.879999995231628
"fertility",4,"dropToValue",256,0.1,"cone",0.05,1,0.905555552244186,0.839999973773956
"fertility",8,"dropToValue",1024,0.1,"cone",0.05,1,0.9,0.839999973773956
"fertility",8,"dropToValue",1024,0.1,"cone",0,1,0.9,0.879999995231628
"fertility",2,"dropToValue",256,0.1,"cone",0,1,0.9,0.879999995231628
"fertility",4,"dropToValue",512,0.01,"rect",0.05,1,0.899999988079071,0.839999973773956
"fertility",16,"dropToValue",1024,0.01,"rect",0,1,0.894444447755814,0.839999973773956
"fertility",8,"dropToValue",256,0.01,"rect",0.05,1,0.894444447755814,0.919999957084656
"fertility",16,"dropToValue",256,0.1,"rect",0.05,1,0.888888901472092,0.879999995231628
"fertility",4,"dropToValue",1024,0.01,"rect",0.05,1,0.888888901472092,0.839999973773956
"fertility",4,"dropToValue",512,0.1,"rect",0,1,0.888888901472092,0.879999995231628
"fertility",2,"dropToValue",512,0.01,"rect",0,1,0.888888901472092,0.879999995231628
"fertility",32,"dropToValue",256,0.01,"cone",0.05,1,0.888888895511627,0.879999995231628
"fertility",32,"dropToValue",512,0.01,"cone",0.05,1,0.888888895511627,0.879999995231628
"fertility",32,"dropToValue",1024,0.01,"cone",0.05,1,0.888888895511627,0.879999995231628
"fertility",32,"dropToValue",256,0.01,"rect",0,1,0.888888895511627,0.919999957084656
"fertility",32,"dropToValue",256,0.1,"cone",0.05,1,0.888888895511627,0.879999995231628
"fertility",32,"dropToValue",512,0.1,"cone",0.05,1,0.888888895511627,0.879999995231628
"fertility",32,"dropToValue",1024,0.1,"cone",0.05,1,0.888888895511627,0.879999995231628
"fertility",32,"dropToValue",256,0.1,"rect",0.05,1,0.888888895511627,0.879999995231628
"fertility",32,"dropToValue",512,0.1,"rect",0.05,1,0.888888895511627,0.879999995231628
