"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"flags",32,"dropToValue",1024,0.01,"cone",0,1,0.6259,0.4583
"flags",2,"dropToValue",256,0.01,"cone",0,1,0.6148,0.4583
"flags",8,"dropToValue",1024,0.01,"cone",0.05,1,0.6111,0.4792
"flags",32,"dropToValue",512,0.01,"cone",0,1,0.6037,0.5208
"flags",16,"dropToValue",256,0.01,"cone",0.05,1,0.5889,0.4375
"flags",2,"dropToValue",256,0.01,"cone",0.05,1,0.5704,0.4375
"flags",8,"dropToValue",512,0.01,"cone",0,1,0.5667,0.5
"flags",8,"dropToValue",1024,0.1,"cone",0.05,1,0.563,0.5
"flags",32,"dropToValue",512,0.01,"rect",0,1,0.5593,0.4792
"flags",32,"dropToValue",1024,0.01,"rect",0,1,0.5556,0.5625
"flags",16,"dropToValue",1024,0.01,"rect",0,1,0.5556,0.5208
"flags",16,"dropToValue",512,0.1,"cone",0.05,1,0.5556,0.4583
"flags",8,"dropToValue",256,0.01,"rect",0.05,1,0.5556,0.5
"flags",8,"dropToValue",512,0.1,"cone",0.05,1,0.5519,0.5208
"flags",8,"dropToValue",1024,0.1,"cone",0,1,0.5481,0.4583
"flags",8,"dropToValue",512,0.1,"cone",0,1,0.5444,0.4583
"flags",16,"dropToValue",256,0.01,"cone",0,1,0.5444,0.4375
"flags",16,"dropToValue",1024,0.1,"cone",0.05,1,0.537,0.4583
"flags",16,"dropToValue",512,0.1,"cone",0,1,0.537,0.4375
"flags",4,"dropToValue",512,0.01,"cone",0.05,1,0.537,0.4375
"flags",3,"dropToValue",1024,0.01,"cone",0.05,1,0.5342,0.4792
"flags",16,"dropToValue",1024,0.1,"cone",0,1,0.5333,0.4375
"flags",8,"dropToValue",256,0.01,"rect",0,1,0.5296,0.4375
"flags",4,"dropToValue",1024,0.01,"cone",0.05,1,0.5296,0.5
"flags",3,"dropToValue",256,0.01,"cone",0.05,1,0.5263,0.4583
"flags",3,"dropToValue",512,0.01,"cone",0.05,1,0.5263,0.4792
"flags",16,"dropToValue",512,0.01,"rect",0,1,0.5259,0.4792
"flags",3,"dropToValue",256,0.01,"rect",0.05,1,0.5237,0.4792
"flags",4,"dropToValue",256,0.01,"cone",0.05,1,0.5222,0.5
"flags",16,"dropToValue",1024,0.01,"cone",0,1,0.5222,0.4792
"flags",32,"dropToValue",256,0.01,"rect",0,1,0.5185,0.4583
"flags",4,"dropToValue",512,0.01,"cone",0,1,0.5185,0.5417
"flags",32,"dropToValue",512,0.01,"rect",0.05,1,0.5185,0.5208
"flags",4,"dropToValue",512,0.1,"cone",0,1,0.5185,0.4375
"flags",16,"dropToValue",1024,0.01,"cone",0.05,1,0.5148,0.4375
