"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"glass",8,"dropToValue",256,0.01,"cone",0.05,1,0.7297,0.7358
"glass",2,"dropToValue",256,0.01,"cone",0.05,1,0.7297,0.6038
"glass",8,"dropToValue",512,0.01,"rect",0,1,0.7189,0.6415
"glass",8,"dropToValue",512,0.01,"cone",0.05,1,0.7135,0.717
"glass",4,"dropToValue",1024,0.01,"cone",0.05,1,0.7081,0.717
"glass",4,"dropToValue",512,0.01,"cone",0,1,0.7054,0.7358
"glass",16,"dropToValue",256,0.01,"rect",0,1,0.7027,0.6226
"glass",4,"dropToValue",256,0.01,"cone",0.05,1,0.6946,0.6604
"glass",16,"dropToValue",1024,0.01,"cone",0.05,1,0.6919,0.6981
"glass",4,"dropToValue",256,0.01,"rect",0.05,1,0.6919,0.6981
"glass",2,"dropToValue",256,0.1,"cone",0.05,1,0.6919,0.6604
"glass",8,"dropToValue",1024,0.01,"rect",0,1,0.6892,0.6226
"glass",4,"dropToValue",256,0.1,"cone",0.05,1,0.6892,0.6792
"glass",4,"dropToValue",1024,0.01,"rect",0,1,0.6865,0.6226
"glass",4,"dropToValue",512,0.1,"cone",0,1,0.6865,0.6792
"glass",4,"dropToValue",1024,0.01,"cone",0,1,0.6811,0.717
"glass",16,"dropToValue",256,0.1,"cone",0,1,0.673,0.6981
"glass",4,"dropToValue",256,0.01,"cone",0,1,0.673,0.6038
"glass",8,"dropToValue",256,0.01,"cone",0,1,0.673,0.6604
"glass",8,"dropToValue",1024,0.01,"cone",0,1,0.6703,0.6604
"glass",4,"dropToValue",512,0.01,"cone",0.05,1,0.6676,0.6604
"glass",16,"dropToValue",1024,0.1,"cone",0,1,0.6676,0.5472
"glass",16,"dropToValue",512,0.01,"cone",0,1,0.6649,0.6604
"glass",2,"dropToValue",512,0.01,"rect",0.05,1,0.6649,0.6226
"glass",16,"dropToValue",256,0.01,"rect",0.05,1,0.6622,0.6226
"glass",4,"dropToValue",512,0.01,"rect",0,1,0.6595,0.717
"glass",8,"dropToValue",512,0.01,"rect",0.05,1,0.6595,0.6604
"glass",2,"dropToValue",1024,0.01,"rect",0.05,1,0.6595,0.6415
"glass",16,"dropToValue",256,0.01,"cone",0,1,0.6595,0.6792
"glass",2,"dropToValue",512,0.01,"cone",0,1,0.6595,0.7358
"glass",2,"dropToValue",256,0.1,"cone",0,1,0.6595,0.6981
"glass",32,"dropToValue",1024,0.01,"rect",0,1,0.6568,0.6604
"glass",4,"dropToValue",256,0.01,"rect",0,1,0.6568,0.7547
"glass",8,"dropToValue",512,0.1,"cone",0.05,1,0.6568,0.6226
"glass",2,"dropToValue",1024,0.01,"cone",0,1,0.6568,0.6226
"glass",16,"dropToValue",512,0.1,"cone",0.05,1,0.6541,0.6792
"glass",2,"dropToValue",1024,0.1,"cone",0,1,0.6541,0.717
"glass",2,"dropToValue",512,0.1,"cone",0.05,1,0.6541,0.7358
"glass",2,"dropToValue",256,0.01,"rect",0,1,0.6541,0.6792
"glass",2,"dropToValue",512,0.01,"cone",0.05,1,0.6486,0.5849
"glass",8,"dropToValue",512,0.01,"cone",0,1,0.6486,0.6792
"glass",8,"dropToValue",1024,0.01,"rect",0.05,1,0.6486,0.6604
"glass",8,"dropToValue",256,0.01,"rect",0,1,0.6486,0.6981
"glass",32,"dropToValue",512,0.01,"rect",0,1,0.6486,0.6792
"glass",4,"dropToValue",512,0.01,"rect",0.05,1,0.6459,0.7358
"glass",16,"dropToValue",1024,0.01,"rect",0.05,1,0.6459,0.6792
"glass",2,"dropToValue",1024,0.01,"cone",0.05,1,0.6459,0.6604
"glass",8,"dropToValue",1024,0.01,"cone",0.05,1,0.6432,0.6604
"glass",32,"dropToValue",1024,0.01,"cone",0,1,0.6432,0.6226
"glass",8,"dropToValue",256,0.01,"rect",0.05,1,0.6432,0.6981
"glass",4,"dropToValue",1024,0.01,"rect",0.05,1,0.6432,0.7547
"glass",16,"dropToValue",512,0.01,"rect",0,1,0.6405,0.6981
"glass",2,"dropToValue",256,0.1,"rect",0.05,1,0.6405,0.6415
"glass",8,"dropToValue",256,0.1,"cone",0.05,1,0.6405,0.6792
"glass",2,"dropToValue",1024,0.01,"rect",0,1,0.6405,0.6604
"glass",2,"dropToValue",512,0.1,"cone",0,1,0.6378,0.6415
"glass",4,"dropToValue",256,0.1,"cone",0,1,0.6378,0.7736
"glass",2,"dropToValue",1024,0.1,"cone",0.05,1,0.6378,0.6792
"glass",16,"dropToValue",1024,0.1,"cone",0.05,1,0.6378,0.5094
"glass",32,"dropToValue",1024,0.01,"rect",0.05,1,0.6351,0.6038
"glass",8,"dropToValue",1024,0.1,"cone",0.05,1,0.6351,0.6792
"glass",4,"dropToValue",512,0.1,"cone",0.05,1,0.6351,0.6604
"glass",4,"dropToValue",256,0.1,"rect",0,1,0.6324,0.6792
"glass",2,"dropToValue",512,0.1,"rect",0,1,0.6324,0.6792
"glass",2,"dropToValue",256,0.01,"rect",0.05,1,0.6297,0.6038
"glass",2,"dropToValue",256,0.1,"rect",0,1,0.6297,0.6415
"glass",2,"dropToValue",256,0.01,"cone",0,1,0.627,0.566
"glass",16,"dropToValue",1024,0.01,"cone",0,1,0.627,0.6981
"glass",3,"dropToValue",256,0.01,"rect",0,1,0.625,0.6792
"glass",4,"dropToValue",1024,0.1,"cone",0,1,0.6243,0.5849
"glass",4,"dropToValue",256,0.1,"rect",0.05,1,0.6243,0.6981
"glass",3,"dropToValue",1024,0.01,"rect",0.05,1,0.6219,0.6604
