"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"haberman-survival",3,"dropToValue",1024,0.1,"rect",0.05,1,0.8214,0.7368
"haberman-survival",3,"dropToValue",1024,0.1,"rect",0,1,0.8214,0.7368
"haberman-survival",3,"dropToValue",256,1,"cone",0.05,1,0.8214,0.7368
"haberman-survival",3,"dropToValue",512,1,"cone",0.05,1,0.8214,0.7368
"haberman-survival",3,"dropToValue",256,1,"rect",0.05,1,0.8214,0.7368
"haberman-survival",3,"dropToValue",512,1,"rect",0.05,1,0.8214,0.7368
"haberman-survival",3,"dropToValue",1024,1,"rect",0.05,1,0.8214,0.7368
"haberman-survival",3,"dropToValue",256,1,"cone",0,1,0.8214,0.7368
"haberman-survival",3,"dropToValue",512,1,"cone",0,1,0.8214,0.7368
"haberman-survival",3,"dropToValue",1024,1,"cone",0,1,0.8214,0.7368
"haberman-survival",3,"dropToValue",256,1,"rect",0,1,0.8214,0.7368
"haberman-survival",3,"dropToValue",512,1,"rect",0,1,0.8214,0.7368
"haberman-survival",3,"dropToValue",1024,1,"rect",0,1,0.8214,0.7368
"haberman-survival",32,"dropToValue",256,0.01,"rect",0.05,1,0.8043,0.7237
"haberman-survival",8,"dropToValue",512,0.01,"cone",0.05,1,0.7826,0.7368
"haberman-survival",2,"dropToValue",256,0.01,"rect",0,1,0.7826,0.6974
"haberman-survival",16,"dropToValue",256,0.01,"cone",0.05,1,0.7804,0.7237
"haberman-survival",16,"dropToValue",1024,0.01,"cone",0.05,1,0.7804,0.7237
"haberman-survival",16,"dropToValue",512,0.1,"cone",0.05,1,0.7761,0.7105
"haberman-survival",16,"dropToValue",1024,0.01,"rect",0.05,1,0.7739,0.7105
"haberman-survival",2,"dropToValue",256,0.01,"cone",0.05,1,0.7739,0.75
"haberman-survival",32,"dropToValue",1024,0.01,"cone",0,1,0.7696,0.7368
"haberman-survival",16,"dropToValue",256,0.01,"rect",0.05,1,0.7696,0.7105
"haberman-survival",4,"dropToValue",1024,0.01,"cone",0,1,0.7674,0.7105
"haberman-survival",4,"dropToValue",1024,0.01,"cone",0.05,1,0.7652,0.75
"haberman-survival",16,"dropToValue",512,0.01,"cone",0.05,1,0.763,0.7237
"haberman-survival",16,"dropToValue",1024,0.1,"cone",0,1,0.763,0.7368
"haberman-survival",2,"dropToValue",256,0.01,"cone",0,1,0.763,0.7105
"haberman-survival",8,"dropToValue",1024,0.01,"cone",0.05,1,0.7609,0.75
"haberman-survival",8,"dropToValue",256,0.1,"cone",0,1,0.7609,0.7237
"haberman-survival",3,"dropToValue",256,0.1,"rect",0,1,0.7589,0.6842
"haberman-survival",3,"dropToValue",512,0.01,"rect",0,1,0.7589,0.6579
"haberman-survival",32,"dropToValue",1024,0.01,"rect",0.05,1,0.7587,0.7237
"haberman-survival",2,"dropToValue",512,0.01,"cone",0.05,1,0.7587,0.7368
"haberman-survival",2,"dropToValue",1024,0.01,"cone",0.05,1,0.7587,0.7105
"haberman-survival",32,"dropToValue",512,0.01,"cone",0,1,0.7565,0.7237
"haberman-survival",3,"dropToValue",512,0.1,"rect",0.05,1,0.7536,0.6711
"haberman-survival",16,"dropToValue",512,0.01,"rect",0.05,1,0.7522,0.7237
