"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"hayes-roth",2,"dropToValue",256,0.01,"cone",0.05,1,0.905882352590561,0.678571462631226
"hayes-roth",2,"dropToValue",512,0.1,"cone",0,1,0.905882352590561,0.821428596973419
"hayes-roth",4,"dropToValue",256,0.1,"cone",0,1,0.902941191196442,0.892857193946838
"hayes-roth",2,"dropToValue",256,0.1,"cone",0.05,1,0.900000005960465,0.821428537368774
"hayes-roth",2,"dropToValue",512,0.1,"rect",0,1,0.894117647409439,0.678571462631226
"hayes-roth",2,"dropToValue",1024,0.1,"rect",0.05,1,0.89117648601532,0.714285731315613
"hayes-roth",4,"dropToValue",256,0.1,"rect",0,1,0.891176480054855,0.857142865657806
"hayes-roth",2,"dropToValue",256,0.1,"rect",0,1,0.891176474094391,0.714285731315613
"hayes-roth",4,"dropToValue",1024,0.01,"rect",0,1,0.88529412150383,0.678571462631226
"hayes-roth",2,"dropToValue",256,0.01,"rect",0,1,0.88529412150383,0.892857193946838
"hayes-roth",3,"dropToValue",256,0.1,"rect",0,1,0.8842105448246,0.821428656578064
"hayes-roth",2,"dropToValue",1024,0.01,"rect",0,1,0.882352948188782,0.75
"hayes-roth",8,"dropToValue",1024,0.01,"rect",0,1,0.882352942228318,0.964285731315613
"hayes-roth",16,"dropToValue",512,0.01,"rect",0.05,1,0.882352942228317,0.642857193946838
"hayes-roth",2,"dropToValue",512,0.01,"rect",0,1,0.879411774873734,0.75
"hayes-roth",8,"dropToValue",256,0.01,"rect",0,1,0.879411768913269,0.714285731315613
"hayes-roth",2,"dropToValue",1024,0.1,"cone",0,1,0.879411768913269,0.678571462631226
"hayes-roth",8,"dropToValue",1024,0.01,"cone",0.05,1,0.879411762952805,0.464285731315613
"hayes-roth",2,"dropToValue",256,0.1,"rect",0.05,1,0.879411762952805,0.785714268684387
"hayes-roth",2,"dropToValue",256,0.1,"cone",0,1,0.879411762952805,0.785714328289032
"hayes-roth",4,"dropToValue",256,0.1,"cone",0.05,1,0.876470601558685,0.785714328289032
"hayes-roth",8,"dropToValue",1024,0.01,"rect",0.05,1,0.876470595598221,0.821428537368774
"hayes-roth",16,"dropToValue",1024,0.01,"rect",0.05,1,0.870588254928589,0.750000059604645
"hayes-roth",4,"dropToValue",256,0.01,"rect",0,1,0.870588254928589,0.75
"hayes-roth",4,"dropToValue",512,0.1,"cone",0.05,1,0.87058824300766,0.642857193946838
"hayes-roth",8,"dropToValue",256,0.01,"cone",0,1,0.870588237047196,0.892857193946838
"hayes-roth",8,"dropToValue",512,0.01,"rect",0.05,1,0.867647075653076,0.785714328289032
