"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"heart-cleveland",16,"dropToValue",256,0.1,"cone",0.05,1,0.64629630446434,0.618421077728271
"heart-cleveland",32,"dropToValue",1024,0.01,"cone",0.05,1,0.642592626810074,0.552631556987762
"heart-cleveland",8,"dropToValue",1024,0.01,"cone",0,1,0.64259260892868,0.552631556987762
"heart-cleveland",32,"dropToValue",1024,0.1,"cone",0,1,0.638888889551163,0.592105269432068
"heart-cleveland",16,"dropToValue",512,0.01,"cone",0.05,1,0.638888883590698,0.592105269432068
"heart-cleveland",8,"dropToValue",256,0.01,"rect",0.05,1,0.636363625526428,0.60526317358017
"heart-cleveland",32,"dropToValue",256,0.1,"cone",0,1,0.631481504440308,0.592105269432068
"heart-cleveland",4,"dropToValue",1024,0.01,"rect",0,1,0.629629647731781,0.539473712444305
"heart-cleveland",8,"dropToValue",1024,0.1,"cone",0,1,0.627777791023254,0.539473712444305
"heart-cleveland",4,"dropToValue",1024,0.1,"cone",0.05,1,0.627777779102326,0.592105269432068
"heart-cleveland",16,"dropToValue",256,0.01,"cone",0,1,0.625925922393799,0.631578981876373
"heart-cleveland",16,"dropToValue",512,0.01,"rect",0.05,1,0.625000017881393,0.605263113975525
"heart-cleveland",16,"dropToValue",1024,0.1,"cone",0.05,1,0.62407408952713,0.565789461135864
"heart-cleveland",4,"dropToValue",512,0.1,"rect",0,1,0.624074059724808,0.565789461135864
"heart-cleveland",4,"dropToValue",512,0.1,"cone",0,1,0.622222256660462,0.5
"heart-cleveland",16,"dropToValue",256,0.01,"rect",0,1,0.622222232818604,0.539473712444305
"heart-cleveland",16,"dropToValue",1024,0.01,"cone",0.05,1,0.620370370149612,0.618421077728271
"heart-cleveland",16,"dropToValue",1024,0.01,"rect",0,1,0.61851851940155,0.526315808296204
"heart-cleveland",2,"dropToValue",1024,0.1,"cone",0,1,0.616666674613953,0.592105269432068
"heart-cleveland",16,"dropToValue",256,0.01,"cone",0.05,1,0.616666656732559,0.592105269432068
"heart-cleveland",8,"dropToValue",512,0.01,"rect",0.05,1,0.615909093618393,0.592105269432068
"heart-cleveland",4,"dropToValue",1024,0.01,"cone",0.05,1,0.612962979078293,0.539473652839661
"heart-cleveland",32,"dropToValue",1024,0.01,"rect",0.05,1,0.611363649368286,0.526315808296204
"heart-cleveland",2,"dropToValue",256,0.01,"rect",0.05,1,0.611363649368286,0.578947305679321
"heart-cleveland",8,"dropToValue",256,0.1,"cone",0.05,1,0.60925926566124,0.592105269432068
"heart-cleveland",4,"dropToValue",512,0.1,"cone",0.05,1,0.607407402992249,0.552631616592407
"heart-cleveland",16,"dropToValue",1024,0.1,"cone",0,1,0.603703725337982,0.631578981876373
"heart-cleveland",8,"dropToValue",1024,0.1,"cone",0.05,1,0.603703725337982,0.526315808296204
"heart-cleveland",4,"dropToValue",1024,0.01,"cone",0,1,0.603703725337982,0.592105269432068
"heart-cleveland",8,"dropToValue",256,0.01,"cone",0.05,1,0.603703719377518,0.592105269432068
"heart-cleveland",8,"dropToValue",512,0.1,"cone",0.05,1,0.603703719377518,0.578947365283966
"heart-cleveland",32,"dropToValue",1024,0.01,"cone",0,1,0.603703707456589,0.565789461135864
"heart-cleveland",32,"dropToValue",256,0.1,"cone",0.05,1,0.601851886510849,0.552631616592407
"heart-cleveland",4,"dropToValue",256,0.01,"cone",0.05,1,0.601851886510849,0.657894790172577
"heart-cleveland",2,"dropToValue",1024,0.1,"rect",0,1,0.601851856708527,0.552631556987762
"heart-cleveland",8,"dropToValue",1024,0.01,"rect",0.05,1,0.600000017881393,0.526315748691559
"heart-cleveland",16,"dropToValue",512,0.1,"cone",0.05,1,0.6,0.618421077728271
"heart-cleveland",8,"dropToValue",512,0.1,"cone",0,1,0.598148161172867,0.565789461135864
"heart-cleveland",4,"dropToValue",512,0.01,"cone",0,1,0.596296322345734,0.552631616592407
"heart-cleveland",16,"dropToValue",256,0.1,"cone",0,1,0.596296292543411,0.578947424888611
"heart-cleveland",32,"dropToValue",512,0.01,"rect",0.05,1,0.595454567670822,0.60526317358017
"heart-cleveland",16,"dropToValue",1024,0.01,"rect",0.05,1,0.595454555749893,0.565789461135864
"heart-cleveland",8,"dropToValue",512,0.01,"cone",0.05,1,0.594444453716278,0.552631556987762
"heart-cleveland",8,"dropToValue",1024,0.01,"cone",0.05,1,0.594444447755814,0.60526317358017
"heart-cleveland",4,"dropToValue",256,0.1,"rect",0,1,0.592592614889145,0.565789461135864
"heart-cleveland",32,"dropToValue",512,0.01,"rect",0,1,0.592592597007752,0.539473652839661
"heart-cleveland",16,"dropToValue",256,0.01,"rect",0.05,1,0.590909123420715,0.605263113975525
"heart-cleveland",2,"dropToValue",1024,0.01,"rect",0.05,1,0.590909105539322,0.578947365283966
"heart-cleveland",8,"dropToValue",256,0.1,"cone",0,1,0.590740758180618,0.578947365283966
"heart-cleveland",2,"dropToValue",256,0.1,"cone",0,1,0.590740752220154,0.513157904148102
"heart-cleveland",8,"dropToValue",256,0.01,"rect",0,1,0.588888895511627,0.539473712444305
"heart-cleveland",32,"dropToValue",256,0.01,"rect",0.05,1,0.588636374473572,0.60526317358017
"heart-cleveland",4,"dropToValue",256,0.01,"rect",0.05,1,0.588636368513107,0.592105269432068
"heart-cleveland",32,"dropToValue",1024,0.01,"rect",0,1,0.587037044763565,0.539473712444305
"heart-cleveland",2,"dropToValue",256,0.1,"rect",0,1,0.587037038803101,0.565789461135864
"heart-cleveland",4,"dropToValue",512,0.1,"rect",0.05,1,0.584090933203697,0.5
"heart-cleveland",2,"dropToValue",1024,0.1,"cone",0.05,1,0.58333335518837,0.565789461135864
"heart-cleveland",2,"dropToValue",256,0.1,"rect",0.05,1,0.581818199157715,0.592105269432068
"heart-cleveland",16,"dropToValue",512,0.1,"cone",0,1,0.581481498479843,0.513157904148102
"heart-cleveland",2,"dropToValue",512,0.1,"cone",0,1,0.579629635810852,0.644736886024475
