"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"heart-hungarian",4,"dropToValue",256,0.01,"cone",0,1,0.888235300779343,0.794520556926727
"heart-hungarian",16,"dropToValue",512,0.1,"cone",0,1,0.876470613479614,0.821917831897736
"heart-hungarian",8,"dropToValue",512,0.1,"cone",0.05,1,0.876470601558685,0.808219194412231
"heart-hungarian",8,"dropToValue",256,0.01,"cone",0,1,0.873529428243637,0.780821919441223
"heart-hungarian",3,"dropToValue",1024,0.1,"cone",0.05,1,0.869767439365387,0.83561646938324
"heart-hungarian",4,"dropToValue",512,0.01,"rect",0,1,0.867647081613541,0.821917831897736
"heart-hungarian",32,"dropToValue",512,0.01,"rect",0.05,1,0.864705908298493,0.808219194412231
"heart-hungarian",32,"dropToValue",1024,0.01,"rect",0.05,1,0.864705908298493,0.794520556926727
"heart-hungarian",32,"dropToValue",256,0.01,"rect",0.05,1,0.864705908298492,0.808219194412231
"heart-hungarian",2,"dropToValue",256,0.1,"cone",0,1,0.864705902338028,0.780821919441223
"heart-hungarian",4,"dropToValue",1024,0.1,"cone",0.05,1,0.864705896377563,0.808219194412231
"heart-hungarian",8,"dropToValue",512,0.01,"cone",0.05,1,0.861764734983444,0.794520556926727
"heart-hungarian",8,"dropToValue",1024,0.01,"cone",0.05,1,0.861764734983444,0.780821919441223
"heart-hungarian",4,"dropToValue",256,0.01,"cone",0.05,1,0.861764734983444,0.753424644470215
"heart-hungarian",3,"dropToValue",256,0.01,"rect",0,1,0.860465168952942,0.821917831897736
"heart-hungarian",4,"dropToValue",256,0.01,"rect",0.05,1,0.858823561668396,0.794520556926727
"heart-hungarian",2,"dropToValue",256,0.01,"rect",0.05,1,0.858823561668396,0.794520556926727
"heart-hungarian",3,"dropToValue",1024,0.01,"cone",0,1,0.858139586448669,0.83561646938324
"heart-hungarian",16,"dropToValue",1024,0.01,"cone",0.05,1,0.855882388353348,0.794520556926727
"heart-hungarian",8,"dropToValue",1024,0.01,"rect",0.05,1,0.855882388353348,0.808219194412231
"heart-hungarian",4,"dropToValue",256,0.01,"rect",0,1,0.855882388353348,0.794520556926727
"heart-hungarian",2,"dropToValue",256,0.01,"cone",0.05,1,0.855882388353348,0.794520556926727
"heart-hungarian",2,"dropToValue",1024,0.01,"cone",0.05,1,0.855882388353348,0.821917831897736
"heart-hungarian",2,"dropToValue",256,0.01,"cone",0,1,0.855882388353348,0.808219194412231
"heart-hungarian",2,"dropToValue",512,0.01,"rect",0,1,0.855882388353348,0.808219194412231
"heart-hungarian",2,"dropToValue",1024,0.1,"cone",0.05,1,0.855882388353348,0.808219194412231
"heart-hungarian",2,"dropToValue",512,0.1,"cone",0.05,1,0.855882388353348,0.808219194412231
"heart-hungarian",8,"dropToValue",256,0.01,"rect",0,1,0.855882370471954,0.808219194412231
"heart-hungarian",3,"dropToValue",1024,0.01,"rect",0.05,1,0.853488421440125,0.808219194412231
"heart-hungarian",16,"dropToValue",256,0.01,"cone",0.05,1,0.8529412150383,0.739726066589355
"heart-hungarian",16,"dropToValue",512,0.01,"cone",0.05,1,0.8529412150383,0.780821919441223
"heart-hungarian",16,"dropToValue",256,0.01,"rect",0.05,1,0.8529412150383,0.821917831897736
"heart-hungarian",16,"dropToValue",512,0.01,"rect",0.05,1,0.8529412150383,0.794520556926727
"heart-hungarian",8,"dropToValue",256,0.01,"cone",0.05,1,0.8529412150383,0.780821919441223
"heart-hungarian",8,"dropToValue",256,0.01,"rect",0.05,1,0.8529412150383,0.808219194412231
"heart-hungarian",8,"dropToValue",512,0.01,"rect",0.05,1,0.8529412150383,0.808219194412231
"heart-hungarian",4,"dropToValue",512,0.01,"cone",0.05,1,0.8529412150383,0.794520556926727
"heart-hungarian",4,"dropToValue",1024,0.01,"cone",0.05,1,0.8529412150383,0.794520556926727
"heart-hungarian",4,"dropToValue",512,0.01,"rect",0.05,1,0.8529412150383,0.821917831897736
"heart-hungarian",4,"dropToValue",512,0.01,"cone",0,1,0.8529412150383,0.808219194412231
"heart-hungarian",4,"dropToValue",1024,0.01,"cone",0,1,0.8529412150383,0.794520556926727
"heart-hungarian",4,"dropToValue",256,0.1,"cone",0.05,1,0.8529412150383,0.794520556926727
"heart-hungarian",2,"dropToValue",512,0.01,"cone",0.05,1,0.8529412150383,0.780821919441223
"heart-hungarian",2,"dropToValue",512,0.01,"rect",0.05,1,0.8529412150383,0.794520556926727
"heart-hungarian",2,"dropToValue",1024,0.01,"rect",0.05,1,0.8529412150383,0.808219194412231
"heart-hungarian",2,"dropToValue",512,0.01,"cone",0,1,0.8529412150383,0.794520556926727
"heart-hungarian",2,"dropToValue",256,0.01,"rect",0,1,0.8529412150383,0.794520556926727
"heart-hungarian",2,"dropToValue",256,0.1,"cone",0.05,1,0.8529412150383,0.808219194412231
"heart-hungarian",32,"dropToValue",512,0.1,"cone",0,1,0.852941203117371,0.835616409778595
"heart-hungarian",2,"dropToValue",256,0.1,"rect",0,1,0.852941203117371,0.780821919441223
"heart-hungarian",32,"dropToValue",1024,0.01,"rect",0,1,0.850000041723252,0.808219194412231
"heart-hungarian",16,"dropToValue",1024,0.1,"cone",0.05,1,0.850000041723251,0.780821919441223
"heart-hungarian",4,"dropToValue",1024,0.01,"rect",0.05,1,0.850000041723251,0.808219194412231
"heart-hungarian",2,"dropToValue",1024,0.01,"cone",0,1,0.850000041723251,0.83561646938324
"heart-hungarian",16,"dropToValue",256,0.1,"cone",0.05,1,0.850000035762787,0.808219194412231
"heart-hungarian",16,"dropToValue",1024,0.01,"rect",0.05,1,0.847058868408203,0.794520556926727
"heart-hungarian",2,"dropToValue",1024,0.1,"cone",0,1,0.847058868408203,0.821917831897736
"heart-hungarian",16,"dropToValue",512,0.1,"cone",0.05,1,0.847058862447739,0.794520556926727
"heart-hungarian",32,"dropToValue",256,0.1,"cone",0,1,0.847058832645416,0.684931516647339
"heart-hungarian",3,"dropToValue",1024,0.01,"cone",0.05,1,0.846511673927307,0.808219194412231
"heart-hungarian",3,"dropToValue",512,0.01,"rect",0,1,0.846511673927307,0.821917772293091
"heart-hungarian",3,"dropToValue",1024,0.1,"cone",0,1,0.844186091423035,0.808219194412231
"heart-hungarian",16,"dropToValue",512,0.01,"cone",0,1,0.844117695093155,0.794520556926727
"heart-hungarian",8,"dropToValue",512,0.01,"cone",0,1,0.844117695093155,0.780821919441223
"heart-hungarian",4,"dropToValue",512,0.1,"cone",0.05,1,0.844117695093155,0.794520556926727
"heart-hungarian",4,"dropToValue",256,0.1,"cone",0,1,0.844117695093155,0.794520556926727
"heart-hungarian",2,"dropToValue",1024,0.01,"rect",0,1,0.844117689132691,0.821917831897736
"heart-hungarian",2,"dropToValue",512,0.1,"cone",0,1,0.841176521778107,0.808219194412231
"heart-hungarian",8,"dropToValue",256,0.1,"cone",0.05,1,0.83823533654213,0.780821919441223
"heart-hungarian",8,"dropToValue",1024,0.1,"cone",0,1,0.838235330581665,0.794520556926727
"heart-hungarian",3,"dropToValue",512,0.1,"cone",0,1,0.837209343910218,0.821917831897736
"heart-hungarian",3,"dropToValue",1024,0.01,"rect",0,1,0.837209337949753,0.835616409778595
"heart-hungarian",2,"dropToValue",256,0.1,"rect",0.05,1,0.83529417514801,0.794520556926727
"heart-hungarian",4,"dropToValue",256,0.1,"rect",0,1,0.835294157266617,0.753424644470215
"heart-hungarian",16,"dropToValue",1024,1,"cone",0.05,1,0.835294145345688,0.808219194412231
"heart-hungarian",3,"dropToValue",512,0.1,"cone",0.05,1,0.834883761405945,0.780821919441223
"heart-hungarian",3,"dropToValue",512,0.1,"rect",0,1,0.834883749485016,0.780821919441223
"heart-hungarian",32,"dropToValue",1024,0.1,"cone",0.05,1,0.832352983951569,0.767123281955719
"heart-hungarian",16,"dropToValue",256,0.1,"cone",0,1,0.832352983951569,0.808219194412231
"heart-hungarian",8,"dropToValue",1024,0.1,"cone",0.05,1,0.832352977991104,0.794520556926727
"heart-hungarian",3,"dropToValue",256,0.1,"cone",0,1,0.8302325963974,0.780821919441223
"heart-hungarian",32,"dropToValue",512,0.1,"cone",0.05,1,0.829411828517914,0.794520556926727
"heart-hungarian",2,"dropToValue",1024,0.1,"rect",0.05,1,0.829411810636521,0.794520556926727
"heart-hungarian",8,"dropToValue",256,0.1,"cone",0,1,0.82941181063652,0.767123341560364
"heart-hungarian",3,"dropToValue",256,0.1,"cone",0.05,1,0.825581431388855,0.808219194412231
"heart-hungarian",3,"dropToValue",256,0.1,"rect",0.05,1,0.823255848884583,0.794520556926727
"heart-hungarian",3,"dropToValue",512,0.01,"cone",0,1,0.823255842924118,0.780821919441223
"heart-hungarian",3,"dropToValue",256,0.01,"rect",0.05,1,0.82093026638031,0.808219194412231
"heart-hungarian",4,"dropToValue",256,0.1,"rect",0.05,1,0.820588278770447,0.767123281955719
"heart-hungarian",2,"dropToValue",512,0.1,"rect",0,1,0.820588266849518,0.739726006984711
"heart-hungarian",16,"dropToValue",1024,0.01,"cone",0,1,0.817647111415863,0.780821919441223
"heart-hungarian",16,"dropToValue",256,0.01,"cone",0,1,0.817647105455399,0.821917831897736
"heart-hungarian",4,"dropToValue",1024,0.01,"rect",0,1,0.81764709353447,0.794520556926727
"heart-hungarian",2,"dropToValue",1024,0.1,"rect",0,1,0.817647087574005,0.712328732013702
"heart-hungarian",32,"dropToValue",256,0.01,"cone",0,1,0.817647069692612,0.726027369499207
"heart-hungarian",32,"dropToValue",1024,0.1,"cone",0,1,0.817647063732147,0.753424644470215
"heart-hungarian",3,"dropToValue",512,0.01,"cone",0.05,1,0.816279101371765,0.821917831897736
"heart-hungarian",3,"dropToValue",256,0.1,"rect",0,1,0.816279101371765,0.780821919441223
"heart-hungarian",3,"dropToValue",512,0.01,"rect",0.05,1,0.813953518867493,0.780821919441223
