"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"heart-switzerland",32,"dropToValue",256,0.01,"cone",0.05,1,0.5056,0.3548
"heart-switzerland",2,"dropToValue",512,0.01,"cone",0.05,1,0.4889,0.5484
"heart-switzerland",2,"dropToValue",512,0.01,"cone",0,1,0.4889,0.5484
"heart-switzerland",32,"dropToValue",1024,0.01,"rect",0,1,0.4889,0.4839
"heart-switzerland",2,"dropToValue",1024,0.01,"cone",0.05,1,0.4833,0.5806
"heart-switzerland",8,"dropToValue",256,0.01,"cone",0,1,0.4778,0.5161
"heart-switzerland",4,"dropToValue",512,0.01,"cone",0,1,0.4778,0.5806
"heart-switzerland",2,"dropToValue",256,0.01,"rect",0,1,0.4778,0.5484
"heart-switzerland",2,"dropToValue",512,0.01,"rect",0,1,0.4667,0.4839
"heart-switzerland",16,"dropToValue",512,0.01,"cone",0.05,1,0.4667,0.5484
"heart-switzerland",4,"dropToValue",256,0.01,"cone",0.05,1,0.4667,0.5484
"heart-switzerland",4,"dropToValue",256,0.01,"rect",0,1,0.4611,0.5484
"heart-switzerland",2,"dropToValue",512,0.01,"rect",0.05,1,0.4611,0.4839
"heart-switzerland",8,"dropToValue",256,0.01,"rect",0.05,1,0.4611,0.5161
"heart-switzerland",8,"dropToValue",1024,0.01,"rect",0,1,0.45,0.4516
"heart-switzerland",4,"dropToValue",1024,0.01,"rect",0,1,0.45,0.5484
"heart-switzerland",4,"dropToValue",512,0.01,"rect",0,1,0.45,0.5161
"heart-switzerland",4,"dropToValue",256,0.01,"rect",0.05,1,0.4444,0.6129
"heart-switzerland",2,"dropToValue",256,0.01,"rect",0.05,1,0.4444,0.4839
"heart-switzerland",2,"dropToValue",1024,0.01,"cone",0,1,0.4444,0.5806
"heart-switzerland",2,"dropToValue",512,0.1,"cone",0,1,0.4444,0.4194
"heart-switzerland",4,"dropToValue",1024,0.01,"rect",0.05,1,0.4444,0.4194
"heart-switzerland",2,"dropToValue",256,0.1,"cone",0,1,0.4444,0.4839
"heart-switzerland",8,"dropToValue",512,0.01,"rect",0,1,0.4389,0.4839
"heart-switzerland",4,"dropToValue",1024,0.01,"cone",0,1,0.4389,0.4839
"heart-switzerland",16,"dropToValue",256,0.01,"rect",0.05,1,0.4389,0.4839
"heart-switzerland",4,"dropToValue",512,0.01,"cone",0.05,1,0.4389,0.5806
"heart-switzerland",4,"dropToValue",256,0.01,"cone",0,1,0.4389,0.5161
"heart-switzerland",2,"dropToValue",512,0.1,"cone",0.05,1,0.4389,0.3871
"heart-switzerland",2,"dropToValue",512,0.1,"rect",0,1,0.4333,0.3871
"heart-switzerland",4,"dropToValue",512,0.01,"rect",0.05,1,0.4278,0.6129
"heart-switzerland",2,"dropToValue",1024,0.1,"cone",0,1,0.4278,0.3871
"heart-switzerland",2,"dropToValue",256,0.1,"rect",0,1,0.4278,0.4839
"heart-switzerland",16,"dropToValue",256,0.01,"rect",0,1,0.4278,0.4516
"heart-switzerland",8,"dropToValue",256,0.01,"rect",0,1,0.4222,0.5161
"heart-switzerland",2,"dropToValue",256,0.01,"cone",0,1,0.4222,0.5484
"heart-switzerland",2,"dropToValue",1024,0.01,"rect",0.05,1,0.4222,0.4839
"heart-switzerland",8,"dropToValue",512,0.01,"rect",0.05,1,0.4167,0.4839
"heart-switzerland",8,"dropToValue",256,0.01,"cone",0.05,1,0.4167,0.3548
"heart-switzerland",8,"dropToValue",512,0.01,"cone",0.05,1,0.4111,0.5484
"heart-switzerland",16,"dropToValue",1024,0.1,"cone",0.05,1,0.4111,0.3226
"heart-switzerland",8,"dropToValue",512,0.1,"cone",0.05,1,0.4111,0.4516
"heart-switzerland",32,"dropToValue",1024,0.1,"cone",0.05,1,0.4111,0.4839
"heart-switzerland",16,"dropToValue",512,0.01,"cone",0,1,0.4111,0.4516
"heart-switzerland",2,"dropToValue",1024,0.01,"rect",0,1,0.4056,0.4516
"heart-switzerland",4,"dropToValue",256,0.1,"cone",0,1,0.4056,0.4516
"heart-switzerland",32,"dropToValue",1024,0.01,"rect",0.05,1,0.4056,0.4516
"heart-switzerland",2,"dropToValue",1024,0.1,"cone",0.05,1,0.4,0.5161
