"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"heart-va",3,"dropToValue",1024,0.01,"cone",0,1,0.528,0.36
"heart-va",3,"dropToValue",256,0.1,"cone",0,1,0.504,0.28
"heart-va",3,"dropToValue",256,0.01,"rect",0,1,0.5,0.36
"heart-va",3,"dropToValue",512,0.01,"rect",0,1,0.496,0.32
"heart-va",3,"dropToValue",256,0.1,"cone",0.05,1,0.492,0.26
"heart-va",3,"dropToValue",512,0.01,"rect",0.05,1,0.488,0.38
"heart-va",3,"dropToValue",1024,0.01,"rect",0.05,1,0.488,0.34
"heart-va",3,"dropToValue",256,0.01,"cone",0,1,0.476,0.36
"heart-va",3,"dropToValue",1024,0.1,"cone",0,1,0.472,0.32
"heart-va",3,"dropToValue",1024,0.01,"rect",0,1,0.472,0.28
"heart-va",3,"dropToValue",512,0.01,"cone",0,1,0.468,0.38
"heart-va",3,"dropToValue",256,0.1,"rect",0.05,1,0.456,0.34
"heart-va",3,"dropToValue",1024,0.01,"cone",0.05,1,0.456,0.4
"heart-va",3,"dropToValue",256,0.01,"cone",0.05,1,0.44,0.3
"heart-va",3,"dropToValue",512,0.1,"cone",0.05,1,0.44,0.3
"heart-va",3,"dropToValue",256,0.01,"rect",0.05,1,0.44,0.26
"heart-va",3,"dropToValue",512,0.1,"rect",0,1,0.42,0.3
"heart-va",3,"dropToValue",1024,0.1,"cone",0.05,1,0.416,0.28
"heart-va",3,"dropToValue",256,0.1,"rect",0,1,0.4,0.28
"heart-va",3,"dropToValue",512,0.01,"cone",0.05,1,0.4,0.34
"heart-va",3,"dropToValue",512,0.1,"cone",0,1,0.396,0.26
"heart-va",3,"dropToValue",512,0.1,"rect",0.05,1,0.392,0.32
"heart-va",16,"dropToValue",1024,0.1,"cone",0,1,0.3865,0.4
"heart-va",4,"dropToValue",1024,0.01,"rect",0.05,1,0.384,0.32
"heart-va",32,"dropToValue",1024,0.01,"cone",0,1,0.3676,0.24
"heart-va",16,"dropToValue",512,0.01,"rect",0,1,0.3676,0.38
"heart-va",8,"dropToValue",256,0.01,"rect",0,1,0.3676,0.34
"heart-va",3,"dropToValue",1024,0.1,"rect",0,1,0.36,0.22
"heart-va",8,"dropToValue",1024,0.01,"rect",0.05,1,0.36,0.28
"heart-va",16,"dropToValue",1024,0.01,"cone",0.05,1,0.3595,0.26
"heart-va",16,"dropToValue",256,0.01,"rect",0,1,0.3595,0.3
"heart-va",8,"dropToValue",1024,0.01,"cone",0.05,1,0.3405,0.34
"heart-va",4,"dropToValue",1024,0.1,"cone",0.05,1,0.3405,0.28
"heart-va",8,"dropToValue",512,0.01,"rect",0,1,0.3405,0.34
"heart-va",4,"dropToValue",512,0.01,"rect",0.05,1,0.34,0.26
"heart-va",2,"dropToValue",512,0.1,"rect",0.05,1,0.336,0.24
"heart-va",4,"dropToValue",512,0.1,"cone",0.05,1,0.3351,0.26
"heart-va",8,"dropToValue",256,0.01,"cone",0.05,1,0.3351,0.3
"heart-va",3,"dropToValue",1024,0.1,"rect",0.05,1,0.332,0.2
"heart-va",4,"dropToValue",512,0.01,"cone",0.05,1,0.3297,0.36
"heart-va",32,"dropToValue",1024,0.1,"cone",0.05,1,0.3297,0.34
"heart-va",16,"dropToValue",256,0.1,"cone",0.05,1,0.3297,0.32
"heart-va",8,"dropToValue",512,0.01,"cone",0.05,1,0.3297,0.38
"heart-va",16,"dropToValue",512,0.01,"cone",0,1,0.327,0.36
"heart-va",16,"dropToValue",1024,0.01,"cone",0,1,0.3243,0.28
"heart-va",16,"dropToValue",1024,0.01,"rect",0.05,1,0.324,0.3
"heart-va",8,"dropToValue",1024,0.1,"cone",0,1,0.3216,0.18
"heart-va",8,"dropToValue",256,0.1,"rect",0.05,1,0.32,0.24
"heart-va",32,"dropToValue",1024,0.01,"cone",0.05,1,0.3189,0.28
"heart-va",16,"dropToValue",1024,0.01,"rect",0,1,0.3189,0.28
"heart-va",4,"dropToValue",256,0.01,"rect",0.05,1,0.316,0.34
"heart-va",16,"dropToValue",256,0.1,"cone",0,1,0.3135,0.3
