"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"hill-valley",32,"dropToValue",256,0.01,"cone",0.05,1,0.5976,0.5248
"hill-valley",2,"dropToValue",1024,1,"cone",0.05,1,0.5873,0.5066
"hill-valley",3,"dropToValue",1024,0.01,"cone",0.05,1,0.5812,0.4983
"hill-valley",3,"dropToValue",256,0.1,"cone",0,1,0.5752,0.4983
"hill-valley",3,"dropToValue",256,0.1,"cone",0.05,1,0.5713,0.5017
"hill-valley",3,"dropToValue",512,0.01,"rect",0.05,1,0.5683,0.5446
"hill-valley",3,"dropToValue",512,0.1,"cone",0.05,1,0.5584,0.5083
"hill-valley",3,"dropToValue",256,0.01,"cone",0,1,0.5574,0.5099
"hill-valley",2,"dropToValue",1024,0.1,"rect",0,1,0.5571,0.5809
"hill-valley",3,"dropToValue",1024,0.1,"cone",0.05,1,0.5564,0.4983
"hill-valley",32,"dropToValue",256,0.01,"rect",0.05,1,0.5548,0.5083
"hill-valley",3,"dropToValue",1024,0.1,"rect",0.05,1,0.5525,0.5924
"hill-valley",4,"dropToValue",256,0.01,"rect",0,1,0.5524,0.5248
"hill-valley",3,"dropToValue",512,0.1,"rect",0.05,1,0.5505,0.5116
"hill-valley",3,"dropToValue",1024,0.01,"cone",0,1,0.5495,0.5017
"hill-valley",4,"dropToValue",512,0.01,"rect",0,1,0.5492,0.5116
"hill-valley",32,"dropToValue",1024,0.01,"cone",0.05,1,0.5476,0.505
"hill-valley",3,"dropToValue",1024,0.01,"rect",0.05,1,0.5465,0.5363
"hill-valley",3,"dropToValue",256,0.1,"rect",0.05,1,0.5446,0.5033
"hill-valley",2,"dropToValue",512,0.1,"rect",0,1,0.5444,0.5462
"hill-valley",3,"dropToValue",1024,0.1,"cone",0,1,0.5436,0.5248
"hill-valley",3,"dropToValue",512,0.01,"cone",0.05,1,0.5416,0.5033
"hill-valley",16,"dropToValue",256,0.01,"rect",0,1,0.5405,0.5
"hill-valley",8,"dropToValue",512,0.01,"rect",0,1,0.5397,0.5281
"hill-valley",8,"dropToValue",256,0.01,"rect",0,1,0.5397,0.5561
"hill-valley",3,"dropToValue",256,0.1,"rect",0,1,0.5386,0.5842
"hill-valley",16,"dropToValue",1024,0.01,"cone",0.05,1,0.5381,0.5033
"hill-valley",3,"dropToValue",256,0.01,"rect",0.05,1,0.5366,0.4934
"hill-valley",4,"dropToValue",1024,0.01,"rect",0.05,1,0.5349,0.538
"hill-valley",16,"dropToValue",512,1,"cone",0.05,1,0.5341,0.5116
"hill-valley",4,"dropToValue",1024,0.01,"rect",0,1,0.5333,0.5396
"hill-valley",3,"dropToValue",512,0.1,"cone",0,1,0.5297,0.505
"hill-valley",2,"dropToValue",256,0.01,"rect",0,1,0.527,0.5116
"hill-valley",2,"dropToValue",1024,0.01,"rect",0.05,1,0.527,0.5066
"hill-valley",3,"dropToValue",512,0.01,"rect",0,1,0.5248,0.5297
"hill-valley",3,"dropToValue",256,0.01,"cone",0.05,1,0.5238,0.5165
"hill-valley",2,"dropToValue",1024,0.01,"rect",0,1,0.523,0.5594
"hill-valley",3,"dropToValue",256,0.01,"rect",0,1,0.5228,0.5462
"hill-valley",4,"dropToValue",256,0.1,"rect",0.05,1,0.5214,0.5429
"hill-valley",2,"dropToValue",1024,0.01,"cone",0,1,0.5206,0.5017
"hill-valley",2,"dropToValue",512,0.01,"rect",0,1,0.5198,0.5033
