"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"horse-colic",16,"dropToValue",512,0.01,"cone",0.05,1,0.9212,0.8088
"horse-colic",2,"dropToValue",512,0.1,"cone",0,1,0.9197,0.8088
"horse-colic",4,"dropToValue",256,0.1,"cone",0.05,1,0.9167,0.8088
"horse-colic",4,"dropToValue",512,0.01,"rect",0,1,0.9152,0.8529
"horse-colic",8,"dropToValue",1024,0.1,"cone",0,1,0.9121,0.8088
"horse-colic",2,"dropToValue",256,0.1,"cone",0.05,1,0.9121,0.8382
"horse-colic",16,"dropToValue",512,0.1,"cone",0,1,0.9106,0.8088
"horse-colic",32,"dropToValue",1024,0.01,"rect",0,1,0.9091,0.7941
"horse-colic",2,"dropToValue",1024,0.1,"cone",0,1,0.9076,0.8088
"horse-colic",4,"dropToValue",512,0.1,"rect",0,1,0.9076,0.7794
"horse-colic",2,"dropToValue",256,0.01,"cone",0,1,0.9076,0.8676
"horse-colic",3,"dropToValue",256,0.1,"cone",0.05,1,0.907,0.8382
"horse-colic",2,"dropToValue",256,0.1,"rect",0,1,0.9061,0.8235
"horse-colic",2,"dropToValue",256,0.1,"rect",0.05,1,0.9061,0.8088
"horse-colic",8,"dropToValue",512,0.1,"cone",0,1,0.903,0.7794
"horse-colic",3,"dropToValue",512,0.1,"cone",0,1,0.9018,0.7794
"horse-colic",2,"dropToValue",1024,0.1,"cone",0.05,1,0.9015,0.7794
"horse-colic",4,"dropToValue",512,0.1,"rect",0.05,1,0.8985,0.7794
"horse-colic",16,"dropToValue",1024,0.01,"rect",0.05,1,0.8955,0.7353
"horse-colic",4,"dropToValue",256,0.1,"cone",0,1,0.8955,0.7941
"horse-colic",4,"dropToValue",1024,0.01,"cone",0,1,0.8939,0.8676
"horse-colic",2,"dropToValue",512,0.01,"cone",0,1,0.8939,0.8529
"horse-colic",3,"dropToValue",1024,0.1,"cone",0,1,0.893,0.7794
"horse-colic",4,"dropToValue",1024,0.01,"rect",0.05,1,0.8909,0.8235
"horse-colic",8,"dropToValue",256,0.1,"rect",0.05,1,0.8894,0.8088
"horse-colic",16,"dropToValue",512,0.1,"cone",0.05,1,0.8894,0.8235
"horse-colic",4,"dropToValue",256,0.01,"rect",0,1,0.8894,0.8529
"horse-colic",2,"dropToValue",256,0.1,"cone",0,1,0.8894,0.8088
"horse-colic",2,"dropToValue",512,0.1,"rect",0.05,1,0.8879,0.8235
"horse-colic",4,"dropToValue",256,0.1,"rect",0,1,0.8879,0.8235
"horse-colic",8,"dropToValue",256,0.1,"cone",0.05,1,0.8864,0.8235
"horse-colic",4,"dropToValue",512,0.1,"cone",0,1,0.8864,0.8088
"horse-colic",8,"dropToValue",512,0.01,"rect",0,1,0.8848,0.8529
"horse-colic",4,"dropToValue",512,0.01,"cone",0,1,0.8848,0.8235
"horse-colic",2,"dropToValue",1024,0.01,"cone",0,1,0.8848,0.8088
"horse-colic",4,"dropToValue",1024,0.01,"cone",0.05,1,0.8833,0.8529
"horse-colic",2,"dropToValue",512,0.01,"cone",0.05,1,0.8833,0.8529
"horse-colic",2,"dropToValue",1024,0.1,"rect",0,1,0.8833,0.8382
"horse-colic",32,"dropToValue",1024,0.1,"cone",0,1,0.8818,0.7941
"horse-colic",16,"dropToValue",256,0.01,"cone",0,1,0.8818,0.8088
