"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"ilpd-indian-liver",2,"dropToValue",256,0.01,"rect",0.05,1,0.757142931222916,0.698630154132843
"ilpd-indian-liver",2,"dropToValue",256,0.01,"rect",0,1,0.746511626243591,0.719178080558777
"ilpd-indian-liver",2,"dropToValue",512,0.01,"rect",0.05,1,0.746031820774078,0.726027429103851
"ilpd-indian-liver",4,"dropToValue",512,0.01,"rect",0.05,1,0.744444519281387,0.705479443073273
"ilpd-indian-liver",4,"dropToValue",512,0.01,"rect",0,1,0.738372105360031,0.678082227706909
"ilpd-indian-liver",8,"dropToValue",256,0.1,"cone",0,1,0.733720922470093,0.719178080558777
"ilpd-indian-liver",8,"dropToValue",1024,0.01,"rect",0.05,1,0.726984202861786,0.719178080558777
"ilpd-indian-liver",8,"dropToValue",1024,0.01,"cone",0,1,0.725581389665604,0.636986255645752
"ilpd-indian-liver",4,"dropToValue",256,0.01,"rect",0.05,1,0.723809599876404,0.684931516647339
"ilpd-indian-liver",4,"dropToValue",1024,0.01,"cone",0.05,1,0.723255801200867,0.691780805587769
"ilpd-indian-liver",2,"dropToValue",256,0.1,"rect",0.05,1,0.722222298383713,0.712328791618347
"ilpd-indian-liver",8,"dropToValue",512,0.01,"cone",0.05,1,0.720930218696594,0.691780805587769
"ilpd-indian-liver",8,"dropToValue",256,0.01,"rect",0,1,0.719767445325851,0.691780805587769
"ilpd-indian-liver",2,"dropToValue",1024,0.1,"rect",0,1,0.719767445325851,0.684931516647339
"ilpd-indian-liver",8,"dropToValue",1024,0.1,"cone",0,1,0.718604689836502,0.712328732013702
"ilpd-indian-liver",8,"dropToValue",256,0.01,"cone",0,1,0.718604642152786,0.678082168102264
"ilpd-indian-liver",32,"dropToValue",1024,0.01,"rect",0.05,1,0.71746039390564,0.719178020954132
"ilpd-indian-liver",4,"dropToValue",1024,0.01,"rect",0.05,1,0.71746039390564,0.705479443073273
"ilpd-indian-liver",8,"dropToValue",1024,0.01,"rect",0,1,0.717441874742508,0.712328732013702
"ilpd-indian-liver",8,"dropToValue",512,0.01,"rect",0,1,0.717441868782044,0.643835604190826
"ilpd-indian-liver",32,"dropToValue",1024,0.01,"rect",0,1,0.716279083490372,0.684931516647339
"ilpd-indian-liver",2,"dropToValue",256,0.1,"cone",0,1,0.716279065608978,0.66438353061676
"ilpd-indian-liver",4,"dropToValue",512,0.1,"cone",0,1,0.715116286277771,0.705479502677917
"ilpd-indian-liver",2,"dropToValue",1024,0.01,"cone",0,1,0.715116262435913,0.726027369499207
"ilpd-indian-liver",32,"dropToValue",256,0.1,"rect",0.05,1,0.714285790920257,0.719178080558777
"ilpd-indian-liver",32,"dropToValue",512,0.1,"rect",0.05,1,0.714285790920257,0.719178020954132
"ilpd-indian-liver",32,"dropToValue",1024,0.1,"rect",0.05,1,0.714285790920257,0.719178020954132
"ilpd-indian-liver",32,"dropToValue",256,1,"rect",0.05,1,0.714285790920257,0.719178080558777
"ilpd-indian-liver",32,"dropToValue",512,1,"rect",0.05,1,0.714285790920257,0.719178020954132
"ilpd-indian-liver",32,"dropToValue",1024,1,"rect",0.05,1,0.714285790920257,0.719178080558777
"ilpd-indian-liver",16,"dropToValue",512,0.1,"rect",0.05,1,0.714285790920257,0.719178080558777
"ilpd-indian-liver",16,"dropToValue",1024,0.1,"rect",0.05,1,0.714285790920257,0.719178080558777
"ilpd-indian-liver",16,"dropToValue",256,1,"rect",0.05,1,0.714285790920257,0.719178020954132
"ilpd-indian-liver",16,"dropToValue",512,1,"rect",0.05,1,0.714285790920257,0.719178080558777
"ilpd-indian-liver",16,"dropToValue",1024,1,"rect",0.05,1,0.714285790920257,0.719178080558777
"ilpd-indian-liver",8,"dropToValue",512,0.1,"rect",0.05,1,0.714285790920257,0.719178020954132
"ilpd-indian-liver",8,"dropToValue",1024,0.1,"rect",0.05,1,0.714285790920257,0.719178080558777
"ilpd-indian-liver",8,"dropToValue",256,1,"rect",0.05,1,0.714285790920257,0.719178020954132
"ilpd-indian-liver",8,"dropToValue",512,1,"rect",0.05,1,0.714285790920257,0.719178020954132
"ilpd-indian-liver",8,"dropToValue",1024,1,"rect",0.05,1,0.714285790920257,0.719178020954132
"ilpd-indian-liver",4,"dropToValue",1024,0.1,"rect",0.05,1,0.714285790920257,0.719178020954132
"ilpd-indian-liver",4,"dropToValue",256,1,"rect",0.05,1,0.714285790920257,0.719178080558777
"ilpd-indian-liver",4,"dropToValue",512,1,"rect",0.05,1,0.714285790920257,0.719178020954132
"ilpd-indian-liver",4,"dropToValue",1024,1,"rect",0.05,1,0.714285790920257,0.719178020954132
"ilpd-indian-liver",2,"dropToValue",256,1,"rect",0.05,1,0.714285790920257,0.719178080558777
"ilpd-indian-liver",2,"dropToValue",512,1,"rect",0.05,1,0.714285790920257,0.719178080558777
"ilpd-indian-liver",2,"dropToValue",1024,1,"rect",0.05,1,0.714285790920257,0.719178020954132
"ilpd-indian-liver",2,"dropToValue",512,0.01,"rect",0,1,0.713953477144241,0.698630154132843
"ilpd-indian-liver",8,"dropToValue",512,0.01,"cone",0,1,0.712790715694427,0.66438353061676
"ilpd-indian-liver",16,"dropToValue",1024,0.01,"cone",0,1,0.711627906560898,0.678082168102264
"ilpd-indian-liver",16,"dropToValue",1024,0.01,"rect",0,1,0.711627900600433,0.630136966705322
"ilpd-indian-liver",2,"dropToValue",1024,0.1,"rect",0.05,1,0.711111187934875,0.678082168102264
"ilpd-indian-liver",16,"dropToValue",256,0.01,"rect",0.05,1,0.709523886442184,0.691780805587769
"ilpd-indian-liver",2,"dropToValue",1024,0.01,"rect",0.05,1,0.709523886442184,0.691780805587769
"ilpd-indian-liver",32,"dropToValue",1024,0.01,"cone",0,1,0.708139538764954,0.684931457042694
"ilpd-indian-liver",4,"dropToValue",512,0.01,"cone",0,1,0.708139526844025,0.684931457042694
"ilpd-indian-liver",4,"dropToValue",256,0.1,"cone",0,1,0.70813952088356,0.67123281955719
"ilpd-indian-liver",4,"dropToValue",1024,0.1,"cone",0,1,0.706976765394211,0.691780805587769
"ilpd-indian-liver",2,"dropToValue",256,0.1,"rect",0,1,0.706976741552353,0.732876658439636
"ilpd-indian-liver",16,"dropToValue",512,0.01,"rect",0,1,0.706976735591888,0.746575355529785
"ilpd-indian-liver",16,"dropToValue",1024,0.1,"cone",0.05,1,0.70697672367096,0.719178080558777
"ilpd-indian-liver",4,"dropToValue",256,0.1,"rect",0.05,1,0.706349283456802,0.719178140163422
"ilpd-indian-liver",2,"dropToValue",512,0.1,"cone",0,1,0.705813944339752,0.691780805587769
"ilpd-indian-liver",8,"dropToValue",1024,0.1,"cone",0.05,1,0.705813932418823,0.719178020954132
"ilpd-indian-liver",32,"dropToValue",256,0.01,"rect",0,1,0.703488397598267,0.691780805587769
"ilpd-indian-liver",16,"dropToValue",256,0.1,"cone",0,1,0.702325594425201,0.712328791618347
"ilpd-indian-liver",16,"dropToValue",1024,0.01,"rect",0.05,1,0.701587378978729,0.726027369499207
"ilpd-indian-liver",16,"dropToValue",512,0.1,"cone",0,1,0.701162803173065,0.671232879161835
"ilpd-indian-liver",2,"dropToValue",512,0.1,"rect",0.05,1,0.700000077486038,0.698630154132843
"ilpd-indian-liver",4,"dropToValue",256,0.01,"rect",0,1,0.699999994039536,0.684931516647339
"ilpd-indian-liver",32,"dropToValue",256,0.1,"cone",0,1,0.699999976158142,0.698630154132843
"ilpd-indian-liver",2,"dropToValue",512,0.01,"cone",0,1,0.699999976158142,0.726027369499207
"ilpd-indian-liver",32,"dropToValue",1024,0.1,"cone",0,1,0.69883719086647,0.712328732013702
"ilpd-indian-liver",32,"dropToValue",256,0.01,"cone",0.05,1,0.698837184906006,0.719178020954132
"ilpd-indian-liver",32,"dropToValue",1024,0.01,"cone",0.05,1,0.698837184906006,0.719178080558777
"ilpd-indian-liver",16,"dropToValue",512,0.1,"cone",0.05,1,0.698837184906006,0.719178020954132
"ilpd-indian-liver",4,"dropToValue",1024,0.1,"cone",0.05,1,0.697674405574799,0.705479443073273
"ilpd-indian-liver",32,"dropToValue",512,0.1,"cone",0,1,0.697674399614334,0.719178080558777
"ilpd-indian-liver",32,"dropToValue",512,0.01,"cone",0.05,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",32,"dropToValue",256,0.1,"cone",0.05,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",32,"dropToValue",512,0.1,"cone",0.05,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",32,"dropToValue",1024,0.1,"cone",0.05,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",32,"dropToValue",256,0.1,"rect",0,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",32,"dropToValue",512,0.1,"rect",0,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",32,"dropToValue",1024,0.1,"rect",0,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",32,"dropToValue",256,1,"cone",0.05,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",32,"dropToValue",512,1,"cone",0.05,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",32,"dropToValue",256,1,"cone",0,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",32,"dropToValue",512,1,"cone",0,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",32,"dropToValue",256,1,"rect",0,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",32,"dropToValue",512,1,"rect",0,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",32,"dropToValue",1024,1,"rect",0,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",16,"dropToValue",256,0.01,"cone",0.05,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",16,"dropToValue",256,0.1,"cone",0.05,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",16,"dropToValue",256,0.1,"rect",0,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",16,"dropToValue",512,0.1,"rect",0,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",16,"dropToValue",1024,0.1,"rect",0,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",16,"dropToValue",256,1,"cone",0.05,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",16,"dropToValue",512,1,"cone",0.05,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",16,"dropToValue",512,1,"cone",0,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",16,"dropToValue",1024,1,"cone",0,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",16,"dropToValue",256,1,"rect",0,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",16,"dropToValue",512,1,"rect",0,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",16,"dropToValue",1024,1,"rect",0,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",8,"dropToValue",256,0.1,"cone",0.05,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",8,"dropToValue",512,0.1,"cone",0.05,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",8,"dropToValue",256,0.1,"rect",0,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",8,"dropToValue",512,0.1,"rect",0,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",8,"dropToValue",1024,0.1,"rect",0,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",8,"dropToValue",1024,1,"cone",0.05,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",8,"dropToValue",512,1,"cone",0,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",8,"dropToValue",1024,1,"cone",0,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",8,"dropToValue",256,1,"rect",0,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",8,"dropToValue",512,1,"rect",0,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",8,"dropToValue",1024,1,"rect",0,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",4,"dropToValue",512,0.1,"rect",0,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",4,"dropToValue",1024,0.1,"rect",0,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",4,"dropToValue",256,1,"cone",0.05,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",4,"dropToValue",512,1,"cone",0.05,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",4,"dropToValue",1024,1,"cone",0.05,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",4,"dropToValue",256,1,"cone",0,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",4,"dropToValue",512,1,"cone",0,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",4,"dropToValue",1024,1,"cone",0,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",4,"dropToValue",256,1,"rect",0,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",4,"dropToValue",512,1,"rect",0,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",4,"dropToValue",1024,1,"rect",0,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",2,"dropToValue",256,1,"cone",0.05,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",2,"dropToValue",512,1,"cone",0.05,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",2,"dropToValue",1024,1,"cone",0.05,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",2,"dropToValue",1024,1,"cone",0,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",2,"dropToValue",256,1,"rect",0,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",2,"dropToValue",512,1,"rect",0,1,0.69767439365387,0.719178080558777
"ilpd-indian-liver",2,"dropToValue",1024,1,"rect",0,1,0.69767439365387,0.719178020954132
"ilpd-indian-liver",4,"dropToValue",512,0.1,"rect",0.05,1,0.696825474500656,0.732876658439636
"ilpd-indian-liver",16,"dropToValue",512,0.01,"cone",0,1,0.695348864793778,0.643835604190826
"ilpd-indian-liver",32,"dropToValue",512,0.01,"cone",0,1,0.695348834991455,0.650684952735901
"ilpd-indian-liver",2,"dropToValue",512,0.1,"rect",0,1,0.695348829030991,0.698630154132843
"ilpd-indian-liver",16,"dropToValue",256,0.01,"rect",0,1,0.695348823070526,0.719178080558777
"ilpd-indian-liver",8,"dropToValue",1024,0.01,"cone",0.05,1,0.695348811149597,0.684931516647339
"ilpd-indian-liver",3,"dropToValue",512,0.01,"cone",0.05,1,0.692708361148834,0.75342470407486
"ilpd-indian-liver",16,"dropToValue",512,0.01,"rect",0.05,1,0.692063570022583,0.691780805587769
"ilpd-indian-liver",8,"dropToValue",512,0.1,"cone",0,1,0.690697664022446,0.684931457042694
"ilpd-indian-liver",32,"dropToValue",1024,1,"cone",0.05,1,0.690697658061981,0.719178020954132
"ilpd-indian-liver",3,"dropToValue",256,0.1,"cone",0,1,0.689583367109299,0.705479443073273
"ilpd-indian-liver",4,"dropToValue",1024,0.01,"cone",0,1,0.689534896612167,0.67123281955719
"ilpd-indian-liver",4,"dropToValue",256,0.01,"cone",0,1,0.689534884691238,0.671232879161835
"ilpd-indian-liver",2,"dropToValue",256,0.01,"cone",0,1,0.689534878730774,0.698630094528198
