"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"image-segmentation",3,"dropToValue",512,0.1,"cone",0.05,1,0.970454573631287,0.911428451538086
"image-segmentation",3,"dropToValue",1024,0.1,"cone",0.05,1,0.968181848526001,0.906190395355225
"image-segmentation",3,"dropToValue",1024,0.1,"cone",0,1,0.961363673210144,0.908095121383667
"image-segmentation",3,"dropToValue",256,0.1,"rect",0,1,0.956818211078644,0.904285550117493
"image-segmentation",3,"dropToValue",512,0.1,"rect",0.05,1,0.952272737026215,0.904285609722137
"image-segmentation",3,"dropToValue",256,0.1,"cone",0,1,0.945454549789429,0.90190464258194
"image-segmentation",3,"dropToValue",1024,0.1,"rect",0.05,1,0.940909099578857,0.891904652118683
"image-segmentation",3,"dropToValue",1024,0.01,"cone",0.05,1,0.940909075736999,0.900476098060608
"image-segmentation",3,"dropToValue",512,0.1,"rect",0,1,0.938636350631714,0.903809368610382
"image-segmentation",3,"dropToValue",512,0.01,"rect",0,1,0.936363613605499,0.892380833625793
"image-segmentation",3,"dropToValue",256,0.01,"cone",0.05,1,0.931818127632141,0.854285597801208
"image-segmentation",3,"dropToValue",256,0.1,"cone",0.05,1,0.929545402526856,0.899523735046387
"image-segmentation",3,"dropToValue",256,0.1,"rect",0.05,1,0.927272689342499,0.90190464258194
"image-segmentation",3,"dropToValue",512,0.01,"rect",0.05,1,0.92727267742157,0.877142727375031
"image-segmentation",3,"dropToValue",1024,0.01,"rect",0,1,0.922727227210999,0.895237922668457
"image-segmentation",3,"dropToValue",256,0.01,"rect",0,1,0.920454502105713,0.887618958950043
"image-segmentation",32,"dropToValue",256,0.01,"cone",0,1,0.920000010728836,0.873809337615967
"image-segmentation",4,"dropToValue",1024,0.1,"cone",0,1,0.920000004768372,0.915237903594971
"image-segmentation",3,"dropToValue",1024,0.01,"rect",0.05,1,0.91136360168457,0.885714173316956
"image-segmentation",32,"dropToValue",256,0.01,"rect",0,1,0.908000028133392,0.899047493934631
"image-segmentation",16,"dropToValue",1024,0.01,"rect",0,1,0.908000028133392,0.905714213848114
"image-segmentation",8,"dropToValue",1024,0.01,"rect",0,1,0.908000022172928,0.89380943775177
"image-segmentation",8,"dropToValue",512,0.01,"cone",0,1,0.906000024080277,0.895238041877747
"image-segmentation",16,"dropToValue",1024,0.1,"cone",0,1,0.906000018119812,0.897142767906189
"image-segmentation",4,"dropToValue",512,0.1,"rect",0.05,1,0.906000018119812,0.887618899345398
"image-segmentation",16,"dropToValue",1024,0.01,"cone",0,1,0.906000012159348,0.886666536331177
"image-segmentation",3,"dropToValue",256,0.01,"rect",0.05,1,0.904545426368713,0.860476076602936
"image-segmentation",32,"dropToValue",512,0.01,"cone",0,1,0.903999996185303,0.906190395355225
"image-segmentation",4,"dropToValue",256,0.1,"cone",0,1,0.902000015974045,0.887618899345398
"image-segmentation",16,"dropToValue",512,0.01,"rect",0,1,0.900000035762787,0.911428451538086
"image-segmentation",32,"dropToValue",1024,0.01,"cone",0,1,0.899999976158142,0.900952219963074
"image-segmentation",3,"dropToValue",1024,0.1,"rect",0,1,0.899999964237213,0.914761781692505
"image-segmentation",2,"dropToValue",256,0.1,"rect",0,1,0.896000015735626,0.898571252822876
"image-segmentation",32,"dropToValue",1024,0.01,"rect",0,1,0.894000017642975,0.880476057529449
"image-segmentation",8,"dropToValue",256,0.01,"rect",0,1,0.894000005722046,0.894761800765991
"image-segmentation",8,"dropToValue",512,0.01,"rect",0.05,1,0.892000019550323,0.895714223384857
"image-segmentation",4,"dropToValue",512,0.01,"cone",0,1,0.892000019550323,0.877618968486786
"image-segmentation",2,"dropToValue",1024,0.01,"rect",0.05,1,0.892000019550323,0.889999866485596
"image-segmentation",2,"dropToValue",1024,0.01,"cone",0,1,0.892000019550323,0.890476047992706
"image-segmentation",2,"dropToValue",512,0.1,"rect",0.05,1,0.892000019550323,0.888095140457153
"image-segmentation",16,"dropToValue",256,0.01,"rect",0,1,0.892000013589859,0.904285490512848
"image-segmentation",3,"dropToValue",512,0.01,"cone",0,1,0.890909075737,0.881428480148315
"image-segmentation",4,"dropToValue",512,0.01,"cone",0.05,1,0.890000015497208,0.879999995231628
"image-segmentation",4,"dropToValue",512,0.01,"rect",0,1,0.890000015497208,0.891904652118683
"image-segmentation",2,"dropToValue",256,0.1,"cone",0.05,1,0.890000015497208,0.898571312427521
"image-segmentation",2,"dropToValue",512,0.1,"cone",0.05,1,0.890000015497208,0.890476107597351
"image-segmentation",3,"dropToValue",512,0.1,"cone",0,1,0.888636350631714,0.894761741161346
"image-segmentation",2,"dropToValue",256,0.1,"cone",0,1,0.888000017404556,0.892857015132904
