"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"ionosphere",3,"dropToValue",1024,0.01,"cone",0.05,1,0.969696998596191,0.886363685131073
"ionosphere",3,"dropToValue",256,0.01,"cone",0,1,0.969696998596191,0.909090995788574
"ionosphere",3,"dropToValue",1024,0.01,"rect",0,1,0.96666669845581,0.920454621315002
"ionosphere",3,"dropToValue",1024,0.01,"cone",0,1,0.960606098175049,0.909090936183929
"ionosphere",3,"dropToValue",256,0.1,"rect",0.05,1,0.960606092214584,0.920454621315002
"ionosphere",3,"dropToValue",512,0.01,"cone",0,1,0.959090948104858,0.897727310657501
"ionosphere",3,"dropToValue",512,0.1,"cone",0,1,0.959090936183929,0.920454621315002
"ionosphere",3,"dropToValue",1024,0.1,"cone",0,1,0.959090930223465,0.909090995788574
"ionosphere",3,"dropToValue",1024,0.1,"cone",0.05,1,0.957575780153274,0.897727251052856
"ionosphere",3,"dropToValue",512,0.01,"rect",0,1,0.954545480012894,0.909090995788574
"ionosphere",3,"dropToValue",512,0.01,"cone",0.05,1,0.950000047683716,0.920454621315002
"ionosphere",3,"dropToValue",256,0.1,"cone",0,1,0.946969729661941,0.920454561710358
"ionosphere",3,"dropToValue",1024,0.1,"rect",0.05,1,0.939393985271454,0.875000059604645
"ionosphere",3,"dropToValue",256,0.01,"rect",0.05,1,0.939393979310989,0.931818187236786
"ionosphere",3,"dropToValue",256,0.1,"cone",0.05,1,0.93939396739006,0.920454621315002
"ionosphere",3,"dropToValue",256,0.1,"rect",0,1,0.936363697052002,0.920454502105713
"ionosphere",3,"dropToValue",512,0.01,"rect",0.05,1,0.936363685131073,0.920454561710358
"ionosphere",16,"dropToValue",256,0.01,"rect",0,1,0.936170220375061,0.943181872367859
"ionosphere",4,"dropToValue",256,0.1,"cone",0,1,0.936170220375061,0.909090876579285
"ionosphere",3,"dropToValue",512,0.1,"rect",0.05,1,0.934848535060883,0.909090995788574
"ionosphere",3,"dropToValue",512,0.1,"cone",0.05,1,0.934848493337631,0.943181872367859
"ionosphere",4,"dropToValue",512,0.1,"cone",0.05,1,0.93404256105423,0.897727251052856
"ionosphere",3,"dropToValue",512,0.1,"rect",0,1,0.933333390951157,0.931818246841431
"ionosphere",3,"dropToValue",256,0.01,"rect",0,1,0.933333384990692,0.909090936183929
"ionosphere",8,"dropToValue",256,0.1,"rect",0.05,1,0.929787242412567,0.931818127632141
"ionosphere",2,"dropToValue",1024,0.1,"cone",0.05,1,0.929787242412567,0.909090876579285
"ionosphere",4,"dropToValue",1024,0.1,"cone",0.05,1,0.927659583091736,0.909090876579285
"ionosphere",3,"dropToValue",1024,0.01,"rect",0.05,1,0.925757610797882,0.931818246841431
"ionosphere",4,"dropToValue",512,0.1,"rect",0.05,1,0.925531923770905,0.897727251052856
"ionosphere",8,"dropToValue",1024,0.1,"cone",0.05,1,0.921276605129242,0.909090876579285
"ionosphere",2,"dropToValue",1024,0.1,"rect",0.05,1,0.917021286487579,0.909090876579285
"ionosphere",4,"dropToValue",256,0.01,"rect",0.05,1,0.914893627166748,0.875
"ionosphere",4,"dropToValue",1024,0.01,"cone",0,1,0.914893627166748,0.897727251052856
"ionosphere",4,"dropToValue",256,0.01,"rect",0,1,0.914893627166748,0.897727251052856
"ionosphere",2,"dropToValue",1024,0.01,"rect",0.05,1,0.914893627166748,0.875
"ionosphere",2,"dropToValue",1024,0.01,"rect",0,1,0.914893627166748,0.897727251052856
"ionosphere",2,"dropToValue",256,0.1,"cone",0.05,1,0.914893627166748,0.886363625526428
"ionosphere",2,"dropToValue",512,0.1,"rect",0.05,1,0.914893627166748,0.897727251052856
"ionosphere",2,"dropToValue",1024,0.1,"rect",0,1,0.914893627166748,0.875
"ionosphere",8,"dropToValue",1024,0.01,"rect",0.05,1,0.912765967845917,0.897727251052856
"ionosphere",4,"dropToValue",1024,0.01,"rect",0,1,0.912765967845917,0.897727251052856
"ionosphere",2,"dropToValue",512,0.1,"rect",0,1,0.912765967845917,0.897727251052856
"ionosphere",4,"dropToValue",256,0.1,"rect",0.05,1,0.910638308525086,0.897727251052856
"ionosphere",3,"dropToValue",256,0.01,"cone",0.05,1,0.909090906381607,0.920454621315002
"ionosphere",8,"dropToValue",512,0.01,"rect",0.05,1,0.908510649204254,0.897727251052856
"ionosphere",2,"dropToValue",256,0.1,"rect",0,1,0.908510649204254,0.897727251052856
"ionosphere",2,"dropToValue",256,0.1,"rect",0.05,1,0.904255330562592,0.886363625526428
"ionosphere",16,"dropToValue",1024,0.01,"rect",0.05,1,0.90212767124176,0.920454502105713
"ionosphere",8,"dropToValue",1024,0.01,"rect",0,1,0.90212767124176,0.909090876579285
"ionosphere",8,"dropToValue",512,0.01,"rect",0,1,0.90212767124176,0.897727251052856
"ionosphere",4,"dropToValue",256,0.1,"cone",0.05,1,0.895744693279266,0.863636374473572
"ionosphere",32,"dropToValue",512,0.01,"rect",0.05,1,0.893617033958435,0.897727251052856
"ionosphere",32,"dropToValue",1024,0.01,"cone",0,1,0.893617033958435,0.863636374473572
"ionosphere",32,"dropToValue",1024,0.01,"rect",0,1,0.893617033958435,0.897727251052856
"ionosphere",16,"dropToValue",512,0.01,"rect",0,1,0.893617033958435,0.920454502105713
"ionosphere",16,"dropToValue",1024,0.01,"rect",0,1,0.893617033958435,0.909090876579285
"ionosphere",8,"dropToValue",512,0.01,"cone",0.05,1,0.893617033958435,0.897727251052856
"ionosphere",8,"dropToValue",256,0.01,"cone",0,1,0.893617033958435,0.897727251052856
"ionosphere",8,"dropToValue",512,0.01,"cone",0,1,0.893617033958435,0.909090876579285
"ionosphere",8,"dropToValue",1024,0.01,"cone",0,1,0.893617033958435,0.897727251052856
"ionosphere",8,"dropToValue",256,0.01,"rect",0,1,0.893617033958435,0.920454502105713
"ionosphere",8,"dropToValue",256,0.1,"cone",0,1,0.893617033958435,0.909090876579285
"ionosphere",8,"dropToValue",512,0.1,"cone",0,1,0.893617033958435,0.897727251052856
"ionosphere",4,"dropToValue",1024,0.01,"cone",0.05,1,0.893617033958435,0.897727251052856
"ionosphere",4,"dropToValue",512,0.01,"rect",0.05,1,0.893617033958435,0.897727251052856
"ionosphere",4,"dropToValue",1024,0.01,"rect",0.05,1,0.893617033958435,0.897727251052856
"ionosphere",4,"dropToValue",512,0.01,"cone",0,1,0.893617033958435,0.886363625526428
"ionosphere",4,"dropToValue",512,0.01,"rect",0,1,0.893617033958435,0.897727251052856
"ionosphere",4,"dropToValue",1024,0.1,"cone",0,1,0.893617033958435,0.897727251052856
"ionosphere",2,"dropToValue",1024,0.01,"cone",0,1,0.893617033958435,0.897727251052856
"ionosphere",2,"dropToValue",512,0.01,"rect",0,1,0.893617033958435,0.897727251052856
"ionosphere",32,"dropToValue",1024,0.01,"rect",0.05,1,0.891489374637604,0.886363625526428
"ionosphere",8,"dropToValue",1024,0.1,"cone",0,1,0.891489374637604,0.920454502105713
"ionosphere",16,"dropToValue",1024,0.1,"cone",0.05,1,0.889361715316772,0.897727251052856
"ionosphere",2,"dropToValue",512,0.01,"rect",0.05,1,0.889361715316772,0.897727251052856
"ionosphere",16,"dropToValue",512,0.01,"cone",0.05,1,0.887234055995941,0.920454502105713
"ionosphere",2,"dropToValue",512,0.1,"cone",0.05,1,0.887234055995941,0.875
"ionosphere",2,"dropToValue",1024,0.1,"cone",0,1,0.887234055995941,0.897727251052856
"ionosphere",8,"dropToValue",256,0.1,"cone",0.05,1,0.88510639667511,0.897727251052856
"ionosphere",16,"dropToValue",512,0.01,"rect",0.05,1,0.882978737354279,0.886363625526428
"ionosphere",16,"dropToValue",512,0.1,"cone",0.05,1,0.882978737354279,0.886363625526428
"ionosphere",2,"dropToValue",512,0.1,"cone",0,1,0.882978737354279,0.897727251052856
"ionosphere",16,"dropToValue",256,0.1,"cone",0.05,1,0.878723418712616,0.886363625526428
"ionosphere",16,"dropToValue",512,0.1,"cone",0,1,0.876595759391785,0.875
"ionosphere",32,"dropToValue",256,0.01,"cone",0,1,0.872340440750122,0.920454502105713
"ionosphere",32,"dropToValue",256,0.01,"rect",0,1,0.872340440750122,0.920454502105713
"ionosphere",32,"dropToValue",512,0.01,"rect",0,1,0.872340440750122,0.886363625526428
"ionosphere",8,"dropToValue",256,1,"cone",0.05,1,0.872340440750122,0.852272748947144
"ionosphere",4,"dropToValue",512,0.1,"cone",0,1,0.872340440750122,0.897727251052856
"ionosphere",4,"dropToValue",256,0.1,"rect",0,1,0.872340440750122,0.875
"ionosphere",2,"dropToValue",1024,0.01,"cone",0.05,1,0.872340440750122,0.886363625526428
"ionosphere",2,"dropToValue",512,0.01,"cone",0,1,0.872340440750122,0.886363625526428
"ionosphere",2,"dropToValue",256,0.1,"cone",0,1,0.872340440750122,0.909090876579285
