"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"iris",2,"dropToValue",512,0.1,"cone",0,1,0.9952,0.973
"iris",4,"dropToValue",512,0.01,"rect",0.05,1,0.9933,0.9189
"iris",2,"dropToValue",256,0.1,"rect",0.05,1,0.9933,0.9459
"iris",8,"dropToValue",512,0.01,"cone",0,1,0.9905,0.973
"iris",8,"dropToValue",256,0.1,"cone",0.05,1,0.9905,0.973
"iris",2,"dropToValue",512,0.1,"cone",0.05,1,0.9905,0.973
"iris",2,"dropToValue",512,0.1,"rect",0.05,1,0.9867,0.973
"iris",16,"dropToValue",256,0.01,"cone",0,1,0.9857,0.973
"iris",4,"dropToValue",256,0.1,"cone",0.05,1,0.9857,0.973
"iris",2,"dropToValue",256,0.1,"cone",0.05,1,0.9857,0.973
"iris",2,"dropToValue",1024,0.1,"rect",0,1,0.9857,0.973
"iris",4,"dropToValue",1024,0.01,"rect",0,1,0.981,0.973
"iris",4,"dropToValue",1024,0.1,"cone",0.05,1,0.981,0.973
"iris",2,"dropToValue",1024,0.1,"cone",0.05,1,0.981,0.973
"iris",8,"dropToValue",512,0.01,"rect",0.05,1,0.98,0.973
"iris",4,"dropToValue",1024,0.01,"rect",0.05,1,0.98,0.9459
"iris",4,"dropToValue",512,0.01,"rect",0,1,0.9762,0.973
"iris",4,"dropToValue",256,0.1,"cone",0,1,0.9762,0.973
"iris",4,"dropToValue",512,0.1,"cone",0,1,0.9762,0.973
"iris",2,"dropToValue",256,0.1,"rect",0,1,0.9762,0.9459
"iris",2,"dropToValue",512,0.1,"rect",0,1,0.9762,0.973
"iris",8,"dropToValue",1024,0.01,"rect",0.05,1,0.9733,0.9459
"iris",8,"dropToValue",256,0.01,"rect",0,1,0.9714,0.973
"iris",8,"dropToValue",512,0.1,"cone",0.05,1,0.9714,0.973
"iris",2,"dropToValue",256,0.1,"cone",0,1,0.9667,0.973
"iris",3,"dropToValue",256,0.1,"cone",0,1,0.9667,0.973
"iris",4,"dropToValue",256,0.1,"rect",0.05,1,0.9667,0.973
