"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"led-display",3,"dropToValue",512,0.01,"cone",0.05,1,0.71690137386322,0.763999938964844
"led-display",3,"dropToValue",512,0.01,"rect",0.05,1,0.703521078824997,0.76800000667572
"led-display",32,"dropToValue",512,0.01,"rect",0.05,1,0.702830243110657,0.716000020503998
"led-display",8,"dropToValue",256,0.01,"rect",0.05,1,0.694339650869369,0.740000009536743
"led-display",16,"dropToValue",256,0.01,"rect",0.05,1,0.688679271936417,0.727999985218048
"led-display",4,"dropToValue",256,0.01,"rect",0.05,1,0.687735879421234,0.73199999332428
"led-display",2,"dropToValue",256,0.01,"rect",0.05,1,0.686792480945587,0.739999949932098
"led-display",32,"dropToValue",1024,0.01,"rect",0.05,1,0.686792474985123,0.727999985218048
"led-display",3,"dropToValue",512,0.01,"cone",0,1,0.686619693040848,0.767999947071075
"led-display",2,"dropToValue",256,0.01,"cone",0,1,0.684615421295166,0.787999987602234
"led-display",2,"dropToValue",256,0.01,"cone",0.05,1,0.682692360877991,0.779999971389771
"led-display",8,"dropToValue",256,0.01,"cone",0,1,0.682692354917526,0.759999990463257
"led-display",16,"dropToValue",1024,0.01,"rect",0.05,1,0.682075500488281,0.716000020503998
"led-display",4,"dropToValue",512,0.01,"rect",0.05,1,0.682075488567352,0.715999960899353
"led-display",2,"dropToValue",1024,0.01,"rect",0.05,1,0.68113209605217,0.736000001430511
"led-display",3,"dropToValue",512,0.1,"cone",0.05,1,0.680985885858536,0.763999938964844
"led-display",3,"dropToValue",256,0.1,"cone",0.05,1,0.680281662940979,0.759999990463257
"led-display",32,"dropToValue",256,0.01,"rect",0.05,1,0.680188685655594,0.692000031471252
"led-display",4,"dropToValue",512,0.01,"cone",0.05,1,0.67948722243309,0.784000039100647
"led-display",16,"dropToValue",512,0.01,"rect",0.05,1,0.679245293140411,0.735999941825867
"led-display",8,"dropToValue",1024,0.1,"cone",0.05,1,0.678846198320389,0.763999998569489
"led-display",8,"dropToValue",512,0.1,"cone",0.05,1,0.67884618639946,0.74399995803833
"led-display",2,"dropToValue",512,0.01,"rect",0.05,1,0.678301912546158,0.740000009536743
"led-display",8,"dropToValue",512,0.01,"rect",0.05,1,0.678301900625229,0.735999941825867
"led-display",16,"dropToValue",256,0.1,"cone",0.05,1,0.677564144134522,0.732000052928925
"led-display",4,"dropToValue",256,0.01,"cone",0,1,0.677564132213593,0.748000025749207
"led-display",8,"dropToValue",1024,0.01,"rect",0.05,1,0.676415097713471,0.740000009536743
"led-display",4,"dropToValue",1024,0.01,"cone",0,1,0.676282101869583,0.748000025749207
"led-display",2,"dropToValue",256,0.1,"cone",0.05,1,0.675641071796417,0.771999955177307
"led-display",3,"dropToValue",1024,0.1,"rect",0,1,0.675352090597153,0.75600004196167
"led-display",3,"dropToValue",256,0.01,"cone",0.05,1,0.675352048873901,0.779999971389771
"led-display",4,"dropToValue",512,0.1,"cone",0.05,1,0.67435901761055,0.76800000667572
"led-display",3,"dropToValue",256,0.1,"rect",0,1,0.67394363284111,0.787999987602234
"led-display",8,"dropToValue",256,0.01,"cone",0.05,1,0.673717987537384,0.767999947071075
"led-display",3,"dropToValue",1024,0.1,"cone",0,1,0.673239427804947,0.79200005531311
"led-display",4,"dropToValue",256,0.1,"cone",0.05,1,0.672435945272446,0.772000014781952
"led-display",2,"dropToValue",256,0.1,"cone",0,1,0.672435945272446,0.759999990463257
"led-display",8,"dropToValue",1024,0.01,"cone",0,1,0.672435909509659,0.759999990463257
"led-display",2,"dropToValue",512,0.01,"cone",0,1,0.671794921159744,0.772000014781952
"led-display",16,"dropToValue",512,0.1,"cone",0.05,1,0.67179491519928,0.76800012588501
"led-display",2,"dropToValue",512,0.1,"rect",0.05,1,0.671698105335236,0.740000009536743
"led-display",4,"dropToValue",256,0.1,"cone",0,1,0.67115386724472,0.772000014781952
"led-display",3,"dropToValue",256,0.01,"rect",0.05,1,0.671126753091812,0.764000058174133
"led-display",3,"dropToValue",512,0.1,"rect",0.05,1,0.671126735210419,0.776000022888184
"led-display",8,"dropToValue",256,0.1,"rect",0.05,1,0.670754724740982,0.727999985218048
"led-display",2,"dropToValue",256,0.1,"rect",0.05,1,0.670754724740982,0.73199999332428
"led-display",4,"dropToValue",1024,0.01,"rect",0.05,1,0.670754718780518,0.735999941825867
"led-display",4,"dropToValue",1024,0.01,"cone",0.05,1,0.670512861013412,0.759999990463257
"led-display",8,"dropToValue",512,0.1,"cone",0,1,0.670512855052948,0.763999998569489
"led-display",8,"dropToValue",256,0.1,"cone",0.05,1,0.670512837171555,0.768000066280365
"led-display",3,"dropToValue",256,0.1,"rect",0.05,1,0.669718283414841,0.779999971389771
"led-display",16,"dropToValue",256,0.01,"cone",0,1,0.669230830669403,0.755999982357025
"led-display",4,"dropToValue",1024,0.1,"cone",0.05,1,0.66923081278801,0.764000058174133
"led-display",3,"dropToValue",1024,0.1,"cone",0.05,1,0.669014066457748,0.767999947071075
"led-display",8,"dropToValue",256,0.1,"cone",0,1,0.668589782714844,0.760000050067902
"led-display",3,"dropToValue",512,0.1,"cone",0,1,0.668309825658798,0.76800000667572
"led-display",16,"dropToValue",256,0.1,"cone",0,1,0.667948746681213,0.780000030994415
"led-display",4,"dropToValue",256,0.1,"rect",0.05,1,0.667924535274506,0.74399995803833
"led-display",4,"dropToValue",512,0.1,"cone",0,1,0.667307734489441,0.768000066280365
"led-display",2,"dropToValue",1024,0.01,"cone",0,1,0.666666734218597,0.763999998569489
"led-display",4,"dropToValue",512,0.01,"cone",0,1,0.666666716337204,0.76800000667572
"led-display",3,"dropToValue",512,0.01,"rect",0,1,0.666197168827057,0.772000014781952
"led-display",3,"dropToValue",1024,0.01,"cone",0.05,1,0.666197144985199,0.752000033855438
"led-display",4,"dropToValue",512,0.1,"rect",0.05,1,0.666037732362747,0.684000015258789
"led-display",2,"dropToValue",1024,0.01,"rect",0,1,0.666025692224503,0.764000058174133
"led-display",2,"dropToValue",256,0.1,"rect",0,1,0.666025692224503,0.751999974250793
"led-display",8,"dropToValue",256,0.01,"rect",0,1,0.666025686264038,0.751999974250793
"led-display",16,"dropToValue",1024,0.1,"cone",0.05,1,0.666025668382645,0.75600004196167
"led-display",3,"dropToValue",1024,0.01,"rect",0.05,1,0.665492951869965,0.75600004196167
"led-display",3,"dropToValue",512,0.1,"rect",0,1,0.665492928028107,0.76800000667572
"led-display",8,"dropToValue",1024,0.1,"cone",0,1,0.665384656190872,0.740000069141388
"led-display",4,"dropToValue",256,0.01,"cone",0.05,1,0.6647436439991,0.76800000667572
"led-display",4,"dropToValue",1024,0.1,"cone",0,1,0.664743638038635,0.760000050067902
"led-display",2,"dropToValue",512,0.1,"cone",0.05,1,0.664102619886398,0.772000074386597
"led-display",3,"dropToValue",1024,0.1,"rect",0.05,1,0.664084494113922,0.712000012397766
"led-display",8,"dropToValue",1024,0.01,"cone",0.05,1,0.663461601734161,0.759999990463257
"led-display",2,"dropToValue",512,0.1,"cone",0,1,0.663461571931839,0.772000014781952
"led-display",4,"dropToValue",256,0.01,"rect",0,1,0.662820571660996,0.763999938964844
"led-display",3,"dropToValue",1024,0.01,"cone",0,1,0.661971813440323,0.772000074386597
"led-display",4,"dropToValue",1024,0.01,"rect",0,1,0.661538511514664,0.763999938964844
"led-display",2,"dropToValue",1024,0.1,"cone",0.05,1,0.661538505554199,0.760000050067902
"led-display",32,"dropToValue",512,0.01,"rect",0,1,0.66153849363327,0.760000050067902
"led-display",32,"dropToValue",256,0.01,"cone",0,1,0.661538487672806,0.727999985218048
"led-display",2,"dropToValue",1024,0.01,"cone",0.05,1,0.661538475751877,0.768000066280365
"led-display",3,"dropToValue",1024,0.01,"rect",0,1,0.661267596483231,0.772000014781952
"led-display",3,"dropToValue",256,0.1,"cone",0,1,0.661267584562302,0.780000030994415
"led-display",4,"dropToValue",512,0.01,"rect",0,1,0.660256481170654,0.75599992275238
"led-display",16,"dropToValue",1024,0.01,"cone",0,1,0.65961543917656,0.736000061035156
"led-display",8,"dropToValue",512,0.01,"cone",0,1,0.659615415334702,0.73199999332428
"led-display",2,"dropToValue",256,0.01,"rect",0,1,0.658974421024322,0.75600004196167
"led-display",2,"dropToValue",512,0.01,"rect",0,1,0.658974409103394,0.759999990463257
"led-display",32,"dropToValue",256,0.01,"rect",0,1,0.658974391222,0.727999985218048
"led-display",4,"dropToValue",1024,0.1,"rect",0,1,0.658333361148834,0.75600004196167
"led-display",8,"dropToValue",512,0.01,"cone",0.05,1,0.657692366838455,0.716000020503998
"led-display",2,"dropToValue",1024,0.1,"rect",0.05,1,0.657547175884247,0.720000028610229
"led-display",16,"dropToValue",512,0.01,"rect",0,1,0.655769264698029,0.751999974250793
"led-display",8,"dropToValue",512,0.01,"rect",0,1,0.655128252506256,0.75600004196167
"led-display",4,"dropToValue",256,0.1,"rect",0,1,0.655128234624863,0.740000069141388
"led-display",16,"dropToValue",256,0.01,"rect",0,1,0.65448722243309,0.740000009536743
"led-display",16,"dropToValue",1024,0.1,"cone",0,1,0.654487216472626,0.732000052928925
"led-display",3,"dropToValue",256,0.01,"rect",0,1,0.65422534942627,0.780000030994415
"led-display",2,"dropToValue",1024,0.1,"cone",0,1,0.65384618639946,0.775999963283539
"led-display",8,"dropToValue",256,0.1,"rect",0,1,0.653846180438995,0.75600004196167
"led-display",4,"dropToValue",512,0.1,"rect",0,1,0.653205156326294,0.76800000667572
"led-display",2,"dropToValue",512,0.01,"cone",0.05,1,0.652564162015915,0.75600004196167
"led-display",32,"dropToValue",1024,0.01,"cone",0,1,0.651282072067261,0.764000058174133
"led-display",4,"dropToValue",1024,0.1,"rect",0.05,1,0.650943398475647,0.740000009536743
"led-display",2,"dropToValue",1024,0.1,"rect",0,1,0.64935901761055,0.748000085353851
"led-display",16,"dropToValue",256,0.1,"rect",0.05,1,0.649056625366211,0.688000023365021
"led-display",16,"dropToValue",1024,0.01,"cone",0.05,1,0.648076969385147,0.740000009536743
"led-display",32,"dropToValue",1024,0.01,"rect",0,1,0.646153897047043,0.740000009536743
"led-display",2,"dropToValue",512,0.1,"rect",0,1,0.646153885126114,0.76800000667572
"led-display",3,"dropToValue",256,0.01,"cone",0,1,0.645774644613266,0.763999998569489
"led-display",16,"dropToValue",512,0.1,"cone",0,1,0.642948764562607,0.752000033855438
"led-display",16,"dropToValue",1024,0.01,"rect",0,1,0.639743608236313,0.748000025749207
"led-display",32,"dropToValue",512,0.01,"cone",0,1,0.634615421295166,0.712000012397766
"led-display",16,"dropToValue",512,0.01,"cone",0.05,1,0.633974403142929,0.699999988079071
"led-display",8,"dropToValue",512,0.1,"rect",0.05,1,0.632075494527817,0.715999960899353
"led-display",16,"dropToValue",512,0.01,"cone",0,1,0.628205156326294,0.728000044822693
"led-display",8,"dropToValue",1024,0.01,"rect",0,1,0.626923131942749,0.759999990463257
"led-display",16,"dropToValue",256,0.01,"cone",0.05,1,0.613461565971375,0.663999974727631
"led-display",32,"dropToValue",1024,0.1,"cone",0.05,1,0.458333358168602,0.459999978542328
"led-display",32,"dropToValue",1024,0.01,"cone",0.05,1,0.416666686534882,0.495999991893768
"led-display",32,"dropToValue",512,0.1,"cone",0,1,0.28525642901659,0.319999992847443
"led-display",32,"dropToValue",256,0.1,"cone",0,1,0.276923090219498,0.34799998998642
"led-display",32,"dropToValue",1024,0.1,"cone",0,1,0.265384621918201,0.259999990463257
"led-display",32,"dropToValue",256,0.1,"cone",0.05,1,0.259615390002727,0.300000011920929
"led-display",32,"dropToValue",256,0.01,"cone",0.05,1,0.253205139935017,0.288000017404556
"led-display",32,"dropToValue",512,0.01,"cone",0.05,1,0.192948722839355,0.215999990701675
"led-display",2,"dropToValue",256,1,"cone",0.05,1,0.190384621918201,0.195999994874001
"led-display",32,"dropToValue",512,1,"cone",0.05,1,0.18141026198864,0.200000002980232
