"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"lenses",16,"dropToValue",1024,0.01,"cone",0,1,1,0.666666686534882
"lenses",8,"dropToValue",256,0.01,"rect",0.05,1,1,1
"lenses",4,"dropToValue",256,0.01,"rect",0.05,1,1,0.833333373069763
"lenses",3,"dropToValue",256,0.1,"cone",0,1,1,0.666666686534882
"lenses",3,"dropToValue",512,0.1,"cone",0,1,1,0.666666686534882
"lenses",2,"dropToValue",256,0.01,"rect",0.05,1,1,0.833333373069763
"lenses",2,"dropToValue",512,0.01,"rect",0.05,1,1,1
"lenses",2,"dropToValue",1024,0.01,"rect",0.05,1,1,1
"lenses",2,"dropToValue",256,0.1,"cone",0,1,1,0.666666686534882
"lenses",4,"dropToValue",512,0.01,"rect",0.05,1,0.966666668653488,1
"lenses",3,"dropToValue",256,0.1,"cone",0.05,1,0.95,0.666666686534882
"lenses",8,"dropToValue",1024,0.01,"cone",0,1,0.9,0.666666686534882
"lenses",8,"dropToValue",256,0.1,"cone",0.05,1,0.9,0.666666686534882
"lenses",3,"dropToValue",1024,0.1,"cone",0.05,1,0.9,0.16666667163372
"lenses",8,"dropToValue",256,0.01,"cone",0.05,1,0.875,0.833333373069763
"lenses",16,"dropToValue",256,0.01,"rect",0.05,1,0.866666674613953,0.833333373069763
"lenses",3,"dropToValue",512,0.1,"cone",0.05,1,0.85,0.833333373069763
"lenses",2,"dropToValue",256,0.1,"cone",0.05,1,0.85,0.5
"lenses",32,"dropToValue",256,0.01,"rect",0,1,0.825,0.666666686534882
"lenses",8,"dropToValue",1024,0.01,"cone",0.05,1,0.825,0.666666686534882
"lenses",4,"dropToValue",256,0.1,"cone",0.05,1,0.825,0.666666686534882
"lenses",4,"dropToValue",1024,0.01,"rect",0.05,1,0.800000008940697,0.666666686534882
"lenses",16,"dropToValue",256,0.01,"cone",0.05,1,0.8,0.666666686534882
"lenses",16,"dropToValue",256,0.01,"cone",0,1,0.8,0.5
"lenses",16,"dropToValue",1024,0.01,"cone",0.05,1,0.775,0.666666686534882
"lenses",8,"dropToValue",256,0.01,"cone",0,1,0.775,0.5
"lenses",8,"dropToValue",512,0.1,"cone",0.05,1,0.775,0.666666686534882
"lenses",8,"dropToValue",512,0.01,"rect",0.05,1,0.766666680574417,1
"lenses",32,"dropToValue",256,0.01,"cone",0,1,0.75,0.833333373069763
"lenses",32,"dropToValue",512,0.01,"cone",0,1,0.75,0.833333373069763
"lenses",16,"dropToValue",512,0.01,"cone",0.05,1,0.75,0.833333373069763
"lenses",16,"dropToValue",512,0.01,"cone",0,1,0.75,0.5
"lenses",16,"dropToValue",256,0.01,"rect",0,1,0.75,0.666666686534882
"lenses",8,"dropToValue",512,0.01,"cone",0.05,1,0.75,0.5
"lenses",8,"dropToValue",512,0.01,"cone",0,1,0.75,0.5
"lenses",8,"dropToValue",256,0.01,"rect",0,1,0.75,0.5
"lenses",8,"dropToValue",512,0.01,"rect",0,1,0.75,0.833333373069763
"lenses",8,"dropToValue",1024,0.01,"rect",0,1,0.75,0.833333373069763
"lenses",3,"dropToValue",256,0.01,"cone",0,1,0.75,0.833333373069763
"lenses",3,"dropToValue",512,0.01,"cone",0,1,0.75,0.5
"lenses",3,"dropToValue",1024,0.01,"cone",0,1,0.75,0.666666686534882
"lenses",3,"dropToValue",512,0.01,"rect",0,1,0.75,0.5
"lenses",2,"dropToValue",512,0.1,"cone",0.05,1,0.75,0.666666686534882
"lenses",2,"dropToValue",256,0.1,"rect",0,1,0.75,0.666666686534882
"lenses",16,"dropToValue",512,0.01,"rect",0,1,0.725,0.833333373069763
"lenses",4,"dropToValue",512,0.01,"cone",0.05,1,0.725,0.5
"lenses",3,"dropToValue",1024,0.01,"rect",0.05,1,0.725,0.833333373069763
"lenses",3,"dropToValue",1024,0.01,"cone",0.05,1,0.725,0.833333373069763
"lenses",32,"dropToValue",512,0.01,"cone",0.05,1,0.7,0.833333373069763
"lenses",16,"dropToValue",512,0.1,"cone",0,1,0.7,0.5
"lenses",8,"dropToValue",512,0.1,"cone",0,1,0.65,0.666666686534882
"lenses",4,"dropToValue",256,0.01,"cone",0.05,1,0.65,0.5
"lenses",4,"dropToValue",512,0.01,"cone",0,1,0.65,0.5
"lenses",4,"dropToValue",256,0.1,"cone",0,1,0.65,0.666666686534882
"lenses",3,"dropToValue",512,0.01,"cone",0.05,1,0.65,0.666666686534882
"lenses",32,"dropToValue",1024,0.01,"cone",0,1,0.625,0.666666686534882
"lenses",16,"dropToValue",1024,0.1,"cone",0,1,0.625,0.833333373069763
"lenses",32,"dropToValue",256,0.1,"cone",0.05,1,0.6,0.5
"lenses",16,"dropToValue",256,0.1,"cone",0.05,1,0.6,0.666666686534882
"lenses",4,"dropToValue",1024,0.01,"cone",0.05,1,0.6,0.5
"lenses",32,"dropToValue",1024,0.1,"cone",0.05,1,0.575,0.666666686534882
"lenses",3,"dropToValue",256,0.01,"cone",0.05,1,0.575,0.666666686534882
"lenses",3,"dropToValue",512,0.01,"rect",0.05,1,0.575,0.666666686534882
"lenses",3,"dropToValue",256,0.01,"rect",0.05,1,0.55,0.666666686534882
"lenses",3,"dropToValue",256,0.01,"rect",0,1,0.55,0.666666686534882
"lenses",3,"dropToValue",1024,0.01,"rect",0,1,0.55,0.666666686534882
"lenses",2,"dropToValue",512,0.01,"cone",0.05,1,0.55,0.5
"lenses",2,"dropToValue",256,0.01,"cone",0,1,0.55,0.5
"lenses",2,"dropToValue",256,0.01,"rect",0,1,0.55,0.5
"lenses",32,"dropToValue",256,0.01,"cone",0.05,1,0.525,0.666666686534882
"lenses",32,"dropToValue",1024,0.01,"cone",0.05,1,0.525,0.666666686534882
"lenses",32,"dropToValue",512,0.1,"cone",0,1,0.525,0.666666686534882
"lenses",16,"dropToValue",512,0.1,"cone",0.05,1,0.525,0.666666686534882
"lenses",16,"dropToValue",1024,0.1,"cone",0.05,1,0.525,0.666666686534882
"lenses",4,"dropToValue",256,0.01,"cone",0,1,0.525,0.5
"lenses",4,"dropToValue",512,0.1,"cone",0.05,1,0.525,0.666666686534882
"lenses",4,"dropToValue",1024,0.1,"cone",0.05,1,0.525,0.666666686534882
"lenses",2,"dropToValue",1024,0.01,"cone",0,1,0.525,0.5
"lenses",2,"dropToValue",1024,0.1,"cone",0.05,1,0.525,0.333333343267441
"lenses",32,"dropToValue",512,0.1,"cone",0.05,1,0.5,0.666666686534882
"lenses",32,"dropToValue",256,0.1,"cone",0,1,0.5,0.666666686534882
"lenses",32,"dropToValue",1024,0.1,"cone",0,1,0.5,0.666666686534882
"lenses",16,"dropToValue",256,0.1,"cone",0,1,0.5,0.666666686534882
"lenses",16,"dropToValue",256,1,"cone",0,1,0.5,0.666666686534882
"lenses",8,"dropToValue",256,0.1,"cone",0,1,0.5,0.666666686534882
"lenses",4,"dropToValue",1024,0.01,"cone",0,1,0.5,0.5
"lenses",4,"dropToValue",256,0.01,"rect",0,1,0.5,0.5
"lenses",4,"dropToValue",512,0.01,"rect",0,1,0.5,0.5
"lenses",4,"dropToValue",512,0.1,"cone",0,1,0.5,0.666666686534882
"lenses",2,"dropToValue",256,0.01,"cone",0.05,1,0.5,0.5
"lenses",2,"dropToValue",1024,0.01,"cone",0.05,1,0.5,0.5
"lenses",2,"dropToValue",512,0.01,"cone",0,1,0.5,0.5
"lenses",2,"dropToValue",512,0.01,"rect",0,1,0.5,0.5
"lenses",2,"dropToValue",512,0.1,"cone",0,1,0.5,0.666666686534882
"lenses",32,"dropToValue",256,1,"cone",0,1,0.425,0.666666686534882
"lenses",8,"dropToValue",512,1,"cone",0.05,1,0.425,0.666666686534882
"lenses",32,"dropToValue",256,0.01,"rect",0.05,1,0.400000011920929,0.666666686534882
"lenses",16,"dropToValue",512,0.01,"rect",0.05,1,0.400000011920929,0.16666667163372
"lenses",2,"dropToValue",1024,0.01,"rect",0,1,0.4,0.5
"lenses",4,"dropToValue",1024,0.01,"rect",0,1,0.375,0.5
"lenses",2,"dropToValue",1024,0.1,"cone",0,1,0.375,0.16666667163372
"lenses",8,"dropToValue",1024,0.01,"rect",0.05,1,0.366666677594185,0.16666667163372
"lenses",2,"dropToValue",512,0.1,"rect",0,1,0.35,0.16666667163372
"lenses",32,"dropToValue",512,0.01,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",32,"dropToValue",1024,0.01,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",32,"dropToValue",256,0.1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",32,"dropToValue",512,0.1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",32,"dropToValue",1024,0.1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",32,"dropToValue",256,1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",32,"dropToValue",512,1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",32,"dropToValue",1024,1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",16,"dropToValue",1024,0.01,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",16,"dropToValue",256,0.1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",16,"dropToValue",512,0.1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",16,"dropToValue",1024,0.1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",16,"dropToValue",256,1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",16,"dropToValue",512,1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",16,"dropToValue",1024,1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",8,"dropToValue",256,0.1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",8,"dropToValue",512,0.1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",8,"dropToValue",1024,0.1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",8,"dropToValue",256,1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",8,"dropToValue",512,1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",8,"dropToValue",1024,1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",4,"dropToValue",256,0.1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",4,"dropToValue",512,0.1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",4,"dropToValue",1024,0.1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",4,"dropToValue",256,1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",4,"dropToValue",512,1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",4,"dropToValue",1024,1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",2,"dropToValue",256,0.1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",2,"dropToValue",512,0.1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",2,"dropToValue",1024,0.1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",2,"dropToValue",256,1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",2,"dropToValue",512,1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",2,"dropToValue",1024,1,"rect",0.05,1,0.333333343267441,0.16666667163372
"lenses",8,"dropToValue",1024,0.1,"cone",0.05,1,0.3,0.16666667163372
"lenses",3,"dropToValue",1024,0.1,"cone",0,1,0.3,0.333333343267441
"lenses",2,"dropToValue",1024,0.1,"rect",0,1,0.3,0.16666667163372
"lenses",32,"dropToValue",512,0.01,"rect",0,1,0.275,0.16666667163372
"lenses",16,"dropToValue",1024,0.01,"rect",0,1,0.275,0.16666667163372
"lenses",16,"dropToValue",256,1,"cone",0.05,1,0.275,0.16666667163372
"lenses",16,"dropToValue",1024,1,"cone",0,1,0.275,0.16666667163372
"lenses",4,"dropToValue",256,0.1,"rect",0,1,0.275,0.16666667163372
"lenses",4,"dropToValue",1024,0.1,"rect",0,1,0.275,0.16666667163372
"lenses",2,"dropToValue",1024,1,"cone",0.05,1,0.275,0.16666667163372
"lenses",2,"dropToValue",256,1,"cone",0,1,0.275,0.16666667163372
"lenses",2,"dropToValue",512,1,"cone",0,1,0.275,0.16666667163372
"lenses",2,"dropToValue",1024,1,"cone",0,1,0.275,0.16666667163372
"lenses",2,"dropToValue",256,1,"rect",0,1,0.275,0.16666667163372
"lenses",2,"dropToValue",512,1,"rect",0,1,0.275,0.16666667163372
"lenses",2,"dropToValue",1024,1,"rect",0,1,0.275,0.16666667163372
"lenses",32,"dropToValue",1024,0.01,"rect",0,1,0.25,0.16666667163372
"lenses",32,"dropToValue",256,0.1,"rect",0,1,0.25,0.16666667163372
"lenses",32,"dropToValue",512,0.1,"rect",0,1,0.25,0.16666667163372
"lenses",32,"dropToValue",1024,0.1,"rect",0,1,0.25,0.16666667163372
"lenses",32,"dropToValue",256,1,"cone",0.05,1,0.25,0.16666667163372
"lenses",32,"dropToValue",512,1,"cone",0.05,1,0.25,0.16666667163372
"lenses",32,"dropToValue",1024,1,"cone",0.05,1,0.25,0.16666667163372
"lenses",32,"dropToValue",512,1,"cone",0,1,0.25,0.16666667163372
"lenses",32,"dropToValue",1024,1,"cone",0,1,0.25,0.16666667163372
"lenses",32,"dropToValue",256,1,"rect",0,1,0.25,0.16666667163372
"lenses",32,"dropToValue",512,1,"rect",0,1,0.25,0.16666667163372
"lenses",32,"dropToValue",1024,1,"rect",0,1,0.25,0.16666667163372
"lenses",16,"dropToValue",256,0.1,"rect",0,1,0.25,0.16666667163372
"lenses",16,"dropToValue",512,0.1,"rect",0,1,0.25,0.16666667163372
"lenses",16,"dropToValue",1024,0.1,"rect",0,1,0.25,0.16666667163372
"lenses",16,"dropToValue",512,1,"cone",0.05,1,0.25,0.16666667163372
"lenses",16,"dropToValue",1024,1,"cone",0.05,1,0.25,0.16666667163372
"lenses",16,"dropToValue",512,1,"cone",0,1,0.25,0.16666667163372
"lenses",16,"dropToValue",256,1,"rect",0,1,0.25,0.16666667163372
"lenses",16,"dropToValue",512,1,"rect",0,1,0.25,0.16666667163372
"lenses",16,"dropToValue",1024,1,"rect",0,1,0.25,0.16666667163372
"lenses",8,"dropToValue",1024,0.1,"cone",0,1,0.25,0.16666667163372
"lenses",8,"dropToValue",256,0.1,"rect",0,1,0.25,0.16666667163372
"lenses",8,"dropToValue",512,0.1,"rect",0,1,0.25,0.16666667163372
"lenses",8,"dropToValue",1024,0.1,"rect",0,1,0.25,0.16666667163372
"lenses",8,"dropToValue",256,1,"cone",0.05,1,0.25,0.16666667163372
"lenses",8,"dropToValue",1024,1,"cone",0.05,1,0.25,0.16666667163372
"lenses",8,"dropToValue",256,1,"cone",0,1,0.25,0.16666667163372
"lenses",8,"dropToValue",512,1,"cone",0,1,0.25,0.16666667163372
"lenses",8,"dropToValue",1024,1,"cone",0,1,0.25,0.16666667163372
"lenses",8,"dropToValue",256,1,"rect",0,1,0.25,0.16666667163372
"lenses",8,"dropToValue",512,1,"rect",0,1,0.25,0.16666667163372
"lenses",8,"dropToValue",1024,1,"rect",0,1,0.25,0.16666667163372
"lenses",4,"dropToValue",1024,0.1,"cone",0,1,0.25,0.16666667163372
"lenses",4,"dropToValue",512,0.1,"rect",0,1,0.25,0.16666667163372
"lenses",4,"dropToValue",256,1,"cone",0.05,1,0.25,0.16666667163372
"lenses",4,"dropToValue",512,1,"cone",0.05,1,0.25,0.16666667163372
"lenses",4,"dropToValue",1024,1,"cone",0.05,1,0.25,0.16666667163372
"lenses",4,"dropToValue",256,1,"cone",0,1,0.25,0.16666667163372
"lenses",4,"dropToValue",512,1,"cone",0,1,0.25,0.16666667163372
"lenses",4,"dropToValue",1024,1,"cone",0,1,0.25,0.16666667163372
"lenses",4,"dropToValue",256,1,"rect",0,1,0.25,0.16666667163372
"lenses",4,"dropToValue",512,1,"rect",0,1,0.25,0.16666667163372
"lenses",4,"dropToValue",1024,1,"rect",0,1,0.25,0.16666667163372
"lenses",2,"dropToValue",256,1,"cone",0.05,1,0.25,0.16666667163372
"lenses",2,"dropToValue",512,1,"cone",0.05,1,0.25,0.16666667163372
"lenses",3,"dropToValue",256,0.1,"rect",0.05,1,0.125,0.666666686534882
"lenses",3,"dropToValue",512,0.1,"rect",0.05,1,0.1,0.666666686534882
"lenses",3,"dropToValue",1024,0.1,"rect",0.05,1,0.1,0.666666686534882
"lenses",3,"dropToValue",256,0.1,"rect",0,1,0.1,0.16666667163372
"lenses",3,"dropToValue",512,0.1,"rect",0,1,0.1,0.666666686534882
"lenses",3,"dropToValue",1024,0.1,"rect",0,1,0,0.16666667163372
"lenses",3,"dropToValue",256,1,"cone",0.05,1,0,0.16666667163372
"lenses",3,"dropToValue",512,1,"cone",0.05,1,0,0.16666667163372
"lenses",3,"dropToValue",1024,1,"cone",0.05,1,0,0.16666667163372
"lenses",3,"dropToValue",256,1,"rect",0.05,1,0,0.16666667163372
"lenses",3,"dropToValue",512,1,"rect",0.05,1,0,0.16666667163372
"lenses",3,"dropToValue",1024,1,"rect",0.05,1,0,0.16666667163372
"lenses",3,"dropToValue",256,1,"cone",0,1,0,0.16666667163372
"lenses",3,"dropToValue",512,1,"cone",0,1,0,0.16666667163372
"lenses",3,"dropToValue",1024,1,"cone",0,1,0,0.16666667163372
"lenses",3,"dropToValue",256,1,"rect",0,1,0,0.16666667163372
"lenses",3,"dropToValue",512,1,"rect",0,1,0,0.16666667163372
