"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"letter",4,"dropToValue",512,0.1,"rect",0.05,1,0.9762,0.9726
"letter",8,"dropToValue",256,0.1,"rect",0.05,1,0.9752,0.9704
"letter",4,"dropToValue",256,0.1,"rect",0.05,1,0.9746,0.9738
"letter",8,"dropToValue",256,0.1,"rect",0,1,0.9743,0.9738
"letter",8,"dropToValue",512,0.1,"rect",0,1,0.9741,0.9752
"letter",32,"dropToValue",1024,0.1,"cone",0,1,0.9734,0.9764
"letter",32,"dropToValue",1024,0.01,"rect",0,1,0.9729,0.9778
"letter",16,"dropToValue",256,0.1,"rect",0,1,0.9729,0.974
"letter",16,"dropToValue",1024,0.01,"rect",0,1,0.9727,0.9756
"letter",16,"dropToValue",512,0.01,"rect",0,1,0.9722,0.9686
"letter",16,"dropToValue",1024,0.1,"rect",0.05,1,0.9721,0.9676
"letter",8,"dropToValue",1024,0.1,"rect",0.05,1,0.971,0.969
"letter",8,"dropToValue",1024,0.01,"rect",0,1,0.9705,0.972
"letter",16,"dropToValue",1024,0.01,"rect",0.05,1,0.97,0.9684
"letter",8,"dropToValue",512,0.01,"rect",0.05,1,0.97,0.9716
"letter",4,"dropToValue",512,0.1,"rect",0,1,0.97,0.972
"letter",3,"dropToValue",256,0.1,"rect",0.05,1,0.97,0.9676
"letter",16,"dropToValue",256,0.1,"rect",0.05,1,0.9698,0.9712
"letter",16,"dropToValue",256,0.1,"cone",0,1,0.9696,0.9736
"letter",16,"dropToValue",512,0.1,"cone",0,1,0.9695,0.9732
"letter",16,"dropToValue",1024,0.1,"cone",0,1,0.9694,0.9738
"letter",4,"dropToValue",1024,0.1,"rect",0,1,0.9692,0.9746
"letter",4,"dropToValue",256,0.1,"rect",0,1,0.9689,0.9704
"letter",32,"dropToValue",256,0.1,"rect",0.05,1,0.9683,0.9626
"letter",16,"dropToValue",512,0.1,"rect",0.05,1,0.9683,0.9648
"letter",8,"dropToValue",1024,0.01,"rect",0.05,1,0.968,0.969
"letter",3,"dropToValue",512,0.1,"rect",0.05,1,0.968,0.9752
"letter",8,"dropToValue",256,0.1,"cone",0,1,0.9679,0.9688
"letter",8,"dropToValue",512,0.01,"rect",0,1,0.9679,0.9718
"letter",32,"dropToValue",512,0.1,"rect",0.05,1,0.9678,0.968
"letter",8,"dropToValue",512,0.1,"rect",0.05,1,0.9677,0.964
"letter",4,"dropToValue",1024,0.1,"rect",0.05,1,0.9677,0.9698
"letter",8,"dropToValue",512,0.1,"cone",0.05,1,0.9668,0.9708
"letter",8,"dropToValue",1024,0.1,"cone",0,1,0.9666,0.9692
"letter",16,"dropToValue",512,0.01,"rect",0.05,1,0.9664,0.9676
"letter",3,"dropToValue",1024,0.1,"rect",0,1,0.9663,0.9722
"letter",8,"dropToValue",512,0.1,"cone",0,1,0.9659,0.9708
"letter",4,"dropToValue",1024,0.01,"rect",0,1,0.9659,0.968
"letter",3,"dropToValue",512,0.1,"rect",0,1,0.9653,0.9686
"letter",16,"dropToValue",1024,0.1,"cone",0.05,1,0.9649,0.968
"letter",8,"dropToValue",1024,0.1,"cone",0.05,1,0.9648,0.9696
"letter",3,"dropToValue",1024,0.1,"cone",0.05,1,0.9646,0.9718
"letter",4,"dropToValue",1024,0.1,"cone",0.05,1,0.9642,0.9702
"letter",3,"dropToValue",1024,0.1,"rect",0.05,1,0.9641,0.9712
"letter",8,"dropToValue",1024,0.01,"cone",0,1,0.9636,0.9678
"letter",3,"dropToValue",256,0.1,"rect",0,1,0.9635,0.968
"letter",4,"dropToValue",256,0.1,"cone",0.05,1,0.9635,0.9666
"letter",4,"dropToValue",1024,0.1,"cone",0,1,0.9632,0.9662
"letter",32,"dropToValue",512,0.01,"rect",0,1,0.9632,0.973
"letter",32,"dropToValue",256,0.01,"rect",0,1,0.9631,0.9672
"letter",2,"dropToValue",512,0.1,"rect",0.05,1,0.9629,0.9654
"letter",2,"dropToValue",256,0.1,"rect",0.05,1,0.9628,0.965
"letter",8,"dropToValue",256,0.1,"cone",0.05,1,0.9627,0.9662
"letter",8,"dropToValue",256,0.01,"rect",0.05,1,0.9626,0.9618
"letter",2,"dropToValue",1024,0.1,"rect",0.05,1,0.9626,0.9634
"letter",16,"dropToValue",256,0.01,"rect",0,1,0.9625,0.9706
"letter",4,"dropToValue",512,0.01,"rect",0.05,1,0.9625,0.962
"letter",4,"dropToValue",512,0.1,"cone",0.05,1,0.9624,0.97
"letter",2,"dropToValue",512,0.1,"rect",0,1,0.9623,0.9648
"letter",8,"dropToValue",256,0.01,"rect",0,1,0.9622,0.9654
"letter",2,"dropToValue",256,0.1,"rect",0,1,0.9616,0.9648
"letter",4,"dropToValue",256,0.1,"cone",0,1,0.9614,0.963
"letter",2,"dropToValue",1024,0.1,"rect",0,1,0.9613,0.9638
