"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"libras",3,"dropToValue",512,0.01,"cone",0,1,0.853448247909546,0.788888931274414
"libras",3,"dropToValue",1024,0.1,"cone",0,1,0.834482717514038,0.733333349227905
"libras",3,"dropToValue",512,0.1,"cone",0.05,1,0.831034457683563,0.766666650772095
"libras",3,"dropToValue",256,0.1,"rect",0,1,0.825862038135529,0.788888931274414
"libras",4,"dropToValue",1024,0.1,"rect",0,1,0.825000035762787,0.833333373069763
"libras",16,"dropToValue",512,0.01,"cone",0,1,0.822916716337204,0.811111211776733
"libras",32,"dropToValue",256,0.01,"cone",0,1,0.820833384990692,0.822222232818604
"libras",8,"dropToValue",512,0.1,"cone",0,1,0.818750029802322,0.811111152172089
"libras",3,"dropToValue",256,0.1,"cone",0.05,1,0.817241364717484,0.744444489479065
"libras",3,"dropToValue",256,0.1,"rect",0.05,1,0.817241358757019,0.688888907432556
"libras",8,"dropToValue",512,0.1,"rect",0.05,1,0.816666692495346,0.822222232818604
"libras",3,"dropToValue",1024,0.1,"cone",0.05,1,0.815517222881317,0.744444489479065
"libras",8,"dropToValue",256,0.01,"cone",0,1,0.81250005364418,0.822222292423248
"libras",4,"dropToValue",1024,0.1,"cone",0.05,1,0.812500047683716,0.800000011920929
"libras",8,"dropToValue",1024,0.01,"cone",0,1,0.80625005364418,0.833333373069763
"libras",3,"dropToValue",512,0.1,"rect",0,1,0.805172407627106,0.733333349227905
"libras",4,"dropToValue",512,0.1,"rect",0,1,0.804166686534882,0.844444453716278
"libras",3,"dropToValue",1024,0.1,"rect",0,1,0.803448271751404,0.76666671037674
"libras",8,"dropToValue",256,0.1,"cone",0,1,0.802083390951157,0.755555629730225
"libras",16,"dropToValue",256,0.1,"cone",0,1,0.802083367109299,0.800000071525574
"libras",3,"dropToValue",256,0.1,"cone",0,1,0.801724135875702,0.76666671037674
"libras",2,"dropToValue",512,0.1,"cone",0.05,1,0.800000047683716,0.800000071525574
"libras",4,"dropToValue",256,0.1,"rect",0.05,1,0.800000041723251,0.822222292423248
"libras",4,"dropToValue",1024,0.1,"cone",0,1,0.800000029802323,0.800000071525574
"libras",8,"dropToValue",256,0.1,"rect",0.05,1,0.797916704416275,0.733333349227905
"libras",8,"dropToValue",1024,0.1,"cone",0,1,0.797916704416275,0.844444453716278
"libras",4,"dropToValue",512,0.1,"cone",0.05,1,0.797916698455811,0.800000071525574
"libras",3,"dropToValue",512,0.1,"cone",0,1,0.796551722288132,0.72222226858139
"libras",4,"dropToValue",256,0.1,"rect",0,1,0.795833373069763,0.833333373069763
"libras",32,"dropToValue",1024,0.01,"rect",0,1,0.795833349227905,0.788888931274414
"libras",3,"dropToValue",1024,0.1,"rect",0.05,1,0.793103438615799,0.722222328186035
"libras",3,"dropToValue",512,0.01,"rect",0.05,1,0.789655178785324,0.744444489479065
"libras",3,"dropToValue",1024,0.01,"cone",0,1,0.789655178785324,0.744444489479065
"libras",8,"dropToValue",256,0.1,"rect",0,1,0.787500065565109,0.800000071525574
"libras",2,"dropToValue",1024,0.1,"rect",0.05,1,0.787500035762787,0.822222232818604
"libras",2,"dropToValue",1024,0.1,"cone",0.05,1,0.787500029802322,0.788888931274414
"libras",2,"dropToValue",1024,0.1,"rect",0,1,0.785416722297669,0.844444513320923
"libras",32,"dropToValue",256,0.01,"rect",0,1,0.785416692495346,0.811111211776733
"libras",8,"dropToValue",256,0.01,"rect",0,1,0.783333396911621,0.800000071525574
"libras",4,"dropToValue",1024,0.1,"rect",0.05,1,0.783333390951157,0.844444513320923
"libras",16,"dropToValue",1024,0.01,"rect",0,1,0.78333335518837,0.766666769981384
"libras",3,"dropToValue",512,0.01,"rect",0,1,0.782758629322052,0.75555557012558
"libras",8,"dropToValue",1024,0.1,"cone",0.05,1,0.781250059604645,0.733333349227905
"libras",16,"dropToValue",512,0.1,"cone",0,1,0.77916671037674,0.833333373069763
"libras",4,"dropToValue",1024,0.01,"rect",0,1,0.77916671037674,0.777777791023254
"libras",2,"dropToValue",512,0.1,"cone",0,1,0.779166692495346,0.777777791023254
"libras",3,"dropToValue",1024,0.01,"rect",0.05,1,0.777586191892624,0.75555557012558
"libras",2,"dropToValue",512,0.1,"rect",0.05,1,0.777083379030228,0.811111211776733
"libras",8,"dropToValue",512,0.1,"cone",0.05,1,0.777083367109299,0.733333349227905
"libras",2,"dropToValue",512,0.01,"cone",0,1,0.777083367109299,0.75555557012558
"libras",3,"dropToValue",1024,0.01,"rect",0,1,0.775862038135529,0.788888931274414
"libras",8,"dropToValue",512,0.01,"rect",0,1,0.775000035762787,0.777777850627899
"libras",8,"dropToValue",256,0.1,"cone",0.05,1,0.775000035762787,0.733333349227905
"libras",3,"dropToValue",512,0.1,"rect",0.05,1,0.774137926101685,0.666666746139526
"libras",2,"dropToValue",256,0.1,"rect",0,1,0.772916716337204,0.777777791023254
"libras",8,"dropToValue",512,0.01,"cone",0,1,0.77291671037674,0.777777850627899
"libras",16,"dropToValue",1024,0.1,"cone",0,1,0.772916686534882,0.755555629730225
"libras",2,"dropToValue",1024,0.1,"cone",0,1,0.770833379030228,0.777777850627899
"libras",16,"dropToValue",1024,0.01,"cone",0,1,0.770833373069763,0.788888931274414
"libras",32,"dropToValue",512,0.01,"cone",0,1,0.768750035762787,0.822222232818604
"libras",4,"dropToValue",512,0.01,"rect",0,1,0.768750035762787,0.777777791023254
"libras",8,"dropToValue",1024,0.01,"rect",0,1,0.768750017881394,0.788888931274414
"libras",4,"dropToValue",256,0.1,"cone",0,1,0.766666704416275,0.866666674613953
"libras",16,"dropToValue",512,0.01,"rect",0,1,0.764583361148834,0.811111152172089
"libras",4,"dropToValue",1024,0.01,"rect",0.05,1,0.762500029802322,0.755555629730225
"libras",4,"dropToValue",512,0.1,"cone",0,1,0.758333379030228,0.777777791023254
"libras",4,"dropToValue",256,0.01,"rect",0,1,0.758333361148834,0.777777791023254
"libras",2,"dropToValue",256,0.1,"cone",0.05,1,0.758333361148834,0.777777791023254
"libras",8,"dropToValue",512,0.01,"rect",0.05,1,0.756250041723251,0.788888931274414
"libras",16,"dropToValue",512,0.01,"rect",0.05,1,0.756250035762787,0.75555557012558
"libras",4,"dropToValue",512,0.1,"rect",0.05,1,0.756250035762787,0.800000071525574
"libras",32,"dropToValue",1024,0.01,"cone",0,1,0.75416671037674,0.700000047683716
"libras",8,"dropToValue",256,0.01,"rect",0.05,1,0.754166704416275,0.76666671037674
"libras",2,"dropToValue",1024,0.01,"cone",0,1,0.754166686534882,0.76666671037674
"libras",2,"dropToValue",1024,0.01,"rect",0,1,0.754166686534882,0.800000071525574
"libras",2,"dropToValue",256,0.1,"cone",0,1,0.75208335518837,0.800000071525574
"libras",3,"dropToValue",256,0.01,"rect",0,1,0.751724117994309,0.72222226858139
"libras",4,"dropToValue",512,0.01,"cone",0,1,0.750000029802322,0.755555629730225
"libras",32,"dropToValue",512,0.01,"rect",0,1,0.750000023841858,0.788888931274414
"libras",3,"dropToValue",512,0.01,"cone",0.05,1,0.748275828361511,0.700000047683716
"libras",2,"dropToValue",512,0.1,"rect",0,1,0.745833367109299,0.800000071525574
"libras",4,"dropToValue",1024,0.01,"cone",0,1,0.745833337306976,0.755555629730225
