"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"low-res-spect",3,"dropToValue",256,0.01,"rect",0.05,1,0.9718,0.8571
"low-res-spect",3,"dropToValue",256,0.01,"cone",0,1,0.9718,0.8722
"low-res-spect",3,"dropToValue",512,0.01,"cone",0,1,0.9718,0.8797
"low-res-spect",3,"dropToValue",256,0.01,"rect",0,1,0.9718,0.8872
"low-res-spect",3,"dropToValue",1024,0.1,"cone",0,1,0.9718,0.8872
"low-res-spect",3,"dropToValue",256,0.1,"cone",0,1,0.969,0.8797
"low-res-spect",3,"dropToValue",512,0.1,"cone",0.05,1,0.9676,0.9098
"low-res-spect",3,"dropToValue",256,0.1,"cone",0.05,1,0.9662,0.9173
"low-res-spect",3,"dropToValue",512,0.01,"rect",0,1,0.9662,0.8647
"low-res-spect",3,"dropToValue",1024,0.1,"cone",0.05,1,0.9662,0.9023
"low-res-spect",3,"dropToValue",512,0.1,"rect",0.05,1,0.9648,0.8947
"low-res-spect",3,"dropToValue",256,0.1,"rect",0.05,1,0.962,0.9098
"low-res-spect",3,"dropToValue",512,0.01,"rect",0.05,1,0.9592,0.8647
"low-res-spect",3,"dropToValue",512,0.1,"cone",0,1,0.9592,0.9098
"low-res-spect",3,"dropToValue",1024,0.01,"rect",0.05,1,0.9577,0.8797
"low-res-spect",3,"dropToValue",1024,0.01,"cone",0,1,0.9577,0.8722
"low-res-spect",3,"dropToValue",1024,0.01,"rect",0,1,0.9577,0.8797
"low-res-spect",3,"dropToValue",256,0.1,"rect",0,1,0.9577,0.9248
"low-res-spect",3,"dropToValue",512,0.1,"rect",0,1,0.9563,0.8947
"low-res-spect",3,"dropToValue",1024,0.1,"rect",0,1,0.9563,0.9098
"low-res-spect",3,"dropToValue",1024,0.1,"rect",0.05,1,0.9563,0.8872
"low-res-spect",3,"dropToValue",512,0.01,"cone",0.05,1,0.9563,0.8722
"low-res-spect",4,"dropToValue",1024,0.1,"cone",0,1,0.9561,0.8947
"low-res-spect",2,"dropToValue",256,0.1,"cone",0.05,1,0.9537,0.8797
"low-res-spect",8,"dropToValue",512,0.01,"rect",0,1,0.9512,0.8947
"low-res-spect",4,"dropToValue",1024,0.01,"rect",0,1,0.9512,0.8872
"low-res-spect",2,"dropToValue",1024,0.01,"rect",0.05,1,0.9512,0.8647
"low-res-spect",2,"dropToValue",512,0.1,"cone",0,1,0.9512,0.9023
"low-res-spect",2,"dropToValue",1024,0.1,"cone",0,1,0.9512,0.8797
"low-res-spect",32,"dropToValue",512,0.01,"rect",0,1,0.95,0.8647
"low-res-spect",4,"dropToValue",256,0.01,"rect",0,1,0.95,0.8797
"low-res-spect",4,"dropToValue",256,0.1,"rect",0,1,0.9488,0.8947
"low-res-spect",4,"dropToValue",512,0.1,"rect",0,1,0.9488,0.9023
"low-res-spect",16,"dropToValue",512,0.01,"cone",0,1,0.9488,0.8797
"low-res-spect",4,"dropToValue",256,0.1,"cone",0,1,0.9476,0.9098
"low-res-spect",16,"dropToValue",512,0.01,"rect",0,1,0.9476,0.8947
"low-res-spect",8,"dropToValue",256,0.01,"rect",0,1,0.9476,0.9098
"low-res-spect",16,"dropToValue",1024,0.01,"cone",0,1,0.9476,0.9023
"low-res-spect",2,"dropToValue",256,0.1,"cone",0,1,0.9463,0.8571
"low-res-spect",4,"dropToValue",1024,0.1,"cone",0.05,1,0.9463,0.9173
"low-res-spect",8,"dropToValue",1024,0.01,"cone",0,1,0.9451,0.8947
"low-res-spect",8,"dropToValue",1024,0.01,"rect",0.05,1,0.9439,0.8947
"low-res-spect",3,"dropToValue",1024,0.01,"cone",0.05,1,0.9437,0.8797
"low-res-spect",3,"dropToValue",256,0.01,"cone",0.05,1,0.9437,0.8797
"low-res-spect",2,"dropToValue",512,0.1,"rect",0.05,1,0.9415,0.8947
"low-res-spect",8,"dropToValue",1024,0.01,"rect",0,1,0.9402,0.8872
"low-res-spect",2,"dropToValue",1024,0.1,"cone",0.05,1,0.9402,0.8947
"low-res-spect",4,"dropToValue",512,0.1,"cone",0,1,0.9402,0.8947
"low-res-spect",8,"dropToValue",512,0.01,"cone",0.05,1,0.939,0.8722
"low-res-spect",4,"dropToValue",1024,0.01,"rect",0.05,1,0.939,0.8947
"low-res-spect",8,"dropToValue",256,0.1,"cone",0,1,0.939,0.9023
"low-res-spect",4,"dropToValue",512,0.01,"cone",0,1,0.939,0.8797
"low-res-spect",2,"dropToValue",256,0.01,"rect",0,1,0.939,0.8797
"low-res-spect",2,"dropToValue",256,0.1,"rect",0,1,0.939,0.8947
"low-res-spect",4,"dropToValue",512,0.1,"cone",0.05,1,0.9378,0.9098
"low-res-spect",2,"dropToValue",512,0.1,"rect",0,1,0.9378,0.8872
"low-res-spect",2,"dropToValue",1024,0.01,"cone",0.05,1,0.9378,0.8722
"low-res-spect",4,"dropToValue",256,0.01,"rect",0.05,1,0.9366,0.8722
"low-res-spect",4,"dropToValue",512,0.01,"rect",0,1,0.9366,0.8947
"low-res-spect",2,"dropToValue",512,0.01,"rect",0,1,0.9366,0.8722
"low-res-spect",4,"dropToValue",256,0.1,"cone",0.05,1,0.9354,0.8872
"low-res-spect",4,"dropToValue",1024,0.01,"cone",0.05,1,0.9341,0.8797
"low-res-spect",4,"dropToValue",256,0.01,"cone",0.05,1,0.9341,0.8647
"low-res-spect",8,"dropToValue",256,0.01,"cone",0,1,0.9329,0.8797
"low-res-spect",8,"dropToValue",512,0.01,"rect",0.05,1,0.9329,0.8947
"low-res-spect",8,"dropToValue",1024,0.01,"cone",0.05,1,0.9329,0.8872
"low-res-spect",4,"dropToValue",512,0.01,"rect",0.05,1,0.9329,0.8797
"low-res-spect",2,"dropToValue",512,0.01,"rect",0.05,1,0.9329,0.8571
"low-res-spect",2,"dropToValue",512,0.1,"cone",0.05,1,0.9317,0.8947
"low-res-spect",16,"dropToValue",1024,0.01,"rect",0.05,1,0.9317,0.8872
"low-res-spect",4,"dropToValue",512,0.01,"cone",0.05,1,0.9317,0.8797
"low-res-spect",4,"dropToValue",1024,0.01,"cone",0,1,0.9317,0.8947
"low-res-spect",16,"dropToValue",1024,0.01,"rect",0,1,0.9305,0.8797
"low-res-spect",2,"dropToValue",1024,0.1,"rect",0.05,1,0.9305,0.8647
