"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"lymphography",2,"dropToValue",1024,0.1,"rect",0,1,0.934999984502792,0.918918967247009
"lymphography",16,"dropToValue",512,0.01,"cone",0.05,1,0.894999980926514,0.918918907642365
"lymphography",16,"dropToValue",256,0.01,"cone",0,1,0.884999990463257,0.918918907642365
"lymphography",4,"dropToValue",256,0.01,"cone",0.05,1,0.884999990463257,0.945945978164673
"lymphography",4,"dropToValue",512,0.01,"cone",0.05,1,0.884999990463257,0.945945978164673
"lymphography",8,"dropToValue",256,0.1,"cone",0.05,1,0.874999994039536,0.945945978164673
"lymphography",3,"dropToValue",256,0.1,"cone",0,1,0.86956524848938,0.837837874889374
"lymphography",3,"dropToValue",256,0.1,"rect",0,1,0.865217423439026,0.891891956329346
"lymphography",4,"dropToValue",512,0.1,"cone",0.05,1,0.864999997615814,0.945945978164673
"lymphography",8,"dropToValue",512,0.01,"cone",0.05,1,0.86499999165535,0.891891896724701
"lymphography",3,"dropToValue",256,0.01,"cone",0,1,0.860869598388672,0.891891956329346
"lymphography",16,"dropToValue",256,0.01,"rect",0.05,1,0.857142907381058,0.783783853054047
"lymphography",16,"dropToValue",1024,0.01,"rect",0.05,1,0.857142901420593,0.837837874889374
"lymphography",3,"dropToValue",512,0.1,"cone",0,1,0.852173948287964,0.864864945411682
"lymphography",3,"dropToValue",512,0.1,"rect",0,1,0.852173948287964,0.810810804367065
"lymphography",4,"dropToValue",512,0.01,"rect",0.05,1,0.850000059604645,0.72972971200943
"lymphography",32,"dropToValue",256,0.01,"rect",0,1,0.850000023841858,0.918918907642365
"lymphography",4,"dropToValue",256,0.1,"rect",0,1,0.850000023841858,0.945945978164673
"lymphography",4,"dropToValue",1024,0.01,"cone",0,1,0.845000022649765,0.945945978164673
"lymphography",3,"dropToValue",256,0.01,"cone",0.05,1,0.843478298187256,0.891891896724701
"lymphography",3,"dropToValue",256,0.01,"rect",0.05,1,0.843478298187256,0.864864885807037
"lymphography",3,"dropToValue",256,0.01,"rect",0,1,0.843478298187256,0.891891956329346
"lymphography",3,"dropToValue",1024,0.1,"cone",0.05,1,0.843478298187256,0.864864945411682
"lymphography",8,"dropToValue",1024,0.01,"cone",0.05,1,0.840000021457672,0.972972989082336
"lymphography",8,"dropToValue",512,0.01,"rect",0,1,0.840000021457672,0.918918967247009
"lymphography",3,"dropToValue",256,0.1,"rect",0.05,1,0.839130473136902,0.918918967247009
"lymphography",8,"dropToValue",256,0.01,"cone",0.05,1,0.835000020265579,0.972972989082336
"lymphography",8,"dropToValue",256,0.01,"cone",0,1,0.835000020265579,0.918918967247009
"lymphography",4,"dropToValue",256,0.01,"cone",0,1,0.835000020265579,0.918918967247009
"lymphography",2,"dropToValue",512,0.1,"cone",0.05,1,0.835000014305115,0.945945978164673
"lymphography",4,"dropToValue",256,0.01,"rect",0,1,0.834999996423721,0.837837874889374
"lymphography",3,"dropToValue",1024,0.01,"rect",0.05,1,0.834782648086548,0.864864885807037
"lymphography",3,"dropToValue",512,0.01,"cone",0,1,0.834782648086548,0.891891956329346
"lymphography",3,"dropToValue",512,0.01,"rect",0,1,0.834782648086548,0.891891956329346
"lymphography",3,"dropToValue",256,0.1,"cone",0.05,1,0.834782648086548,0.918918967247009
"lymphography",3,"dropToValue",512,0.01,"cone",0.05,1,0.830434823036194,0.945945978164673
"lymphography",3,"dropToValue",1024,0.01,"rect",0,1,0.830434823036194,0.891891956329346
"lymphography",4,"dropToValue",256,0.1,"cone",0,1,0.830000019073487,0.837837874889374
"lymphography",8,"dropToValue",512,0.01,"cone",0,1,0.830000013113022,0.891891896724701
"lymphography",4,"dropToValue",1024,0.1,"cone",0.05,1,0.830000001192093,0.918918967247009
"lymphography",3,"dropToValue",1024,0.1,"cone",0,1,0.821739172935486,0.891891956329346
"lymphography",8,"dropToValue",256,0.01,"rect",0.05,1,0.821428620815277,0.81081086397171
"lymphography",8,"dropToValue",512,0.01,"rect",0.05,1,0.821428614854813,0.72972971200943
"lymphography",4,"dropToValue",512,0.01,"cone",0,1,0.820000016689301,0.918918967247009
"lymphography",8,"dropToValue",1024,0.1,"cone",0.05,1,0.820000010728836,0.891891956329346
"lymphography",3,"dropToValue",512,0.1,"rect",0.05,1,0.817391347885132,0.891891956329346
"lymphography",16,"dropToValue",512,0.01,"cone",0,1,0.815000015497208,0.918918907642365
"lymphography",8,"dropToValue",512,0.1,"cone",0,1,0.815000015497208,0.891891896724701
"lymphography",3,"dropToValue",1024,0.01,"cone",0.05,1,0.813043522834778,0.918918967247009
"lymphography",16,"dropToValue",512,0.1,"cone",0,1,0.810000014305115,0.945945918560028
"lymphography",2,"dropToValue",512,0.1,"cone",0,1,0.81000000834465,0.945945978164673
"lymphography",3,"dropToValue",512,0.1,"cone",0.05,1,0.808695697784424,0.891891956329346
"lymphography",3,"dropToValue",1024,0.1,"rect",0.05,1,0.80869567990303,0.864864945411682
"lymphography",4,"dropToValue",256,0.01,"rect",0.05,1,0.807142901420593,0.783783853054047
"lymphography",2,"dropToValue",1024,0.1,"rect",0.05,1,0.807142889499664,0.783783853054047
"lymphography",32,"dropToValue",256,0.01,"cone",0,1,0.805000013113022,0.891891896724701
"lymphography",16,"dropToValue",1024,0.01,"rect",0,1,0.805000013113022,0.918918907642365
"lymphography",4,"dropToValue",256,0.1,"cone",0.05,1,0.805000013113022,0.945945978164673
"lymphography",16,"dropToValue",512,0.1,"cone",0.05,1,0.805000007152558,0.756756842136383
"lymphography",2,"dropToValue",256,0.1,"cone",0.05,1,0.805000007152558,0.945945978164673
"lymphography",16,"dropToValue",512,0.01,"rect",0.05,1,0.800000047683716,0.783783853054047
"lymphography",2,"dropToValue",256,0.1,"rect",0.05,1,0.800000047683716,0.756756782531738
"lymphography",16,"dropToValue",256,0.01,"rect",0,1,0.800000011920929,0.891891896724701
"lymphography",16,"dropToValue",512,0.01,"rect",0,1,0.800000011920929,0.945945918560028
"lymphography",8,"dropToValue",1024,0.01,"cone",0,1,0.800000011920929,0.945945978164673
"lymphography",8,"dropToValue",256,0.1,"cone",0,1,0.800000011920929,0.945945978164673
"lymphography",4,"dropToValue",512,0.01,"rect",0,1,0.800000011920929,0.891891896724701
"lymphography",4,"dropToValue",1024,0.01,"rect",0,1,0.800000011920929,0.891891896724701
"lymphography",4,"dropToValue",512,0.1,"cone",0,1,0.800000011920929,0.918918907642365
