"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"magic",3,"dropToValue",512,0.1,"cone",0,1,0.8799,0.8692
"magic",3,"dropToValue",256,0.1,"cone",0.05,1,0.8793,0.8669
"magic",3,"dropToValue",256,0.01,"cone",0,1,0.8785,0.8679
"magic",3,"dropToValue",1024,0.1,"cone",0.05,1,0.8779,0.8673
"magic",3,"dropToValue",512,0.1,"cone",0.05,1,0.8779,0.8679
"magic",3,"dropToValue",256,0.1,"rect",0,1,0.877,0.8604
"magic",3,"dropToValue",512,0.1,"rect",0,1,0.8769,0.8736
"magic",3,"dropToValue",512,0.1,"rect",0.05,1,0.8766,0.8658
"magic",3,"dropToValue",256,0.1,"cone",0,1,0.8766,0.8711
"magic",3,"dropToValue",1024,0.1,"cone",0,1,0.8762,0.8715
"magic",3,"dropToValue",1024,0.01,"cone",0.05,1,0.8757,0.8631
"magic",4,"dropToValue",512,0.1,"cone",0.05,1,0.8753,0.87
"magic",3,"dropToValue",256,0.1,"rect",0.05,1,0.8748,0.8637
"magic",3,"dropToValue",1024,0.01,"rect",0.05,1,0.8746,0.8627
"magic",3,"dropToValue",512,0.01,"cone",0.05,1,0.8744,0.8606
"magic",3,"dropToValue",512,0.01,"cone",0,1,0.8744,0.8599
"magic",3,"dropToValue",1024,0.01,"cone",0,1,0.8744,0.862
"magic",3,"dropToValue",512,0.01,"rect",0.05,1,0.8738,0.8616
"magic",4,"dropToValue",1024,0.1,"cone",0.05,1,0.8734,0.8713
"magic",4,"dropToValue",256,0.1,"cone",0,1,0.8731,0.8723
"magic",8,"dropToValue",512,0.01,"rect",0,1,0.8727,0.8698
"magic",8,"dropToValue",256,0.1,"cone",0.05,1,0.8727,0.8677
"magic",2,"dropToValue",1024,0.01,"cone",0,1,0.8726,0.8709
"magic",8,"dropToValue",512,0.1,"cone",0.05,1,0.8726,0.8662
"magic",3,"dropToValue",256,0.01,"rect",0.05,1,0.8724,0.858
"magic",4,"dropToValue",1024,0.1,"cone",0,1,0.8723,0.8679
"magic",4,"dropToValue",512,0.1,"cone",0,1,0.8722,0.8698
"magic",16,"dropToValue",256,0.1,"cone",0.05,1,0.8721,0.8681
"magic",4,"dropToValue",1024,0.01,"cone",0,1,0.8719,0.8665
"magic",8,"dropToValue",256,0.01,"cone",0,1,0.8719,0.8719
"magic",4,"dropToValue",256,0.1,"rect",0,1,0.8718,0.865
"magic",8,"dropToValue",512,0.01,"cone",0,1,0.8718,0.869
"magic",32,"dropToValue",256,0.1,"rect",0.05,1,0.8716,0.8681
"magic",4,"dropToValue",256,0.1,"cone",0.05,1,0.8714,0.8696
"magic",4,"dropToValue",512,0.01,"rect",0,1,0.8714,0.8671
"magic",16,"dropToValue",1024,0.1,"cone",0.05,1,0.8713,0.8694
