"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"mammographic",32,"dropToValue",512,0.01,"rect",0.05,1,0.8816,0.825
"mammographic",2,"dropToValue",512,0.01,"rect",0.05,1,0.8772,0.825
"mammographic",32,"dropToValue",1024,0.01,"rect",0.05,1,0.8763,0.825
"mammographic",16,"dropToValue",1024,0.01,"rect",0.05,1,0.8737,0.8375
"mammographic",4,"dropToValue",512,0.01,"rect",0.05,1,0.8728,0.825
"mammographic",8,"dropToValue",512,0.01,"rect",0.05,1,0.8719,0.8208
"mammographic",4,"dropToValue",256,0.01,"rect",0.05,1,0.8719,0.8208
"mammographic",4,"dropToValue",1024,0.01,"rect",0.05,1,0.8719,0.8167
"mammographic",2,"dropToValue",1024,0.01,"rect",0.05,1,0.8711,0.825
"mammographic",8,"dropToValue",256,0.01,"rect",0.05,1,0.8711,0.825
"mammographic",2,"dropToValue",256,0.01,"cone",0,1,0.8699,0.8125
"mammographic",16,"dropToValue",512,0.01,"cone",0.05,1,0.8699,0.8208
"mammographic",16,"dropToValue",256,0.01,"rect",0.05,1,0.8693,0.8375
"mammographic",2,"dropToValue",512,0.1,"rect",0.05,1,0.8684,0.8125
"mammographic",16,"dropToValue",512,0.01,"rect",0.05,1,0.8684,0.8333
"mammographic",8,"dropToValue",1024,0.01,"rect",0.05,1,0.8684,0.8208
"mammographic",2,"dropToValue",256,0.1,"rect",0.05,1,0.8684,0.8167
"mammographic",2,"dropToValue",256,0.01,"rect",0.05,1,0.8675,0.8167
"mammographic",4,"dropToValue",256,0.1,"rect",0.05,1,0.8658,0.8208
"mammographic",4,"dropToValue",256,0.01,"cone",0.05,1,0.8658,0.8208
"mammographic",2,"dropToValue",1024,0.1,"rect",0.05,1,0.8649,0.8083
"mammographic",2,"dropToValue",512,0.01,"cone",0,1,0.8644,0.825
"mammographic",32,"dropToValue",256,0.01,"rect",0.05,1,0.864,0.8292
"mammographic",8,"dropToValue",512,0.01,"cone",0.05,1,0.863,0.8125
"mammographic",4,"dropToValue",256,0.01,"cone",0,1,0.863,0.8125
"mammographic",4,"dropToValue",512,0.1,"cone",0.05,1,0.863,0.8292
"mammographic",2,"dropToValue",256,0.01,"cone",0.05,1,0.863,0.8125
"mammographic",4,"dropToValue",512,0.01,"cone",0.05,1,0.863,0.8167
