"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"miniboone",4,"dropToValue",1024,0.1,"rect",0,1,0.931459540128708,0.930650353431702
"miniboone",8,"dropToValue",256,0.1,"cone",0,1,0.931286460161209,0.930588841438293
"miniboone",8,"dropToValue",1024,0.01,"cone",0,1,0.930634868144989,0.928374528884888
"miniboone",4,"dropToValue",1024,0.01,"rect",0,1,0.930426120758057,0.926775336265564
"miniboone",8,"dropToValue",512,0.01,"cone",0,1,0.930303966999054,0.928128600120544
"miniboone",4,"dropToValue",512,0.1,"rect",0,1,0.930288720130921,0.929543197154999
"miniboone",4,"dropToValue",512,0.1,"cone",0,1,0.930247974395752,0.931142449378967
"miniboone",4,"dropToValue",256,0.1,"rect",0,1,0.930197101831436,0.925944983959198
"miniboone",8,"dropToValue",256,0.01,"cone",0,1,0.930166512727738,0.928374588489532
"miniboone",8,"dropToValue",512,0.01,"rect",0,1,0.930141067504883,0.928251504898071
"miniboone",8,"dropToValue",1024,0.1,"cone",0,1,0.929881447553635,0.929727792739868
"miniboone",4,"dropToValue",256,0.1,"cone",0,1,0.929855990409851,0.928128480911255
"miniboone",3,"dropToValue",1024,0.1,"rect",0,1,0.929692739248276,0.932311117649078
"miniboone",16,"dropToValue",512,0.01,"cone",0,1,0.929433476924896,0.927390456199646
"miniboone",4,"dropToValue",1024,0.1,"cone",0,1,0.929117870330811,0.929358720779419
"miniboone",3,"dropToValue",256,0.1,"rect",0,1,0.929095488786697,0.928682088851929
"miniboone",8,"dropToValue",1024,0.01,"rect",0,1,0.928680086135864,0.925883531570435
"miniboone",8,"dropToValue",512,0.1,"cone",0,1,0.928680086135864,0.928189992904663
"miniboone",16,"dropToValue",256,0.1,"cone",0,1,0.928659725189209,0.925606608390808
"miniboone",3,"dropToValue",512,0.1,"rect",0,1,0.928575468063354,0.928743660449982
"miniboone",3,"dropToValue",1024,0.1,"cone",0,1,0.928477621078491,0.930681109428406
"miniboone",16,"dropToValue",1024,0.01,"cone",0,1,0.928171008825302,0.925975739955902
"miniboone",4,"dropToValue",1024,0.01,"cone",0,1,0.928109908103943,0.925391376018524
"miniboone",2,"dropToValue",512,0.1,"rect",0,1,0.928003025054932,0.922869622707367
"miniboone",16,"dropToValue",512,0.1,"cone",0,1,0.927585601806641,0.926806092262268
"miniboone",8,"dropToValue",256,0.01,"rect",0,1,0.927458322048187,0.924438059329987
"miniboone",3,"dropToValue",512,0.1,"cone",0,1,0.927370625734329,0.925053119659424
"miniboone",2,"dropToValue",256,0.1,"cone",0,1,0.927325981855393,0.92105507850647
"miniboone",3,"dropToValue",256,0.1,"cone",0,1,0.927061700820923,0.930373668670654
"miniboone",4,"dropToValue",256,0.01,"rect",0,1,0.926974713802338,0.926836848258972
"miniboone",4,"dropToValue",256,0.01,"cone",0,1,0.926933979988098,0.927236676216125
"miniboone",2,"dropToValue",1024,0.1,"cone",0,1,0.92689328789711,0.924437999725342
"miniboone",2,"dropToValue",256,0.1,"rect",0,1,0.926374036073685,0.928866624832153
"miniboone",32,"dropToValue",256,0.01,"cone",0,1,0.92627729177475,0.927021384239197
"miniboone",16,"dropToValue",256,0.01,"cone",0,1,0.926211112737656,0.926375567913055
"miniboone",2,"dropToValue",512,0.1,"cone",0,1,0.926134777069092,0.927267491817474
"miniboone",16,"dropToValue",1024,0.1,"cone",0,1,0.926022762060166,0.920716822147369
"miniboone",4,"dropToValue",512,0.01,"cone",0,1,0.925920957326889,0.927544176578522
"miniboone",32,"dropToValue",1024,0.01,"cone",0,1,0.925864982604981,0.925083875656128
"miniboone",3,"dropToValue",1024,0.01,"cone",0,1,0.925846588611603,0.926590740680695
"miniboone",32,"dropToValue",256,0.1,"cone",0,1,0.925676620006561,0.928712844848633
"miniboone",3,"dropToValue",512,0.01,"cone",0,1,0.925584006309509,0.926959872245789
"miniboone",32,"dropToValue",512,0.01,"cone",0,1,0.925549334287644,0.922900319099426
"miniboone",32,"dropToValue",512,0.1,"cone",0,1,0.925254106521607,0.925391316413879
"miniboone",2,"dropToValue",1024,0.1,"rect",0,1,0.924928277730942,0.925360679626465
"miniboone",2,"dropToValue",512,0.01,"cone",0,1,0.924760293960571,0.923146367073059
"miniboone",2,"dropToValue",1024,0.01,"cone",0,1,0.92470428943634,0.922100782394409
"miniboone",4,"dropToValue",512,0.01,"rect",0,1,0.924678868055344,0.92243903875351
"miniboone",32,"dropToValue",1024,0.1,"cone",0,1,0.92444977760315,0.921516478061676
"miniboone",3,"dropToValue",256,0.01,"cone",0,1,0.924343144893646,0.923207879066467
"miniboone",2,"dropToValue",1024,0.01,"rect",0,1,0.924271595478058,0.924437999725342
"miniboone",3,"dropToValue",512,0.01,"rect",0,1,0.924271059036255,0.926037311553955
"miniboone",16,"dropToValue",512,0.01,"rect",0,1,0.924210500717163,0.922838807106018
"miniboone",16,"dropToValue",256,0.01,"rect",0,1,0.923920357227325,0.922623574733734
"miniboone",3,"dropToValue",1024,0.01,"rect",0,1,0.923591434955597,0.923730731010437
"miniboone",2,"dropToValue",256,0.01,"rect",0,1,0.923543632030487,0.918348729610443
"miniboone",2,"dropToValue",512,0.01,"rect",0,1,0.923340040445328,0.927236676216125
"miniboone",16,"dropToValue",1024,0.01,"rect",0,1,0.923060029745102,0.923330843448639
"miniboone",2,"dropToValue",256,0.01,"cone",0,1,0.922612059116364,0.922408282756805
"miniboone",3,"dropToValue",256,0.01,"rect",0,1,0.922566795349121,0.924007475376129
"miniboone",32,"dropToValue",512,0.01,"rect",0,1,0.919486421346664,0.918041229248047
"miniboone",32,"dropToValue",256,0.01,"rect",0,1,0.919425356388092,0.917487621307373
"miniboone",2,"dropToValue",256,1,"cone",0.05,1,0.918229043483734,0.915611624717712
"miniboone",32,"dropToValue",1024,0.01,"rect",0,1,0.917216020822525,0.916718780994415
"miniboone",2,"dropToValue",1024,0.1,"rect",0.05,1,0.915579169988632,0.913305044174194
"miniboone",4,"dropToValue",1024,0.1,"cone",0.05,1,0.914299124479294,0.913520276546478
"miniboone",3,"dropToValue",1024,0.1,"cone",0.05,1,0.913855046033859,0.911982655525208
"miniboone",3,"dropToValue",512,0.1,"cone",0.05,1,0.912928283214569,0.912905216217041
