"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"molec-biol-promoter",32,"dropToValue",256,0.01,"rect",0.05,1,0.8312,0.8462
"molec-biol-promoter",32,"dropToValue",1024,0.01,"rect",0,1,0.8188,0.5
"molec-biol-promoter",4,"dropToValue",256,0.1,"cone",0.05,1,0.8125,0.8462
"molec-biol-promoter",8,"dropToValue",256,0.01,"cone",0.05,1,0.8062,0.7692
"molec-biol-promoter",3,"dropToValue",256,0.01,"cone",0.05,1,0.8,0.8846
"molec-biol-promoter",2,"dropToValue",512,0.1,"cone",0.05,1,0.7875,0.8077
"molec-biol-promoter",4,"dropToValue",1024,0.01,"cone",0,1,0.7625,0.8462
"molec-biol-promoter",32,"dropToValue",1024,0.1,"cone",0,1,0.7562,0.6923
"molec-biol-promoter",32,"dropToValue",256,0.01,"cone",0,1,0.75,0.6923
"molec-biol-promoter",8,"dropToValue",256,0.01,"rect",0.05,1,0.75,0.8077
"molec-biol-promoter",8,"dropToValue",256,0.01,"cone",0,1,0.75,0.7692
"molec-biol-promoter",8,"dropToValue",1024,0.01,"rect",0,1,0.75,0.8462
"molec-biol-promoter",4,"dropToValue",256,0.1,"cone",0,1,0.75,0.8077
"molec-biol-promoter",4,"dropToValue",256,0.1,"rect",0,1,0.75,0.7308
"molec-biol-promoter",2,"dropToValue",256,0.01,"cone",0.05,1,0.75,0.7692
"molec-biol-promoter",2,"dropToValue",512,0.01,"cone",0.05,1,0.75,0.8846
"molec-biol-promoter",2,"dropToValue",512,0.01,"cone",0,1,0.75,0.8077
"molec-biol-promoter",4,"dropToValue",1024,0.1,"cone",0.05,1,0.7438,0.8462
"molec-biol-promoter",2,"dropToValue",256,0.01,"rect",0.05,1,0.7438,0.8462
"molec-biol-promoter",16,"dropToValue",512,0.1,"cone",0.05,1,0.7312,0.8462
"molec-biol-promoter",16,"dropToValue",256,0.1,"cone",0.05,1,0.7312,0.8077
"molec-biol-promoter",8,"dropToValue",1024,0.01,"cone",0.05,1,0.7312,0.8077
"molec-biol-promoter",4,"dropToValue",512,0.01,"rect",0.05,1,0.7188,0.9231
"molec-biol-promoter",2,"dropToValue",512,0.01,"rect",0.05,1,0.7188,0.8077
"molec-biol-promoter",2,"dropToValue",256,0.1,"cone",0.05,1,0.7188,0.7692
"molec-biol-promoter",32,"dropToValue",512,0.1,"cone",0,1,0.7125,0.5769
"molec-biol-promoter",16,"dropToValue",512,0.01,"cone",0,1,0.7125,0.7692
"molec-biol-promoter",4,"dropToValue",1024,0.01,"rect",0.05,1,0.7125,0.8077
"molec-biol-promoter",16,"dropToValue",256,0.01,"cone",0.05,1,0.7062,0.8077
"molec-biol-promoter",8,"dropToValue",512,0.01,"cone",0,1,0.7062,0.8846
