"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"molec-biol-splice",8,"dropToValue",256,0.1,"rect",0.05,1,0.9003,0.9009
"molec-biol-splice",8,"dropToValue",1024,0.1,"rect",0.05,1,0.8903,0.8908
"molec-biol-splice",16,"dropToValue",512,0.1,"cone",0.05,1,0.8892,0.8607
"molec-biol-splice",16,"dropToValue",1024,0.01,"rect",0.05,1,0.8878,0.8833
"molec-biol-splice",16,"dropToValue",256,0.1,"rect",0.05,1,0.8876,0.8896
"molec-biol-splice",8,"dropToValue",1024,0.1,"cone",0.05,1,0.8875,0.8745
"molec-biol-splice",8,"dropToValue",512,0.1,"cone",0.05,1,0.8867,0.8657
"molec-biol-splice",16,"dropToValue",512,0.1,"rect",0.05,1,0.8857,0.8908
"molec-biol-splice",4,"dropToValue",512,0.1,"cone",0.05,1,0.8854,0.8795
"molec-biol-splice",16,"dropToValue",1024,0.1,"cone",0,1,0.884,0.8795
"molec-biol-splice",4,"dropToValue",1024,0.1,"cone",0.05,1,0.8835,0.8632
"molec-biol-splice",8,"dropToValue",256,0.1,"cone",0.05,1,0.8833,0.8582
"molec-biol-splice",8,"dropToValue",512,0.1,"rect",0.05,1,0.883,0.8758
"molec-biol-splice",2,"dropToValue",1024,0.1,"cone",0.05,1,0.8813,0.8532
"molec-biol-splice",3,"dropToValue",256,0.1,"cone",0.05,1,0.8785,0.877
"molec-biol-splice",4,"dropToValue",512,0.01,"rect",0.05,1,0.877,0.8733
"molec-biol-splice",4,"dropToValue",1024,0.1,"rect",0,1,0.8769,0.8595
"molec-biol-splice",4,"dropToValue",1024,0.1,"rect",0.05,1,0.8762,0.8733
"molec-biol-splice",4,"dropToValue",512,0.1,"rect",0.05,1,0.8759,0.872
"molec-biol-splice",2,"dropToValue",256,1,"cone",0.05,1,0.8756,0.867
"molec-biol-splice",3,"dropToValue",1024,0.1,"cone",0.05,1,0.8739,0.857
"molec-biol-splice",2,"dropToValue",1024,0.1,"cone",0,1,0.8738,0.8494
