"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"monks-3",3,"dropToValue",512,0.01,"cone",0,1,0.975000011920929,0.604166686534882
"monks-3",3,"dropToValue",1024,0.1,"cone",0.05,1,0.97142858505249,0.694444477558136
"monks-3",3,"dropToValue",256,0.1,"cone",0.05,1,0.967857158184051,0.699074029922485
"monks-3",4,"dropToValue",1024,0.01,"cone",0.05,1,0.95625,0.608796358108521
"monks-3",3,"dropToValue",1024,0.01,"rect",0,1,0.953571450710297,0.645833313465118
"monks-3",3,"dropToValue",256,0.1,"rect",0.05,1,0.950000023841858,0.759259223937988
"monks-3",3,"dropToValue",1024,0.01,"cone",0,1,0.939285743236542,0.634259223937988
"monks-3",4,"dropToValue",512,0.01,"cone",0.05,1,0.9375,0.6875
"monks-3",4,"dropToValue",256,0.01,"cone",0,1,0.9375,0.618055582046509
"monks-3",4,"dropToValue",512,0.01,"rect",0,1,0.934375,0.682870388031006
"monks-3",2,"dropToValue",1024,0.01,"cone",0,1,0.934375,0.636574029922485
"monks-3",2,"dropToValue",1024,0.01,"rect",0,1,0.934375,0.638888895511627
"monks-3",16,"dropToValue",256,0.01,"cone",0,1,0.93125,0.680555582046509
"monks-3",4,"dropToValue",512,0.01,"rect",0.05,1,0.93125,0.67592591047287
"monks-3",4,"dropToValue",1024,0.01,"rect",0,1,0.93125,0.631944417953491
"monks-3",2,"dropToValue",1024,0.01,"cone",0.05,1,0.93125,0.65972226858139
"monks-3",3,"dropToValue",1024,0.01,"cone",0.05,1,0.928571462631226,0.724537074565887
"monks-3",3,"dropToValue",512,0.01,"rect",0,1,0.928571462631226,0.655092597007751
"monks-3",8,"dropToValue",1024,0.01,"cone",0.05,1,0.928125,0.706018567085266
"monks-3",8,"dropToValue",512,0.01,"rect",0,1,0.928125,0.729166686534882
"monks-3",4,"dropToValue",1024,0.01,"cone",0,1,0.928125,0.629629671573639
"monks-3",2,"dropToValue",256,0.1,"cone",0.05,1,0.928125,0.722222208976746
