"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"musk-1",4,"dropToValue",1024,0.1,"cone",0,1,0.9474,0.8739
"musk-1",16,"dropToValue",1024,0.01,"rect",0.05,1,0.9404,0.8739
"musk-1",4,"dropToValue",256,0.1,"rect",0.05,1,0.9263,0.8571
"musk-1",16,"dropToValue",1024,0.1,"cone",0,1,0.9263,0.8908
"musk-1",16,"dropToValue",1024,0.1,"cone",0.05,1,0.9237,0.8571
"musk-1",8,"dropToValue",1024,0.1,"cone",0.05,1,0.9237,0.916
"musk-1",8,"dropToValue",1024,0.1,"cone",0,1,0.9224,0.8655
"musk-1",16,"dropToValue",1024,0.01,"rect",0,1,0.9211,0.8908
"musk-1",16,"dropToValue",512,0.1,"cone",0,1,0.9211,0.8824
"musk-1",4,"dropToValue",512,0.1,"cone",0,1,0.9197,0.8908
"musk-1",4,"dropToValue",512,0.1,"rect",0.05,1,0.9175,0.8992
"musk-1",2,"dropToValue",256,0.1,"cone",0,1,0.9145,0.8655
"musk-1",8,"dropToValue",256,0.01,"rect",0.05,1,0.9123,0.8739
"musk-1",32,"dropToValue",256,0.01,"rect",0,1,0.9105,0.7899
"musk-1",8,"dropToValue",256,0.01,"rect",0,1,0.9092,0.8151
"musk-1",32,"dropToValue",1024,0.01,"rect",0,1,0.9079,0.8403
"musk-1",8,"dropToValue",256,0.01,"cone",0.05,1,0.9079,0.7899
"musk-1",16,"dropToValue",256,0.01,"rect",0.05,1,0.907,0.8235
"musk-1",8,"dropToValue",512,0.01,"rect",0.05,1,0.907,0.8067
"musk-1",32,"dropToValue",1024,0.01,"rect",0.05,1,0.907,0.8571
"musk-1",2,"dropToValue",1024,0.1,"rect",0.05,1,0.907,0.8739
"musk-1",16,"dropToValue",1024,0.01,"cone",0,1,0.9066,0.7815
"musk-1",4,"dropToValue",1024,0.01,"rect",0.05,1,0.9053,0.8571
"musk-1",2,"dropToValue",512,0.1,"rect",0,1,0.9053,0.8487
"musk-1",8,"dropToValue",256,0.1,"cone",0.05,1,0.9053,0.8067
"musk-1",4,"dropToValue",512,0.1,"cone",0.05,1,0.9039,0.8824
"musk-1",8,"dropToValue",1024,0.01,"cone",0.05,1,0.9039,0.8151
"musk-1",16,"dropToValue",512,0.01,"rect",0,1,0.9039,0.8655
"musk-1",2,"dropToValue",256,0.1,"rect",0.05,1,0.9035,0.8739
"musk-1",8,"dropToValue",1024,0.01,"rect",0.05,1,0.9035,0.8824
"musk-1",4,"dropToValue",256,0.01,"cone",0.05,1,0.9026,0.7731
"musk-1",2,"dropToValue",1024,0.1,"cone",0.05,1,0.9013,0.8571
"musk-1",2,"dropToValue",1024,0.01,"cone",0.05,1,0.9013,0.8151
"musk-1",32,"dropToValue",512,0.01,"rect",0,1,0.9,0.8067
"musk-1",8,"dropToValue",1024,0.01,"rect",0,1,0.9,0.8151
"musk-1",8,"dropToValue",256,0.1,"cone",0,1,0.9,0.9076
"musk-1",2,"dropToValue",512,0.1,"cone",0.05,1,0.8987,0.8235
"musk-1",16,"dropToValue",256,0.1,"cone",0,1,0.8987,0.8319
"musk-1",4,"dropToValue",1024,0.01,"rect",0,1,0.8974,0.8151
"musk-1",2,"dropToValue",256,0.1,"rect",0,1,0.8974,0.8067
"musk-1",8,"dropToValue",512,0.01,"rect",0,1,0.8961,0.8403
"musk-1",16,"dropToValue",1024,0.01,"cone",0.05,1,0.8961,0.7815
"musk-1",2,"dropToValue",512,0.01,"rect",0.05,1,0.8947,0.8151
"musk-1",4,"dropToValue",256,0.1,"cone",0.05,1,0.8947,0.8908
"musk-1",2,"dropToValue",512,0.1,"cone",0,1,0.8947,0.8403
"musk-1",4,"dropToValue",256,0.1,"cone",0,1,0.8947,0.8739
"musk-1",8,"dropToValue",512,0.1,"cone",0,1,0.8934,0.8403
"musk-1",8,"dropToValue",512,0.01,"cone",0,1,0.8934,0.8487
"musk-1",4,"dropToValue",512,0.01,"cone",0,1,0.8908,0.8235
"musk-1",2,"dropToValue",512,0.01,"cone",0,1,0.8908,0.8235
"musk-1",4,"dropToValue",1024,0.1,"cone",0.05,1,0.8895,0.8739
"musk-1",2,"dropToValue",256,0.1,"cone",0.05,1,0.8895,0.7899
"musk-1",4,"dropToValue",512,0.01,"cone",0.05,1,0.8895,0.7899
"musk-1",4,"dropToValue",256,0.01,"rect",0,1,0.8882,0.7815
"musk-1",4,"dropToValue",512,0.01,"rect",0.05,1,0.8877,0.8403
"musk-1",8,"dropToValue",1024,0.01,"cone",0,1,0.8868,0.7815
"musk-1",4,"dropToValue",256,0.1,"rect",0,1,0.8855,0.8235
"musk-1",16,"dropToValue",512,0.01,"rect",0.05,1,0.8842,0.8571
"musk-1",16,"dropToValue",256,0.01,"rect",0,1,0.8842,0.8067
"musk-1",32,"dropToValue",512,0.01,"rect",0.05,1,0.8842,0.8067
"musk-1",2,"dropToValue",512,0.01,"cone",0.05,1,0.8842,0.7899
"musk-1",16,"dropToValue",512,0.01,"cone",0.05,1,0.8842,0.7143
"musk-1",2,"dropToValue",512,0.01,"rect",0,1,0.8829,0.8319
"musk-1",4,"dropToValue",256,0.01,"rect",0.05,1,0.8825,0.8571
"musk-1",32,"dropToValue",1024,0.01,"cone",0,1,0.8816,0.7983
"musk-1",4,"dropToValue",512,0.01,"rect",0,1,0.8816,0.7563
"musk-1",16,"dropToValue",256,0.01,"cone",0,1,0.8816,0.8571
"musk-1",2,"dropToValue",512,0.1,"rect",0.05,1,0.8789,0.8739
"musk-1",16,"dropToValue",512,0.01,"cone",0,1,0.8789,0.7647
"musk-1",32,"dropToValue",512,0.01,"cone",0,1,0.8776,0.7563
"musk-1",2,"dropToValue",256,0.01,"rect",0.05,1,0.8772,0.7731
"musk-1",2,"dropToValue",1024,0.01,"rect",0.05,1,0.8772,0.8739
"musk-1",4,"dropToValue",1024,0.01,"cone",0.05,1,0.875,0.7731
"musk-1",2,"dropToValue",256,0.01,"cone",0.05,1,0.8737,0.7899
"musk-1",2,"dropToValue",1024,0.01,"rect",0,1,0.8724,0.8067
"musk-1",2,"dropToValue",256,0.01,"rect",0,1,0.8724,0.7311
"musk-1",2,"dropToValue",1024,0.1,"rect",0,1,0.8724,0.8235
"musk-1",3,"dropToValue",512,0.1,"cone",0,1,0.8686,0.8319
"musk-1",16,"dropToValue",512,0.1,"cone",0.05,1,0.8684,0.7311
"musk-1",8,"dropToValue",512,0.1,"cone",0.05,1,0.8658,0.7731
"musk-1",4,"dropToValue",1024,0.01,"cone",0,1,0.8658,0.8067
"musk-1",8,"dropToValue",512,0.01,"cone",0.05,1,0.8645,0.7563
"musk-1",2,"dropToValue",1024,0.1,"cone",0,1,0.8645,0.8403
"musk-1",3,"dropToValue",512,0.1,"rect",0.05,1,0.86,0.8403
"musk-1",16,"dropToValue",256,0.1,"cone",0.05,1,0.8592,0.7143
"musk-1",4,"dropToValue",256,0.01,"cone",0,1,0.8553,0.7983
"musk-1",3,"dropToValue",512,0.1,"rect",0,1,0.8543,0.8235
"musk-1",2,"dropToValue",1024,0.01,"cone",0,1,0.8526,0.7311
"musk-1",8,"dropToValue",256,0.01,"cone",0,1,0.8474,0.8067
"musk-1",3,"dropToValue",256,0.01,"rect",0,1,0.8471,0.7479
"musk-1",3,"dropToValue",1024,0.1,"cone",0.05,1,0.8443,0.8403
"musk-1",3,"dropToValue",1024,0.1,"cone",0,1,0.8414,0.8655
"musk-1",16,"dropToValue",256,0.01,"cone",0.05,1,0.8382,0.7311
"musk-1",3,"dropToValue",512,0.01,"rect",0,1,0.8371,0.7899
"musk-1",3,"dropToValue",1024,0.1,"rect",0.05,1,0.8371,0.8487
"musk-1",3,"dropToValue",256,0.1,"cone",0,1,0.83,0.7899
"musk-1",32,"dropToValue",256,0.01,"rect",0.05,1,0.8298,0.7731
"musk-1",3,"dropToValue",512,0.1,"cone",0.05,1,0.8286,0.8235
"musk-1",3,"dropToValue",256,0.1,"cone",0.05,1,0.8286,0.8235
"musk-1",2,"dropToValue",256,0.01,"cone",0,1,0.8276,0.7647
"musk-1",3,"dropToValue",512,0.01,"cone",0,1,0.8271,0.8151
"musk-1",3,"dropToValue",1024,0.01,"cone",0,1,0.8229,0.7899
"musk-1",3,"dropToValue",1024,0.01,"rect",0.05,1,0.8129,0.7815
"musk-1",3,"dropToValue",1024,0.01,"rect",0,1,0.8114,0.7815
"musk-1",16,"dropToValue",1024,1,"cone",0.05,1,0.8066,0.6975
"musk-1",32,"dropToValue",256,0.01,"cone",0,1,0.8026,0.7227
"musk-1",3,"dropToValue",256,0.1,"rect",0.05,1,0.8014,0.8151
"musk-1",3,"dropToValue",256,0.1,"rect",0,1,0.7929,0.7983
"musk-1",3,"dropToValue",512,0.01,"cone",0.05,1,0.78,0.7731
"musk-1",32,"dropToValue",256,0.1,"cone",0,1,0.7789,0.6975
"musk-1",32,"dropToValue",1024,0.1,"cone",0,1,0.7776,0.6723
"musk-1",32,"dropToValue",1024,0.1,"cone",0.05,1,0.7737,0.7059
"musk-1",3,"dropToValue",512,0.01,"rect",0.05,1,0.7729,0.7647
"musk-1",3,"dropToValue",1024,0.01,"cone",0.05,1,0.7629,0.7479
"musk-1",3,"dropToValue",256,0.01,"rect",0.05,1,0.7386,0.7815
"musk-1",3,"dropToValue",256,0.01,"cone",0,1,0.7357,0.7815
"musk-1",3,"dropToValue",256,0.01,"cone",0.05,1,0.7343,0.7143
"musk-1",32,"dropToValue",512,0.1,"cone",0,1,0.7026,0.6471
"musk-1",32,"dropToValue",1024,0.01,"cone",0.05,1,0.6632,0.6134
"musk-1",16,"dropToValue",512,1,"cone",0.05,1,0.6605,0.6555
"musk-1",16,"dropToValue",256,1,"cone",0.05,1,0.6461,0.7479
"musk-1",32,"dropToValue",256,0.01,"cone",0.05,1,0.6316,0.563
"musk-1",32,"dropToValue",1024,1,"cone",0.05,1,0.6171,0.6134
"musk-1",3,"dropToValue",512,1,"cone",0.05,1,0.6143,0.4286
"musk-1",3,"dropToValue",512,1,"cone",0,1,0.6143,0.4286
"musk-1",32,"dropToValue",512,1,"cone",0.05,1,0.6013,0.5378
"musk-1",16,"dropToValue",256,1,"cone",0,1,0.5895,0.5714
"musk-1",32,"dropToValue",256,1,"cone",0.05,1,0.5829,0.5714
"musk-1",32,"dropToValue",512,1,"cone",0,1,0.5829,0.5714
"musk-1",4,"dropToValue",1024,0.1,"rect",0,1,0.5803,0.5714
"musk-1",2,"dropToValue",256,1,"cone",0.05,1,0.5803,0.5714
"musk-1",32,"dropToValue",512,0.01,"cone",0.05,1,0.5789,0.5714
"musk-1",32,"dropToValue",256,0.1,"cone",0.05,1,0.5789,0.5714
"musk-1",32,"dropToValue",512,0.1,"cone",0.05,1,0.5789,0.5714
"musk-1",32,"dropToValue",256,0.1,"rect",0.05,1,0.5789,0.5714
"musk-1",32,"dropToValue",512,0.1,"rect",0.05,1,0.5789,0.5714
"musk-1",32,"dropToValue",1024,0.1,"rect",0.05,1,0.5789,0.5714
"musk-1",32,"dropToValue",256,0.1,"rect",0,1,0.5789,0.5714
"musk-1",32,"dropToValue",512,0.1,"rect",0,1,0.5789,0.5714
"musk-1",32,"dropToValue",1024,0.1,"rect",0,1,0.5789,0.5714
"musk-1",32,"dropToValue",256,1,"rect",0.05,1,0.5789,0.5714
"musk-1",32,"dropToValue",512,1,"rect",0.05,1,0.5789,0.5714
"musk-1",32,"dropToValue",1024,1,"rect",0.05,1,0.5789,0.5714
"musk-1",32,"dropToValue",256,1,"cone",0,1,0.5789,0.5714
"musk-1",32,"dropToValue",1024,1,"cone",0,1,0.5789,0.5714
"musk-1",32,"dropToValue",256,1,"rect",0,1,0.5789,0.5714
"musk-1",32,"dropToValue",512,1,"rect",0,1,0.5789,0.5714
"musk-1",32,"dropToValue",1024,1,"rect",0,1,0.5789,0.5714
"musk-1",16,"dropToValue",256,0.1,"rect",0.05,1,0.5789,0.5714
"musk-1",16,"dropToValue",512,0.1,"rect",0.05,1,0.5789,0.5714
"musk-1",16,"dropToValue",1024,0.1,"rect",0.05,1,0.5789,0.5714
"musk-1",16,"dropToValue",256,0.1,"rect",0,1,0.5789,0.5714
"musk-1",16,"dropToValue",512,0.1,"rect",0,1,0.5789,0.5714
"musk-1",16,"dropToValue",1024,0.1,"rect",0,1,0.5789,0.5714
"musk-1",16,"dropToValue",256,1,"rect",0.05,1,0.5789,0.5714
