"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"nursery",3,"dropToValue",1024,0.1,"cone",0,1,0.9994,0.9978
"nursery",3,"dropToValue",256,0.1,"rect",0,1,0.9993,0.9969
"nursery",3,"dropToValue",1024,0.1,"rect",0,1,0.9992,0.9981
"nursery",4,"dropToValue",512,0.1,"cone",0,1,0.9991,0.9991
"nursery",16,"dropToValue",256,0.1,"rect",0.05,1,0.9988,0.9966
"nursery",8,"dropToValue",512,0.1,"cone",0,1,0.9987,0.9994
"nursery",3,"dropToValue",512,0.1,"rect",0,1,0.9987,0.9988
"nursery",16,"dropToValue",256,0.1,"cone",0,1,0.9987,0.9991
"nursery",16,"dropToValue",1024,0.1,"cone",0,1,0.9987,0.9991
"nursery",16,"dropToValue",512,0.1,"cone",0,1,0.9985,0.9994
"nursery",4,"dropToValue",1024,0.1,"cone",0,1,0.9984,0.9972
"nursery",3,"dropToValue",1024,0.1,"cone",0.05,1,0.9984,0.9975
"nursery",3,"dropToValue",256,0.1,"cone",0,1,0.9983,0.9981
"nursery",4,"dropToValue",512,0.1,"rect",0,1,0.9983,0.9972
"nursery",4,"dropToValue",1024,0.1,"cone",0.05,1,0.9982,0.9978
"nursery",3,"dropToValue",512,0.1,"cone",0,1,0.9982,0.9975
"nursery",8,"dropToValue",1024,0.1,"cone",0.05,1,0.9979,0.9975
"nursery",2,"dropToValue",512,0.1,"rect",0,1,0.9978,0.9969
"nursery",8,"dropToValue",1024,0.1,"cone",0,1,0.9978,0.9988
"nursery",4,"dropToValue",256,0.1,"rect",0,1,0.9978,0.9981
"nursery",2,"dropToValue",256,0.1,"rect",0,1,0.9977,0.9948
"nursery",8,"dropToValue",256,0.1,"rect",0.05,1,0.9975,0.9966
"nursery",2,"dropToValue",1024,0.1,"rect",0,1,0.9975,0.9972
"nursery",8,"dropToValue",256,0.1,"cone",0.05,1,0.9974,0.9975
"nursery",4,"dropToValue",256,0.1,"cone",0,1,0.9973,0.9988
"nursery",8,"dropToValue",256,0.1,"cone",0,1,0.9973,0.9978
"nursery",16,"dropToValue",512,0.1,"cone",0.05,1,0.9972,0.9963
"nursery",3,"dropToValue",512,0.1,"cone",0.05,1,0.9972,0.9963
"nursery",32,"dropToValue",512,0.01,"cone",0,1,0.9972,0.9957
"nursery",2,"dropToValue",1024,0.1,"cone",0,1,0.9971,0.9975
"nursery",4,"dropToValue",256,0.1,"cone",0.05,1,0.9971,0.9954
"nursery",16,"dropToValue",1024,0.01,"rect",0.05,1,0.997,0.9935
"nursery",4,"dropToValue",512,0.1,"rect",0.05,1,0.997,0.9948
"nursery",32,"dropToValue",1024,0.01,"rect",0,1,0.9969,0.9951
"nursery",32,"dropToValue",1024,0.01,"cone",0,1,0.9968,0.9941
"nursery",3,"dropToValue",256,0.1,"cone",0.05,1,0.9968,0.9975
"nursery",4,"dropToValue",512,0.1,"cone",0.05,1,0.9967,0.9966
"nursery",8,"dropToValue",256,0.1,"rect",0,1,0.9967,0.996
"nursery",4,"dropToValue",256,0.1,"rect",0.05,1,0.9967,0.9932
"nursery",16,"dropToValue",256,0.01,"rect",0,1,0.9966,0.9923
"nursery",16,"dropToValue",256,0.01,"cone",0,1,0.9966,0.991
"nursery",4,"dropToValue",1024,0.1,"rect",0.05,1,0.9963,0.9978
"nursery",32,"dropToValue",512,0.01,"rect",0,1,0.9963,0.9935
"nursery",3,"dropToValue",1024,0.01,"rect",0,1,0.9959,0.9944
"nursery",4,"dropToValue",512,0.01,"cone",0,1,0.9959,0.9917
"nursery",2,"dropToValue",512,0.1,"cone",0,1,0.9959,0.9944
"nursery",4,"dropToValue",1024,0.01,"cone",0,1,0.9959,0.9954
"nursery",16,"dropToValue",1024,0.1,"cone",0.05,1,0.9959,0.9926
"nursery",8,"dropToValue",1024,0.01,"rect",0,1,0.9958,0.9941
"nursery",32,"dropToValue",256,0.01,"rect",0,1,0.9958,0.991
"nursery",8,"dropToValue",512,0.01,"cone",0,1,0.9958,0.9951
"nursery",16,"dropToValue",1024,0.01,"cone",0,1,0.9957,0.9926
"nursery",8,"dropToValue",512,0.1,"cone",0.05,1,0.9957,0.9944
"nursery",16,"dropToValue",512,0.01,"cone",0,1,0.9956,0.9935
"nursery",8,"dropToValue",512,0.1,"rect",0.05,1,0.9956,0.9951
"nursery",3,"dropToValue",512,0.1,"rect",0.05,1,0.9956,0.9957
"nursery",32,"dropToValue",256,0.01,"cone",0,1,0.9956,0.9948
"nursery",8,"dropToValue",1024,0.01,"cone",0,1,0.9955,0.9941
"nursery",8,"dropToValue",256,0.01,"rect",0,1,0.9952,0.9923
