"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"oocytes_merluccius_nucleus_4d",8,"dropToValue",1024,0.01,"cone",0,1,0.8621,0.8235
"oocytes_merluccius_nucleus_4d",4,"dropToValue",1024,0.01,"cone",0,1,0.8509,0.8353
"oocytes_merluccius_nucleus_4d",3,"dropToValue",1024,0.1,"cone",0.05,1,0.849,0.8157
"oocytes_merluccius_nucleus_4d",16,"dropToValue",1024,0.01,"cone",0,1,0.8429,0.8157
"oocytes_merluccius_nucleus_4d",3,"dropToValue",1024,0.1,"rect",0.05,1,0.8417,0.8118
"oocytes_merluccius_nucleus_4d",4,"dropToValue",1024,0.1,"cone",0,1,0.8416,0.8157
"oocytes_merluccius_nucleus_4d",4,"dropToValue",256,0.1,"rect",0,1,0.841,0.8196
"oocytes_merluccius_nucleus_4d",3,"dropToValue",512,0.1,"cone",0,1,0.8397,0.8078
"oocytes_merluccius_nucleus_4d",8,"dropToValue",1024,0.1,"cone",0.05,1,0.8391,0.8235
"oocytes_merluccius_nucleus_4d",16,"dropToValue",512,0.01,"cone",0,1,0.8373,0.8353
"oocytes_merluccius_nucleus_4d",8,"dropToValue",1024,0.01,"rect",0,1,0.8366,0.8392
"oocytes_merluccius_nucleus_4d",4,"dropToValue",512,0.01,"cone",0,1,0.836,0.8118
"oocytes_merluccius_nucleus_4d",4,"dropToValue",512,0.1,"cone",0,1,0.836,0.7255
"oocytes_merluccius_nucleus_4d",16,"dropToValue",256,0.01,"cone",0,1,0.836,0.8039
"oocytes_merluccius_nucleus_4d",8,"dropToValue",512,0.01,"cone",0,1,0.8342,0.8196
"oocytes_merluccius_nucleus_4d",8,"dropToValue",1024,0.1,"cone",0,1,0.8335,0.7765
"oocytes_merluccius_nucleus_4d",4,"dropToValue",256,0.01,"rect",0,1,0.8329,0.7608
"oocytes_merluccius_nucleus_4d",3,"dropToValue",1024,0.01,"cone",0,1,0.8325,0.8275
"oocytes_merluccius_nucleus_4d",4,"dropToValue",1024,0.01,"rect",0,1,0.8323,0.7843
"oocytes_merluccius_nucleus_4d",2,"dropToValue",1024,0.1,"cone",0.05,1,0.8311,0.7961
"oocytes_merluccius_nucleus_4d",4,"dropToValue",256,0.1,"cone",0,1,0.8304,0.8275
"oocytes_merluccius_nucleus_4d",16,"dropToValue",256,0.1,"cone",0,1,0.8298,0.8118
"oocytes_merluccius_nucleus_4d",4,"dropToValue",1024,0.1,"cone",0.05,1,0.8292,0.8118
"oocytes_merluccius_nucleus_4d",3,"dropToValue",512,0.01,"rect",0,1,0.8291,0.8
"oocytes_merluccius_nucleus_4d",4,"dropToValue",512,0.1,"cone",0.05,1,0.8286,0.8353
"oocytes_merluccius_nucleus_4d",32,"dropToValue",256,0.01,"cone",0,1,0.828,0.7804
"oocytes_merluccius_nucleus_4d",16,"dropToValue",1024,0.1,"cone",0.05,1,0.8273,0.8039
"oocytes_merluccius_nucleus_4d",16,"dropToValue",512,0.1,"cone",0,1,0.8273,0.8078
"oocytes_merluccius_nucleus_4d",4,"dropToValue",256,0.01,"cone",0,1,0.8273,0.8078
"oocytes_merluccius_nucleus_4d",8,"dropToValue",256,0.1,"cone",0,1,0.8273,0.8275
"oocytes_merluccius_nucleus_4d",3,"dropToValue",1024,0.01,"rect",0,1,0.8258,0.7804
"oocytes_merluccius_nucleus_4d",4,"dropToValue",256,0.1,"cone",0.05,1,0.8255,0.8078
"oocytes_merluccius_nucleus_4d",3,"dropToValue",256,0.1,"rect",0.05,1,0.8245,0.8118
"oocytes_merluccius_nucleus_4d",3,"dropToValue",256,0.1,"cone",0.05,1,0.8245,0.8275
"oocytes_merluccius_nucleus_4d",8,"dropToValue",512,0.1,"cone",0.05,1,0.8242,0.8196
"oocytes_merluccius_nucleus_4d",16,"dropToValue",1024,0.1,"cone",0,1,0.8242,0.8118
"oocytes_merluccius_nucleus_4d",32,"dropToValue",1024,0.01,"cone",0,1,0.8236,0.7765
"oocytes_merluccius_nucleus_4d",3,"dropToValue",512,0.1,"rect",0,1,0.8232,0.8039
"oocytes_merluccius_nucleus_4d",16,"dropToValue",256,0.1,"rect",0.05,1,0.823,0.8039
"oocytes_merluccius_nucleus_4d",2,"dropToValue",1024,0.01,"cone",0,1,0.8224,0.8353
"oocytes_merluccius_nucleus_4d",2,"dropToValue",1024,0.1,"cone",0,1,0.8211,0.7882
"oocytes_merluccius_nucleus_4d",16,"dropToValue",1024,0.01,"rect",0,1,0.8193,0.8118
"oocytes_merluccius_nucleus_4d",2,"dropToValue",1024,0.01,"rect",0,1,0.8193,0.7961
"oocytes_merluccius_nucleus_4d",4,"dropToValue",256,0.1,"rect",0.05,1,0.8186,0.8078
"oocytes_merluccius_nucleus_4d",3,"dropToValue",512,0.1,"cone",0.05,1,0.8185,0.7569
"oocytes_merluccius_nucleus_4d",8,"dropToValue",256,0.01,"rect",0,1,0.818,0.7961
"oocytes_merluccius_nucleus_4d",8,"dropToValue",512,0.1,"cone",0,1,0.818,0.8196
"oocytes_merluccius_nucleus_4d",2,"dropToValue",512,0.1,"cone",0,1,0.818,0.7882
"oocytes_merluccius_nucleus_4d",3,"dropToValue",256,0.1,"rect",0,1,0.8179,0.7843
"oocytes_merluccius_nucleus_4d",4,"dropToValue",512,0.1,"rect",0.05,1,0.8174,0.8196
"oocytes_merluccius_nucleus_4d",16,"dropToValue",512,0.01,"rect",0,1,0.8168,0.7882
"oocytes_merluccius_nucleus_4d",8,"dropToValue",256,0.01,"cone",0,1,0.8168,0.8392
"oocytes_merluccius_nucleus_4d",3,"dropToValue",256,0.01,"cone",0,1,0.8166,0.7686
"oocytes_merluccius_nucleus_4d",3,"dropToValue",256,0.1,"cone",0,1,0.8159,0.8039
"oocytes_merluccius_nucleus_4d",3,"dropToValue",1024,0.1,"cone",0,1,0.8159,0.7608
"oocytes_merluccius_nucleus_4d",4,"dropToValue",512,0.01,"rect",0.05,1,0.8155,0.7961
"oocytes_merluccius_nucleus_4d",8,"dropToValue",256,1,"cone",0.05,1,0.8149,0.8
"oocytes_merluccius_nucleus_4d",2,"dropToValue",512,0.01,"cone",0,1,0.8149,0.7882
"oocytes_merluccius_nucleus_4d",32,"dropToValue",256,0.01,"rect",0,1,0.8143,0.7569
"oocytes_merluccius_nucleus_4d",3,"dropToValue",1024,0.01,"cone",0.05,1,0.8132,0.7608
"oocytes_merluccius_nucleus_4d",2,"dropToValue",1024,0.01,"rect",0.05,1,0.8112,0.7804
"oocytes_merluccius_nucleus_4d",8,"dropToValue",512,0.01,"rect",0,1,0.8106,0.7451
"oocytes_merluccius_nucleus_4d",2,"dropToValue",512,0.1,"rect",0.05,1,0.8106,0.8118
"oocytes_merluccius_nucleus_4d",4,"dropToValue",512,0.01,"rect",0,1,0.8099,0.8471
"oocytes_merluccius_nucleus_4d",4,"dropToValue",1024,0.01,"rect",0.05,1,0.8099,0.8039
"oocytes_merluccius_nucleus_4d",3,"dropToValue",512,0.01,"cone",0,1,0.8086,0.7843
"oocytes_merluccius_nucleus_4d",2,"dropToValue",256,0.1,"rect",0.05,1,0.8081,0.7882
"oocytes_merluccius_nucleus_4d",3,"dropToValue",256,0.01,"rect",0.05,1,0.8079,0.7451
"oocytes_merluccius_nucleus_4d",2,"dropToValue",512,0.1,"cone",0.05,1,0.8075,0.8157
"oocytes_merluccius_nucleus_4d",2,"dropToValue",512,0.01,"rect",0,1,0.8075,0.7804
"oocytes_merluccius_nucleus_4d",3,"dropToValue",512,0.01,"rect",0.05,1,0.8073,0.7608
"oocytes_merluccius_nucleus_4d",32,"dropToValue",1024,0.01,"rect",0.05,1,0.8068,0.7843
"oocytes_merluccius_nucleus_4d",16,"dropToValue",256,0.01,"rect",0,1,0.8068,0.8196
"oocytes_merluccius_nucleus_4d",2,"dropToValue",256,0.1,"cone",0,1,0.8068,0.7843
"oocytes_merluccius_nucleus_4d",3,"dropToValue",256,0.01,"rect",0,1,0.8066,0.7647
"oocytes_merluccius_nucleus_4d",2,"dropToValue",256,0.01,"rect",0,1,0.8062,0.7804
"oocytes_merluccius_nucleus_4d",2,"dropToValue",512,0.1,"rect",0,1,0.8062,0.7725
"oocytes_merluccius_nucleus_4d",2,"dropToValue",1024,0.1,"rect",0,1,0.805,0.8157
"oocytes_merluccius_nucleus_4d",32,"dropToValue",512,0.1,"cone",0,1,0.7981,0.7686
"oocytes_merluccius_nucleus_4d",16,"dropToValue",1024,0.01,"rect",0.05,1,0.7969,0.7647
"oocytes_merluccius_nucleus_4d",2,"dropToValue",1024,0.01,"cone",0.05,1,0.7963,0.7843
"oocytes_merluccius_nucleus_4d",32,"dropToValue",512,0.01,"cone",0,1,0.7957,0.7765
"oocytes_merluccius_nucleus_4d",3,"dropToValue",1024,0.01,"rect",0.05,1,0.7947,0.7647
"oocytes_merluccius_nucleus_4d",8,"dropToValue",1024,0.01,"rect",0.05,1,0.7938,0.7725
"oocytes_merluccius_nucleus_4d",2,"dropToValue",256,0.1,"rect",0,1,0.7919,0.7804
"oocytes_merluccius_nucleus_4d",32,"dropToValue",1024,0.1,"cone",0,1,0.7913,0.7804
"oocytes_merluccius_nucleus_4d",2,"dropToValue",256,0.1,"cone",0.05,1,0.7901,0.7765
"oocytes_merluccius_nucleus_4d",32,"dropToValue",512,0.01,"rect",0,1,0.7863,0.7804
"oocytes_merluccius_nucleus_4d",3,"dropToValue",512,0.1,"rect",0.05,1,0.7861,0.7608
"oocytes_merluccius_nucleus_4d",3,"dropToValue",512,0.01,"cone",0.05,1,0.7848,0.7333
