"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"oocytes_merluccius_states_2f",8,"dropToValue",256,0.01,"rect",0,1,0.942222201824188,0.952941179275513
"oocytes_merluccius_states_2f",16,"dropToValue",256,0.01,"rect",0,1,0.939999997615814,0.937254905700684
"oocytes_merluccius_states_2f",16,"dropToValue",512,0.01,"rect",0,1,0.939999973773956,0.933333337306976
"oocytes_merluccius_states_2f",8,"dropToValue",1024,0.01,"cone",0,1,0.939259254932403,0.929411768913269
"oocytes_merluccius_states_2f",16,"dropToValue",512,0.01,"cone",0,1,0.935555523633957,0.917647063732147
"oocytes_merluccius_states_2f",16,"dropToValue",1024,0.01,"cone",0,1,0.934814816713333,0.917647063732147
"oocytes_merluccius_states_2f",3,"dropToValue",256,0.01,"rect",0,1,0.934532397985458,0.937254905700684
"oocytes_merluccius_states_2f",8,"dropToValue",512,0.01,"rect",0,1,0.934074062108994,0.937254905700684
"oocytes_merluccius_states_2f",8,"dropToValue",1024,0.01,"rect",0,1,0.934074056148529,0.933333337306976
"oocytes_merluccius_states_2f",2,"dropToValue",512,0.01,"rect",0,1,0.932592582702637,0.929411768913269
"oocytes_merluccius_states_2f",32,"dropToValue",512,0.01,"cone",0,1,0.932592576742172,0.898039221763611
"oocytes_merluccius_states_2f",4,"dropToValue",1024,0.01,"cone",0,1,0.931851834058762,0.937254905700684
"oocytes_merluccius_states_2f",16,"dropToValue",1024,0.01,"rect",0,1,0.931111079454422,0.929411768913269
"oocytes_merluccius_states_2f",2,"dropToValue",512,0.1,"rect",0,1,0.930370366573334,0.937254905700684
"oocytes_merluccius_states_2f",4,"dropToValue",512,0.1,"cone",0,1,0.930370354652405,0.941176474094391
"oocytes_merluccius_states_2f",4,"dropToValue",512,0.01,"rect",0,1,0.929629594087601,0.929411768913269
"oocytes_merluccius_states_2f",3,"dropToValue",256,0.1,"cone",0,1,0.929496419429779,0.929411768913269
"oocytes_merluccius_states_2f",8,"dropToValue",1024,0.1,"cone",0.05,1,0.928888869285584,0.945098042488098
"oocytes_merluccius_states_2f",8,"dropToValue",512,0.1,"cone",0,1,0.927407389879227,0.933333337306976
"oocytes_merluccius_states_2f",3,"dropToValue",512,0.1,"cone",0.05,1,0.927338141202927,0.909803926944733
"oocytes_merluccius_states_2f",4,"dropToValue",1024,0.01,"rect",0,1,0.926666653156281,0.898039221763611
"oocytes_merluccius_states_2f",32,"dropToValue",512,0.01,"rect",0,1,0.925185191631317,0.898039221763611
"oocytes_merluccius_states_2f",3,"dropToValue",1024,0.1,"rect",0,1,0.925179886817932,0.894117653369904
"oocytes_merluccius_states_2f",3,"dropToValue",1024,0.1,"cone",0.05,1,0.925179851055145,0.929411768913269
"oocytes_merluccius_states_2f",3,"dropToValue",1024,0.01,"cone",0.05,1,0.924460446834564,0.909803926944733
"oocytes_merluccius_states_2f",2,"dropToValue",512,0.1,"cone",0,1,0.924444454908371,0.929411768913269
"oocytes_merluccius_states_2f",32,"dropToValue",256,0.01,"rect",0,1,0.923703676462174,0.905882358551025
"oocytes_merluccius_states_2f",4,"dropToValue",256,0.1,"rect",0,1,0.923703676462173,0.91372549533844
"oocytes_merluccius_states_2f",8,"dropToValue",1024,0.1,"cone",0,1,0.923703670501709,0.937254905700684
"oocytes_merluccius_states_2f",2,"dropToValue",1024,0.01,"rect",0,1,0.922962957620621,0.933333337306976
"oocytes_merluccius_states_2f",3,"dropToValue",512,0.1,"rect",0.05,1,0.922302174568176,0.937254905700684
"oocytes_merluccius_states_2f",2,"dropToValue",256,0.1,"rect",0,1,0.922222208976746,0.941176474094391
"oocytes_merluccius_states_2f",3,"dropToValue",256,0.1,"cone",0.05,1,0.921582770347595,0.921568632125854
"oocytes_merluccius_states_2f",3,"dropToValue",1024,0.01,"cone",0,1,0.921582716703415,0.929411768913269
"oocytes_merluccius_states_2f",3,"dropToValue",1024,0.01,"rect",0.05,1,0.920863312482834,0.91372549533844
"oocytes_merluccius_states_2f",4,"dropToValue",512,0.1,"rect",0.05,1,0.92074071764946,0.937254905700684
"oocytes_merluccius_states_2f",3,"dropToValue",256,0.01,"cone",0,1,0.91942447423935,0.91372549533844
"oocytes_merluccius_states_2f",3,"dropToValue",512,0.01,"rect",0.05,1,0.918705052137375,0.929411768913269
"oocytes_merluccius_states_2f",2,"dropToValue",512,0.1,"rect",0.05,1,0.918518489599228,0.937254905700684
"oocytes_merluccius_states_2f",3,"dropToValue",512,0.1,"cone",0,1,0.917985624074936,0.941176474094391
"oocytes_merluccius_states_2f",8,"dropToValue",256,0.1,"cone",0,1,0.917777770757675,0.929411768913269
"oocytes_merluccius_states_2f",8,"dropToValue",256,0.1,"rect",0.05,1,0.9170370221138,0.925490200519562
"oocytes_merluccius_states_2f",3,"dropToValue",512,0.01,"cone",0,1,0.916546791791916,0.898039221763611
