"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"oocytes_trisopterus_nucleus_2f",16,"dropToValue",512,0.01,"rect",0,1,0.8937,0.7982
"oocytes_trisopterus_nucleus_2f",3,"dropToValue",512,0.01,"cone",0,1,0.8871,0.7939
"oocytes_trisopterus_nucleus_2f",32,"dropToValue",512,0.01,"rect",0,1,0.8802,0.7939
"oocytes_trisopterus_nucleus_2f",8,"dropToValue",1024,0.1,"cone",0,1,0.8739,0.8246
"oocytes_trisopterus_nucleus_2f",3,"dropToValue",256,0.1,"cone",0.05,1,0.8734,0.7939
"oocytes_trisopterus_nucleus_2f",3,"dropToValue",256,0.01,"rect",0,1,0.8712,0.8114
"oocytes_trisopterus_nucleus_2f",16,"dropToValue",1024,0.01,"rect",0,1,0.8703,0.7719
"oocytes_trisopterus_nucleus_2f",32,"dropToValue",256,0.01,"rect",0,1,0.8658,0.7939
"oocytes_trisopterus_nucleus_2f",3,"dropToValue",256,0.1,"cone",0,1,0.8647,0.7851
"oocytes_trisopterus_nucleus_2f",3,"dropToValue",512,0.1,"cone",0.05,1,0.8633,0.7939
"oocytes_trisopterus_nucleus_2f",2,"dropToValue",256,0.1,"cone",0,1,0.8604,0.807
"oocytes_trisopterus_nucleus_2f",4,"dropToValue",512,0.01,"cone",0,1,0.8586,0.7544
"oocytes_trisopterus_nucleus_2f",3,"dropToValue",1024,0.1,"cone",0.05,1,0.8576,0.7939
"oocytes_trisopterus_nucleus_2f",3,"dropToValue",256,0.1,"rect",0.05,1,0.8561,0.7895
"oocytes_trisopterus_nucleus_2f",8,"dropToValue",1024,0.01,"rect",0,1,0.8559,0.8026
"oocytes_trisopterus_nucleus_2f",3,"dropToValue",512,0.01,"rect",0,1,0.854,0.807
"oocytes_trisopterus_nucleus_2f",16,"dropToValue",256,0.01,"rect",0,1,0.8514,0.7763
"oocytes_trisopterus_nucleus_2f",4,"dropToValue",512,0.1,"cone",0,1,0.8514,0.7719
"oocytes_trisopterus_nucleus_2f",3,"dropToValue",1024,0.01,"cone",0,1,0.8504,0.75
"oocytes_trisopterus_nucleus_2f",3,"dropToValue",512,0.1,"rect",0.05,1,0.8496,0.7807
"oocytes_trisopterus_nucleus_2f",2,"dropToValue",512,0.01,"rect",0,1,0.8486,0.7807
"oocytes_trisopterus_nucleus_2f",3,"dropToValue",512,0.1,"rect",0,1,0.8482,0.8114
"oocytes_trisopterus_nucleus_2f",3,"dropToValue",1024,0.01,"rect",0.05,1,0.8482,0.7939
"oocytes_trisopterus_nucleus_2f",2,"dropToValue",1024,0.01,"rect",0,1,0.8477,0.8114
"oocytes_trisopterus_nucleus_2f",3,"dropToValue",1024,0.01,"rect",0,1,0.8475,0.7807
"oocytes_trisopterus_nucleus_2f",2,"dropToValue",256,0.01,"rect",0,1,0.845,0.7763
"oocytes_trisopterus_nucleus_2f",8,"dropToValue",512,0.1,"cone",0,1,0.845,0.7763
"oocytes_trisopterus_nucleus_2f",4,"dropToValue",1024,0.1,"cone",0.05,1,0.845,0.8026
"oocytes_trisopterus_nucleus_2f",4,"dropToValue",1024,0.01,"cone",0,1,0.8432,0.8026
"oocytes_trisopterus_nucleus_2f",4,"dropToValue",512,0.1,"cone",0.05,1,0.8432,0.7807
"oocytes_trisopterus_nucleus_2f",8,"dropToValue",256,1,"cone",0.05,1,0.8423,0.7895
"oocytes_trisopterus_nucleus_2f",8,"dropToValue",512,0.01,"rect",0,1,0.8414,0.7895
"oocytes_trisopterus_nucleus_2f",3,"dropToValue",512,0.1,"cone",0,1,0.841,0.7807
"oocytes_trisopterus_nucleus_2f",8,"dropToValue",1024,0.01,"cone",0,1,0.8405,0.7895
"oocytes_trisopterus_nucleus_2f",2,"dropToValue",512,0.1,"cone",0,1,0.8405,0.7412
"oocytes_trisopterus_nucleus_2f",8,"dropToValue",512,0.01,"cone",0,1,0.8378,0.7719
"oocytes_trisopterus_nucleus_2f",16,"dropToValue",1024,0.01,"cone",0,1,0.8369,0.8158
"oocytes_trisopterus_nucleus_2f",8,"dropToValue",512,0.1,"cone",0.05,1,0.836,0.7719
"oocytes_trisopterus_nucleus_2f",16,"dropToValue",256,0.01,"cone",0,1,0.8351,0.7807
"oocytes_trisopterus_nucleus_2f",3,"dropToValue",1024,0.1,"rect",0.05,1,0.8345,0.7851
"oocytes_trisopterus_nucleus_2f",8,"dropToValue",256,0.01,"rect",0,1,0.8342,0.7939
"oocytes_trisopterus_nucleus_2f",3,"dropToValue",1024,0.01,"cone",0.05,1,0.8331,0.7675
"oocytes_trisopterus_nucleus_2f",3,"dropToValue",512,0.01,"rect",0.05,1,0.8317,0.7719
"oocytes_trisopterus_nucleus_2f",4,"dropToValue",256,0.01,"rect",0,1,0.8315,0.7982
"oocytes_trisopterus_nucleus_2f",8,"dropToValue",256,0.01,"cone",0,1,0.8315,0.7675
"oocytes_trisopterus_nucleus_2f",4,"dropToValue",256,0.1,"cone",0,1,0.8315,0.7939
"oocytes_trisopterus_nucleus_2f",2,"dropToValue",256,0.1,"cone",0.05,1,0.8306,0.7719
"oocytes_trisopterus_nucleus_2f",2,"dropToValue",1024,0.1,"cone",0,1,0.8306,0.8026
"oocytes_trisopterus_nucleus_2f",16,"dropToValue",512,0.01,"cone",0,1,0.8306,0.6974
"oocytes_trisopterus_nucleus_2f",2,"dropToValue",512,0.01,"cone",0,1,0.8297,0.7719
"oocytes_trisopterus_nucleus_2f",8,"dropToValue",1024,0.1,"cone",0.05,1,0.8297,0.7895
"oocytes_trisopterus_nucleus_2f",4,"dropToValue",1024,0.01,"rect",0,1,0.8288,0.807
"oocytes_trisopterus_nucleus_2f",3,"dropToValue",1024,0.1,"cone",0,1,0.8288,0.8377
"oocytes_trisopterus_nucleus_2f",16,"dropToValue",256,0.1,"cone",0,1,0.827,0.7763
