"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"oocytes_trisopterus_states_5b",8,"dropToValue",256,0.1,"cone",0,1,0.958139514923096,0.934210479259491
"oocytes_trisopterus_states_5b",16,"dropToValue",256,0.01,"rect",0,1,0.956589126586914,0.938596546649933
"oocytes_trisopterus_states_5b",4,"dropToValue",256,0.1,"rect",0,1,0.954263544082642,0.964912295341492
"oocytes_trisopterus_states_5b",4,"dropToValue",1024,0.1,"cone",0,1,0.951937961578369,0.947368502616882
"oocytes_trisopterus_states_5b",8,"dropToValue",1024,0.1,"cone",0,1,0.951162773370743,0.942982494831085
"oocytes_trisopterus_states_5b",8,"dropToValue",1024,0.01,"rect",0,1,0.950387573242188,0.938596606254578
"oocytes_trisopterus_states_5b",8,"dropToValue",256,0.1,"rect",0.05,1,0.949612379074097,0.894736766815186
"oocytes_trisopterus_states_5b",32,"dropToValue",1024,0.1,"cone",0,1,0.947286796569824,0.916666746139526
"oocytes_trisopterus_states_5b",16,"dropToValue",1024,0.01,"rect",0,1,0.947286796569824,0.938596546649933
"oocytes_trisopterus_states_5b",16,"dropToValue",1024,0.01,"cone",0,1,0.946511602401733,0.947368502616882
"oocytes_trisopterus_states_5b",3,"dropToValue",512,0.1,"rect",0,1,0.945864623785019,0.947368502616882
"oocytes_trisopterus_states_5b",3,"dropToValue",256,0.1,"rect",0,1,0.943609011173248,0.956140398979187
"oocytes_trisopterus_states_5b",32,"dropToValue",512,0.01,"rect",0,1,0.94341082572937,0.95175439119339
"oocytes_trisopterus_states_5b",8,"dropToValue",512,0.01,"rect",0,1,0.94341082572937,0.947368383407593
"oocytes_trisopterus_states_5b",16,"dropToValue",512,0.01,"rect",0,1,0.942635631561279,0.934210598468781
"oocytes_trisopterus_states_5b",3,"dropToValue",256,0.1,"cone",0,1,0.942105239629746,0.951754331588745
"oocytes_trisopterus_states_5b",8,"dropToValue",512,0.1,"cone",0.05,1,0.939534854888916,0.947368443012238
"oocytes_trisopterus_states_5b",8,"dropToValue",512,0.1,"cone",0,1,0.939534854888916,0.960526287555695
"oocytes_trisopterus_states_5b",3,"dropToValue",1024,0.1,"cone",0,1,0.939097738265991,0.929824590682983
"oocytes_trisopterus_states_5b",16,"dropToValue",256,0.01,"cone",0,1,0.937984466552734,0.938596606254578
"oocytes_trisopterus_states_5b",4,"dropToValue",1024,0.01,"cone",0,1,0.937209272384644,0.938596427440643
"oocytes_trisopterus_states_5b",16,"dropToValue",512,0.1,"cone",0,1,0.935658890008927,0.921052694320679
"oocytes_trisopterus_states_5b",16,"dropToValue",1024,0.1,"cone",0,1,0.935658890008926,0.942982494831085
"oocytes_trisopterus_states_5b",8,"dropToValue",256,0.01,"rect",0,1,0.934883689880371,0.916666746139526
"oocytes_trisopterus_states_5b",3,"dropToValue",512,0.01,"rect",0.05,1,0.930827087163925,0.929824531078339
"oocytes_trisopterus_states_5b",2,"dropToValue",1024,0.1,"cone",0.05,1,0.930232524871826,0.94298243522644
"oocytes_trisopterus_states_5b",3,"dropToValue",1024,0.01,"rect",0.05,1,0.93007521033287,0.947368443012238
"oocytes_trisopterus_states_5b",3,"dropToValue",1024,0.1,"rect",0.05,1,0.928571438789368,0.925438642501831
"oocytes_trisopterus_states_5b",4,"dropToValue",256,0.1,"cone",0,1,0.927906942367554,0.929824471473694
"oocytes_trisopterus_states_5b",3,"dropToValue",512,0.1,"cone",0.05,1,0.927819555997848,0.934210538864136
"oocytes_trisopterus_states_5b",3,"dropToValue",512,0.01,"rect",0,1,0.927067685127258,0.921052694320679
"oocytes_trisopterus_states_5b",3,"dropToValue",512,0.1,"rect",0.05,1,0.925563913583756,0.942982494831085
"oocytes_trisopterus_states_5b",3,"dropToValue",1024,0.01,"cone",0,1,0.924812072515488,0.934210479259491
"oocytes_trisopterus_states_5b",3,"dropToValue",1024,0.1,"cone",0.05,1,0.924812036752701,0.929824590682983
"oocytes_trisopterus_states_5b",4,"dropToValue",256,0.1,"rect",0.05,1,0.924806171655655,0.916666746139526
"oocytes_trisopterus_states_5b",8,"dropToValue",256,0.01,"cone",0,1,0.92480616569519,0.947368502616882
"oocytes_trisopterus_states_5b",2,"dropToValue",256,0.1,"rect",0.05,1,0.92480616569519,0.94298255443573
"oocytes_trisopterus_states_5b",2,"dropToValue",1024,0.1,"cone",0,1,0.92480616569519,0.912280738353729
"oocytes_trisopterus_states_5b",2,"dropToValue",512,0.1,"rect",0,1,0.92480616569519,0.916666626930237
"oocytes_trisopterus_states_5b",3,"dropToValue",512,0.1,"cone",0,1,0.924060159921646,0.94298255443573
"oocytes_trisopterus_states_5b",32,"dropToValue",256,0.01,"cone",0,1,0.9240309715271,0.934210479259491
"oocytes_trisopterus_states_5b",8,"dropToValue",1024,0.1,"cone",0.05,1,0.9240309715271,0.951754331588745
"oocytes_trisopterus_states_5b",4,"dropToValue",1024,0.1,"cone",0.05,1,0.9240309715271,0.929824531078339
"oocytes_trisopterus_states_5b",3,"dropToValue",256,0.1,"rect",0.05,1,0.923308265209198,0.942982375621796
"oocytes_trisopterus_states_5b",16,"dropToValue",512,0.1,"cone",0.05,1,0.923255795240402,0.894736886024475
"oocytes_trisopterus_states_5b",8,"dropToValue",256,0.1,"cone",0.05,1,0.923255777359009,0.925438702106476
"oocytes_trisopterus_states_5b",16,"dropToValue",256,0.1,"cone",0,1,0.922480583190918,0.947368443012238
"oocytes_trisopterus_states_5b",8,"dropToValue",512,0.01,"cone",0,1,0.922480583190918,0.929824590682983
"oocytes_trisopterus_states_5b",2,"dropToValue",512,0.01,"cone",0.05,1,0.922480583190918,0.925438642501831
"oocytes_trisopterus_states_5b",2,"dropToValue",512,0.01,"rect",0.05,1,0.922480583190918,0.934210598468781
"oocytes_trisopterus_states_5b",2,"dropToValue",512,0.1,"cone",0,1,0.921705394983292,0.925438582897186
"oocytes_trisopterus_states_5b",4,"dropToValue",256,0.01,"rect",0.05,1,0.921705389022827,0.921052694320679
"oocytes_trisopterus_states_5b",2,"dropToValue",512,0.1,"rect",0.05,1,0.921705389022827,0.929824471473694
"oocytes_trisopterus_states_5b",3,"dropToValue",1024,0.01,"rect",0,1,0.921052640676499,0.925438642501831
"oocytes_trisopterus_states_5b",2,"dropToValue",256,0.01,"rect",0.05,1,0.920930206775665,0.938596546649933
"oocytes_trisopterus_states_5b",2,"dropToValue",256,0.1,"cone",0.05,1,0.920930194854736,0.938596487045288
"oocytes_trisopterus_states_5b",4,"dropToValue",256,0.1,"cone",0.05,1,0.920155000686646,0.960526287555695
"oocytes_trisopterus_states_5b",16,"dropToValue",1024,0.01,"cone",0.05,1,0.920155000686645,0.916666626930237
"oocytes_trisopterus_states_5b",3,"dropToValue",256,0.1,"cone",0.05,1,0.919548910856247,0.94298255443573
"oocytes_trisopterus_states_5b",2,"dropToValue",1024,0.01,"rect",0,1,0.919379818439484,0.938596487045288
"oocytes_trisopterus_states_5b",2,"dropToValue",256,0.1,"cone",0,1,0.919379812479019,0.916666746139526
"oocytes_trisopterus_states_5b",32,"dropToValue",1024,0.01,"rect",0.05,1,0.919379806518555,0.94298255443573
"oocytes_trisopterus_states_5b",16,"dropToValue",1024,0.01,"rect",0.05,1,0.919379806518555,0.938596546649933
"oocytes_trisopterus_states_5b",2,"dropToValue",1024,0.01,"cone",0,1,0.918604624271393,0.94298243522644
"oocytes_trisopterus_states_5b",32,"dropToValue",1024,0.01,"cone",0,1,0.917829424142838,0.916666626930237
"oocytes_trisopterus_states_5b",16,"dropToValue",1024,0.1,"cone",0.05,1,0.917829424142838,0.934210419654846
"oocytes_trisopterus_states_5b",4,"dropToValue",512,0.1,"rect",0.05,1,0.917829418182373,0.929824531078339
"oocytes_trisopterus_states_5b",4,"dropToValue",1024,0.01,"rect",0,1,0.917054235935211,0.929824531078339
"oocytes_trisopterus_states_5b",32,"dropToValue",512,0.01,"cone",0,1,0.917054224014282,0.894736886024475
"oocytes_trisopterus_states_5b",2,"dropToValue",256,0.1,"rect",0,1,0.917054224014282,0.94298255443573
"oocytes_trisopterus_states_5b",32,"dropToValue",256,0.01,"rect",0,1,0.916279029846192,0.925438702106476
"oocytes_trisopterus_states_5b",8,"dropToValue",1024,0.01,"rect",0.05,1,0.916279029846191,0.938596487045288
"oocytes_trisopterus_states_5b",4,"dropToValue",512,0.1,"cone",0.05,1,0.91550384759903,0.929824471473694
"oocytes_trisopterus_states_5b",4,"dropToValue",1024,0.01,"rect",0.05,1,0.915503841638565,0.916666746139526
"oocytes_trisopterus_states_5b",2,"dropToValue",1024,0.01,"rect",0.05,1,0.915503841638565,0.95175439119339
"oocytes_trisopterus_states_5b",16,"dropToValue",256,0.01,"rect",0.05,1,0.915503835678101,0.938596546649933
"oocytes_trisopterus_states_5b",4,"dropToValue",1024,0.01,"cone",0.05,1,0.914728701114654,0.94298243522644
"oocytes_trisopterus_states_5b",2,"dropToValue",256,0.01,"rect",0,1,0.914728677272797,0.934210538864136
"oocytes_trisopterus_states_5b",2,"dropToValue",1024,0.1,"rect",0,1,0.914728671312332,0.912280678749084
"oocytes_trisopterus_states_5b",4,"dropToValue",512,0.1,"cone",0,1,0.914728659391403,0.942982494831085
