"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"optical",8,"dropToValue",256,0.1,"rect",0.05,1,0.988728773593903,0.971062779426575
"optical",8,"dropToValue",512,0.1,"cone",0.05,1,0.986762863397598,0.972175717353821
"optical",16,"dropToValue",1024,0.01,"cone",0,1,0.985583257675171,0.962159156799316
"optical",8,"dropToValue",1024,0.1,"cone",0,1,0.98545224070549,0.965498030185699
"optical",4,"dropToValue",1024,0.1,"rect",0.05,1,0.98519012928009,0.960489690303802
"optical",4,"dropToValue",512,0.1,"rect",0.05,1,0.985190117359162,0.966054439544678
"optical",4,"dropToValue",1024,0.1,"cone",0.05,1,0.985059058666229,0.972732245922089
"optical",8,"dropToValue",1024,0.01,"rect",0.05,1,0.984796869754791,0.971062779426575
"optical",16,"dropToValue",1024,0.01,"rect",0.05,1,0.984272706508637,0.964941501617432
"optical",16,"dropToValue",512,0.1,"rect",0.05,1,0.98427267074585,0.963272094726562
"optical",16,"dropToValue",1024,0.01,"rect",0,1,0.984272646903992,0.963828563690186
"optical",4,"dropToValue",256,0.1,"cone",0.05,1,0.983486318588257,0.964385032653809
"optical",8,"dropToValue",1024,0.1,"rect",0.05,1,0.98335525393486,0.968280434608459
"optical",16,"dropToValue",1024,0.1,"cone",0.05,1,0.983093118667603,0.970506370067596
"optical",16,"dropToValue",1024,0.1,"cone",0,1,0.982962095737457,0.958820283412933
"optical",2,"dropToValue",256,1,"cone",0.05,1,0.982962095737457,0.969949841499329
"optical",16,"dropToValue",512,0.1,"cone",0,1,0.982962077856064,0.965498030185699
"optical",16,"dropToValue",256,0.1,"cone",0,1,0.982962071895599,0.952698945999146
"optical",8,"dropToValue",1024,0.1,"cone",0.05,1,0.982831013202667,0.964385032653809
"optical",8,"dropToValue",512,0.1,"rect",0.05,1,0.982699948549271,0.966054499149323
"optical",4,"dropToValue",512,0.1,"cone",0.05,1,0.982568883895874,0.962715625762939
"optical",2,"dropToValue",256,0.1,"rect",0.05,1,0.982437825202942,0.959933161735535
"optical",2,"dropToValue",1024,0.1,"cone",0.05,1,0.982306730747223,0.965497970581055
"optical",8,"dropToValue",512,0.01,"rect",0.05,1,0.98217568397522,0.967723965644836
"optical",4,"dropToValue",512,0.1,"cone",0,1,0.98204460144043,0.968280375003815
"optical",3,"dropToValue",1024,0.1,"cone",0,1,0.981906163692474,0.964384973049164
"optical",16,"dropToValue",512,0.01,"rect",0,1,0.981651484966278,0.967167437076569
"optical",8,"dropToValue",256,0.01,"rect",0,1,0.981651425361634,0.956037759780884
"optical",8,"dropToValue",256,0.1,"cone",0,1,0.981651425361634,0.960489630699158
"optical",8,"dropToValue",512,0.1,"rect",0,1,0.981651425361634,0.963828504085541
"optical",8,"dropToValue",256,0.1,"cone",0.05,1,0.981389331817627,0.965498030185699
"optical",32,"dropToValue",512,0.01,"rect",0.05,1,0.980996137857437,0.964941501617432
