"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"ozone",3,"dropToValue",512,0.1,"cone",0.05,1,0.9836,0.97
"ozone",3,"dropToValue",1024,0.1,"cone",0,1,0.9822,0.9669
"ozone",4,"dropToValue",256,0.01,"cone",0,1,0.9822,0.9685
"ozone",3,"dropToValue",256,0.1,"rect",0.05,1,0.982,0.9685
"ozone",3,"dropToValue",256,0.1,"rect",0,1,0.982,0.97
"ozone",3,"dropToValue",1024,0.1,"cone",0.05,1,0.982,0.9653
"ozone",3,"dropToValue",256,0.01,"rect",0,1,0.9817,0.97
"ozone",3,"dropToValue",256,0.1,"cone",0,1,0.9817,0.9669
"ozone",3,"dropToValue",512,0.01,"cone",0,1,0.9814,0.9716
"ozone",32,"dropToValue",256,0.01,"rect",0.05,1,0.9813,0.9621
"ozone",16,"dropToValue",512,0.01,"rect",0.05,1,0.9808,0.9716
"ozone",3,"dropToValue",512,0.1,"cone",0,1,0.9806,0.9685
"ozone",3,"dropToValue",512,0.1,"rect",0.05,1,0.9806,0.97
"ozone",32,"dropToValue",256,0.01,"cone",0.05,1,0.9805,0.9716
"ozone",32,"dropToValue",512,0.01,"cone",0.05,1,0.9805,0.9716
"ozone",32,"dropToValue",1024,0.01,"cone",0.05,1,0.9805,0.9716
"ozone",32,"dropToValue",256,0.01,"cone",0,1,0.9805,0.9716
"ozone",32,"dropToValue",1024,0.01,"rect",0,1,0.9805,0.9716
"ozone",32,"dropToValue",256,0.1,"cone",0.05,1,0.9805,0.9716
"ozone",32,"dropToValue",512,0.1,"cone",0.05,1,0.9805,0.9716
"ozone",32,"dropToValue",1024,0.1,"cone",0.05,1,0.9805,0.9716
"ozone",32,"dropToValue",256,0.1,"rect",0.05,1,0.9805,0.9716
"ozone",32,"dropToValue",1024,0.1,"rect",0.05,1,0.9805,0.9716
"ozone",32,"dropToValue",256,0.1,"cone",0,1,0.9805,0.9716
"ozone",32,"dropToValue",512,0.1,"cone",0,1,0.9805,0.9716
"ozone",32,"dropToValue",1024,0.1,"cone",0,1,0.9805,0.97
"ozone",32,"dropToValue",256,0.1,"rect",0,1,0.9805,0.9716
"ozone",32,"dropToValue",512,0.1,"rect",0,1,0.9805,0.9716
"ozone",32,"dropToValue",1024,0.1,"rect",0,1,0.9805,0.9716
"ozone",32,"dropToValue",256,1,"cone",0.05,1,0.9805,0.9716
"ozone",32,"dropToValue",512,1,"cone",0.05,1,0.9805,0.9716
"ozone",32,"dropToValue",1024,1,"cone",0.05,1,0.9805,0.9716
"ozone",32,"dropToValue",256,1,"rect",0.05,1,0.9805,0.9716
"ozone",32,"dropToValue",512,1,"rect",0.05,1,0.9805,0.9716
"ozone",32,"dropToValue",1024,1,"rect",0.05,1,0.9805,0.9716
"ozone",32,"dropToValue",256,1,"cone",0,1,0.9805,0.9716
"ozone",32,"dropToValue",512,1,"cone",0,1,0.9805,0.9716
"ozone",32,"dropToValue",1024,1,"cone",0,1,0.9805,0.9716
"ozone",32,"dropToValue",256,1,"rect",0,1,0.9805,0.9716
"ozone",32,"dropToValue",512,1,"rect",0,1,0.9805,0.9716
"ozone",32,"dropToValue",1024,1,"rect",0,1,0.9805,0.9716
"ozone",16,"dropToValue",256,0.01,"cone",0.05,1,0.9805,0.9716
"ozone",16,"dropToValue",512,0.01,"cone",0.05,1,0.9805,0.9716
"ozone",16,"dropToValue",1024,0.01,"cone",0.05,1,0.9805,0.9716
"ozone",16,"dropToValue",256,0.01,"rect",0.05,1,0.9805,0.9716
"ozone",16,"dropToValue",1024,0.01,"rect",0.05,1,0.9805,0.9716
"ozone",16,"dropToValue",256,0.01,"cone",0,1,0.9805,0.9716
"ozone",16,"dropToValue",256,0.1,"cone",0.05,1,0.9805,0.9716
"ozone",16,"dropToValue",512,0.1,"cone",0.05,1,0.9805,0.9716
"ozone",16,"dropToValue",1024,0.1,"cone",0.05,1,0.9805,0.9716
"ozone",16,"dropToValue",512,0.1,"rect",0.05,1,0.9805,0.9716
"ozone",16,"dropToValue",1024,0.1,"rect",0.05,1,0.9805,0.9716
"ozone",16,"dropToValue",256,0.1,"rect",0,1,0.9805,0.9716
"ozone",16,"dropToValue",512,0.1,"rect",0,1,0.9805,0.9716
"ozone",16,"dropToValue",1024,0.1,"rect",0,1,0.9805,0.9716
"ozone",16,"dropToValue",256,1,"cone",0.05,1,0.9805,0.9716
"ozone",16,"dropToValue",512,1,"cone",0.05,1,0.9805,0.9716
"ozone",16,"dropToValue",1024,1,"cone",0.05,1,0.9805,0.9716
"ozone",16,"dropToValue",256,1,"rect",0.05,1,0.9805,0.9716
"ozone",16,"dropToValue",512,1,"rect",0.05,1,0.9805,0.9716
"ozone",16,"dropToValue",1024,1,"rect",0.05,1,0.9805,0.9716
"ozone",16,"dropToValue",256,1,"cone",0,1,0.9805,0.9716
"ozone",16,"dropToValue",512,1,"cone",0,1,0.9805,0.9716
"ozone",16,"dropToValue",1024,1,"cone",0,1,0.9805,0.9716
"ozone",16,"dropToValue",256,1,"rect",0,1,0.9805,0.9716
"ozone",16,"dropToValue",512,1,"rect",0,1,0.9805,0.9716
"ozone",16,"dropToValue",1024,1,"rect",0,1,0.9805,0.9716
"ozone",8,"dropToValue",256,0.01,"cone",0.05,1,0.9805,0.9716
"ozone",8,"dropToValue",1024,0.01,"cone",0.05,1,0.9805,0.97
"ozone",8,"dropToValue",256,0.01,"rect",0.05,1,0.9805,0.9716
"ozone",8,"dropToValue",512,0.01,"rect",0.05,1,0.9805,0.9716
"ozone",8,"dropToValue",1024,0.01,"rect",0.05,1,0.9805,0.9716
"ozone",8,"dropToValue",512,0.01,"cone",0,1,0.9805,0.9732
"ozone",8,"dropToValue",256,0.1,"cone",0.05,1,0.9805,0.9716
"ozone",8,"dropToValue",512,0.1,"rect",0.05,1,0.9805,0.9716
"ozone",8,"dropToValue",1024,0.1,"rect",0.05,1,0.9805,0.9716
"ozone",8,"dropToValue",256,0.1,"rect",0,1,0.9805,0.9716
"ozone",8,"dropToValue",512,0.1,"rect",0,1,0.9805,0.9716
"ozone",8,"dropToValue",1024,0.1,"rect",0,1,0.9805,0.9716
"ozone",8,"dropToValue",1024,1,"cone",0.05,1,0.9805,0.9716
"ozone",8,"dropToValue",256,1,"rect",0.05,1,0.9805,0.9716
"ozone",8,"dropToValue",512,1,"rect",0.05,1,0.9805,0.9716
"ozone",8,"dropToValue",1024,1,"rect",0.05,1,0.9805,0.9716
"ozone",8,"dropToValue",256,1,"cone",0,1,0.9805,0.9716
"ozone",8,"dropToValue",512,1,"cone",0,1,0.9805,0.9716
"ozone",8,"dropToValue",1024,1,"cone",0,1,0.9805,0.9716
"ozone",8,"dropToValue",256,1,"rect",0,1,0.9805,0.9716
"ozone",8,"dropToValue",512,1,"rect",0,1,0.9805,0.9716
"ozone",8,"dropToValue",1024,1,"rect",0,1,0.9805,0.9716
"ozone",4,"dropToValue",512,0.01,"cone",0.05,1,0.9805,0.9732
"ozone",4,"dropToValue",1024,0.01,"rect",0,1,0.9805,0.9637
"ozone",4,"dropToValue",1024,0.1,"cone",0.05,1,0.9805,0.9716
"ozone",4,"dropToValue",1024,0.1,"rect",0,1,0.9805,0.9716
"ozone",4,"dropToValue",1024,1,"cone",0.05,1,0.9805,0.9716
"ozone",4,"dropToValue",256,1,"rect",0.05,1,0.9805,0.9716
"ozone",4,"dropToValue",512,1,"rect",0.05,1,0.9805,0.9716
"ozone",4,"dropToValue",1024,1,"rect",0.05,1,0.9805,0.9716
"ozone",4,"dropToValue",256,1,"cone",0,1,0.9805,0.9716
"ozone",4,"dropToValue",512,1,"cone",0,1,0.9805,0.9716
"ozone",4,"dropToValue",1024,1,"cone",0,1,0.9805,0.9716
"ozone",4,"dropToValue",256,1,"rect",0,1,0.9805,0.9716
"ozone",4,"dropToValue",512,1,"rect",0,1,0.9805,0.9716
"ozone",4,"dropToValue",1024,1,"rect",0,1,0.9805,0.9716
"ozone",2,"dropToValue",512,0.01,"cone",0.05,1,0.9805,0.9716
"ozone",2,"dropToValue",256,0.01,"rect",0.05,1,0.9805,0.97
"ozone",2,"dropToValue",256,0.01,"cone",0,1,0.9805,0.9748
"ozone",2,"dropToValue",256,0.01,"rect",0,1,0.9805,0.97
"ozone",2,"dropToValue",256,1,"cone",0.05,1,0.9805,0.9716
"ozone",2,"dropToValue",512,1,"cone",0.05,1,0.9805,0.9716
"ozone",2,"dropToValue",256,1,"rect",0.05,1,0.9805,0.9716
"ozone",2,"dropToValue",512,1,"rect",0.05,1,0.9805,0.9716
"ozone",2,"dropToValue",1024,1,"rect",0.05,1,0.9805,0.9716
"ozone",2,"dropToValue",256,1,"cone",0,1,0.9805,0.9716
"ozone",2,"dropToValue",512,1,"cone",0,1,0.9805,0.9716
"ozone",2,"dropToValue",1024,1,"cone",0,1,0.9805,0.9716
"ozone",2,"dropToValue",256,1,"rect",0,1,0.9805,0.9716
"ozone",2,"dropToValue",512,1,"rect",0,1,0.9805,0.9716
"ozone",2,"dropToValue",1024,1,"rect",0,1,0.9805,0.9716
"ozone",3,"dropToValue",1024,0.01,"rect",0.05,1,0.9804,0.9685
"ozone",16,"dropToValue",256,0.1,"cone",0,1,0.9802,0.9716
"ozone",8,"dropToValue",256,0.01,"cone",0,1,0.9802,0.9716
"ozone",8,"dropToValue",512,0.1,"cone",0,1,0.9802,0.97
"ozone",4,"dropToValue",256,0.1,"cone",0.05,1,0.9802,0.9716
"ozone",2,"dropToValue",512,0.01,"rect",0.05,1,0.9802,0.97
"ozone",8,"dropToValue",256,1,"cone",0.05,1,0.9799,0.9716
"ozone",4,"dropToValue",1024,0.01,"cone",0.05,1,0.9799,0.9732
"ozone",4,"dropToValue",512,0.1,"cone",0,1,0.9799,0.9732
"ozone",4,"dropToValue",256,1,"cone",0.05,1,0.9799,0.9716
"ozone",3,"dropToValue",512,0.01,"rect",0,1,0.9798,0.97
